Time	[IL6{serum}]	[sgp130{serum}]	[sR_IL6_sgp130{serum}]	[CRP{serum}]	[sR{serum}]	[sR_IL6{serum}]	[Ab{serum}]	[Ab_sR{serum}]	[Ab_sR_IL6{serum}]	[CRP Suppression (%)]	[CRP (% of baseline)]	[gp130{liver}]	[R_IL6_gp130{liver}]	[sR_IL6{liver}]	[R]	[IL6{liver}]	[R_IL6]	[Ractive{liver}]	[STAT3{liver}]	[pSTAT3{liver}]	[CRP{liver}]	[sR{liver}]	[CRPExtracellular]	[sgp130{liver}]	[sR_IL6_sgp130{liver}]	[Ab_sR{liver}]	[Ab{liver}]	[Ab_R]	[Ab_sR_IL6{liver}]	[sR_IL6{gut}]	[gp130{gut}]	[R_IL6_gp130{gut}]	[Ractive{gut}]	[STAT3{gut}]	[pSTAT3{gut}]	[geneProduct]	[sR{gut}]	[IL6{gut}]	[sgp130{gut}]	[sR_IL6_sgp130{gut}]	[Ab{gut}]	[Ab_sR{gut}]	[Ab_sR_IL6{gut}]	[Ab{peripheral}]
20	0.000683345	3.90864	0.0242008	220.772	0.000171022	0.000299544	387.257	25.9747	-5.64065e-29	0.132015	99.868	0.415174	3.01883e-05	0.000280843	2.70683e-05	0.00168074	2.5071e-06	0.7088	0.827419	9.17258	157.879	0.000141339	409.186	5.59767	0.0341278	9.27266	164.019	1.74848	-8.07187e-29	0.000280996	0.414514	3.39802e-05	0.8857	0.666668	9.33333	159.31	0.000182021	0.0202399	5.59766	0.0341378	81.4036	5.92662	-8.07187e-29	3.50332
21	0.00068069	3.90817	0.0226037	220.73	0.00017995	0.000279807	378.366	26.7179	-5.63051e-29	0.150855	99.8491	0.416486	2.91315e-05	0.000262286	2.73717e-05	0.00163079	2.41396e-06	0.703956	0.83254	9.16746	157.833	0.000142848	409.106	5.59676	0.0318739	9.60852	168.164	1.81377	-8.05735e-29	0.000262425	0.415918	3.28881e-05	0.879091	0.671339	9.32866	159.269	0.000181571	0.0202181	5.59675	0.0318828	83.5235	6.06594	-8.05735e-29	3.63004
22	0.000678206	3.90771	0.021109	220.686	0.000188996	0.000261334	369.892	27.4465	-5.62038e-29	0.17096	99.829	0.417742	2.81293e-05	0.000244924	2.77024e-05	0.00158404	2.32596e-06	0.699017	0.837852	9.16215	157.785	0.000144622	409.02	5.59588	0.0297648	9.952	172.038	1.87895	-8.04286e-29	0.000245051	0.417253	3.18502e-05	0.872406	0.676142	9.32386	159.227	0.000181562	0.0201977	5.59587	0.0297729	85.5067	6.2097	-8.04286e-29	3.75352
23	0.00067588	3.90727	0.0197106	220.639	0.000198154	0.000244048	361.812	28.1612	-5.61028e-29	0.192309	99.8077	0.418943	2.71789e-05	0.000228683	2.80579e-05	0.00154029	2.24282e-06	0.693994	0.84335	9.15665	157.736	0.000146635	408.929	5.59502	0.0277917	10.3026	175.655	1.94401	-8.0284e-29	0.000228801	0.418521	3.0864e-05	0.865654	0.681075	9.31892	159.183	0.000181944	0.0201786	5.59502	0.0277992	87.3603	6.35766	-8.0284e-29	3.87392
24	0.000673705	3.90685	0.0184027	220.589	0.000207418	0.000227878	354.107	28.8627	-5.60019e-29	0.214879	99.7851	0.420089	2.62777e-05	0.000213495	2.84361e-05	0.00149936	2.16425e-06	0.688894	0.849028	9.15097	157.685	0.000148861	408.833	5.5942	0.0259463	10.66	179.029	2.00895	-8.01396e-29	0.000213605	0.419725	2.99269e-05	0.858843	0.686134	9.31387	159.138	0.000182672	0.0201607	5.5942	0.0259533	89.0911	6.50958	-8.01396e-29	3.99137
25	0.00067167	3.90644	0.0171796	220.536	0.000216781	0.000212753	346.756	29.5516	-5.59012e-29	0.238647	99.7614	0.421181	2.54231e-05	0.000199295	2.88351e-05	0.00146108	2.09001e-06	0.683728	0.85488	9.14512	157.632	0.000151284	408.733	5.59342	0.0242208	11.0236	182.172	2.07378	-7.99955e-29	0.000199398	0.420866	2.90365e-05	0.851982	0.691317	9.30868	159.092	0.00018371	0.020144	5.59341	0.0242273	90.7057	6.66524	-7.99955e-29	4.10601
26	0.000669768	3.90606	0.0160362	220.481	0.000226237	0.000198612	339.742	30.2286	-5.58006e-29	0.263588	99.7364	0.42222	2.46126e-05	0.000186021	2.92534e-05	0.00142528	2.01984e-06	0.678501	0.860902	9.1391	157.578	0.000153884	408.627	5.59267	0.0226078	11.3932	185.097	2.13848	-7.98516e-29	0.00018612	0.421947	2.81904e-05	0.845079	0.69662	9.30338	159.045	0.000185029	0.0201284	5.59267	0.0226139	92.2103	6.82443	-7.98516e-29	4.21796
27	0.00066799	3.90569	0.0149674	220.423	0.00023578	0.000185392	333.046	30.8941	-5.57003e-29	0.289678	99.7103	0.423207	2.3844e-05	0.000173616	2.96898e-05	0.00139181	1.95351e-06	0.673222	0.86709	9.13291	157.522	0.00015665	408.517	5.59196	0.0211002	11.7683	187.815	2.20307	-7.9708e-29	0.000173711	0.42297	2.73863e-05	0.838139	0.702042	9.29796	158.997	0.000186601	0.0201138	5.59196	0.0211061	93.6106	6.98696	-7.9708e-29	4.32734
28	0.000666328	3.90534	0.0139687	220.363	0.000245404	0.000173036	326.651	31.5487	-5.56001e-29	0.316894	99.6831	0.424144	2.31149e-05	0.000162026	3.01432e-05	0.00136053	1.89079e-06	0.667899	0.873438	9.12656	157.465	0.000159569	408.403	5.59129	0.0196915	12.1486	190.337	2.26755	-7.95647e-29	0.000162117	0.423937	2.66219e-05	0.831171	0.707579	9.29242	158.948	0.000188406	0.0201001	5.59128	0.0196972	94.9122	7.15264	-7.95647e-29	4.43425
29	0.000664774	3.90501	0.0130356	220.301	0.000255104	0.00016149	320.543	32.1929	-5.55001e-29	0.34521	99.6548	0.425032	2.24233e-05	0.000151199	3.06126e-05	0.0013313	1.83148e-06	0.662536	0.879943	9.12006	157.406	0.00016263	408.284	5.59065	0.0183755	12.5337	192.675	2.33191	-7.94216e-29	0.000151287	0.424851	2.58953e-05	0.824181	0.713231	9.28677	158.898	0.000190424	0.0200874	5.59064	0.018381	96.1203	7.32128	-7.94216e-29	4.53882
30	0.000663323	3.9047	0.012164	220.236	0.000264873	0.000150704	314.706	32.8272	-5.54003e-29	0.374604	99.6254	0.425872	2.17671e-05	0.000141086	3.10972e-05	0.00130399	1.77537e-06	0.657141	0.886602	9.1134	157.346	0.000165826	408.16	5.59004	0.0171463	12.9234	194.837	2.39615	-7.92787e-29	0.000141172	0.425715	2.52044e-05	0.817174	0.718994	9.28101	158.847	0.00019264	0.0200754	5.59004	0.0171517	97.2398	7.49273	-7.92787e-29	4.64113
31	0.000661968	3.9044	0.01135	220.168	0.000274707	0.000140629	309.125	33.4521	-5.53007e-29	0.405053	99.5949	0.426667	2.11444e-05	0.000131643	3.15963e-05	0.00127847	1.72227e-06	0.651718	0.89341	9.10659	157.285	0.000169147	408.033	5.58947	0.0159984	13.3173	196.833	2.46028	-7.91362e-29	0.000131727	0.426529	2.45473e-05	0.810157	0.724868	9.27513	158.795	0.000195038	0.0200643	5.58947	0.0160036	98.2756	7.66681	-7.91362e-29	4.74128
