Time	[phosphoribosylpyrophosphate]	[inosine monophosphate]	[adenylosuccinate]	[ATP_ADP_AMP_Ado]	[s-adenosyl-L-methionine]	[adenine]	[xanthosine monophosphate]	[GTP_GDP_GMP]	[dATP_dADP_dAMP_dAdo]	[dGTP_dGDP_dGMP]	[RNA]	[DNA]	[dIno_Ino_HX]	[xanthine]	[guanine]	[uric acid]	[ribose-5-phosphate]	[phosphate]
36	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51786	5.05947	5.50654	100.293	18	1400
37	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51786	5.05947	5.50654	100.294	18	1400
38	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51786	5.05947	5.50654	100.294	18	1400
39	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51785	5.05947	5.50654	100.294	18	1400
40	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51785	5.05947	5.50654	100.294	18	1400
41	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51785	5.05947	5.50654	100.294	18	1400
42	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51785	5.05947	5.50654	100.294	18	1400
43	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51785	5.05947	5.50654	100.294	18	1400
44	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51785	5.05947	5.50654	100.294	18	1400
45	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51785	5.05947	5.50654	100.294	18	1400
46	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51785	5.05947	5.50654	100.294	18	1400
47	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51785	5.05947	5.50654	100.294	18	1400
48	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51785	5.05947	5.50654	100.294	18	1400
49	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51785	5.05947	5.50653	100.294	18	1400
50	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51785	5.05947	5.50653	100.294	18	1400
51	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51785	5.05947	5.50653	100.294	18	1400
52	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51785	5.05947	5.50653	100.294	18	1400
53	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
54	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
55	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
56	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
57	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
58	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
59	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
60	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
61	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
62	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
63	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
64	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
65	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
66	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
67	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01416	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
68	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
69	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
70	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
71	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
72	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
73	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
74	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.35	9.51786	5.05947	5.50653	100.294	18	1400
75	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.36	9.51786	5.05947	5.50653	100.294	18	1400
76	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.36	9.51786	5.05947	5.50653	100.294	18	1400
77	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.36	9.51786	5.05947	5.50653	100.294	18	1400
78	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.36	9.51786	5.05947	5.50653	100.294	18	1400
79	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.36	9.51786	5.05947	5.50653	100.294	18	1400
80	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.36	9.51786	5.05947	5.50653	100.294	18	1400
81	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.36	9.51786	5.05947	5.50653	100.294	18	1400
82	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.36	9.51786	5.05947	5.50653	100.294	18	1400
83	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.36	9.51786	5.05947	5.50653	100.294	18	1400
84	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.36	9.51786	5.05947	5.50653	100.294	18	1400
85	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.36	9.51786	5.05947	5.50653	100.294	18	1400
86	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.36	9.51786	5.05947	5.50653	100.294	18	1400
87	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.36	9.51786	5.05947	5.50653	100.294	18	1400
88	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.36	9.51786	5.05947	5.50653	100.294	18	1400
89	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01417	3.02582	28680.5	5179.36	9.51787	5.05947	5.50653	100.294	18	1400
90	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01418	3.02582	28680.5	5179.36	9.51787	5.05947	5.50653	100.294	18	1400
91	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01418	3.02582	28680.5	5179.36	9.51787	5.05947	5.50653	100.294	18	1400
92	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01418	3.02582	28680.5	5179.36	9.51787	5.05947	5.50653	100.294	18	1400
93	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01418	3.02582	28680.5	5179.36	9.51787	5.05947	5.50653	100.294	18	1400
94	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01418	3.02582	28680.5	5179.36	9.51787	5.05947	5.50653	100.294	18	1400
95	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01418	3.02582	28680.5	5179.36	9.51787	5.05947	5.50653	100.294	18	1400
96	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01418	3.02582	28680.5	5179.36	9.51787	5.05947	5.50653	100.294	18	1400
97	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01418	3.02582	28680.5	5179.36	9.51787	5.05947	5.50653	100.294	18	1400
98	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01418	3.02582	28680.5	5179.36	9.51787	5.05947	5.50653	100.294	18	1400
99	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01418	3.02582	28680.5	5179.36	9.51787	5.05947	5.50653	100.294	18	1400
100	5.01742	98.2632	0.198189	2475.36	3.99187	0.984733	24.7929	410.225	6.01418	3.02582	28680.5	5179.36	9.51787	5.05947	5.50653	100.294	18	1400
