Time	[cCOP1c]	[cCOP1d]	[cCOP1n]	[cE3]	[cE3_m]	[cE3n]	[cE4]	[cE4_m]	[cEC]	[cEG]	[cG]	[cG_m]	[cL]	[cLUX]	[cLUX_m]	[cL_m]	[cLm]	[cNI]	[cNI_m]	[cP]	[cP7]	[cP7_m]	[cP9]	[cP9_m]	[cT]	[cT_m]	[cZG]	[cZTL]	[s1]	[s2]	[s3]	[s4]	[s5]	[s6]	[s7]	[s8]	[s9]	[s10]	[s11]	[s12]	[s13]	[s14]	[s15]	[s16]	[s17]	[s18]	[s19]	[s20]	[s21]	[s22]	[s23]	[s24]	[s25]	[s26]	[s27]	[s28]	[s29]	[s30]	[s31]	[s32]	[s33]	[s34]	[s35]	[s36]	[s37]	[s38]	[s39]	[s40]	[s41]	[s42]	[s43]	[s44]	[s45]	[s46]	[s47]	[s48]	[s49]	[s50]	[s51]
55	0.327837	0.270593	0.311309	0.0244563	0.0907786	0.00278421	0.16568	0.285144	0.000220914	0.00648065	0.208982	1.0614	0.561844	0.401034	0.285144	0.0904361	0.258349	0.884293	1.09101	0.000887242	1.32062	1.19583	0.617167	0.232579	0.0447588	0.067323	0.264709	0.133047	-7.53761	8.46228	-6.83777	6.78193	-1.80048	1.62093	-1.94684	2.90196	-13.5235	13.3567	-8.01403	7.42066	-16.2587	15.4644	-30.9288	29.7249	-16.4769	15.459	-16.6958	15.8812	-3.29227	3.32265	-6.20228	6.20102	-13.2845	13.1005	-8.07865	8.11997	-7.52796	7.73628	-9.59299	1.60258	5.62266	-13.2845	13.1005	-17.4673	17.6423	-12.65	3.27865	4.07162	5.62349	-130.236	129.277	-19.3915	15.3547	-7.7	6.48943	1.13882	2.51702	-0.825299	0.895978
56	0.328207	0.231857	0.340955	0.0247039	0.116041	0.001986	0.233661	0.413702	0.000179054	0.00948158	0.31169	1.44492	0.448482	0.538447	0.413702	0.0555401	0.248746	1.01664	1.15763	0.000326398	1.33218	1.15564	0.564548	0.220462	0.0577237	0.095054	0.34233	0.101231	-7.54133	8.50089	-6.86637	6.92389	-1.84174	1.67179	-1.94684	2.90252	-13.7384	13.5837	-8.15023	7.60948	-16.6897	15.9356	-31.8712	30.6558	-17.1073	16.0228	-17.3046	16.3577	-3.34403	3.34668	-6.24713	6.2329	-13.6209	13.3084	-8.20683	8.18017	-7.6044	7.78746	-9.65645	1.61137	5.64757	-13.6209	13.3084	-17.7445	17.7821	-12.88	3.31145	4.20245	5.69858	-134.877	133.534	-20.0301	15.7584	-7.84	6.55938	1.16306	2.54433	-0.825668	0.896389
57	0.32839	0.203396	0.360726	0.0272236	0.153862	0.00166608	0.331004	0.578028	0.000250039	0.0139803	0.42215	1.82663	0.355364	0.741978	0.578028	0.0347739	0.231397	1.11675	1.18797	0.000120075	1.30667	1.09078	0.518573	0.202733	0.0800311	0.138451	0.42176	0.0779446	-7.54446	8.52478	-6.88407	7.03471	-1.87251	1.71991	-1.94684	2.90272	-13.9327	13.7957	-8.27745	7.78267	-17.0748	16.3856	-32.7713	31.5813	-17.7255	16.6106	-17.9395	16.8924	-3.422	3.38125	-6.31166	6.27513	-14.081	13.6042	-8.38924	8.26524	-7.70919	7.85443	-9.73949	1.62069	5.67353	-14.081	13.6042	-18.1389	17.9729	-13.11	3.34428	4.34307	5.76364	-140.827	139.102	-20.8653	16.3276	-7.98	6.61266	1.19363	2.5854	-0.826216	0.896866
58	0.328481	0.182932	0.37345	0.0312149	0.202566	0.00155383	0.460452	0.771017	0.000410848	0.0199985	0.524884	2.15052	0.281406	1.01721	0.771017	0.0225233	0.20911	1.18269	1.18541	4.41732e-05	1.24993	1.00552	0.47485	0.180733	0.114566	0.202295	0.497577	0.0633225	-7.54739	8.53996	-6.89532	7.11991	-1.89433	1.76402	-1.94684	2.9028	-14.1027	13.9877	-8.39265	7.9416	-17.4094	16.8055	-33.611	32.4778	-18.3176	17.2053	-18.5817	17.4687	-3.53639	3.4318	-6.40602	6.33496	-14.6777	14.0078	-8.63817	8.38472	-7.84661	7.94315	-9.8495	1.63121	5.7026	-14.6777	14.0078	-18.6771	18.2359	-13.34	3.37713	4.49009	5.82141	-147.939	145.89	-21.8835	17.0638	-8.12	6.65466	1.23044	2.64593	-0.827125	0.897614
59	0.328527	0.168351	0.38146	0.0364448	0.258173	0.00157944	0.619516	0.972783	0.000702865	0.0269559	0.598646	2.34808	0.223646	1.35856	0.972783	0.0153785	0.184665	1.21462	1.15301	1.62504e-05	1.16743	0.904634	0.431129	0.156608	0.164102	0.289456	0.567741	0.055216	-7.5503	8.55002	-6.90277	7.18512	-1.90928	1.80341	-1.94684	2.90283	-14.2473	14.1565	-8.4939	8.08657	-17.691	17.188	-34.376	33.3252	-18.871	17.7911	-19.2144	18.0694	-3.69673	3.50497	-6.54262	6.42201	-15.4028	14.5312	-8.96091	8.54839	-8.01723	8.05815	-9.99211	1.6434	5.73614	-15.4028	14.5312	-19.3749	18.5924	-13.57	3.40998	4.6412	5.87398	-155.828	153.581	-23.0372	17.9394	-8.26	6.68995	1.27309	2.73059	-0.828683	0.89888
60	0.32688	0.148522	0.387574	0.0430998	0.315396	0.00174179	0.798253	1.15512	0.00124442	0.0339032	0.628417	2.37253	0.178777	1.74461	1.15512	0.0114868	0.160236	1.21185	1.09347	0.00508488	1.03285	0.79401	0.386279	0.13288	0.227413	0.397852	0.628343	0.0546545	-7.55345	8.55706	-6.908	7.23522	-1.91933	1.83789	-1.95203	2.90294	-14.3681	14.301	-8.58061	8.21813	-17.9203	17.5279	-35.0558	34.1397	-19.3742	18.3538	-19.8221	18.68	-3.90777	3.60762	-6.73423	6.55032	-16.2252	15.1713	-9.35564	8.76439	-8.21788	8.20159	-10.17	1.65772	5.77545	-16.2252	15.1713	-20.2284	19.0598	-13.8	3.44453	4.79286	5.93313	-163.931	161.661	-24.2491	18.8955	-8.4	6.72191	1.32109	2.84105	-0.831357	0.901012
61	0.26628	0.0131167	0.47279	0.0515304	0.369544	0.00209049	0.971553	1.21785	0.00499263	0.0414458	0.59784	1.67529	0.14346	2.12027	1.21785	0.01407	0.137201	1.06662	0.873409	0.258961	0.297214	0.677353	0.31207	0.10354	0.18479	0.494445	0.527563	0.17653	-7.5591	8.56013	-6.91141	7.27395	-1.926	1.8676	-2.2061	2.90314	-14.4578	14.4201	-8.65206	8.36379	-18.0981	17.8223	-35.6447	35.4642	-19.6529	18.8526	-20.3608	19.3639	-4.13926	3.74251	-6.98602	6.84473	-17.0092	15.8925	-9.8004	9.03585	-8.44348	8.37304	-10.3826	1.67262	5.8214	-17.0092	15.8925	-21.1901	19.6458	-14.03	3.55976	4.83819	6.11336	-170.257	168.683	-25.3025	19.8911	-8.54	6.79458	1.36733	2.97647	-0.835951	0.901859
62	0.243347	0.0122611	0.524432	0.0729014	0.41684	0.00379373	1.08765	1.12102	0.0120539	0.040475	0.396861	1.00957	0.117493	2.37712	1.12102	0.0194761	0.116367	0.886542	0.64347	0.451024	0.199745	0.561387	0.247565	0.0727194	0.172199	0.541592	0.440658	0.238141	-7.56848	8.56411	-6.91588	7.30439	-1.93048	1.89292	-2.39816	2.90314	-14.5149	14.508	-8.70478	8.48101	-18.2297	18.0699	-36.1398	36.0568	-19.7995	19.2291	-20.7674	19.9506	-4.34325	3.89936	-7.2788	7.1501	-17.6209	16.6011	-10.2373	9.35667	-8.68772	8.56998	-10.6268	1.6896	5.88058	-17.6209	16.6011	-22.1347	20.3336	-14.26	3.66093	4.88825	6.16428	-174.098	173.19	-25.9785	20.6714	-8.68	6.92125	1.40595	3.12242	-0.845116	0.903962
63	0.23491	0.01313	0.558957	0.106036	0.455265	0.00766673	1.11266	0.916582	0.0269874	0.0341383	0.218998	0.55051	0.0991338	2.44826	0.916582	0.0279356	0.0980939	0.70822	0.473936	0.593309	0.159356	0.454405	0.191229	0.0467761	0.166329	0.529572	0.368068	0.266027	-7.58256	8.56972	-6.9222	7.32907	-1.93361	1.91432	-2.54045	2.90314	-14.5482	14.5672	-8.74031	8.57288	-18.3255	18.2727	-36.5453	36.5027	-19.9071	19.5063	-21.0668	20.4282	-4.49331	4.06144	-7.58135	7.45853	-18.0313	17.2159	-10.6165	9.71083	-8.94455	8.78839	-10.8976	1.7128	5.96474	-18.0313	17.2159	-22.9546	21.0823	-14.49	3.75631	4.94252	6.21768	-176.23	175.781	-26.3672	21.1518	-8.82	7.07369	1.43821	3.25522	-0.864983	0.908896
64	0.231806	0.0137794	0.584371	0.146642	0.484606	0.0145518	1.04154	0.68289	0.0541662	0.0246067	0.108841	0.293041	0.0874596	2.32871	0.68289	0.0413872	0.0824217	0.552036	0.349224	0.698716	0.127391	0.361518	0.14336	0.0281333	0.154627	0.473944	0.307437	0.27638	-7.6042	8.57791	-6.93141	7.34995	-1.93595	1.93233	-2.64585	2.90314	-14.5663	14.604	-8.76239	8.64283	-18.3952	18.4353	-36.8707	36.86	-19.9866	19.7105	-21.2873	20.805	-4.58894	4.2127	-7.8637	7.75258	-18.2769	17.6952	-10.9121	10.0775	-9.20923	9.02372	-11.1894	1.74512	6.08284	-18.2769	17.6952	-23.5936	21.8409	-14.72	3.84955	4.99974	6.27425	-177.357	177.166	-26.5748	21.4093	-8.96	7.23702	1.46516	3.35866	-0.902756	0.919489
65	0.230665	0.0142787	0.604129	0.184947	0.505472	0.0236333	0.90107	0.484503	0.0908257	0.0162181	0.0562393	0.171795	0.0825467	2.07324	0.484503	0.0635167	0.0692372	0.423194	0.256672	0.776803	0.100823	0.285282	0.10473	0.0167319	0.137734	0.402527	0.256793	0.277926	-7.63869	8.59027	-6.94532	7.36878	-1.93789	1.94745	-2.72394	2.90314	-14.5768	14.6259	-8.77553	8.6946	-18.4478	18.5641	-37.1282	37.1441	-20.0444	19.8608	-21.4497	21.0962	-4.6491	4.34427	-8.1093	8.01507	-18.4261	18.0428	-11.1264	10.4323	-9.47795	9.27158	-11.4968	1.78743	6.23827	-18.4261	18.0428	-24.0571	22.5598	-14.95	3.942	5.05921	6.33322	-177.998	177.928	-26.6892	21.5423	-9.1	7.40361	1.48767	3.42926	-0.958942	0.939016
66	0.230244	0.0146754	0.61992	0.21318	0.51839	0.0330781	0.734218	0.341674	0.12552	0.0111182	0.0343021	0.118593	0.0856982	1.76013	0.341674	0.100512	0.0584052	0.320459	0.188006	0.834652	0.0797807	0.226514	0.0752287	0.010568	0.119433	0.333736	0.214491	0.275321	-7.69499	8.60958	-6.96704	7.38734	-1.93979	1.96018	-2.78179	2.90314	-14.584	14.6392	-8.78351	8.73209	-18.4908	18.6659	-37.3318	37.3687	-20.086	19.9711	-21.5688	21.3181	-4.69055	4.45452	-8.3151	8.23917	-18.5284	18.2879	-11.2776	10.7503	-9.74717	9.52788	-11.8146	1.83813	6.42602	-18.5284	18.2879	-24.3839	23.1998	-15.18	4.03417	5.12044	6.39405	-178.426	178.41	-26.7614	21.6182	-9.24	7.56972	1.50647	3.47604	-1.02334	0.968722
67	0.23009	0.0149958	0.632706	0.230293	0.522888	0.0416112	0.576279	0.247531	0.147896	0.0084962	0.0250121	0.0954682	0.099835	1.45165	0.247531	0.162071	0.0498999	0.240414	0.13753	0.877507	0.0643717	0.185486	0.0537277	0.00758437	0.102193	0.274364	0.179158	0.271006	-7.78744	8.64047	-7.0018	7.40796	-1.94207	1.97097	-2.82465	2.90314	-14.5899	14.6481	-8.78884	8.75891	-18.5316	18.7477	-37.4954	37.5477	-20.1163	20.0518	-21.656	21.4853	-4.72214	4.54547	-8.48488	8.42619	-18.6089	18.4626	-11.3853	11.016	-10.0124	9.78858	-12.1378	1.89448	6.63634	-18.6089	18.4626	-24.6168	23.7411	-15.41	4.12623	5.18309	6.45638	-178.762	178.768	-26.8152	21.6699	-9.38	7.73366	1.52217	3.50962	-1.0836	1.0066
68	0.230033	0.0152565	0.643122	0.237892	0.516258	0.0483302	0.445081	0.188182	0.154847	0.00713788	0.0207445	0.0855959	0.129904	1.18125	0.188182	0.261716	0.044016	0.179255	0.10118	0.909255	0.0548849	0.163694	0.0386731	0.00650788	0.086869	0.22482	0.149645	0.266228	-7.93703	8.69041	-7.05798	7.43408	-1.94553	1.98031	-2.85639	2.90314	-14.5957	14.655	-8.79299	8.77812	-18.5789	18.8168	-37.6336	37.6955	-20.1391	20.111	-21.7199	21.6103	-4.74725	4.62013	-8.62424	8.58087	-18.6789	18.5919	-11.465	11.2269	-10.2661	10.0489	-12.4607	1.95391	6.85994	-18.6789	18.5919	-24.7892	24.184	-15.64	4.21826	5.2469	6.51993	-179.057	179.073	-26.861	21.7109	-9.52	7.89484	1.53529	3.53646	-1.13266	1.04871
69	0.230012	0.0154693	0.651631	0.236313	0.492562	0.0523713	0.34445	0.150517	0.148896	0.00632134	0.0186065	0.0808099	0.182717	0.959422	0.150517	0.41349	0.0417451	0.133543	0.0762378	0.932774	0.0524556	0.166224	0.0286279	0.00682598	0.0733485	0.183019	0.124994	0.261593	-8.16869	8.7703	-7.14785	7.47113	-1.95176	1.98882	-2.87991	2.90314	-14.6026	14.6615	-8.79693	8.7921	-18.6465	18.8819	-37.7637	37.828	-20.1581	20.1549	-21.7673	21.7035	-4.76646	4.68114	-8.73813	8.70828	-18.742	18.6927	-11.5272	11.3897	-10.4955	10.302	-12.7745	2.01411	7.08875	-18.742	18.6927	-24.9236	24.5402	-15.87	4.31027	5.31165	6.58447	-179.335	179.356	-26.9034	21.7468	-9.66	8.05317	1.54625	3.55963	-1.16903	1.09103
70	0.230004	0.0156433	0.65859	0.224108	0.445258	0.0529712	0.270555	0.123875	0.134607	0.00561414	0.0172549	0.0756917	0.264834	0.783132	0.123875	0.619061	0.0451938	0.100631	0.0616144	0.950198	0.0596902	0.203082	0.0225378	0.00850895	0.061207	0.147027	0.104404	0.257368	-8.49725	8.89329	-7.28622	7.52739	-1.96378	1.99739	-2.89734	2.90314	-14.6118	14.6691	-8.80146	8.80272	-18.7559	18.9544	-37.9088	37.9658	-20.1775	20.1889	-21.8041	21.7731	-4.77984	4.73051	-8.83029	8.81258	-18.7974	18.7747	-11.5777	11.5142	-10.6837	10.5375	-13.0665	2.07259	7.31402	-18.7974	18.7747	-25.0329	24.8258	-16.1	4.40227	5.37717	6.64982	-179.596	179.622	-26.9434	21.7797	-9.8	8.20883	1.5554	3.58021	-1.19428	1.13057
71	0.230002	0.0157857	0.664285	0.200601	0.376289	0.0498288	0.216779	0.101575	0.11621	0.0047569	0.015951	0.0675425	0.376953	0.643337	0.101575	0.84482	0.0571434	0.0791627	0.0588366	0.963106	0.079822	0.283331	0.019726	0.0115671	0.0502562	0.11634	0.0872056	0.253644	-8.8989	9.06918	-7.48409	7.61314	-1.98581	2.00746	-2.91024	2.90314	-14.6248	14.679	-8.80741	8.81149	-18.9319	19.0502	-38.1004	38.1372	-20.2042	20.2185	-21.836	21.8265	-4.78852	4.76988	-8.90378	8.89703	-18.8426	18.8422	-11.6194	11.6096	-10.8208	10.7436	-13.322	2.12654	7.52522	-18.8426	18.8422	-25.1229	25.0556	-16.33	4.49427	5.44333	6.71583	-179.833	179.867	-26.98	21.8102	-9.94	8.36211	1.56304	3.59808	-1.21089	1.16558
72	0.231165	0.188899	0.477568	0.169069	0.299711	0.0440618	0.176728	0.0820765	0.0963511	0.00377133	0.0146312	0.0819865	0.509878	0.530725	0.0820765	1.03611	0.0787722	0.0699252	0.0729728	0.955925	0.116292	0.400942	0.0205262	0.0611857	0.0411475	0.0911114	0.0731817	0.250092	-9.32129	9.30029	-7.7404	7.73652	-2.02087	2.0209	-2.91977	2.91984	-14.6893	14.694	-8.81638	8.81965	-19.1854	19.1861	-38.3722	38.3726	-20.2505	20.2506	-21.8706	21.8704	-4.79428	4.80086	-8.96161	8.96397	-18.878	18.8971	-11.6532	11.6835	-10.9131	10.9125	-13.5315	2.17342	7.71155	-18.878	18.8971	-25.1962	25.2415	-16.56	4.58509	5.51233	6.79845	-180.063	180.083	-27.0124	21.838	-10.08	8.5133	1.56943	3.61266	-1.22122	1.19577
73	0.279588	0.590669	0.0194299	0.123223	0.220958	0.0428409	0.135262	0.066908	0.0431811	0.00833764	0.0446872	0.269045	0.809972	0.439446	0.066908	1.23258	0.113995	0.0839964	0.13007	0.35794	0.33674	0.569723	0.407265	1.02814	0.0519617	0.0710642	0.0930551	0.22172	-10.1721	9.95459	-8.22676	7.92278	-2.0751	2.03991	-2.9201	3.51816	-16.3959	15.4336	-9.26015	8.87669	-19.5456	19.3775	-38.755	38.5349	-20.3554	20.2984	-21.9223	21.908	-4.79842	4.82506	-9.00678	8.99832	-18.9072	18.9415	-11.6806	11.7523	-10.9646	11.0427	-13.693	2.21498	7.85542	-18.9072	18.9415	-25.2553	25.3919	-16.79	4.61206	5.52787	6.99389	-181.187	181.02	-27.153	21.899	-10.22	8.65532	1.5759	3.63115	-1.22654	1.25425
74	0.304247	0.554898	0.0466612	0.0863385	0.155971	0.0315158	0.109274	0.0621292	0.0183906	0.0053756	0.0331182	0.166239	0.994046	0.367067	0.0621292	0.932658	0.156764	0.134034	0.262137	0.131679	0.565799	0.790599	0.773484	0.79163	0.0515283	0.0564925	0.113113	0.206025	-10.4623	10.5447	-8.66388	8.17583	-2.14495	2.06699	-2.9201	3.74442	-17.0966	16.3708	-9.82247	9.07278	-20.0384	19.6494	-39.2989	38.8498	-20.5825	20.3934	-22.0249	21.9606	-4.80285	4.84406	-9.04224	9.03421	-18.9405	18.9796	-11.7041	11.8018	-10.9929	11.136	-13.8087	2.24824	7.96641	-18.9405	18.9796	-25.3061	25.5151	-17.02	4.6414	5.5405	7.1658	-181.794	181.729	-27.2594	21.969	-10.36	8.78263	1.58424	3.65378	-1.22927	1.28178
75	0.316492	0.508747	0.0923346	0.0620765	0.112724	0.0232181	0.0949884	0.0686918	0.0091369	0.00318608	0.0292757	0.160614	1.02479	0.315335	0.0686918	0.623739	0.195708	0.234894	0.451204	0.0484419	0.799005	0.979169	0.884487	0.499481	0.0467354	0.0470088	0.124458	0.202758	-10.5706	10.962	-8.97299	8.4542	-2.21925	2.10234	-2.9201	3.82766	-17.441	17.0073	-10.2044	9.34369	-20.5828	20.0053	-40.0105	39.3282	-20.9483	20.5702	-22.2158	22.0506	-4.80877	4.85946	-9.071	9.06776	-18.9858	19.0183	-11.7279	11.8399	-11.016	11.2023	-13.8909	2.27335	8.04545	-18.9858	19.0183	-25.3577	25.6184	-17.25	4.6725	5.5677	7.32573	-182.321	182.262	-27.3393	22.0212	-10.5	8.90502	1.59376	3.66662	-1.23075	1.29251
76	0.322573	0.448429	0.152133	0.0451503	0.087508	0.0152675	0.0912261	0.0880488	0.00463504	0.00276888	0.0391244	0.230555	0.95332	0.286526	0.0880488	0.395029	0.226648	0.3814	0.655379	0.0178208	1.0044	1.10825	0.848366	0.33234	0.0415362	0.0423492	0.136632	0.199333	-10.6131	11.2332	-9.17389	8.72657	-2.29258	2.14473	-2.9201	3.85828	-17.6796	17.4131	-10.4479	9.62329	-21.1314	20.4247	-40.8495	39.9618	-21.4294	20.8471	-22.5148	22.2031	-4.81739	4.87274	-9.09579	9.09775	-19.0514	19.0646	-11.7565	11.8723	-11.0402	11.2517	-13.9522	2.29202	8.10457	-19.0514	19.0646	-25.4194	25.7089	-17.48	4.70449	5.61629	7.46959	-183.034	182.905	-27.4358	22.0769	-10.64	9.02586	1.60417	3.67538	-1.23161	1.29787
77	0.325593	0.382394	0.214631	0.0339547	0.0764689	0.00886281	0.0991302	0.125645	0.00200245	0.00325606	0.0669149	0.396348	0.830968	0.285025	0.125645	0.243647	0.247936	0.553347	0.839632	0.0065559	1.16224	1.18117	0.76466	0.262213	0.0382894	0.0430939	0.158706	0.188648	-10.6312	11.4026	-9.29938	8.97442	-2.36149	2.19236	-2.9201	3.86954	-17.9008	17.7044	-10.6226	9.88176	-21.6639	20.8843	-41.7687	40.7232	-21.9887	21.2221	-22.9199	22.4363	-4.8308	4.88541	-9.11943	9.12464	-19.152	19.1276	-11.7953	11.9032	-11.0696	11.2922	-14.0023	2.30598	8.14891	-19.152	19.1276	-25.5034	25.7944	-17.71	4.73692	5.68976	7.59421	-184.232	183.937	-27.5906	22.1606	-10.78	9.14276	1.61589	3.68437	-1.23213	1.30103
78	0.327092	0.321134	0.269278	0.0273078	0.0775507	0.0047696	0.122157	0.189588	0.000624815	0.00446826	0.123158	0.692014	0.693721	0.319172	0.189588	0.148564	0.258754	0.727746	0.986904	0.00241178	1.26715	1.20757	0.683073	0.241331	0.0387488	0.0507436	0.200129	0.165979	-10.6399	11.5065	-9.3763	9.18858	-2.42316	2.24321	-2.9201	3.87369	-18.1294	17.9538	-10.7723	10.113	-22.1695	21.3635	-42.727	41.5765	-22.5943	21.6805	-23.4149	22.7569	-4.85233	4.89929	-9.14534	9.15009	-19.309	19.2206	-11.8527	11.9376	-11.1087	11.3302	-14.0495	2.31685	8.18264	-19.309	19.2206	-25.6275	25.8844	-17.94	4.76956	5.78692	7.69952	-186.343	185.753	-27.8629	22.3078	-10.92	9.24981	1.63009	3.69643	-1.2325	1.30278
79	0.327837	0.270593	0.311308	0.0243687	0.0904108	0.0027784	0.165198	0.284259	0.000219341	0.00644294	0.208517	1.05888	0.562994	0.399738	0.284259	0.0904798	0.258931	0.886627	1.09294	0.000887244	1.32218	1.19706	0.617609	0.232793	0.0445806	0.067069	0.264488	0.133162	-10.6451	11.5697	-9.42314	9.36615	-2.47528	2.29515	-2.9201	3.87521	-18.3579	18.1909	-10.9145	10.3207	-22.641	21.8455	-43.691	42.4855	-23.222	22.2021	-23.9783	23.1614	-4.88609	4.91672	-9.17788	9.1768	-19.5443	19.3612	-11.9394	11.9812	-11.163	11.3717	-14.1009	2.32606	8.20981	-19.5443	19.3612	-25.815	25.9912	-18.17	4.80231	5.90347	7.78798	-189.679	188.722	-28.3083	22.5651	-11.06	9.33981	1.64854	3.71446	-1.23281	1.3035
80	0.328207	0.231857	0.340955	0.0246401	0.115641	0.00198442	0.232972	0.412506	0.000177875	0.00943508	0.311004	1.44202	0.449347	0.536762	0.412506	0.0555592	0.24931	1.01884	1.15939	0.000326399	1.33366	1.15688	0.564972	0.220653	0.0575001	0.0947079	0.34202	0.101375	-10.6488	11.6083	-9.45175	9.50841	-2.51663	2.34612	-2.9201	3.87577	-18.5729	18.4181	-11.0508	10.5097	-23.0725	22.3172	-44.6344	43.4174	-23.8531	22.7668	-24.5882	23.639	-4.93766	4.94066	-9.22256	9.20856	-19.8798	19.5685	-12.0672	12.0412	-11.2392	11.4227	-14.1641	2.33482	8.23465	-19.8798	19.5685	-26.0913	26.1305	-18.4	4.83512	6.0343	7.86306	-194.31	192.97	-28.9455	22.9679	-11.2	9.40985	1.67275	3.74162	-1.23318	1.3039
81	0.32839	0.203396	0.360726	0.0271701	0.153424	0.00166543	0.330073	0.576594	0.000248591	0.0139262	0.421413	1.82404	0.356005	0.739814	0.576594	0.0347795	0.231931	1.11881	1.18963	0.000120075	1.30813	1.09207	0.518978	0.202926	0.0797364	0.137983	0.421423	0.078062	-10.6519	11.6322	-9.46946	9.61945	-2.54748	2.39435	-2.9201	3.87598	-18.7674	18.6303	-11.1782	10.683	-23.4582	22.7677	-45.5354	44.344	-24.472	23.3555	-25.2239	24.1748	-5.01539	4.97511	-9.28686	9.25063	-20.3389	19.8635	-12.2491	12.1261	-11.3438	11.4895	-14.2469	2.34412	8.26055	-20.3389	19.8635	-26.4846	26.3208	-18.63	4.86795	6.17492	7.92812	-200.251	198.529	-29.7793	23.5359	-11.34	9.46321	1.7033	3.7825	-1.23373	1.30438
82	0.328481	0.182932	0.37345	0.0311638	0.202104	0.00155304	0.45929	0.769494	0.000408705	0.0199403	0.5243	2.1488	0.281878	1.01457	0.769494	0.0225215	0.2096	1.18462	1.18704	4.41732e-05	1.25141	1.00684	0.475244	0.180927	0.11418	0.201685	0.497256	0.0633939	-10.6548	11.6474	-9.4807	9.70482	-2.56936	2.43856	-2.9201	3.87605	-18.9376	18.8225	-11.2935	10.842	-23.7934	23.1881	-46.3762	45.2415	-25.0649	23.951	-25.867	24.7521	-5.12948	5.02549	-9.38092	9.31024	-20.9345	20.2662	-12.4975	12.2452	-11.481	11.578	-14.3567	2.35462	8.28956	-20.9345	20.2662	-27.0216	26.5831	-18.86	4.90079	6.32195	7.9859	-207.356	205.309	-30.7963	24.2711	-11.48	9.50527	1.74008	3.84282	-1.23463	1.30512
83	0.328527	0.168351	0.38146	0.0363902	0.257716	0.00157803	0.618191	0.971376	0.000699511	0.0268993	0.598379	2.34762	0.223994	1.3556	0.971376	0.0153725	0.185103	1.21648	1.15465	1.62505e-05	1.16894	0.905974	0.431513	0.156795	0.163615	0.288713	0.567453	0.055248	-10.6577	11.6575	-9.48815	9.77016	-2.58435	2.47805	-2.9201	3.87608	-19.0824	18.9914	-11.3949	10.9871	-24.0755	23.5711	-47.1422	46.09	-25.6191	24.5376	-26.5006	25.3538	-5.28948	5.09847	-9.51714	9.39702	-21.6589	20.7887	-12.8197	12.4085	-11.6513	11.6927	-14.499	2.36679	8.32305	-21.6589	20.7887	-27.7183	26.9387	-19.09	4.93364	6.47305	8.03847	-215.243	212.997	-31.9495	25.146	-11.62	9.54058	1.78271	3.92727	-1.23618	1.30638
84	0.32688	0.148522	0.387574	0.0430365	0.314975	0.00173939	0.796882	1.15403	0.00123893	0.0338552	0.628548	2.37342	0.179035	1.74155	1.15403	0.0114782	0.160619	1.21368	1.09515	0.00508488	1.03432	0.795324	0.386649	0.133051	0.226845	0.397026	0.628097	0.0546562	-10.6609	11.6645	-9.49338	9.82035	-2.59443	2.51261	-2.92528	3.8762	-19.2034	19.1361	-11.4817	11.1188	-24.3053	23.9116	-47.8232	46.9055	-26.1232	25.1011	-27.1092	25.9652	-5.5002	5.20088	-9.70831	9.52496	-22.4809	21.4281	-13.214	12.6241	-11.8518	11.8359	-14.6766	2.38109	8.36231	-22.4809	21.4281	-28.5707	27.4052	-19.32	4.96819	6.62471	8.09762	-223.348	221.077	-33.1615	26.102	-11.76	9.57256	1.83069	4.03754	-1.23884	1.3085
85	0.26628	0.0131167	0.47279	0.051447	0.369181	0.00208592	0.970316	1.21747	0.00497136	0.0414144	0.598487	1.67802	0.143653	2.1175	1.21747	0.0140524	0.137531	1.0683	0.874983	0.258961	0.297711	0.678592	0.312395	0.103703	0.184462	0.493734	0.527358	0.176514	-10.6665	11.6676	-9.49679	9.85914	-2.60112	2.54239	-3.17935	3.87639	-19.2933	19.2554	-11.5532	11.2646	-24.4835	24.2065	-48.413	48.232	-26.4026	25.6007	-27.6488	26.6502	-5.73156	5.33553	-9.95966	9.81869	-23.2651	22.1488	-13.6584	12.8951	-12.0773	12.0072	-14.8889	2.39597	8.40819	-23.2651	22.1488	-29.5318	27.9903	-19.55	5.08342	6.67004	8.27785	-229.682	228.106	-34.2159	27.0981	-11.9	9.64522	1.87691	4.17281	-1.24342	1.30935
86	0.243347	0.0122611	0.524432	0.0727655	0.416543	0.00378202	1.0868	1.1215	0.0120018	0.0404774	0.397745	1.01233	0.117635	2.37516	1.1215	0.0194413	0.116646	0.88805	0.644815	0.451024	0.200126	0.562507	0.247856	0.0728691	0.172028	0.541207	0.440486	0.238118	-10.6759	11.6715	-9.50126	9.88962	-2.60561	2.56777	-3.37142	3.87639	-19.3505	19.3434	-11.606	11.382	-24.6155	24.4546	-48.9091	48.8257	-26.5497	25.978	-28.0562	27.2379	-5.93571	5.49221	-10.2521	10.1236	-23.8777	22.8574	-14.0954	13.2156	-12.3214	12.204	-15.1329	2.41291	8.46727	-23.8777	22.8574	-30.4765	28.6773	-19.78	5.18459	6.7201	8.32876	-233.533	232.623	-34.8934	27.8797	-12.04	9.77188	1.91552	4.31871	-1.25254	1.31144
