Time	[Ctelo]	[Utelo]	[Cdc13]	[Rad17Utelo]	[Rad17]	[Rad24]	[RPA]	[Mec1]	[ssDNA]	[RPAssDNA]	[RPAssDNA1]	[RPAssDNA2]	[Mec1RPAssDNA]	[ExoXI]	[ExoXA]	[Exo1I]	[Exo1A]	[Rad9I]	[Rad9A]	[Rad53I]	[Rad53A]	[Chk1I]	[Chk1A]	[Dun1I]	[Dun1A]	[ATP]	[ADP]	[Rad9Kin]	[recovery]	[G1]	[S]	[G2]	[M]	[G1cyclin]	[Scyclin]	[G2cyclin]	[Mcyclin]	[G1CdkI]	[G1CdkA]	[SCdkI]	[SCdkA]	[G2CdkI]	[G2CdkA]	[MCdkI]	[MCdkA]	[G1Soff]	[G1Son]	[SG2off]	[SG2on]	[G2Moff]	[G2Mon]	[MG1off]	[MG1on]	[sink]	[budscar]
25	63.8399	0.159909	300.16	0.000148493	69.9999	70	3999.98	4000	0.000321113	6.56021e-06	0.0150937	0.00329414	0.000555968	69.9999	9.8483e-05	278.949	391.051	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	3.9406	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
26	63.8394	0.160439	300.161	0.000156342	69.9998	70	3999.98	4000	0.000323678	7.39388e-06	0.015884	0.0036812	0.000667555	69.9999	0.000103956	269.341	400.659	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	4.09577	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
27	63.8389	0.160895	300.161	0.000164214	69.9998	70	3999.98	4000	0.000325795	8.26003e-06	0.0166546	0.00408359	0.000792746	69.9999	0.000109448	260.064	409.936	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	4.25077	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
28	63.8385	0.161288	300.161	0.000172108	69.9998	70	3999.98	4000	0.000327519	9.15442e-06	0.0174049	0.00449983	0.000932027	69.9999	0.000114958	251.107	418.893	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	4.40557	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
29	63.8382	0.161626	300.162	0.00018002	69.9998	70	3999.98	4000	0.0003289	1.0073e-05	0.0181345	0.00492845	0.00108582	69.9999	0.000120483	242.458	427.542	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	4.56019	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
30	63.8379	0.161916	300.162	0.000187947	69.9998	70	3999.97	4000	0.000329983	1.10118e-05	0.0188432	0.00536806	0.00125447	69.9999	0.00012602	234.107	435.893	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	4.71463	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
31	63.8376	0.162166	300.162	0.000195887	69.9998	70	3999.97	4000	0.000330805	1.19673e-05	0.0195308	0.00581732	0.00143828	69.9999	0.000131568	226.044	443.956	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	4.86888	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
32	63.8374	0.162381	300.163	0.000203838	69.9998	70	3999.97	4000	0.000331401	1.29361e-05	0.0201975	0.00627495	0.0016375	69.9999	0.000137125	218.258	451.742	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	5.02294	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
33	63.8372	0.162566	300.163	0.0002118	69.9998	70	3999.97	4000	0.000331801	1.39151e-05	0.0208434	0.00673972	0.00185229	69.9999	0.00014269	210.741	459.259	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	5.17682	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
34	63.8371	0.162725	300.163	0.000219769	69.9998	70	3999.97	4000	0.000332029	1.49013e-05	0.0214688	0.0072105	0.00208282	69.9999	0.000148263	203.482	466.518	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	5.33052	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
35	63.8369	0.162861	300.163	0.000227746	69.9998	70	3999.97	4000	0.00033211	1.58921e-05	0.0220741	0.00768621	0.00232916	69.9998	0.000153841	196.474	473.526	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	5.48403	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
36	63.8368	0.162979	300.163	0.000235729	69.9998	70	3999.97	4000	0.000332063	1.68852e-05	0.0226596	0.00816584	0.00259138	69.9998	0.000159424	189.706	480.294	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	5.63736	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
37	63.8367	0.16308	300.163	0.000243718	69.9998	70	3999.97	4000	0.000331904	1.78784e-05	0.0232258	0.00864847	0.00286949	69.9998	0.000165012	183.172	486.828	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	5.7905	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
