Time	[NFkB]	[IKKIkBa]	[IKKIkBaNFkB]	[IKK]	[IkBa]	[IKKIkBb]	[IKKIkBbNFkB]	[IkBb]	[IKKIkBe]	[IKKIkBeNFkB]	[IkBe]	[IkBaNFkB]	[IkBbNFkB]	[IkBeNFkB]	[source]	[IkBat]	[sink]	[NFkBn]	[IkBan]	[IkBanNFkBn]	[IkBbn]	[IkBbnNFkBn]	[IkBbt]	[IkBen]	[IkBenNFkBn]	[IkBet]
27	0.0021357	0.00852819	0.0202012	0.0688744	0.178787	0.000269531	0.000801874	0.0209025	0.0002846	0.000776908	0.0148347	0.0574564	0.00847388	0.00578147	1	0.00548712	0	0.00127472	0.192118	0.0023578	0.0217354	0.000431513	0.000636951	0.0155265	0.000308242	0.000454989
28	0.00217865	0.00875861	0.0204857	0.0682975	0.178345	0.000277349	0.000822137	0.0208754	0.000292691	0.000794535	0.0148124	0.0569519	0.0084678	0.00576971	1	0.00548716	0	0.00132151	0.19201	0.00244811	0.0217225	0.000443125	0.00063695	0.0155173	0.000316537	0.000454989
29	0.00221929	0.00898457	0.0207523	0.0677442	0.177903	0.000285056	0.000841971	0.020848	0.000300655	0.000811665	0.01479	0.0564647	0.00846247	0.0057586	1	0.00548719	0	0.00136691	0.191897	0.00254146	0.0217091	0.000455162	0.00063695	0.0155077	0.000325135	0.000454988
30	0.00225773	0.0092062	0.0210019	0.0672133	0.177462	0.000292655	0.000861392	0.0208202	0.000308496	0.000828316	0.0147674	0.0559942	0.00845785	0.00574811	1	0.00548722	0	0.0014109	0.19178	0.00263767	0.0216952	0.000467605	0.00063695	0.0154977	0.000334023	0.000454988
31	0.00229408	0.00942362	0.0212355	0.0667039	0.17702	0.000300148	0.000880414	0.0207922	0.000316217	0.000844506	0.0147447	0.0555394	0.00845393	0.00573821	1	0.00548726	0	0.00145345	0.191659	0.00273654	0.0216809	0.000480435	0.000636949	0.0154875	0.000343188	0.000454988
32	0.00232843	0.00963694	0.0214538	0.0662148	0.176578	0.000307539	0.000899052	0.020764	0.000323822	0.000860254	0.0147218	0.0550999	0.00845065	0.00572887	1	0.0054873	0	0.00149457	0.191534	0.00283791	0.0216661	0.000493634	0.000636949	0.0154769	0.000352617	0.000454987
33	0.00236089	0.00984628	0.0216577	0.0657453	0.176137	0.000314832	0.000917321	0.0207355	0.000331313	0.000875576	0.0146988	0.0546748	0.008448	0.00572007	1	0.00548734	0	0.00153424	0.191405	0.00294158	0.0216509	0.000507183	0.000636949	0.015466	0.000362295	0.000454987
34	0.00239153	0.0100517	0.0218479	0.0652944	0.175697	0.000322027	0.000935232	0.0207069	0.000338693	0.000890488	0.0146757	0.0542637	0.00844593	0.00571177	1	0.00548739	0	0.00157249	0.191272	0.00304738	0.0216353	0.000521063	0.000636948	0.0154549	0.000372211	0.000454986
35	0.00242046	0.0102534	0.0220251	0.0648613	0.175257	0.000329129	0.000952799	0.020678	0.000345967	0.000905005	0.0146524	0.0538659	0.00844443	0.00570396	1	0.00548743	0	0.00160932	0.191136	0.00315514	0.0216193	0.000535258	0.000636948	0.0154434	0.00038235	0.000454986
36	0.00244775	0.0104514	0.0221899	0.0644452	0.174817	0.000336139	0.000970034	0.020649	0.000353136	0.000919143	0.0146291	0.0534809	0.00844347	0.00569662	1	0.00548748	0	0.00164475	0.190997	0.00326469	0.0216029	0.000549748	0.000636948	0.0154317	0.000392701	0.000454986
