Time	[d]	[ad]	[e]	[r]	[rs]	[x]	[ip3]	[kg]	[gstar]	[ro]	[ip3con]	[rscon]	[atp]	[y]	[delta]	[ca]
23	0.719535	0.41	0.643136	0.677196	1.10893	0.30946	0.013	8.82353	0.00135417	4.5661e-10	0.549834	3.4551e-10	1.14152e-08	500	0.0119647	0.0159835
24	0.621232	0.41	0.82488	0.576132	1.08027	0.21186	0.0130001	8.82353	0.00135418	1.40664e-07	0.549841	1.06578e-07	3.5166e-06	500	0.0119647	0.0159835
25	0.511981	0.41	1.01153	0.483273	1.05168	0.187094	0.0130477	8.82353	0.00135926	4.50698e-05	0.552192	3.247e-05	0.00112679	499.999	0.0119647	0.0159835
26	0.427928	0.691109	1.19643	0.40639	1.02468	0.192666	0.937459	8.82353	0.0976726	0.94314	1	0.0071391	414.674	477.221	0.0119647	0.297092
27	0.384914	0.694	1.37515	0.347018	0.994162	0.211793	0.94396	8.82353	0.0983293	0.950261	1	0.762712	477.627	478.184	0.0119647	0.299984
28	0.339783	0.694006	1.54456	0.303754	0.962765	0.238426	0.943973	8.82353	0.0983305	0.950275	1	0.999417	477.761	478.186	0.0119647	0.299989
29	0.299066	0.694006	1.70148	0.274817	0.93386	0.270162	0.943973	8.82353	0.0983305	0.950275	1	0.999998	477.761	478.187	0.0119647	0.299989
30	0.265629	0.694006	1.84265	0.258181	0.909385	0.306259	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
31	0.239824	0.694006	1.96474	0.251829	0.890529	0.346897	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
32	0.220778	0.694006	2.06442	0.254005	0.878052	0.392929	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
33	0.207302	0.694006	2.13822	0.263398	0.872428	0.445955	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
34	0.198368	0.694006	2.18245	0.279235	0.873903	0.508706	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
35	0.193282	0.694006	2.1929	0.301345	0.882553	0.586001	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
36	0.19175	0.694006	2.16413	0.330291	0.898346	0.687153	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.186	0.0119647	0.299989
37	0.193947	0.694006	2.08776	0.367686	0.921265	0.832869	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
38	0.200795	0.694006	1.94763	0.417106	0.951502	1.08027	0.943973	8.82353	0.0983305	0.950275	1	0.999939	477.761	478.187	0.0119647	0.299989
39	0.215005	0.694004	1.70185	0.48676	0.989943	1.65774	0.943968	8.82353	0.09833	0.950269	1	0.881991	477.706	478.188	0.0119647	0.299987
40	0.24447	0.464029	1.17041	0.597195	1.03975	4.78802	0.666486	8.82353	0.0660961	0.612511	1	0.00035281	39.518	493.715	0.0119647	0.0700124
41	0.293838	0.41	0.0181876	0.750313	1.12109	64.1846	0.013	8.82353	0.00135417	4.76873e-11	0.549834	3.03332e-11	1.19218e-09	500	0.0119647	0.0159835
42	0.389255	0.41	0.0248922	0.839798	1.19224	38.7491	0.013	8.82353	0.00135417	7.3704e-17	0.549834	0	1.8426e-15	500	0.0119647	0.0159835
43	0.481878	0.41	0.0400463	0.885321	1.22679	22.4429	0.013	8.82353	0.00135417	-3.04711e-18	0.549834	0	-7.61778e-17	500	0.0119647	0.0159835
44	0.569115	0.41	0.0657709	0.907136	1.23551	12.5597	0.013	8.82353	0.00135417	5.06331e-20	0.549834	0	1.26583e-18	500	0.0119647	0.0159835
45	0.646453	0.41	0.108134	0.912763	1.22867	6.7476	0.013	8.82353	0.00135417	1.78504e-21	0.549834	0	4.46261e-20	500	0.0119647	0.0159835
46	0.706797	0.41	0.174649	0.90311	1.21324	3.44192	0.013	8.82353	0.00135417	-1.34449e-22	0.549834	0	-3.36122e-21	500	0.0119647	0.0159835
47	0.740815	0.41	0.271937	0.873808	1.19319	1.66093	0.013	8.82353	0.00135417	7.67238e-23	0.549834	0	1.91809e-21	500	0.0119647	0.0159835
48	0.739636	0.41	0.401768	0.817964	1.17014	0.77894	0.013	8.82353	0.00135417	2.39183e-15	0.549834	1.66533e-15	5.97959e-14	500	0.0119647	0.0159835
49	0.699718	0.41	0.55903	0.735133	1.14437	0.38679	0.013	8.82353	0.00135417	3.83041e-13	0.549834	2.88436e-13	9.57602e-12	500	0.0119647	0.0159835
50	0.626524	0.41	0.734309	0.637283	1.11635	0.233332	0.013	8.82353	0.00135417	1.03378e-10	0.549834	7.83185e-11	2.58445e-09	500	0.0119647	0.0159835
51	0.5334	0.41	0.918114	0.540499	1.08761	0.185111	0.013	8.82353	0.00135417	3.24561e-08	0.549836	2.45751e-08	8.11403e-07	500	0.0119647	0.0159835
52	0.43631	0.41	1.10299	0.455716	1.06013	0.180733	0.0130085	8.82353	0.00135507	7.99286e-06	0.550253	5.98144e-06	0.000199823	500	0.0119647	0.0159835
53	0.348274	0.410122	1.28353	0.38755	1.03547	0.194585	0.351414	8.82353	0.0416978	0.371966	1	0.000829271	14.8067	493.035	0.0119647	0.0161059
54	0.324884	0.69389	1.45591	0.336257	1.00961	0.216798	0.943705	8.82353	0.0983033	0.94998	1	0.127569	474.802	478.142	0.0119647	0.299873
55	0.299125	0.694005	1.61772	0.299542	0.980438	0.24453	0.943972	8.82353	0.0983304	0.950274	1	0.980398	477.753	478.186	0.0119647	0.299989
56	0.272124	0.694006	1.76635	0.275363	0.952472	0.276795	0.943973	8.82353	0.0983305	0.950275	1	0.999926	477.761	478.187	0.0119647	0.299989
57	0.24795	0.694006	1.89881	0.261967	0.928298	0.313363	0.943973	8.82353	0.0983305	0.950275	1	0.999999	477.761	478.186	0.0119647	0.299989
58	0.2282	0.694006	2.01192	0.257741	0.909426	0.354609	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.186	0.0119647	0.299989
59	0.213067	0.694006	2.1024	0.261314	0.896768	0.401508	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.186	0.0119647	0.299989
60	0.202156	0.694006	2.16682	0.271681	0.890858	0.455795	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
61	0.194976	0.694006	2.20148	0.288299	0.891965	0.520441	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
62	0.191182	0.694006	2.20204	0.311179	0.900171	0.600761	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
63	0.190709	0.694006	2.16279	0.341047	0.915459	0.707231	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
64	0.193915	0.694006	2.07458	0.379742	0.937838	0.863838	0.943973	8.82353	0.0983305	0.950275	1	0.999996	477.761	478.187	0.0119647	0.299989
65	0.201953	0.694006	1.919	0.431285	0.967571	1.13986	0.943973	8.82353	0.0983305	0.950275	1	0.998477	477.761	478.187	0.0119647	0.299989
66	0.218109	0.693958	1.64538	0.505038	1.00572	1.83786	0.943864	8.82353	0.0983187	0.950147	1	0.241447	476.471	478.228	0.0119647	0.299942
67	0.234884	0.41	1.00493	0.624051	1.05693	6.91468	0.0130202	8.82353	0.00135615	1.75295e-05	0.550834	1.13507e-05	0.000438245	500	0.0119647	0.0159835
68	0.301963	0.41	0.0175578	0.770609	1.14163	59.2286	0.013	8.82353	0.00135417	7.74835e-13	0.549834	4.98657e-13	1.93709e-11	500	0.0119647	0.0159835
69	0.397116	0.41	0.0269064	0.850123	1.20521	35.2855	0.013	8.82353	0.00135417	-4.85722e-19	0.549834	0	-1.2143e-17	500	0.0119647	0.0159835
70	0.489158	0.41	0.0435851	0.890754	1.23379	20.2821	0.013	8.82353	0.00135417	2.70959e-19	0.549834	0	6.77396e-18	500	0.0119647	0.0159835
71	0.575249	0.41	0.0717964	0.909581	1.23862	11.2592	0.013	8.82353	0.00135417	3.11103e-17	0.549834	0	7.77758e-16	500	0.0119647	0.0159835
72	0.650488	0.41	0.117954	0.912742	1.22945	5.98946	0.013	8.82353	0.00135417	1.67368e-17	0.549834	0	4.18421e-16	500	0.0119647	0.0159835
73	0.707343	0.41	0.189655	0.900177	1.21267	3.02008	0.013	8.82353	0.00135417	-4.69618e-17	0.549834	0	-1.17404e-15	500	0.0119647	0.0159835
74	0.736325	0.41	0.292926	0.866738	1.19176	1.44324	0.013	8.82353	0.00135417	1.50352e-16	0.549834	0	3.7588e-15	500	0.0119647	0.0159835
75	0.72915	0.41	0.42828	0.805889	1.16804	0.677499	0.013	8.82353	0.00135417	4.11725e-15	0.549834	2.55351e-15	1.02931e-13	500	0.0119647	0.0159835
76	0.683696	0.41	0.589495	0.719379	1.14169	0.344636	0.013	8.82353	0.00135417	6.57894e-13	0.549834	4.92995e-13	1.64474e-11	500	0.0119647	0.0159835
77	0.606979	0.41	0.766861	0.620789	1.11336	0.218171	0.013	8.82353	0.00135417	1.88036e-10	0.549834	1.42469e-10	4.70089e-09	500	0.0119647	0.0159835
78	0.513128	0.41	0.951203	0.525663	1.0847	0.181333	0.0130001	8.82353	0.00135417	5.80816e-08	0.549837	4.39609e-08	1.45204e-06	500	0.0119647	0.0159835
79	0.417816	0.41	1.1355	0.443681	1.05765	0.181633	0.013014	8.82353	0.00135566	1.32254e-05	0.550528	9.83301e-06	0.00033064	500	0.0119647	0.0159835
80	0.334612	0.594859	1.31466	0.378552	1.03357	0.197459	0.806367	8.82353	0.0848106	0.805711	1	0.00121161	103.675	480.038	0.0119647	0.200843
81	0.316475	0.69393	1.48513	0.329992	1.00751	0.220668	0.943798	8.82353	0.0983127	0.950082	1	0.182191	475.82	478.157	0.0119647	0.299913
82	0.292056	0.694005	1.64463	0.29557	0.978518	0.249079	0.943972	8.82353	0.0983304	0.950274	1	0.986567	477.755	478.186	0.0119647	0.299989
83	0.266491	0.694006	1.79051	0.273286	0.951008	0.281925	0.943973	8.82353	0.0983305	0.950275	1	0.999944	477.761	478.187	0.0119647	0.299989
84	0.243641	0.694006	1.91978	0.261432	0.927465	0.319096	0.943973	8.82353	0.0983305	0.950275	1	0.999999	477.761	478.187	0.0119647	0.299989
85	0.225009	0.694006	2.02928	0.258457	0.909338	0.361057	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
86	0.210777	0.694006	2.1157	0.263066	0.897498	0.408872	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
87	0.200591	0.694006	2.17559	0.274337	0.892443	0.464415	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
88	0.194012	0.694006	2.20519	0.291813	0.894416	0.530902	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
89	0.190757	0.694006	2.20004	0.315602	0.903481	0.614147	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
90	0.190823	0.694006	2.1541	0.346557	0.919618	0.725825	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
91	0.194658	0.694006	2.05741	0.386739	0.942857	0.893399	0.943973	8.82353	0.0983305	0.950275	1	0.999989	477.761	478.187	0.0119647	0.299989
92	0.2036	0.694005	1.88915	0.44065	0.973526	1.19977	0.943972	8.82353	0.0983305	0.950274	1	0.995007	477.759	478.187	0.0119647	0.299989
93	0.221531	0.693807	1.58862	0.51895	1.0129	2.04097	0.943515	8.82353	0.0982809	0.949736	1	0.0704497	472.377	478.364	0.0119647	0.29979
94	0.235802	0.41	0.813019	0.646871	1.06739	10.7819	0.0130025	8.82353	0.00135441	2.13984e-06	0.549957	1.40193e-06	5.34962e-05	500	0.0119647	0.0159835
95	0.314964	0.41	0.0183912	0.78574	1.15387	55.1075	0.013	8.82353	0.00135417	6.65362e-14	0.549834	4.31877e-14	1.6634e-12	500	0.0119647	0.0159835
96	0.409795	0.41	0.0287967	0.857838	1.21174	32.6258	0.013	8.82353	0.00135417	3.73027e-18	0.549834	0	9.32566e-17	500	0.0119647	0.0159835
97	0.501204	0.41	0.0468281	0.894631	1.2361	18.659	0.013	8.82353	0.00135417	1.87763e-19	0.549834	0	4.69406e-18	500	0.0119647	0.0159835
98	0.586105	0.41	0.0772102	0.910992	1.23833	10.2992	0.013	8.82353	0.00135417	-8.96062e-21	0.549834	0	-2.24015e-19	500	0.0119647	0.0159835
99	0.659239	0.41	0.126614	0.912017	1.22769	5.43884	0.013	8.82353	0.00135417	2.25962e-22	0.549834	0	5.64904e-21	500	0.0119647	0.0159835
100	0.712703	0.41	0.202634	0.896855	1.21012	2.71926	0.013	8.82353	0.00135417	-2.36318e-21	0.549834	0	-5.90796e-20	500	0.0119647	0.0159835
