Time	[Aux/IAA]	[ARF]	[Aux/IAA:Aux/IAA]	[Aux/IAA:ARF]	[mRNA]	[auxin]
85	57.4219	13.5487	326.714	76.9775	42.3723	0.238297
86	57.2224	13.6999	324.399	77.5536	42.8531	0.243721
87	57.0175	13.8529	322.03	78.1258	43.3429	0.249198
88	56.8079	14.0074	319.616	78.6942	43.8421	0.254729
89	56.5944	14.1635	317.168	79.2589	44.3506	0.260312
90	56.378	14.3209	314.696	79.8202	44.8688	0.265948
91	56.1594	14.4795	312.209	80.3781	45.3968	0.271636
92	55.9395	14.6392	309.716	80.9327	45.9346	0.277375
93	55.7189	14.7998	307.226	81.4843	46.4825	0.283166
94	55.4984	14.9612	304.746	82.0331	47.0405	0.289008
95	55.2787	15.1231	302.286	82.5791	47.6088	0.294901
96	55.0606	15.2855	299.851	83.1225	48.1873	0.300843
97	54.8446	15.4482	297.45	83.6636	48.7761	0.306836
98	54.6314	15.6109	295.089	84.2024	49.3753	0.312878
99	54.4217	15.7737	292.773	84.7392	49.9849	0.31897
100	54.2159	15.9362	290.509	85.2741	50.6048	0.32511
