Time	[CC]	[CCPT]	[clkp]	[perp]	[clkm]	[perm]	[PT]	[vrip]	[vrim]	[VRI]	[pdpp]	[pdpm]	[PDP]	[CLK]	[PER]	[timp]	[timm]	[TIM]	[CYC]	[CCbindingPer]	[CCbindingvri]	[CCbindingpdp]	[VRIbindingclkp]	[PDPbindingclkp]	[CCbindingtim]
31	1.31628	0.598309	0.003185	0.003185	0.24755	0.311503	0.204697	0.003185	0.378981	4.31105	0.003185	0.35587	4.06194	4.02482	2.99	0.003185	0.311497	2.98965	1	0.350215	0.430964	0.42882	0.549556	0.376843	0.350215
32	0.446618	0.573465	0.003185	0.003185	0.239517	0.324884	0.574882	0.003185	0.398596	4.57374	0.003185	0.36433	4.09904	3.59697	3.17931	0.003185	0.324879	3.17898	1	0.30317	0.370001	0.399105	0.564638	0.364451	0.30317
33	0.145419	0.51657	0.003185	0.003185	0.232025	0.335299	1.59375	0.003185	0.413129	4.7921	0.003185	0.371717	4.14453	3.31214	3.57659	0.003185	0.335294	3.57628	1	0.244255	0.295215	0.354272	0.576732	0.354539	0.244255
34	0.0779732	0.492214	0.003185	0.003185	0.225622	0.342091	2.83628	0.003185	0.421597	4.94857	0.003185	0.377749	4.19506	3.16835	4.01466	0.003185	0.342086	4.01437	1	0.19287	0.230679	0.310464	0.58535	0.347509	0.19287
35	0.0536903	0.478048	0.003185	0.003185	0.220674	0.345222	4.00251	0.003185	0.424099	5.03554	0.003185	0.382252	4.2474	3.07781	4.38148	0.003185	0.345218	4.3812	1	0.151614	0.179464	0.271171	0.590335	0.343513	0.151614
36	0.0423428	0.468697	0.003185	0.003185	0.217373	0.344982	4.97771	0.003185	0.421294	5.05473	0.003185	0.385117	4.29854	3.0178	4.65961	0.003185	0.344978	4.65934	1	0.119144	0.139644	0.236603	0.591852	0.342431	0.119144
37	0.0365456	0.463293	0.003185	0.003185	0.215752	0.341829	5.70281	0.003185	0.414089	5.01366	0.003185	0.386296	4.34575	2.98376	4.84898	0.003185	0.341825	4.84873	1	0.0937999	0.108951	0.206422	0.590277	0.343951	0.0937999
38	0.0337684	0.461501	0.003185	0.003185	0.215718	0.336284	6.14994	0.003185	0.403447	4.92256	0.003185	0.385801	4.38669	2.97348	4.95357	0.003185	0.33628	4.95333	1	0.0741222	0.0854291	0.180187	0.586078	0.347672	0.0741222
39	0.0329976	0.462945	0.003185	0.003185	0.217099	0.328866	6.31507	0.003185	0.390278	4.79238	0.003185	0.383695	4.41942	2.98441	4.97894	0.003185	0.328863	4.97871	1	0.0589216	0.0675081	0.157461	0.579736	0.353171	0.0589216
40	0.0338558	0.467168	0.003185	0.003185	0.219683	0.320056	6.21259	0.003185	0.375385	4.63351	0.003185	0.380086	4.44242	3.01362	4.93139	0.003185	0.320053	4.93117	1	0.0472568	0.0539625	0.137846	0.571709	0.360042	0.0472568
41	0.0363354	0.473667	0.003185	0.003185	0.223243	0.310275	5.87021	0.003185	0.359445	4.45515	0.003185	0.375115	4.45462	3.05802	4.81747	0.003185	0.310271	4.81726	1	0.0383995	0.0438588	0.120999	0.562409	0.367911	0.0383995
42	0.0407633	0.481923	0.003185	0.003185	0.227556	0.299883	5.32443	0.003185	0.343017	4.26514	0.003185	0.368952	4.45536	3.11457	4.64366	0.003185	0.29988	4.64347	1	0.0318023	0.0365083	0.106633	0.552204	0.376448	0.0318023
