Time	[MAPKKK activator (Ras)]	[MAPKKK inactivator]	[Mos]	[Mos-P]	[Mek1]	[Mek1-P]	[Mek1-PP]	[Erk2]	[Erk2-P]	[Erk2-PP]	[MAPK-Pase]	[MAPKK-Pase]	[E1_Mos]	[E2_Mos-P]	[P-Mos_Mek1]	[P-Mos_P-Mek1]	[PP-Mek1_Erk2]	[PP-Mek1_P-Erk2]	[MAPKK-Pase_PP-Mek1]	[MAPKK-Pase_P-Mek1]	[MAPK-Pase_PP-Erk2]	[MAPK-Pase_P-Erk2]	[K_PP_norm]	[KK_PP_norm]	[KKK_P_norm]	[relative maximal K_PP]
30	2.97722e-05	0.000299821	0.00229583	0.000178701	0.501633	0.379835	0.225351	0.0134818	0.109601	0.892117	0.0276558	9.94303e-05	2.27842e-07	1.78577e-07	0.00029883	0.000226228	0.0101302	0.0823257	7.4671e-05	0.000125899	0.0822374	0.0101068	0.811962	0.264901	0.234618	0.902131
31	2.97728e-05	0.000299816	0.0022889	0.000184038	0.47601	0.382491	0.248285	0.0112029	0.100545	0.903377	0.027609	9.66963e-05	2.27159e-07	1.83908e-07	0.000292037	0.000234616	0.00927437	0.0832096	8.00097e-05	0.000123294	0.0831352	0.00925576	0.822094	0.28404	0.23693	0.913388
32	2.97734e-05	0.000299811	0.00228286	0.000189425	0.45104	0.384071	0.271651	0.00942879	0.0927306	0.912908	0.0275727	9.41722e-05	2.26564e-07	1.89287e-07	0.000284818	0.000242483	0.00854006	0.0839655	8.52559e-05	0.000120572	0.0839022	0.00852505	0.830675	0.303535	0.238942	0.922922
33	2.97739e-05	0.000299805	0.00227771	0.000194859	0.426765	0.384597	0.29538	0.00802663	0.0859431	0.921052	0.0275441	9.18411e-05	2.26057e-07	1.94714e-07	0.000277223	0.000249784	0.00790499	0.0846175	9.04098e-05	0.000117749	0.0845632	0.00789272	0.838013	0.323327	0.240656	0.931074
34	2.97744e-05	0.0002998	0.00227346	0.000200338	0.403225	0.384106	0.319397	0.0069039	0.0800124	0.928069	0.0275212	8.96879e-05	2.25637e-07	2.00186e-07	0.000269299	0.000256482	0.00735201	0.085184	9.54702e-05	0.000114842	0.0851369	0.00734185	0.844338	0.343357	0.242074	0.938103
35	2.97747e-05	0.000299794	0.00227008	0.000205857	0.380455	0.38264	0.343622	0.00599451	0.0748036	0.934158	0.0275027	8.76987e-05	2.25304e-07	2.05697e-07	0.000261092	0.000262544	0.00686767	0.0856791	0.000100434	0.000111867	0.0856381	0.00685918	0.84983	0.363558	0.243199	0.944204
36	2.97749e-05	0.000299789	0.00226757	0.000211405	0.358484	0.380254	0.367972	0.00525039	0.0702081	0.939474	0.0274876	8.5861e-05	2.25057e-07	2.11238e-07	0.000252646	0.000267942	0.00644134	0.0861141	0.000105299	0.00010884	0.0860782	0.00643417	0.854627	0.383861	0.244033	0.949533
37	2.97751e-05	0.000299783	0.00226593	0.000216972	0.337338	0.377006	0.392361	0.00463596	0.0661377	0.944139	0.0274751	8.41635e-05	2.24895e-07	2.16797e-07	0.000244006	0.000272652	0.0060644	0.0864982	0.000110059	0.000105777	0.0864666	0.00605831	0.858838	0.404194	0.244579	0.954212
38	2.97752e-05	0.000299778	0.00226514	0.000222544	0.317039	0.372965	0.416698	0.00412446	0.0625198	0.948252	0.0274647	8.25957e-05	2.24816e-07	2.2236e-07	0.000235213	0.000276658	0.0057299	0.0868385	0.00011471	0.000102695	0.0868106	0.00572468	0.862552	0.424484	0.244842	0.958339
39	2.97752e-05	0.000299772	0.00226519	0.000228102	0.297605	0.368201	0.440895	0.00369552	0.0592944	0.951893	0.027456	8.11484e-05	2.24821e-07	2.2791e-07	0.000226311	0.000279948	0.00543207	0.0871412	0.000119245	9.96067e-05	0.0871164	0.00542757	0.865841	0.444656	0.244824	0.961993
40	2.97751e-05	0.000299767	0.00226606	0.000233625	0.27905	0.362792	0.464861	0.00333345	0.0564116	0.955126	0.0274487	7.98129e-05	2.24907e-07	2.33425e-07	0.00021734	0.000282517	0.00516615	0.0874111	0.000123659	9.65284e-05	0.0873891	0.00516225	0.868763	0.464635	0.244532	0.96524
41	2.97749e-05	0.000299761	0.00226774	0.000239091	0.261382	0.356816	0.488507	0.003026	0.0538292	0.958007	0.0274425	7.85815e-05	2.25071e-07	2.38882e-07	0.000208344	0.000284366	0.00492816	0.0876524	0.000127945	9.34739e-05	0.0876328	0.00492477	0.871366	0.484346	0.243971	0.968132
42	2.97747e-05	0.000299756	0.00227019	0.000244471	0.244608	0.350357	0.511744	0.00276353	0.0515117	0.960579	0.0274371	7.74469e-05	2.25313e-07	2.44254e-07	0.000199362	0.000285504	0.00471475	0.0878687	0.000132096	9.04567e-05	0.0878511	0.00471178	0.873691	0.503717	0.24315	0.970715
43	2.97744e-05	0.00029975	0.00227341	0.000249736	0.228728	0.343498	0.534488	0.00253838	0.0494286	0.96288	0.0274326	7.64024e-05	2.2563e-07	2.49511e-07	0.000190436	0.000285946	0.00452305	0.0880627	0.000136108	8.749e-05	0.088047	0.00452045	0.875772	0.522675	0.242078	0.973027
44	2.9774e-05	0.000299745	0.00227735	0.000254855	0.21374	0.336323	0.556657	0.0023444	0.047554	0.964942	0.0274286	7.54421e-05	2.26017e-07	2.54622e-07	0.000181605	0.000285713	0.00435065	0.0882371	0.000139972	8.45859e-05	0.088223	0.00434835	0.877638	0.541154	0.240763	0.9751
45	2.97735e-05	0.00029974	0.00228198	0.000259793	0.199637	0.328915	0.578175	0.00217665	0.0458656	0.966793	0.0274252	7.45602e-05	2.26473e-07	2.59552e-07	0.00017291	0.000284837	0.00419543	0.088394	0.000143684	8.17559e-05	0.0883813	0.00419341	0.879312	0.55909	0.239218	0.976961
46	2.9773e-05	0.000299736	0.00228725	0.000264515	0.186407	0.321358	0.59897	0.00203107	0.044344	0.968456	0.0274223	7.37513e-05	2.26993e-07	2.64267e-07	0.000164386	0.000283352	0.00405561	0.0885353	0.000147238	7.90108e-05	0.0885239	0.00405382	0.880817	0.576424	0.237457	0.978632
47	2.97724e-05	0.000299731	0.00229314	0.000268987	0.174036	0.313728	0.618979	0.00190436	0.0429721	0.969951	0.0274197	7.30106e-05	2.27573e-07	2.68732e-07	0.000156072	0.000281304	0.0039296	0.0886625	0.000150629	7.63603e-05	0.0886523	0.00392801	0.882169	0.593102	0.235493	0.980135
48	2.97718e-05	0.000299727	0.00229958	0.000273175	0.162503	0.306103	0.638146	0.00179379	0.0417353	0.971295	0.0274175	7.23333e-05	2.28207e-07	2.72913e-07	0.000147999	0.000278741	0.00381602	0.0887771	0.000153854	7.38131e-05	0.0887679	0.00381462	0.883386	0.609078	0.233344	0.981487
49	2.97711e-05	0.000299723	0.00230653	0.000277045	0.151788	0.298551	0.656423	0.00169709	0.0406205	0.972504	0.0274155	7.17151e-05	2.28891e-07	2.76777e-07	0.000140199	0.000275718	0.00371368	0.0888803	0.000156908	7.13767e-05	0.088872	0.00371243	0.88448	0.624312	0.231026	0.982702
50	2.97704e-05	0.00029972	0.00231393	0.000280569	0.141863	0.291138	0.67377	0.00161236	0.039616	0.973591	0.0274138	7.11518e-05	2.29619e-07	2.80296e-07	0.000132699	0.000272293	0.00362149	0.0889733	0.000159791	6.90576e-05	0.0889658	0.00362037	0.885464	0.638771	0.228559	0.983795
51	2.97696e-05	0.000299717	0.00232171	0.000283721	0.1327	0.283923	0.690159	0.00153801	0.0387116	0.974567	0.0274123	7.06395e-05	2.30386e-07	2.83443e-07	0.000125522	0.000268529	0.0035385	0.0890569	0.000162499	6.6861e-05	0.0890502	0.00353751	0.886348	0.65243	0.225963	0.984777
52	2.97688e-05	0.000299714	0.00232982	0.000286481	0.124268	0.276956	0.705568	0.0014727	0.0378981	0.975444	0.027411	7.01745e-05	2.31184e-07	2.86199e-07	0.00011869	0.000264489	0.00346386	0.0891321	0.000165035	6.47908e-05	0.089126	0.00346298	0.887142	0.665274	0.223258	0.98566
53	2.9768e-05	0.000299711	0.00233819	0.000288833	0.116532	0.270282	0.719987	0.00141528	0.0371672	0.976231	0.0274098	6.97532e-05	2.32008e-07	2.88548e-07	0.000112215	0.000260236	0.00339682	0.0891995	0.000167397	6.28497e-05	0.0891941	0.00339604	0.887854	0.677292	0.220466	0.986451
54	2.97671e-05	0.00029971	0.00234676	0.000290771	0.109458	0.263937	0.733415	0.00136477	0.0365115	0.976936	0.0274088	6.93723e-05	2.32852e-07	2.90484e-07	0.000106111	0.000255833	0.00333667	0.0892601	0.000169589	6.1039e-05	0.0892552	0.00333598	0.888493	0.688484	0.217609	0.98716
55	2.97663e-05	0.000299708	0.00235546	0.000292292	0.10301	0.257951	0.745859	0.00132034	0.0359241	0.977566	0.0274079	6.90287e-05	2.33708e-07	2.92003e-07	0.000100382	0.000251339	0.0032828	0.0893142	0.000171612	5.93588e-05	0.0893099	0.00328218	0.889064	0.698856	0.214709	0.987795
56	2.97654e-05	0.000299707	0.00236423	0.000293403	0.0971501	0.252345	0.757335	0.00128126	0.0353989	0.97813	0.0274071	6.87193e-05	2.34571e-07	2.93113e-07	9.50309e-05	0.00024681	0.00323464	0.0893627	0.000173473	5.78081e-05	0.0893588	0.00323409	0.889574	0.708421	0.211785	0.988361
57	2.97646e-05	0.000299706	0.002373	0.000294114	0.0918412	0.247132	0.767865	0.00124691	0.0349303	0.978632	0.0274064	6.84414e-05	2.35435e-07	2.93825e-07	9.00554e-05	0.000242299	0.00319167	0.0894058	0.000175174	5.63848e-05	0.0894024	0.00319118	0.890028	0.717198	0.20886	0.988867
58	2.97637e-05	0.000299706	0.00238172	0.000294446	0.0870463	0.242321	0.77748	0.00121674	0.0345132	0.979078	0.0274058	6.81923e-05	2.36294e-07	2.94156e-07	8.54494e-05	0.00023785	0.00315342	0.0894443	0.000176722	5.50856e-05	0.0894412	0.00315299	0.890433	0.725212	0.205951	0.989316
59	2.97629e-05	0.000299706	0.00239034	0.00029442	0.0827289	0.237914	0.786213	0.00119027	0.0341428	0.979474	0.0274052	6.79695e-05	2.37142e-07	2.94132e-07	8.12037e-05	0.000233503	0.00311946	0.0894784	0.000178124	5.39067e-05	0.0894757	0.00311908	0.890792	0.732491	0.203078	0.989715
60	2.9762e-05	0.000299706	0.0023988	0.000294065	0.0788537	0.233905	0.794104	0.00116709	0.0338149	0.979825	0.0274048	6.77707e-05	2.37975e-07	2.93779e-07	7.73062e-05	0.000229292	0.0030894	0.0895085	0.000179386	5.28432e-05	0.0895062	0.00308906	0.891109	0.739068	0.200257	0.990067
61	2.97612e-05	0.000299707	0.00240707	0.000293413	0.0753863	0.230288	0.801197	0.00114683	0.0335256	0.980134	0.0274044	6.75939e-05	2.38788e-07	2.93129e-07	7.37425e-05	0.000225245	0.00306286	0.0895352	0.000180516	5.18898e-05	0.0895331	0.00306257	0.891389	0.744979	0.197502	0.990378
62	2.97604e-05	0.000299708	0.00241509	0.000292497	0.072294	0.227048	0.807536	0.00112916	0.0332711	0.980406	0.027404	6.74369e-05	2.39578e-07	2.92215e-07	7.04962e-05	0.000221382	0.00303953	0.0895586	0.000181522	5.10406e-05	0.0895567	0.00303928	0.891635	0.750263	0.194826	0.990652
63	2.97597e-05	0.000299709	0.00242285	0.000291352	0.0695457	0.22417	0.813168	0.0011138	0.0330482	0.980644	0.0274037	6.7298e-05	2.40341e-07	2.91073e-07	6.75502e-05	0.000217719	0.00301909	0.089579	0.000182412	5.02896e-05	0.0895774	0.00301887	0.891851	0.754957	0.192241	0.990891
64	2.97589e-05	0.00029971	0.0024303	0.000290012	0.067112	0.221636	0.818142	0.0011005	0.0328538	0.980851	0.0274034	6.71754e-05	2.41075e-07	2.89737e-07	6.4886e-05	0.000214268	0.00300127	0.0895969	0.000183194	4.96303e-05	0.0895955	0.00300108	0.892039	0.759103	0.189756	0.9911
65	2.97582e-05	0.000299712	0.00243744	0.000288513	0.0649652	0.219426	0.822505	0.00108903	0.0326852	0.981031	0.0274032	6.70676e-05	2.41777e-07	2.88241e-07	6.24852e-05	0.000211034	0.00298581	0.0896124	0.000183876	4.90563e-05	0.0896112	0.00298564	0.892202	0.762739	0.187377	0.991281
66	2.97576e-05	0.000299713	0.00244424	0.000286887	0.0630795	0.217517	0.826304	0.00107918	0.0325398	0.981186	0.027403	6.69733e-05	2.42446e-07	2.86618e-07	6.03291e-05	0.000208019	0.00297247	0.0896257	0.000184466	4.8561e-05	0.0896247	0.00297233	0.892342	0.765905	0.185111	0.991437
67	2.97569e-05	0.000299715	0.00245069	0.000285165	0.0614311	0.215889	0.829585	0.00107078	0.0324152	0.981319	0.0274028	6.6891e-05	2.43081e-07	2.849e-07	5.83994e-05	0.000205222	0.00296105	0.0896371	0.000184971	4.81381e-05	0.0896363	0.00296093	0.892462	0.76864	0.182961	0.991571
68	2.97563e-05	0.000299717	0.00245678	0.000283376	0.0599977	0.214519	0.832393	0.00106367	0.0323093	0.981431	0.0274027	6.68196e-05	2.4368e-07	2.83114e-07	5.66784e-05	0.00020264	0.00295134	0.0896468	0.000185399	4.77813e-05	0.0896461	0.00295124	0.892565	0.77098	0.18093	0.991684
69	2.97558e-05	0.000299719	0.00246251	0.000281546	0.0587587	0.213384	0.83477	0.00105771	0.0322203	0.981526	0.0274025	6.6758e-05	2.44245e-07	2.81288e-07	5.5149e-05	0.000200266	0.00294317	0.089655	0.000185757	4.74846e-05	0.0896544	0.00294308	0.892651	0.772962	0.179018	0.99178
70	2.97552e-05	0.000299721	0.00246789	0.000279697	0.0576952	0.212464	0.836758	0.00105276	0.0321462	0.981605	0.0274024	6.67052e-05	2.44774e-07	2.79443e-07	5.37949e-05	0.000198092	0.00293637	0.0896618	0.000186053	4.72422e-05	0.0896613	0.0029363	0.892722	0.774618	0.177226	0.99186
71	2.97547e-05	0.000299722	0.00247292	0.000277851	0.0567898	0.211736	0.838394	0.00104871	0.0320854	0.98167	0.0274024	6.66603e-05	2.45268e-07	2.776e-07	5.26008e-05	0.00019611	0.00293079	0.0896673	0.000186291	4.70486e-05	0.0896669	0.00293074	0.892781	0.775982	0.175551	0.991925
72	2.97543e-05	0.000299724	0.00247759	0.000276024	0.0560266	0.211182	0.839715	0.00104546	0.0320365	0.981722	0.0274023	6.66225e-05	2.45728e-07	2.75776e-07	5.15523e-05	0.00019431	0.00292631	0.0896718	0.000186479	4.68985e-05	0.0896714	0.00292626	0.892828	0.777083	0.173992	0.991977
73	2.97538e-05	0.000299726	0.00248193	0.000274231	0.055391	0.210781	0.840754	0.00104291	0.0319982	0.981763	0.0274022	6.6591e-05	2.46155e-07	2.73987e-07	5.0636e-05	0.000192681	0.00292278	0.0896753	0.000186622	4.67873e-05	0.089675	0.00292275	0.892865	0.777949	0.172546	0.992018
74	2.97534e-05	0.000299728	0.00248594	0.000272484	0.0548695	0.210516	0.841542	0.00104098	0.0319691	0.981794	0.0274022	6.65652e-05	2.4655e-07	2.72243e-07	4.98394e-05	0.000191212	0.00292012	0.0896779	0.000186724	4.67103e-05	0.0896777	0.00292009	0.892893	0.778606	0.171208	0.992049
75	2.97531e-05	0.000299729	0.00248964	0.000270794	0.0544498	0.210371	0.842109	0.0010396	0.0319483	0.981816	0.0274022	6.65444e-05	2.46914e-07	2.70555e-07	4.9151e-05	0.000189894	0.0029182	0.0896798	0.000186792	4.66634e-05	0.0896797	0.00291818	0.892913	0.779078	0.169976	0.992072
76	2.97528e-05	0.000299731	0.00249304	0.000269167	0.0541208	0.210329	0.842481	0.00103869	0.0319346	0.981831	0.0274022	6.65282e-05	2.47248e-07	2.68931e-07	4.85603e-05	0.000188716	0.00291694	0.089681	0.000186829	4.66428e-05	0.0896809	0.00291693	0.892927	0.779388	0.168843	0.992087
77	2.97524e-05	0.000299733	0.00249615	0.000267609	0.0538724	0.210378	0.842683	0.0010382	0.0319272	0.981839	0.0274021	6.65159e-05	2.47554e-07	2.67376e-07	4.80573e-05	0.000187666	0.00291625	0.0896817	0.000186839	4.66448e-05	0.0896816	0.00291625	0.892934	0.779556	0.167806	0.992095
78	2.97522e-05	0.000299734	0.00249899	0.000266125	0.053695	0.210503	0.842737	0.00103807	0.0319252	0.981841	0.0274021	6.65071e-05	2.47834e-07	2.65894e-07	4.76332e-05	0.000186736	0.00291606	0.0896818	0.000186827	4.66663e-05	0.0896818	0.00291606	0.892936	0.779601	0.16686	0.992097
79	2.97519e-05	0.000299736	0.00250157	0.000264717	0.0535803	0.210693	0.842663	0.00103825	0.0319279	0.981838	0.0274021	6.65014e-05	2.48088e-07	2.64488e-07	4.72798e-05	0.000185916	0.0029163	0.0896815	0.000186794	4.67044e-05	0.0896816	0.00291631	0.892933	0.779539	0.165999	0.992094
80	2.97517e-05	0.000299737	0.00250392	0.000263387	0.0535205	0.210937	0.842479	0.00103869	0.0319346	0.981831	0.0274021	6.64984e-05	2.48318e-07	2.6316e-07	4.69896e-05	0.000185196	0.00291691	0.0896809	0.000186745	4.67564e-05	0.0896809	0.00291692	0.892927	0.779386	0.165219	0.992087
81	2.97515e-05	0.000299738	0.00250603	0.000262135	0.0535086	0.211226	0.842203	0.00103936	0.0319447	0.98182	0.0274022	6.64978e-05	2.48526e-07	2.6191e-07	4.67556e-05	0.000184567	0.00291783	0.0896799	0.000186682	4.68199e-05	0.08968	0.00291785	0.892917	0.779156	0.164514	0.992076
