Time	[PII]	[UTP]	[PIIUMP]	[PPi]	[GLN]	[PIIUMP2]	[PIIUMP3]	[UMP]	[GS]	[AMP]	[NH4]	[KG]	[NADPH]	[GLU]	[NADP]	[AZGLU]	[ATP]	[ADP]	[AZglu]	[AZGLN]	[AZgln]	[P_i]
46	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
47	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
48	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
49	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
50	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
51	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
52	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
53	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
54	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
55	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
56	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
57	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
58	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
59	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
