Time	[sumrc1]	[r]	[c1]	[c2]	[ePI3K]	[m3PI]	[eGEF]	[mRas]	[x1]	[x2]	[y]	[yp]	[ypp]	[z]	[zp]	[zpp]	[fGEF]	[w]	[eph]
47	0.249548	0.149729	0.0998192	0.0160754	0.851525	0.855298	0.246992	0.265331	0.274674	1.04902	0.600917	0.265968	0.133115	0.127136	0.160152	0.712712	0.267055	0.596255	4.23834
48	0.247597	0.148558	0.0990386	0.0157477	0.847854	0.851558	0.246813	0.26514	0.27447	1.04834	0.601136	0.265874	0.13299	0.128058	0.160556	0.711386	0.267161	0.600047	4.25202
49	0.245741	0.147444	0.0982963	0.0154405	0.844255	0.847889	0.246639	0.264953	0.27427	1.04767	0.601351	0.265781	0.132867	0.128941	0.16094	0.710119	0.267263	0.603672	4.26493
50	0.243975	0.146385	0.0975901	0.0151522	0.840732	0.844292	0.246469	0.26477	0.274076	1.04702	0.601563	0.26569	0.132746	0.129786	0.161305	0.708909	0.267361	0.607138	4.27712
51	0.242295	0.145377	0.096918	0.0148814	0.837286	0.84077	0.246304	0.264593	0.273886	1.04637	0.601772	0.265601	0.132627	0.130595	0.161652	0.707753	0.267454	0.610452	4.28865
52	0.240696	0.144417	0.0962783	0.0146268	0.83392	0.837325	0.246144	0.26442	0.273701	1.04572	0.601977	0.265513	0.132509	0.131369	0.161983	0.706648	0.267544	0.613621	4.29955
53	0.239173	0.143504	0.0956692	0.0143872	0.830635	0.83396	0.245988	0.264252	0.273521	1.04509	0.602178	0.265428	0.132394	0.132111	0.162299	0.705591	0.26763	0.61665	4.30987
54	0.237722	0.142633	0.095089	0.0141617	0.827431	0.830675	0.245837	0.264089	0.273346	1.04447	0.602376	0.265344	0.132281	0.132821	0.162599	0.704579	0.267712	0.619546	4.31963
55	0.236341	0.141804	0.0945363	0.0139491	0.82431	0.827472	0.24569	0.263931	0.273176	1.04387	0.602569	0.265261	0.13217	0.133503	0.162886	0.703611	0.267791	0.622315	4.32888
56	0.235024	0.141014	0.0940096	0.0137487	0.821271	0.824351	0.245548	0.263777	0.273011	1.04327	0.602758	0.265181	0.132061	0.134155	0.16316	0.702685	0.267867	0.624962	4.33764
57	0.233769	0.140261	0.0935076	0.0135596	0.818316	0.821313	0.24541	0.263628	0.272851	1.04268	0.602943	0.265102	0.131955	0.134781	0.163421	0.701798	0.26794	0.627493	4.34594
58	0.232573	0.139544	0.093029	0.013381	0.815443	0.818357	0.245276	0.263484	0.272695	1.04211	0.603123	0.265026	0.131851	0.135382	0.16367	0.700948	0.26801	0.629913	4.35382
59	0.231432	0.138859	0.0925727	0.0132123	0.812653	0.815485	0.245147	0.263344	0.272544	1.04155	0.603299	0.264951	0.13175	0.135957	0.163908	0.700134	0.268077	0.632226	4.36128
60	0.230344	0.138206	0.0921374	0.0130527	0.809945	0.812694	0.245022	0.263208	0.272398	1.041	0.603471	0.264878	0.131651	0.136509	0.164136	0.699355	0.268142	0.634437	4.36837
61	0.229306	0.137583	0.0917223	0.0129018	0.807319	0.809986	0.2449	0.263077	0.272257	1.04047	0.603638	0.264807	0.131555	0.137039	0.164353	0.698608	0.268204	0.636551	4.37509
62	0.228315	0.136989	0.0913262	0.012759	0.804772	0.807359	0.244783	0.26295	0.27212	1.03994	0.603801	0.264738	0.131461	0.137547	0.164561	0.697892	0.268263	0.638571	4.38147
63	0.22737	0.136422	0.0909482	0.0126237	0.802305	0.804812	0.24467	0.262827	0.271987	1.03943	0.60396	0.264671	0.131369	0.138035	0.164759	0.697206	0.26832	0.640503	4.38754
64	0.226469	0.135881	0.0905874	0.0124956	0.799917	0.802345	0.24456	0.262708	0.271859	1.03894	0.604114	0.264606	0.13128	0.138502	0.164949	0.696549	0.268375	0.642349	4.3933
