Time	[Dshi]	[Dsha]	[APC_ast/Axin_ast/GSK3beta]	[APC/Axin/GSK3beta]	[GSK3beta]	[APC/Axin]	[APC]	[bCatenin/APC_Ast/Axin_ast/GSK3beta]	[bCatenin_ast/APC_ast/Axin_ast/GSK3beta]	[bCatenin_ast]	[bCatenin]	[Axin]	[TCF]	[bCatenin/TCF]	[bCatenin/APC]	[Rasi]	[Rasa]	[Raf-1]	[Raf-1_ast]	[MEK]	[MEK_ast]	[ERK]	[ERK_ast]	[Raf1/RKIP]	[RKIP]	[RKIP_ast]	[unknown molecule X]	[GSK3beta]
29	100	0	0.0152574	0.00760024	49.1383	0.00154671	96.6018	0.00199952	0.00199952	0.987766	42.7231	0.000800562	6.18785	8.81215	3.43928	200	0	112.559	6.48597	296.114	3.88634	297.89	2.11029	180.96	418.179	0.861876	10.263	49.1383
30	100	0	0.0152574	0.00760025	49.1383	0.00154672	96.6018	0.00199953	0.00199953	0.987769	42.7232	0.000800563	6.18784	8.81216	3.43928	200	0	112.559	6.48597	296.114	3.88634	297.89	2.11029	180.96	418.179	0.861876	10.263	49.1383
31	100	0	0.0152574	0.00760026	49.1383	0.00154672	96.6018	0.00199954	0.00199954	0.987772	42.7233	0.000800564	6.18784	8.81216	3.43929	200	0	112.559	6.48598	296.114	3.88634	297.89	2.11029	180.96	418.179	0.861876	10.263	49.1383
32	100	0	0.0152575	0.00760027	49.1383	0.00154672	96.6018	0.00199954	0.00199954	0.987776	42.7234	0.000800565	6.18783	8.81217	3.4393	200	0	112.559	6.48598	296.114	3.88635	297.89	2.11029	180.96	418.179	0.861876	10.263	49.1383
33	100	0	0.0152575	0.00760028	49.1383	0.00154672	96.6018	0.00199955	0.00199955	0.987779	42.7235	0.000800566	6.18782	8.81218	3.43931	200	0	112.558	6.48598	296.114	3.88635	297.89	2.11029	180.96	418.179	0.861877	10.263	49.1383
34	100	0	0.0152575	0.00760029	49.1383	0.00154672	96.6018	0.00199956	0.00199956	0.987782	42.7236	0.000800567	6.18781	8.81219	3.43931	200	0	112.558	6.48598	296.114	3.88635	297.89	2.11029	180.96	418.179	0.861877	10.263	49.1383
35	100	0	0.0152575	0.00760029	49.1383	0.00154672	96.6018	0.00199956	0.00199956	0.987785	42.7237	0.000800568	6.1878	8.8122	3.43932	200	0	112.558	6.48598	296.114	3.88635	297.89	2.11029	180.96	418.179	0.861878	10.263	49.1383
36	100	0	0.0152575	0.0076003	49.1383	0.00154673	96.6018	0.00199957	0.00199957	0.987789	42.7238	0.000800569	6.18779	8.81221	3.43933	200	0	112.558	6.48599	296.114	3.88635	297.89	2.11029	180.96	418.179	0.861878	10.263	49.1383
37	100	0	0.0152575	0.00760031	49.1383	0.00154673	96.6018	0.00199958	0.00199958	0.987792	42.7239	0.00080057	6.18779	8.81221	3.43934	200	0	112.558	6.48599	296.114	3.88635	297.89	2.11029	180.96	418.179	0.861879	10.263	49.1383
38	100	0	0.0152576	0.00760032	49.1383	0.00154673	96.6018	0.00199958	0.00199958	0.987795	42.724	0.000800571	6.18778	8.81222	3.43934	200	0	112.558	6.48599	296.114	3.88636	297.89	2.11029	180.96	418.179	0.861879	10.263	49.1383
