Time	[MKKK]	[MKKK_P]	[MKK]	[MKK_P]	[MKK_PP]	[M]	[M_P]	[M_PP]	[P1]	[P2]	[P3]
19	936.688	63.3117	3980.45	19.468	0.0779707	999.988	0.0117046	1.09756e-07	100	500	500
20	934.697	65.303	3979.09	20.8172	0.089418	999.986	0.0135895	1.49195e-07	100	500	500
21	932.777	67.2226	3977.7	22.1943	0.101904	999.984	0.01566	1.99647e-07	100	500	500
22	930.925	69.0745	3976.28	23.5999	0.115478	999.982	0.0179256	2.63445e-07	100	500	500
23	929.137	70.8626	3974.84	25.0341	0.130194	999.98	0.020396	3.43289e-07	100	500	500
24	927.41	72.5903	3973.36	26.4973	0.146104	999.977	0.0230813	4.42288e-07	100	500	500
25	925.739	74.2608	3971.85	27.9896	0.163263	999.974	0.0259917	5.64007e-07	100	500	500
26	924.123	75.8769	3970.31	29.5113	0.181726	999.971	0.029138	7.12513e-07	100	500	500
27	922.558	77.4415	3968.74	31.0625	0.201552	999.967	0.032531	8.92433e-07	100	500	500
28	921.043	78.9571	3967.13	32.6432	0.222797	999.964	0.0361818	1.10901e-06	100	500	500
29	919.574	80.4259	3965.5	34.2537	0.245521	999.96	0.0401019	1.36815e-06	100	500	500
30	918.15	81.8501	3963.84	35.894	0.269784	999.956	0.0443029	1.67651e-06	100	500	500
31	916.768	83.2317	3962.14	37.5641	0.295646	999.951	0.0487967	2.04154e-06	100	500	500
32	915.427	84.5726	3960.41	39.2641	0.32317	999.946	0.0535953	2.4716e-06	100	500	500
33	914.125	85.8746	3958.65	40.9938	0.352418	999.941	0.0587111	2.97597e-06	100	500	500
34	912.861	87.1394	3956.86	42.7533	0.383453	999.936	0.0641566	3.56499e-06	100	500	500
35	911.632	88.3684	3955.04	44.5426	0.416338	999.93	0.0699446	4.25013e-06	100	500	500
36	910.437	89.5631	3953.19	46.3615	0.451138	999.924	0.0760879	5.04404e-06	100	500	500
37	909.275	90.7249	3951.3	48.2098	0.487918	999.917	0.0825995	5.96071e-06	100	500	500
38	908.145	91.8551	3949.39	50.0875	0.526742	999.91	0.0894928	7.01553e-06	100	500	500
39	907.045	92.9549	3947.44	51.9945	0.567676	999.903	0.0967811	8.22539e-06	100	500	500
40	905.975	94.0254	3945.46	53.9304	0.610786	999.895	0.104478	9.60882e-06	100	500	500
41	904.932	95.0677	3943.45	55.8952	0.656137	999.887	0.112597	1.11861e-05	100	500	500
42	903.917	96.0829	3941.41	57.8885	0.703796	999.879	0.121152	1.29792e-05	100	500	500
43	902.928	97.072	3939.34	59.9102	0.753828	999.87	0.130158	1.50123e-05	100	500	500
44	901.964	98.0358	3937.23	61.9601	0.8063	999.86	0.139627	1.73116e-05	100	500	500
45	901.025	98.9752	3935.1	64.0377	0.861277	999.85	0.149575	1.99054e-05	100	500	500
46	900.109	99.8911	3932.94	66.1429	0.918825	999.84	0.160015	2.28245e-05	100	500	500
47	899.216	100.784	3930.75	68.2754	0.97901	999.829	0.170962	2.61021e-05	100	500	500
48	898.344	101.655	3928.52	70.4348	1.0419	999.817	0.18243	2.97743e-05	100	500	500
49	897.495	102.505	3926.27	72.6208	1.10755	999.805	0.194434	3.38797e-05	100	500	500
50	896.665	103.335	3923.99	74.8331	1.17604	999.793	0.206989	3.84599e-05	100	500	500
51	895.856	104.144	3921.68	77.0713	1.24742	999.78	0.220109	4.35599e-05	100	500	500
52	895.065	104.934	3919.34	79.335	1.32176	999.766	0.233809	4.92277e-05	100	500	500
53	894.294	105.706	3916.98	81.624	1.39912	999.752	0.248103	5.55148e-05	100	500	500
54	893.54	106.459	3914.58	83.9378	1.47957	999.737	0.263008	6.24764e-05	100	500	500
55	892.805	107.195	3912.16	86.276	1.56317	999.721	0.278537	7.01716e-05	100	500	500
56	892.086	107.914	3909.71	88.6383	1.64998	999.705	0.294706	7.86634e-05	100	500	500
57	891.383	108.617	3907.24	91.0242	1.74006	999.688	0.311529	8.80188e-05	100	500	500
58	890.697	109.303	3904.73	93.4334	1.83347	999.671	0.329023	9.83096e-05	100	500	500
59	890.026	109.974	3902.2	95.8655	1.93027	999.653	0.347202	0.000109612	100	500	500
60	889.37	110.629	3899.65	98.32	2.03051	999.634	0.366081	0.000122007	100	500	500
61	888.729	111.27	3897.07	100.796	2.13427	999.614	0.385676	0.00013558	100	500	500
62	888.103	111.897	3894.46	103.295	2.24158	999.594	0.406003	0.000150423	100	500	500
63	887.49	112.51	3891.83	105.814	2.35252	999.573	0.427076	0.000166633	100	500	500
64	886.89	113.11	3889.18	108.354	2.46713	999.551	0.448912	0.000184312	100	500	500
65	886.304	113.696	3886.5	110.914	2.58547	999.528	0.471525	0.000203568	100	500	500
66	885.73	114.27	3883.8	113.495	2.70759	999.505	0.494932	0.000224516	100	500	500
67	885.169	114.831	3881.07	116.094	2.83354	999.481	0.519149	0.000247277	100	500	500
68	884.62	115.38	3878.32	118.713	2.96339	999.455	0.544191	0.000271979	100	500	500
69	884.082	115.917	3875.55	121.351	3.09716	999.43	0.570074	0.000298757	100	500	500
70	883.556	116.443	3872.76	124.007	3.23493	999.403	0.596814	0.000327753	100	500	500
71	883.042	116.958	3869.94	126.68	3.37672	999.375	0.624428	0.000359116	100	500	500
72	882.538	117.462	3867.11	129.371	3.5226	999.347	0.652931	0.000393005	100	500	500
73	882.044	117.956	3864.25	132.079	3.67261	999.317	0.682341	0.000429584	100	500	500
74	881.561	118.439	3861.37	134.803	3.82679	999.287	0.712673	0.000469029	100	500	500
75	881.088	118.912	3858.47	137.544	3.98518	999.255	0.743944	0.000511521	100	500	500
76	880.625	119.375	3855.55	140.3	4.14784	999.223	0.776172	0.000557255	100	500	500
77	880.171	119.829	3852.61	143.072	4.3148	999.19	0.809372	0.000606431	100	500	500
78	879.726	120.274	3849.66	145.858	4.48611	999.156	0.843562	0.000659261	100	500	500
79	879.291	120.709	3846.68	148.659	4.6618	999.12	0.878759	0.000715968	100	500	500
80	878.864	121.136	3843.68	151.474	4.84191	999.084	0.914981	0.000776785	100	500	500
81	878.446	121.554	3840.67	154.302	5.02648	999.047	0.952244	0.000841955	100	500	500
82	878.036	121.964	3837.64	157.144	5.21555	999.008	0.990568	0.000911733	100	500	500
83	877.635	122.365	3834.59	159.999	5.40916	998.969	1.02997	0.000986389	100	500	500
84	877.241	122.759	3831.53	162.867	5.60733	998.928	1.07047	0.0010662	100	500	500
85	876.856	123.144	3828.44	165.746	5.81011	998.887	1.11208	0.00115146	100	500	500
86	876.478	123.522	3825.34	168.637	6.01752	998.844	1.15482	0.00124248	100	500	500
87	876.107	123.893	3822.23	171.54	6.22959	998.8	1.19872	0.00133957	100	500	500
88	875.744	124.256	3819.1	174.453	6.44637	998.755	1.24379	0.00144308	100	500	500
89	875.387	124.613	3815.95	177.378	6.66787	998.708	1.29005	0.00155334	100	500	500
90	875.038	124.962	3812.79	180.312	6.89412	998.661	1.33752	0.00167073	100	500	500
91	874.695	125.305	3809.62	183.257	7.12516	998.612	1.38622	0.00179563	100	500	500
92	874.359	125.641	3806.43	186.211	7.36101	998.562	1.43617	0.00192844	100	500	500
93	874.029	125.971	3803.22	189.174	7.6017	998.51	1.48739	0.00206957	100	500	500
94	873.706	126.294	3800.01	192.146	7.84724	998.458	1.5399	0.00221946	100	500	500
95	873.389	126.611	3796.77	195.127	8.09767	998.404	1.59373	0.00237856	100	500	500
96	873.077	126.923	3793.53	198.116	8.35301	998.348	1.64889	0.00254734	100	500	500
97	872.772	127.228	3790.27	201.113	8.61327	998.292	1.70541	0.00272631	100	500	500
98	872.472	127.528	3787	204.117	8.87848	998.234	1.76331	0.00291597	100	500	500
99	872.178	127.822	3783.72	207.129	9.14867	998.174	1.82261	0.00311686	100	500	500
100	871.889	128.111	3780.43	210.147	9.42384	998.113	1.88334	0.00332954	100	500	500
