Time	[pyruvate]	[adpc]	[atpc]	[phosphoenolpyruvate]	[2phosphoglycerate]	[ampc]	[3phosphoglycerate cytosol]	[dihydroxyacetonephosphate cytosol]	[glycerol3phosphate cytosol]	[glucose]	[atpg]	[adpg]	[ampg]	[glucose6phosphate]	[fructose6phosphate]	[fructose16bisphosphate]	[dihydroxyacetonephosphate]	[glyceraldehyde3phosphate]	[nad]	[nadh]	[bisphosphoglycerate]	[glycerol3phosphate]	[3phosphoglycerate]	[glycerol]	[glucose external]	[pyruvate external]	[glycerol external]
53	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
54	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
55	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
56	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
57	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
58	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
59	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
60	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
61	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
62	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
63	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
