Time	[NICD]	[Notch]	[Notch TM]	[Gamma secretase]	[DAPT]	[RBP-jk]	[Complex NICD-RBP]	[Hes-1]	[Shh]	[Ptch1]	[Complex Shh Ptch1]	[smo]	[SAG]	[EGF]	[EGFR]	[Complex EGF-EGFR]	[Erlotinib]	[Wnt]	[Frzzl]	[Complex Wnt-Frzzl]	[Dishevelled]	[FRAT-CK2]	[Complex Dishevelled-FRAT-CK2]	[GSK3B]	[Beta-catenin]	[Complex GSK3B-Bcatenin]	[6 bromoindirubin 3`oxime]
51	0.506918	3.55286	1.44714	5	100	4.05978	2.0415	2.02829	1.79129	1.79129	3.20871	5	0	1.83796	1.83796	2.0386	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.01421	2.00807	0.985795	100
52	0.509699	3.53372	1.46628	5	100	4.04342	2.04468	2.03152	1.79129	1.79129	3.20871	5	0	1.82495	1.82495	2.04148	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.9976	2.01156	1.0024	100
53	0.512435	3.51484	1.48516	5	100	4.02728	2.04769	2.03459	1.79129	1.79129	3.20871	5	0	1.81243	1.81243	2.04421	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.98109	2.01488	1.01891	100
54	0.515127	3.49623	1.50377	5	100	4.01136	2.05055	2.03752	1.79129	1.79129	3.20871	5	0	1.80038	1.80038	2.04681	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.96466	2.01804	1.03534	100
55	0.517776	3.47788	1.52212	5	100	3.99565	2.05326	2.0403	1.79129	1.79129	3.20871	5	0	1.78877	1.78877	2.04928	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.94831	2.02106	1.05169	100
56	0.520383	3.45978	1.54022	5	100	3.98016	2.05582	2.04293	1.79129	1.79129	3.20871	5	0	1.77759	1.77759	2.05162	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.93206	2.02393	1.06794	100
57	0.52295	3.44193	1.55807	5	100	3.96488	2.05825	2.04544	1.79129	1.79129	3.20871	5	0	1.76682	1.76682	2.05385	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.9159	2.02666	1.0841	100
58	0.525476	3.42433	1.57567	5	100	3.9498	2.06055	2.04782	1.79129	1.79129	3.20871	5	0	1.75644	1.75644	2.05595	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.89982	2.02925	1.10018	100
59	0.527963	3.40697	1.59303	5	100	3.93493	2.06273	2.05007	1.79129	1.79129	3.20871	5	0	1.74644	1.74644	2.05795	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.88384	2.03172	1.11616	100
60	0.530411	3.38985	1.61015	5	100	3.92026	2.06478	2.0522	1.79129	1.79129	3.20871	5	0	1.73679	1.73679	2.05984	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.86795	2.03407	1.13205	100
61	0.532822	3.37297	1.62703	5	100	3.90579	2.06672	2.05423	1.79129	1.79129	3.20871	5	0	1.72749	1.72749	2.06162	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	3.85215	2.0363	1.14785	100
