Time	[D]	[CDK5]	[D_CDK5]	[D75]	[CK1]	[D_CK1]	[D137]	[PKA]	[D_PKA]	[D34]	[D34_CDK5]	[D34_CK1]	[PP2B]	[D34_PP2B]	[D34:75]	[D34:137]	[D75_CK1]	[D75_PKA]	[PP2A]	[D75_PP2A]	[PP2AP]	[D75_PP2AP]	[D75:137]	[D137_CDK5]	[D137_PKA]	[D137_PP2C]	[PP2C]	[D34:75_CK1]	[D34:137_CDK5]	[D34:75:137]	[D75:137_PKA]	[D34:75_PP2B]	[D34:137_PP2B]	[D34:75:137_PP2B]	[D34:75_PP2A]	[D75:137_PP2A]	[D34:75:137_PP2A]	[D34:75_PP2AP]	[D75:137_PP2AP]	[D34:75:137_PP2AP]	[D34:137_PP2C]	[D75:137_PP2C]	[PDE]	[PP2Binactive]	[D34:75:137_PP2C]	[CK1P]	[CK1P_PP2B]	[PDE_PKA]	[PDEP]	[PP2A_PKA]	[Ca]	[PP2BinactiveCa2]	[R2C2]	[cAMP]	[cAMP_R2C2]	[cAMP2_R2C2]	[cAMP3_R2C2]	[cAMP4_R2C2]	[cAMP4_R2C]	[cAMP4_R2]	[cAMP_PDE]	[AMP]	[cAMP_PDEP]	[PP2ACa]	[D34:75_PP2ACa]	[D34:75:137_PP2ACa]	[D75_PP2ACa]	[D75:137_PP2ACa]	[D34:75_PP2APCa]	[PP2APCa]	[D34:75:137_PP2APCa]	[D75_PP2APCa]	[D75:137_PP2APCa]	[PP2ACa_PKA]	[Empty]
10	3.15717e-06	8.93221e-08	1.05301e-07	1.42835e-06	6.53116e-09	6.02701e-09	1.60513e-07	0	0	0	0	0	8.43684e-09	0	0	0	2.719e-09	0	1.70903e-07	2.72604e-08	0	0	7.18943e-08	5.37718e-09	0	9.60356e-09	1.19108e-07	0	0	0	0	0	0	0	0	1.37468e-09	0	0	0	0	0	4.28866e-09	2e-06	2.93042e-07	0	1.49466e-07	1.25667e-09	0	0	0	1.04045e-08	2.92643e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	3.40493e-10	0	0	1.15091e-10	5.81609e-12	0	0	0	0	0	0	0
11	3.12818e-06	8.99162e-08	1.05027e-07	1.46966e-06	7.01844e-09	6.41119e-09	1.50099e-07	0	0	0	0	0	9.35964e-09	0	0	0	3.00523e-09	0	1.70246e-07	2.7946e-08	0	0	6.99365e-08	5.05686e-09	0	9.02287e-09	1.19783e-07	0	0	0	0	0	0	0	0	1.33179e-09	0	0	0	0	0	4.194e-09	2e-06	2.90661e-07	0	1.48182e-07	1.38287e-09	0	0	0	1.06395e-08	3.05964e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	3.48642e-10	0	0	1.21327e-10	5.79153e-12	0	0	0	0	0	0	0
12	3.10332e-06	9.0409e-08	1.04763e-07	1.50292e-06	7.58971e-09	6.87636e-09	1.42677e-07	0	0	0	0	0	1.02546e-08	0	0	0	3.32409e-09	0	1.69715e-07	2.84934e-08	0	0	6.86297e-08	4.82812e-09	0	8.60271e-09	1.20267e-07	0	0	0	0	0	0	0	0	1.30243e-09	0	0	0	0	0	4.13002e-09	2e-06	2.88425e-07	0	1.46709e-07	1.50064e-09	0	0	0	1.08555e-08	3.18199e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	3.56127e-10	0	0	1.26797e-10	5.80259e-12	0	0	0	0	0	0	0
13	3.08164e-06	9.08173e-08	1.04501e-07	1.52944e-06	8.20002e-09	7.37837e-09	1.37869e-07	0	0	0	0	0	1.11211e-08	0	0	0	3.65652e-09	0	1.69286e-07	2.8926e-08	0	0	6.80495e-08	4.68173e-09	0	8.32568e-09	1.20571e-07	0	0	0	0	0	0	0	0	1.28773e-09	0	0	0	0	0	4.10295e-09	2e-06	2.8632e-07	0	1.45154e-07	1.61072e-09	0	0	0	1.10549e-08	3.29482e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	3.63048e-10	0	0	1.31594e-10	5.86213e-12	0	0	0	0	0	0	0
14	3.06246e-06	9.11556e-08	1.04238e-07	1.55036e-06	8.8213e-09	7.89031e-09	1.35289e-07	0	0	0	0	0	1.19591e-08	0	0	0	3.98965e-09	0	1.68937e-07	2.9264e-08	0	0	6.81875e-08	4.60691e-09	0	8.17218e-09	1.20714e-07	0	0	0	0	0	0	0	0	1.28728e-09	0	0	0	0	0	4.11367e-09	2e-06	2.84335e-07	0	1.43585e-07	1.71382e-09	0	0	0	1.12397e-08	3.3992e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	3.69479e-10	0	0	1.358e-10	5.97483e-12	0	0	0	0	0	0	0
15	3.04527e-06	9.14359e-08	1.03971e-07	1.56665e-06	9.43638e-09	8.39605e-09	1.34567e-07	0	0	0	0	0	1.27688e-08	0	0	0	4.31517e-09	0	1.68655e-07	2.95242e-08	0	0	6.89865e-08	4.59273e-09	0	8.12255e-09	1.20718e-07	0	0	0	0	0	0	0	0	1.29983e-09	0	0	0	0	0	4.15978e-09	2e-06	2.8246e-07	0	1.42042e-07	1.81058e-09	0	0	0	1.14116e-08	3.49605e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	3.75478e-10	0	0	1.39491e-10	6.14005e-12	0	0	0	0	0	0	0
16	3.02969e-06	9.16683e-08	1.03703e-07	1.57913e-06	1.00351e-08	8.88627e-09	1.35371e-07	0	0	0	0	0	1.35505e-08	0	0	0	4.62803e-09	0	1.68425e-07	2.97207e-08	0	0	7.03651e-08	4.6289e-09	0	8.15833e-09	1.20605e-07	0	0	0	0	0	0	0	0	1.3237e-09	0	0	0	0	0	4.23709e-09	2e-06	2.80686e-07	0	1.40549e-07	1.90157e-09	0	0	0	1.1572e-08	3.58614e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	3.81092e-10	0	0	1.42736e-10	6.35392e-12	0	0	0	0	0	0	0
17	3.01545e-06	9.18613e-08	1.03433e-07	1.58851e-06	1.06118e-08	9.35592e-09	1.3741e-07	0	0	0	0	0	1.43049e-08	0	0	0	4.92542e-09	0	1.68239e-07	2.98654e-08	0	0	7.22331e-08	4.70612e-09	0	8.26289e-09	1.20396e-07	0	0	0	0	0	0	0	0	1.35711e-09	0	0	0	0	0	4.34064e-09	2e-06	2.79006e-07	0	1.3912e-07	1.98731e-09	0	0	0	1.1722e-08	3.67015e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	3.86358e-10	0	0	1.45594e-10	6.61084e-12	0	0	0	0	0	0	0
18	3.00232e-06	9.20217e-08	1.03162e-07	1.59535e-06	1.11636e-08	9.80258e-09	1.40432e-07	0	0	0	0	0	1.50324e-08	0	0	0	5.20608e-09	0	1.68087e-07	2.99681e-08	0	0	7.45015e-08	4.81623e-09	0	8.42173e-09	1.20113e-07	0	0	0	0	0	0	0	0	1.39829e-09	0	0	0	0	0	4.46538e-09	2e-06	2.77413e-07	0	1.3776e-07	2.06824e-09	0	0	0	1.18626e-08	3.74862e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	3.91308e-10	0	0	1.48117e-10	6.90449e-12	0	0	0	0	0	0	0
19	2.99014e-06	9.21553e-08	1.02893e-07	1.60014e-06	1.16894e-08	1.02255e-08	1.44225e-07	0	0	0	0	0	1.57338e-08	0	0	0	5.4697e-09	0	1.67964e-07	3.00369e-08	0	0	7.70874e-08	4.95221e-09	0	8.62245e-09	1.19771e-07	0	0	0	0	0	0	0	0	1.44565e-09	0	0	0	0	0	4.60655e-09	2e-06	2.75901e-07	0	1.36471e-07	2.14473e-09	0	0	0	1.19947e-08	3.82208e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	3.9597e-10	0	0	1.5035e-10	7.22846e-12	0	0	0	0	0	0	0
20	2.97877e-06	9.22667e-08	1.02625e-07	1.60328e-06	1.21892e-08	1.06248e-08	1.4861e-07	0	0	0	0	0	1.64099e-08	0	0	0	5.71662e-09	0	1.67863e-07	3.00785e-08	0	0	7.99166e-08	5.10813e-09	0	8.85464e-09	1.19385e-07	0	0	0	0	0	0	0	0	1.49774e-09	0	0	0	0	0	4.7599e-09	2e-06	2.74463e-07	0	1.35252e-07	2.21713e-09	0	0	0	1.2119e-08	3.89095e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.00367e-10	0	0	1.52334e-10	7.57665e-12	0	0	0	0	0	0	0
21	2.96811e-06	9.236e-08	1.02361e-07	1.60509e-06	1.26637e-08	1.10013e-08	1.53441e-07	0	0	0	0	0	1.70614e-08	0	0	0	5.94754e-09	0	1.67782e-07	3.00984e-08	0	0	8.29251e-08	5.279e-09	0	9.1097e-09	1.18969e-07	0	0	0	0	0	0	0	0	1.55334e-09	0	0	0	0	0	4.92174e-09	2e-06	2.73097e-07	0	1.34102e-07	2.28573e-09	0	0	0	1.22362e-08	3.95562e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.0452e-10	0	0	1.54102e-10	7.9435e-12	0	0	0	0	0	0	0
22	2.95807e-06	9.24382e-08	1.02101e-07	1.60585e-06	1.31138e-08	1.13559e-08	1.58593e-07	0	0	0	0	0	1.7689e-08	0	0	0	6.16334e-09	0	1.67715e-07	3.01011e-08	0	0	8.60582e-08	5.46069e-09	0	9.38059e-09	1.1853e-07	0	0	0	0	0	0	0	0	1.61139e-09	0	0	0	0	0	5.08899e-09	2e-06	2.71796e-07	0	1.33016e-07	2.35081e-09	0	0	0	1.23468e-08	4.01643e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.08447e-10	0	0	1.55684e-10	8.32406e-12	0	0	0	0	0	0	0
23	2.94859e-06	9.25041e-08	1.01846e-07	1.60577e-06	1.35407e-08	1.169e-08	1.63967e-07	0	0	0	0	0	1.82936e-08	0	0	0	6.36502e-09	0	1.67661e-07	3.00903e-08	0	0	8.92703e-08	5.6498e-09	0	9.66161e-09	1.18079e-07	0	0	0	0	0	0	0	0	1.67103e-09	0	0	0	0	0	5.2591e-09	2e-06	2.70557e-07	0	1.31992e-07	2.41259e-09	0	0	0	1.24514e-08	4.07369e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.12164e-10	0	0	1.57103e-10	8.714e-12	0	0	0	0	0	0	0
24	2.93961e-06	9.25598e-08	1.01597e-07	1.60504e-06	1.39456e-08	1.20048e-08	1.69482e-07	0	0	0	0	0	1.88759e-08	0	0	0	6.55359e-09	0	1.67616e-07	3.00689e-08	0	0	9.25237e-08	5.84355e-09	0	9.9482e-09	1.17622e-07	0	0	0	0	0	0	0	0	1.73152e-09	0	0	0	0	0	5.43002e-09	2e-06	2.69376e-07	0	1.31025e-07	2.4713e-09	0	0	0	1.25503e-08	4.12767e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.15686e-10	0	0	1.58382e-10	9.10961e-12	0	0	0	0	0	0	0
25	2.93109e-06	9.2607e-08	1.01353e-07	1.60379e-06	1.43298e-08	1.23014e-08	1.75071e-07	0	0	0	0	0	1.94367e-08	0	0	0	6.73003e-09	0	1.6758e-07	3.00393e-08	0	0	9.57876e-08	6.03968e-09	0	1.02367e-08	1.17163e-07	0	0	0	0	0	0	0	0	1.79228e-09	0	0	0	0	0	5.60011e-09	2e-06	2.6825e-07	0	1.30112e-07	2.52712e-09	0	0	0	1.26441e-08	4.17861e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.19027e-10	0	0	1.59539e-10	9.50777e-12	0	0	0	0	0	0	0
26	2.92298e-06	9.26473e-08	1.01116e-07	1.60216e-06	1.46945e-08	1.25811e-08	1.80682e-07	0	0	0	0	0	1.99767e-08	0	0	0	6.89527e-09	0	1.67551e-07	3.00036e-08	0	0	9.90375e-08	6.23637e-09	0	1.05244e-08	1.16708e-07	0	0	0	0	0	0	0	0	1.85283e-09	0	0	0	0	0	5.76811e-09	2e-06	2.67176e-07	0	1.29249e-07	2.58024e-09	0	0	0	1.2733e-08	4.22675e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.22198e-10	0	0	1.60589e-10	9.90585e-12	0	0	0	0	0	0	0
27	2.91525e-06	9.26817e-08	1.00886e-07	1.60023e-06	1.50409e-08	1.2845e-08	1.8627e-07	0	0	0	0	0	2.04967e-08	0	0	0	7.0502e-09	0	1.67527e-07	2.99632e-08	0	0	1.02254e-07	6.43217e-09	0	1.08089e-08	1.16258e-07	0	0	0	0	0	0	0	0	1.9128e-09	0	0	0	0	0	5.93304e-09	2e-06	2.6615e-07	0	1.28433e-07	2.63081e-09	0	0	0	1.28174e-08	4.27226e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.25209e-10	0	0	1.61545e-10	1.03017e-11	0	0	0	0	0	0	0
28	2.90787e-06	9.27114e-08	1.00663e-07	1.59808e-06	1.537e-08	1.30941e-08	1.91803e-07	0	0	0	0	0	2.09974e-08	0	0	0	7.19562e-09	0	1.67507e-07	2.99196e-08	0	0	1.05421e-07	6.62591e-09	0	1.10886e-08	1.15817e-07	0	0	0	0	0	0	0	0	1.9719e-09	0	0	0	0	0	6.09417e-09	2e-06	2.6517e-07	0	1.27661e-07	2.67899e-09	0	0	0	1.28977e-08	4.31535e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.28073e-10	0	0	1.6242e-10	1.06935e-11	0	0	0	0	0	0	0
29	2.90083e-06	9.27371e-08	1.00446e-07	1.59578e-06	1.5683e-08	1.33295e-08	1.97254e-07	0	0	0	0	0	2.14795e-08	0	0	0	7.33228e-09	0	1.67491e-07	2.98737e-08	0	0	1.08527e-07	6.81668e-09	0	1.13622e-08	1.15387e-07	0	0	0	0	0	0	0	0	2.02989e-09	0	0	0	0	0	6.25097e-09	2e-06	2.64234e-07	0	1.2693e-07	2.72491e-09	0	0	0	1.2974e-08	4.35616e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.30796e-10	0	0	1.63222e-10	1.10798e-11	0	0	0	0	0	0	0
30	2.89409e-06	9.27595e-08	1.00237e-07	1.59337e-06	1.59806e-08	1.35521e-08	2.02601e-07	0	0	0	0	0	2.19437e-08	0	0	0	7.46086e-09	0	1.67478e-07	2.98264e-08	0	0	1.11562e-07	7.00379e-09	0	1.16288e-08	1.14968e-07	0	0	0	0	0	0	0	0	2.08659e-09	0	0	0	0	0	6.40307e-09	2e-06	2.63339e-07	0	1.26238e-07	2.76869e-09	0	0	0	1.30466e-08	4.39486e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.33388e-10	0	0	1.63961e-10	1.14596e-11	0	0	0	0	0	0	0
31	2.88765e-06	9.27791e-08	1.00034e-07	1.5909e-06	1.6264e-08	1.37626e-08	2.07831e-07	0	0	0	0	0	2.23906e-08	0	0	0	7.58198e-09	0	1.67468e-07	2.97783e-08	0	0	1.14521e-07	7.18671e-09	0	1.18878e-08	1.14562e-07	0	0	0	0	0	0	0	0	2.14188e-09	0	0	0	0	0	6.55024e-09	2e-06	2.62483e-07	0	1.25581e-07	2.81047e-09	0	0	0	1.31157e-08	4.43158e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.35857e-10	0	0	1.64643e-10	1.18318e-11	0	0	0	0	0	0	0
32	2.88148e-06	9.27963e-08	9.98386e-08	1.5884e-06	1.65338e-08	1.3962e-08	2.1293e-07	0	0	0	0	0	2.28208e-08	0	0	0	7.69619e-09	0	1.67459e-07	2.97298e-08	0	0	1.17398e-07	7.36503e-09	0	1.21386e-08	1.14169e-07	0	0	0	0	0	0	0	0	2.19567e-09	0	0	0	0	0	6.69233e-09	2e-06	2.61664e-07	0	1.24958e-07	2.85033e-09	0	0	0	1.31816e-08	4.46644e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.3821e-10	0	0	1.65274e-10	1.21957e-11	0	0	0	0	0	0	0
33	2.87557e-06	9.28116e-08	9.96499e-08	1.58589e-06	1.67908e-08	1.41508e-08	2.17891e-07	0	0	0	0	0	2.3235e-08	0	0	0	7.80401e-09	0	1.67452e-07	2.96816e-08	0	0	1.20191e-07	7.53847e-09	0	1.2381e-08	1.1379e-07	0	0	0	0	0	0	0	0	2.24788e-09	0	0	0	0	0	6.82928e-09	2e-06	2.60881e-07	0	1.24366e-07	2.8884e-09	0	0	0	1.32444e-08	4.49956e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.40453e-10	0	0	1.6586e-10	1.25509e-11	0	0	0	0	0	0	0
34	2.86991e-06	9.28253e-08	9.94679e-08	1.58339e-06	1.70359e-08	1.43299e-08	2.22708e-07	0	0	0	0	0	2.36337e-08	0	0	0	7.9059e-09	0	1.67446e-07	2.96338e-08	0	0	1.22896e-07	7.70683e-09	0	1.26149e-08	1.13424e-07	0	0	0	0	0	0	0	0	2.29848e-09	0	0	0	0	0	6.96108e-09	2e-06	2.60131e-07	0	1.23804e-07	2.92476e-09	0	0	0	1.33043e-08	4.53105e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.42592e-10	0	0	1.66406e-10	1.2897e-11	0	0	0	0	0	0	0
35	2.86448e-06	9.28375e-08	9.92925e-08	1.58092e-06	1.72696e-08	1.44997e-08	2.27376e-07	0	0	0	0	0	2.40176e-08	0	0	0	8.00229e-09	0	1.67441e-07	2.95867e-08	0	0	1.25514e-07	7.87001e-09	0	1.28402e-08	1.13072e-07	0	0	0	0	0	0	0	0	2.34746e-09	0	0	0	0	0	7.0878e-09	2e-06	2.59413e-07	0	1.23269e-07	2.9595e-09	0	0	0	1.33615e-08	4.56101e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.44634e-10	0	0	1.66915e-10	1.32336e-11	0	0	0	0	0	0	0
36	2.85928e-06	9.28485e-08	9.91235e-08	1.57849e-06	1.74925e-08	1.46609e-08	2.31895e-07	0	0	0	0	0	2.43872e-08	0	0	0	8.09355e-09	0	1.67437e-07	2.95406e-08	0	0	1.28044e-07	8.02793e-09	0	1.3057e-08	1.12734e-07	0	0	0	0	0	0	0	0	2.3948e-09	0	0	0	0	0	7.2095e-09	2e-06	2.58725e-07	0	1.2276e-07	2.9927e-09	0	0	0	1.34161e-08	4.58952e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.46583e-10	0	0	1.67392e-10	1.35607e-11	0	0	0	0	0	0	0
37	2.85429e-06	9.28585e-08	9.89609e-08	1.57611e-06	1.77053e-08	1.4814e-08	2.36264e-07	0	0	0	0	0	2.4743e-08	0	0	0	8.18004e-09	0	1.67434e-07	2.94954e-08	0	0	1.30487e-07	8.1806e-09	0	1.32654e-08	1.12408e-07	0	0	0	0	0	0	0	0	2.44051e-09	0	0	0	0	0	7.3263e-09	2e-06	2.58066e-07	0	1.22276e-07	3.02445e-09	0	0	0	1.34683e-08	4.61667e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.48445e-10	0	0	1.67838e-10	1.38781e-11	0	0	0	0	0	0	0
38	2.84951e-06	9.28677e-08	9.88043e-08	1.57379e-06	1.79085e-08	1.49595e-08	2.40483e-07	0	0	0	0	0	2.50855e-08	0	0	0	8.26207e-09	0	1.67431e-07	2.94515e-08	0	0	1.32844e-07	8.32803e-09	0	1.34655e-08	1.12096e-07	0	0	0	0	0	0	0	0	2.48462e-09	0	0	0	0	0	7.43833e-09	2e-06	2.57434e-07	0	1.21815e-07	3.05481e-09	0	0	0	1.35181e-08	4.64253e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.50224e-10	0	0	1.68257e-10	1.41858e-11	0	0	0	0	0	0	0
39	2.84492e-06	9.2876e-08	9.86537e-08	1.57153e-06	1.81026e-08	1.50978e-08	2.44554e-07	0	0	0	0	0	2.54153e-08	0	0	0	8.33993e-09	0	1.67429e-07	2.94087e-08	0	0	1.35116e-07	8.4703e-09	0	1.36576e-08	1.11797e-07	0	0	0	0	0	0	0	0	2.52715e-09	0	0	0	0	0	7.54573e-09	2e-06	2.56829e-07	0	1.21376e-07	3.08385e-09	0	0	0	1.35658e-08	4.66719e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	4.51924e-10	0	0	1.68651e-10	1.44839e-11	0	0	0	0	0	0	0
