Time	[S22]	[S24]	[pS2tot]	[TGF]	[R]	[S2c]	[Rcom]	[pS2c]	[Rcom_S]	[S2n]	[S22n]	[S4n]	[S22c]	[pS2n]	[pS2fn]	[S24n]	[S24c]	[S4fc]	[S4c]	[pS2fc]	[S4fn]	[SBI]	[Rtot]	[RT]	[Rcom_I]	[Ract]
48	-3.3446e-16	1.52247e-10	1.77727e-10	2.85068e-14	0.87963	1.1943	0.117834	3.81429e-11	0.0489464	0.558934	-9.12823e-16	1	-7.96744e-17	4.94584e-10	6.23614e-11	4.32224e-10	2.8909e-11	1	1	9.23401e-12	1	0	0.997464	5.98574e-15	0.0688876	1.30428e-11
49	-3.10739e-17	4.27957e-11	4.9958e-11	5.604e-15	0.87963	1.1943	0.118267	1.07199e-11	0.0491262	0.558934	-8.20033e-17	1	-8.63807e-18	1.39029e-10	1.75299e-11	1.21499e-10	8.12475e-12	1	1	2.59516e-12	1	0	0.997896	1.18159e-15	0.0691406	3.66233e-12
50	1.33513e-18	1.20203e-11	1.4032e-11	1.06763e-15	0.87963	1.1943	0.118626	3.01056e-12	0.0492753	0.558934	6.23807e-18	1	-8.24759e-19	3.90505e-11	4.92384e-12	3.41267e-11	2.28175e-12	1	1	7.28817e-13	1	0	0.998255	2.25825e-16	0.0693504	1.02782e-12
51	3.83463e-18	3.54162e-12	4.13435e-12	3.32645e-16	0.87963	1.1943	0.118923	8.87039e-13	0.0493989	0.558934	1.03375e-17	1	9.69921e-19	1.15058e-11	1.45075e-12	1.0055e-11	6.72297e-13	1	1	2.1474e-13	1	0	0.998553	7.07999e-17	0.0695244	3.02862e-13
52	-2.90757e-18	1.1094e-12	1.29506e-12	8.07807e-17	0.87963	1.1943	0.11917	2.77844e-13	0.0495015	0.558934	-9.53665e-18	1	1.2734e-20	3.60415e-12	4.54443e-13	3.14972e-12	2.10582e-13	1	1	6.72622e-14	1	0	0.9988	1.69312e-17	0.0696688	9.48347e-14
53	6.2228e-19	3.09795e-13	3.61643e-13	1.74177e-17	0.87963	1.1943	0.119375	7.7582e-14	0.0495865	0.558934	2.07939e-18	1	-1.96209e-20	1.00646e-12	1.26904e-13	8.79554e-13	5.88006e-14	1	1	1.87814e-14	1	0	0.999005	3.85876e-18	0.0697885	2.64713e-14
54	-3.11865e-18	2.31245e-13	2.69942e-13	6.37309e-17	0.87963	1.1943	0.119545	5.79536e-14	0.0496571	0.558934	-9.65074e-18	1	-2.4107e-19	7.51155e-13	9.47117e-14	6.56463e-13	4.39238e-14	1	1	1.40303e-14	1	0	0.999174	1.28008e-17	0.0698878	1.98533e-14
55	-7.88231e-19	2.23257e-13	2.6062e-13	3.00203e-17	0.87963	1.1943	0.119686	5.59283e-14	0.0497156	0.558934	-2.61256e-18	1	1.54394e-20	7.25272e-13	9.14485e-14	6.33828e-13	4.23886e-14	1	1	1.35396e-14	1	0	0.999315	6.25307e-18	0.0699701	1.91157e-14
56	3.69949e-20	7.79332e-14	9.09742e-14	-1.71387e-17	0.87963	1.1943	0.119803	1.94995e-14	0.0497641	0.558934	1.22942e-19	1	-8.6736e-22	2.53222e-13	3.19288e-14	2.21293e-13	1.47792e-14	1	1	4.72031e-15	1	0	0.999432	-3.55191e-18	0.0700384	6.62255e-15
57	-3.60556e-20	-1.66611e-14	-1.94499e-14	-5.84831e-18	0.87963	1.1943	0.119899	-4.17717e-15	0.0498044	0.558934	-1.20525e-19	1	1.1555e-21	-5.41191e-14	-6.82375e-15	-4.72951e-14	-3.16588e-15	1	1	-1.01129e-15	1	0	0.999529	-1.20119e-18	0.070095	-1.4337e-15
58	3.54878e-20	1.36181e-14	1.58984e-14	1.34545e-17	0.87963	1.1943	0.11998	3.4215e-15	0.0498377	0.558934	1.15849e-19	1	8.63566e-23	4.42209e-14	5.57558e-15	3.8645e-14	2.59306e-15	1	1	8.2844e-16	1	0	0.999609	2.82636e-18	0.070142	1.18719e-15
59	9.97455e-20	5.922e-14	6.91305e-14	-5.06339e-18	0.87963	1.1943	0.120046	1.48242e-14	0.0498654	0.558934	3.30301e-19	1	-1.82086e-21	1.92406e-13	2.42604e-14	1.68145e-13	1.12356e-14	1	1	3.58863e-15	1	0	0.999676	-1.11881e-18	0.070181	5.04688e-15
60	-5.64246e-21	5.02119e-14	5.8613e-14	-2.34856e-17	0.87963	1.1943	0.120102	1.25527e-14	0.0498884	0.558934	-1.81399e-20	1	-1.36975e-22	1.6317e-13	2.05743e-14	1.42596e-13	9.51416e-15	1	1	3.03853e-15	1	0	0.999731	-4.98786e-18	0.0702133	4.24414e-15
61	-2.63368e-21	7.00822e-15	8.17917e-15	-2.28383e-17	0.87963	1.1943	0.120148	1.73528e-15	0.0499074	0.558934	-8.61992e-21	1	3.42964e-24	2.28068e-14	2.87601e-15	1.99308e-14	1.31546e-15	1	1	4.19825e-16	1	0	0.999777	-4.85357e-18	0.0702401	5.56868e-16
62	2.11906e-23	-3.3081e-14	-3.86174e-14	-2.98083e-18	0.87963	1.1943	0.120186	-8.28576e-15	0.0499232	0.558934	-6.42816e-23	1	5.88436e-23	-1.0747e-13	-1.35508e-14	-9.39194e-14	-6.27989e-15	1	1	-2.00588e-15	1	0	0.999815	-6.41041e-19	0.0702623	-2.82948e-15
63	5.5186e-21	-1.84622e-14	-2.15509e-14	1.21256e-17	0.87963	1.1943	0.120217	-4.61227e-15	0.0499363	0.558934	1.81553e-20	1	-4.821e-23	-6.00017e-14	-7.56574e-15	-5.24359e-14	-3.49586e-15	1	1	-1.11641e-15	1	0	0.999847	2.59237e-18	0.0702807	-1.55376e-15
64	-2.23502e-21	1.02245e-14	1.1936e-14	5.59854e-18	0.87963	1.1943	0.120243	2.56491e-15	0.0499472	0.558934	-7.33184e-21	1	1.02791e-23	3.32085e-14	4.18716e-15	2.90214e-14	1.94393e-15	1	1	6.20985e-16	1	0	0.999873	1.17578e-18	0.070296	8.82994e-16
65	-7.30589e-23	1.69824e-14	1.98241e-14	-3.84703e-18	0.87963	1.1943	0.120265	4.2488e-15	0.0499562	0.558934	-2.4294e-22	1	1.77841e-24	5.51799e-14	6.95766e-15	4.82223e-14	3.22028e-15	1	1	1.02852e-15	1	0	0.999895	-8.43776e-19	0.0703087	1.44244e-15
66	3.30303e-22	4.1089e-15	4.79597e-15	-6.81629e-18	0.87963	1.1943	0.120283	1.02293e-15	0.0499637	0.558934	1.08067e-21	1	-2.5619e-25	1.33608e-14	1.68475e-15	1.1676e-14	7.75373e-16	1	1	2.47556e-16	1	0	0.999913	-1.44303e-18	0.0703192	3.3824e-16
67	2.64916e-21	-3.50425e-14	-4.09076e-14	-7.24352e-18	0.87963	1.1943	0.120298	-8.7806e-15	0.0499699	0.558934	8.67105e-21	1	-3.64856e-24	-1.13836e-13	-1.43534e-14	-9.94825e-14	-6.65488e-15	1	1	-2.12572e-15	1	0	0.999927	-1.5177e-18	0.070328	-3.00473e-15
68	1.26436e-22	-4.06268e-14	-4.74259e-14	-7.99221e-19	0.87963	1.1943	0.12031	-1.01732e-14	0.049975	0.558934	4.15515e-22	1	-9.11548e-25	-1.3199e-13	-1.66424e-14	-1.15347e-13	-7.71045e-15	1	1	-2.46277e-15	1	0	0.99994	-1.75072e-19	0.0703352	-3.46948e-15
69	3.64798e-25	-4.43759e-14	-5.18017e-14	7.09271e-18	0.87963	1.1943	0.12032	-1.11051e-14	0.0499793	0.558934	6.46495e-24	1	-2.32249e-24	-1.44183e-13	-1.818e-14	-1.26003e-13	-8.41684e-15	1	1	-2.68828e-15	1	0	0.99995	1.49821e-18	0.0703412	-3.77505e-15
70	-6.39598e-23	-1.80981e-14	-2.11263e-14	6.68085e-18	0.87963	1.1943	0.120329	-4.52579e-15	0.0499828	0.558934	-2.09622e-22	1	2.08723e-25	-5.88095e-14	-7.41537e-15	-5.13942e-14	-3.43025e-15	1	1	-1.09554e-15	1	0	0.999959	1.43224e-18	0.0703461	-1.53265e-15
71	-6.85533e-23	5.50094e-15	6.42193e-15	4.7338e-18	0.87963	1.1943	0.120336	1.38146e-15	0.0499857	0.558934	-2.24971e-22	1	3.53267e-25	1.78638e-14	2.25235e-15	1.56114e-14	1.04698e-15	1	1	3.34482e-16	1	0	0.999966	1.01827e-18	0.0703503	4.78235e-16
72	5.25853e-23	1.66876e-14	1.94803e-14	-8.28493e-19	0.87963	1.1943	0.120342	4.17765e-15	0.0499882	0.558934	1.72014e-22	1	-2.66483e-26	5.42173e-14	6.83623e-15	4.7381e-14	3.16632e-15	1	1	1.01133e-15	1	0	0.999971	-1.77042e-19	0.0703537	1.42291e-15
73	2.67956e-23	1.54309e-14	1.80131e-14	-3.27234e-18	0.87963	1.1943	0.120347	3.86088e-15	0.0499902	0.558934	8.7666e-23	1	-1.9605e-26	5.01386e-14	6.32199e-15	4.38166e-14	2.92627e-15	1	1	9.34616e-16	1	0	0.999976	-7.02906e-19	0.0703565	1.31116e-15
74	-1.83646e-23	1.81873e-15	2.12283e-15	-3.2684e-18	0.87963	1.1943	0.120351	4.52558e-16	0.0499918	0.558934	-5.99993e-23	1	-2.3269e-26	5.91433e-15	7.45785e-16	5.16855e-15	3.43039e-16	1	1	1.09519e-16	1	0	0.99998	-7.04295e-19	0.0703589	1.49245e-16
75	-1.61672e-24	-5.53957e-15	-6.46673e-15	-1.24719e-18	0.87963	1.1943	0.120354	-1.3881e-15	0.0499932	0.558934	-5.28951e-24	1	1.25256e-27	-1.79952e-14	-2.26899e-15	-1.57262e-14	-1.05205e-15	1	1	-3.3605e-16	1	0	0.999984	-2.65057e-19	0.0703609	-4.7511e-16
