Time	[IL6{serum}]	[sgp130{serum}]	[sR_IL6_sgp130{serum}]	[CRP{serum}]	[sR{serum}]	[sR_IL6{serum}]	[Ab{serum}]	[Ab_IL6{serum}]	[Ab_sR_IL6{serum}]	[CRP Suppression (%)]	[gp130{liver}]	[R_IL6_gp130{liver}]	[sR_IL6{liver}]	[R]	[IL6{liver}]	[R_IL6]	[Ractive{liver}]	[STAT3{liver}]	[pSTAT3{liver}]	[CRP{liver}]	[sR{liver}]	[CRPExtracellular]	[sgp130{liver}]	[sR_IL6_sgp130{liver}]	[Ab_sR_IL6{liver}]	[Ab_IL6{liver}]	[Ab{liver}]	[sR_IL6{gut}]	[gp130{gut}]	[R_IL6_gp130{gut}]	[Ractive{gut}]	[STAT3{gut}]	[pSTAT3{gut}]	[geneProduct]	[sR{gut}]	[IL6{gut}]	[sgp130{gut}]	[sR_IL6_sgp130{gut}]	[Ab{gut}]	[Ab_IL6{gut}]	[Ab_sR_IL6{gut}]	[Ab{peripheral}]
20	1.39606e-06	3.90849	0.0238375	220.761	4.30367	0.000295087	413.217	0.228019	-1.54897e-26	0.13688	0.415511	2.99416e-05	0.00027652	0.438832	8.0262e-07	2.49461e-06	0.707546	0.828745	9.17125	157.867	6.15806	409.165	5.5974	0.0336008	-1.33607e-26	0.0558535	174.639	0.0002773	0.414853	3.37565e-05	0.883962	0.6679	9.3321	159.299	6.15801	1.82207e-05	5.59735	0.0336488	86.7297	0.617529	-7.59804e-27	3.62014
21	1.50661e-06	3.90802	0.0222739	220.719	4.30419	0.000275767	405.069	0.241398	-1.54157e-26	0.156049	0.416804	2.89033e-05	0.000258354	0.438834	8.39343e-07	2.40369e-06	0.702682	0.833912	9.16609	157.821	6.15897	409.083	5.59649	0.0313941	-1.338e-26	0.0599498	179.157	0.000259127	0.416234	3.26834e-05	0.877344	0.672599	9.3274	159.258	6.15892	1.84543e-05	5.59644	0.0314416	88.9662	0.642156	-7.58715e-27	3.75579
22	1.62077e-06	3.90757	0.020811	220.674	4.30458	0.000257688	397.324	0.254888	-1.53443e-26	0.176475	0.418043	2.79188e-05	0.00024136	0.438837	8.77599e-07	2.31783e-06	0.697726	0.839268	9.16073	157.773	6.15971	408.996	5.59562	0.0293296	-1.33974e-26	0.0641976	183.41	0.000242129	0.417546	3.16638e-05	0.870652	0.67743	9.32257	159.215	6.15966	1.86912e-05	5.59557	0.0293768	91.071	0.666337	-7.57577e-27	3.88844
23	1.73843e-06	3.90713	0.0194426	220.626	4.30487	0.000240774	389.96	0.268483	-1.52753e-26	0.198135	0.419226	2.69854e-05	0.000225466	0.438838	9.17391e-07	2.23676e-06	0.692689	0.844807	9.15519	157.723	6.16027	408.904	5.59477	0.0273986	-1.34129e-26	0.068598	187.413	0.000226234	0.418792	3.06951e-05	0.863895	0.682387	9.31761	159.171	6.16022	1.89312e-05	5.59473	0.0274456	93.0508	0.690084	-7.56391e-27	4.01825
24	1.85951e-06	3.90672	0.018163	220.575	4.30505	0.000224955	382.957	0.282174	-1.52086e-26	0.221008	0.420354	2.61003e-05	0.000210606	0.43884	9.5872e-07	2.16021e-06	0.687578	0.850523	9.14948	157.672	6.16068	408.807	5.59397	0.025593	-1.34267e-26	0.0731517	191.179	0.000211374	0.419975	2.97748e-05	0.857083	0.68747	9.31253	159.126	6.16063	1.9174e-05	5.59392	0.0256399	94.9125	0.713409	-7.55162e-27	4.14534
25	1.98389e-06	3.90632	0.0169666	220.522	4.30512	0.000210163	376.296	0.295955	-1.5144e-26	0.245067	0.421428	2.52611e-05	0.000196716	0.438841	1.00159e-06	2.08793e-06	0.682403	0.856413	9.14359	157.619	6.16093	408.706	5.59319	0.023905	-1.34389e-26	0.077859	194.719	0.000197485	0.421095	2.89005e-05	0.850224	0.692675	9.30732	159.08	6.16088	1.94194e-05	5.59315	0.0239519	96.6621	0.736327	-7.53893e-27	4.26984
26	2.11149e-06	3.90594	0.0158484	220.466	4.30511	0.000196336	369.959	0.309821	-1.50816e-26	0.270291	0.42245	2.44654e-05	0.000183735	0.438841	1.046e-06	2.01966e-06	0.67717	0.86247	9.13753	157.564	6.16104	408.599	5.59246	0.0223274	-1.34494e-26	0.0827201	198.046	0.000184506	0.422156	2.80697e-05	0.843323	0.697999	9.302	159.033	6.16099	1.96671e-05	5.59241	0.0223744	98.3057	0.758847	-7.52587e-27	4.39187
27	2.24217e-06	3.90558	0.0148035	220.408	4.305	0.000183413	363.929	0.323764	-1.50211e-26	0.296654	0.42342	2.37108e-05	0.000171606	0.438842	1.09195e-06	1.95519e-06	0.671887	0.86869	9.13131	157.508	6.16101	408.488	5.59176	0.0208532	-1.34585e-26	0.0877349	201.172	0.000172381	0.42316	2.72803e-05	0.83639	0.703441	9.29656	158.985	6.16096	1.99171e-05	5.59171	0.0209005	99.8489	0.780982	-7.51247e-27	4.51154
28	2.37584e-06	3.90523	0.0138273	220.347	4.3048	0.000171338	358.191	0.33778	-1.49624e-26	0.324131	0.42434	2.29952e-05	0.000160276	0.438842	1.13944e-06	1.89429e-06	0.666562	0.875069	9.12493	157.45	6.16086	408.372	5.59109	0.0194761	-1.34661e-26	0.0929031	204.106	0.000161055	0.424109	2.65301e-05	0.82943	0.708997	9.291	158.936	6.16081	2.01692e-05	5.59105	0.0195236	101.297	0.802742	-7.49875e-27	4.62897
29	2.51238e-06	3.90491	0.0129155	220.284	4.30452	0.000160058	352.727	0.351862	-1.49056e-26	0.3527	0.425212	2.23164e-05	0.000149695	0.438842	1.18849e-06	1.83675e-06	0.661199	0.881603	9.1184	157.391	6.16058	408.252	5.59047	0.0181899	-1.34724e-26	0.0982241	206.86	0.000150478	0.425005	2.5817e-05	0.82245	0.714666	9.28533	158.886	6.16053	2.04233e-05	5.59042	0.0182377	102.655	0.824139	-7.48475e-27	4.74425
30	2.65166e-06	3.9046	0.012064	220.218	4.30417	0.000149523	347.525	0.366007	-1.48504e-26	0.382336	0.426037	2.16724e-05	0.000139815	0.438842	1.23907e-06	1.78237e-06	0.655806	0.888289	9.11171	157.331	6.16018	408.128	5.58987	0.0169889	-1.34774e-26	0.103697	209.442	0.000140603	0.425851	2.5139e-05	0.815455	0.720445	9.27955	158.834	6.16013	2.06792e-05	5.58982	0.0170369	103.928	0.845181	-7.47048e-27	4.85748
31	2.79358e-06	3.90431	0.011269	220.151	4.30374	0.000139686	342.571	0.380209	-1.47968e-26	0.413017	0.426817	2.10614e-05	0.000130592	0.438842	1.29121e-06	1.73098e-06	0.650388	0.895123	9.10488	157.269	6.15967	407.999	5.58931	0.0158676	-1.34811e-26	0.109322	211.862	0.000131385	0.426649	2.44942e-05	0.808451	0.726333	9.27367	158.782	6.15962	2.09368e-05	5.58926	0.0159159	105.12	0.86588	-7.45597e-27	4.96875
32	2.93802e-06	3.90403	0.0105268	220.081	4.30323	0.000130502	337.851	0.394464	-1.47447e-26	0.44472	0.427554	2.04815e-05	0.000121983	0.438842	1.34488e-06	1.68238e-06	0.64495	0.902102	9.0979	157.206	6.15906	407.867	5.58878	0.0148209	-1.34837e-26	0.115096	214.128	0.000122782	0.427402	2.38809e-05	0.801443	0.732328	9.26767	158.729	6.15901	2.1196e-05	5.58873	0.0148696	106.235	0.886244	-7.44125e-27	5.07815
33	3.08486e-06	3.90378	0.00983424	220.008	4.30266	0.000121931	333.354	0.408767	-1.4694e-26	0.477424	0.428249	1.99309e-05	0.000113949	0.438842	1.40011e-06	1.63643e-06	0.639497	0.909222	9.09078	157.142	6.15834	407.73	5.58828	0.0138441	-1.34851e-26	0.12102	216.248	0.000114754	0.428111	2.32972e-05	0.794436	0.738428	9.26157	158.674	6.15829	2.14567e-05	5.58823	0.0138931	107.278	0.906283	-7.42632e-27	5.18576
34	3.23399e-06	3.90353	0.00918795	219.934	4.30203	0.000113931	329.067	0.423114	-1.46447e-26	0.511107	0.428905	1.9408e-05	0.000106453	0.438841	1.45687e-06	1.59295e-06	0.634034	0.916481	9.08352	157.076	6.15753	407.589	5.58781	0.0129326	-1.34855e-26	0.127091	218.231	0.000107264	0.428778	2.27415e-05	0.787434	0.744632	9.25537	158.619	6.15747	2.17189e-05	5.58776	0.012982	108.253	0.926006	-7.41121e-27	5.29166
35	3.38528e-06	3.9033	0.00858498	219.857	4.30133	0.000106468	324.979	0.437502	-1.45966e-26	0.545751	0.429523	1.89113e-05	9.94606e-05	0.438841	1.51518e-06	1.55181e-06	0.628565	0.923877	9.07612	157.009	6.15662	407.445	5.58737	0.0120823	-1.34849e-26	0.133309	220.083	0.000100278	0.429406	2.22123e-05	0.780441	0.750938	9.24906	158.563	6.15656	2.19824e-05	5.58732	0.0121321	109.163	0.94542	-7.39594e-27	5.39593
36	3.53863e-06	3.90309	0.00802252	219.779	4.30057	9.95053e-05	321.081	0.451926	-1.45498e-26	0.581335	0.430106	1.84392e-05	9.29382e-05	0.438841	1.57503e-06	1.51285e-06	0.623094	0.931406	9.06859	156.941	6.15562	407.296	5.58695	0.0112892	-1.34833e-26	0.139671	221.811	9.37618e-05	0.429996	2.17081e-05	0.773462	0.757344	9.24266	158.506	6.15556	2.22471e-05	5.5869	0.0113393	110.011	0.964535	-7.38053e-27	5.49863
37	3.69393e-06	3.90289	0.00749794	219.698	4.29975	9.30113e-05	317.362	0.466384	-1.45042e-26	0.617842	0.430653	1.79903e-05	8.68556e-05	0.43884	1.63641e-06	1.47595e-06	0.617625	0.939067	9.06093	156.871	6.15453	407.144	5.58656	0.0105494	-1.34808e-26	0.146177	223.422	8.76855e-05	0.430552	2.12274e-05	0.766499	0.763851	9.23615	158.448	6.15447	2.25131e-05	5.58651	0.0106	110.801	0.983357	-7.36498e-27	5.59983
38	3.85107e-06	3.9027	0.00700876	219.615	4.29887	8.69551e-05	313.813	0.480871	-1.44597e-26	0.655255	0.431169	1.75632e-05	8.11838e-05	0.43884	1.69932e-06	1.44099e-06	0.61216	0.946857	9.05314	156.8	6.15336	406.988	5.5862	0.00985964	-1.34774e-26	0.152824	224.923	8.20201e-05	0.431073	2.07689e-05	0.759556	0.770455	9.22954	158.389	6.1533	2.27802e-05	5.58615	0.00991056	111.536	1.0019	-7.34931e-27	5.6996
39	4.00995e-06	3.90252	0.00655264	219.53	4.29794	8.1308e-05	310.424	0.495386	-1.44162e-26	0.693555	0.431653	1.71568e-05	7.58957e-05	0.438839	1.76376e-06	1.40784e-06	0.606705	0.954774	9.04523	156.728	6.15211	406.829	5.58585	0.00921648	-1.34732e-26	0.15961	226.318	7.67386e-05	0.431563	2.03313e-05	0.752637	0.777157	9.22284	158.329	6.15205	2.30483e-05	5.5858	0.0092678	112.219	1.02016	-7.33355e-27	5.79799
40	4.17046e-06	3.90235	0.00612743	219.444	4.29696	7.60434e-05	307.189	0.509924	-1.43737e-26	0.732729	0.432108	1.67697e-05	7.09662e-05	0.438839	1.82973e-06	1.37639e-06	0.60126	0.962816	9.03718	156.655	6.15078	406.666	5.58553	0.00861691	-1.34682e-26	0.166533	227.614	7.18156e-05	0.432022	1.99134e-05	0.745743	0.783955	9.21605	158.269	6.15073	2.33174e-05	5.58548	0.00866862	112.852	1.03815	-7.31769e-27	5.89506
41	4.33249e-06	3.9022	0.00573108	219.355	4.29593	7.11361e-05	304.097	0.524484	-1.43321e-26	0.772761	0.432535	1.64009e-05	6.63718e-05	0.438839	1.89721e-06	1.34655e-06	0.595829	0.970982	9.02902	156.581	6.14938	406.499	5.58523	0.00805805	-1.34625e-26	0.173593	228.816	6.72276e-05	0.432453	1.95141e-05	0.738878	0.790848	9.20915	158.207	6.14932	2.35875e-05	5.58518	0.00811016	113.439	1.05588	-7.30176e-27	5.99086
42	4.49597e-06	3.90205	0.0053617	219.265	4.29485	6.65626e-05	301.143	0.539062	-1.42915e-26	0.813636	0.432936	1.60493e-05	6.209e-05	0.438838	1.9662e-06	1.31821e-06	0.590415	0.97927	9.02073	156.505	6.14791	406.329	5.58495	0.00753721	-1.3456e-26	0.180786	229.928	6.29524e-05	0.432858	1.91323e-05	0.732044	0.797836	9.20216	158.144	6.14785	2.38584e-05	5.58489	0.00758972	113.981	1.07335	-7.28575e-27	6.08545
43	4.6608e-06	3.90191	0.00501749	219.173	4.29372	6.23006e-05	298.318	0.553656	-1.42517e-26	0.855343	0.433312	1.57138e-05	5.81002e-05	0.438838	2.0367e-06	1.29129e-06	0.58502	0.987678	9.01232	156.428	6.14637	406.156	5.58468	0.00705186	-1.34489e-26	0.18811	230.956	5.89691e-05	0.433237	1.8767e-05	0.725243	0.804917	9.19508	158.081	6.14631	2.41301e-05	5.58463	0.00710477	114.482	1.09058	-7.2697e-27	6.17887
44	4.82688e-06	3.90178	0.00469677	219.079	4.29254	5.83295e-05	295.617	0.568264	-1.42127e-26	0.897868	0.433665	1.53935e-05	5.43829e-05	0.438837	2.1087e-06	1.2657e-06	0.579646	0.996205	9.00379	156.35	6.14476	405.98	5.58444	0.00659964	-1.3441e-26	0.195565	231.905	5.52584e-05	0.433592	1.84172e-05	0.718477	0.812091	9.18791	158.017	6.1447	2.44026e-05	5.58438	0.00665295	114.943	1.10756	-7.25359e-27	6.27118
45	4.99413e-06	3.90166	0.00439799	218.983	4.29132	5.46301e-05	293.032	0.582883	-1.41745e-26	0.941199	0.433995	1.50876e-05	5.092e-05	0.438837	2.18219e-06	1.24135e-06	0.574296	1.00485	8.99515	156.271	6.14308	405.8	5.5842	0.00617835	-1.34326e-26	0.203146	232.777	5.1802e-05	0.433924	1.8082e-05	0.711748	0.819357	9.18064	157.952	6.14302	2.46758e-05	5.58415	0.00623206	115.366	1.1243	-7.23745e-27	6.3624
46	5.16248e-06	3.90155	0.00411967	218.885	4.29006	5.11841e-05	290.558	0.597511	-1.4137e-26	0.985327	0.434305	1.47951e-05	4.76944e-05	0.438836	2.25716e-06	1.21817e-06	0.56897	1.01361	8.98639	156.191	6.14134	405.617	5.58399	0.00578591	-1.34236e-26	0.210852	233.578	4.85829e-05	0.434236	1.77606e-05	0.705057	0.826715	9.17329	157.886	6.14128	2.49497e-05	5.58393	0.00584002	115.754	1.14081	-7.22128e-27	6.45259
