Time	[r0]	[r1]	[r2]	[r11]	[r12]	[r22]	[r1x2]	[r11x2]	[r1x22]	[r1x22d]	[r11x22]	[rend]	[rendP]	[iendIR]	[iend]	[rPbasal]	[IRS]	[IRSiP]	[X]	[X_P]	[PI3K]	[PI3K_]	[PDK1]	[PDK1_]	[PKC]	[PKC_P]	[PKB]	[PKB_P]	[mTOR]	[mTOR_]	[GLUT4_C]	[GLUT4_M]	Values[G_p]	Values[G_t]	Values[I_l]	Values[I_p]	Values[Q_sto1]	Values[Q_sto2]	Values[Q_gut]	Values[I_1]	Values[I_d]	Values[INS]	Values[I_po]	Values[Y]
36	9.01329	0.872303	0.0883581	0.0211071	0.00427628	0.000216674	4.15938e-05	2.01297e-06	2.03675e-07	8.06686e-16	2.76095e-10	6.51172e-05	0.000308408	0.000179623	3.79048e-05	3.50135e-05	9.99974	0.000256936	9.89708	0.102923	9.96498	0.035023	8.16979	1.83021	2.64026e-05	9.99997	9.86665	0.133345	0.0148577	9.98514	9.99073	0.00927042	275.589	174.287	34.6669	9.74255	10463.7	42482.1	8933.64	50.2739	27.123	82.2449	13.8327	2.96929
37	8.97816	0.90001	0.0938654	0.0225573	0.00470548	0.000245495	4.30352e-05	2.15729e-06	2.24738e-07	9.19359e-16	3.13869e-10	6.63378e-05	0.000310967	0.000184685	3.93784e-05	3.4877e-05	9.99974	0.000259058	9.89598	0.104024	9.96469	0.0353112	8.1575	1.8425	2.62266e-05	9.99997	9.86577	0.134228	0.0147601	9.98524	9.99067	0.00933258	277.291	175.536	34.6087	9.72433	9895.78	42672.3	8805.72	51.4101	27.3097	85.0912	13.8352	3.10372
38	8.94417	0.926463	0.0994822	0.0239937	0.00515317	0.000276815	4.44269e-05	2.30124e-06	2.46816e-07	1.04063e-15	3.54406e-10	6.75212e-05	0.000313421	0.000189528	4.08116e-05	3.4745e-05	9.99974	0.000261092	9.89492	0.105084	9.96441	0.0355875	8.14576	1.85424	2.60605e-05	9.99997	9.86493	0.135072	0.0146681	9.98533	9.99061	0.00939193	278.894	176.731	34.5651	9.70813	9358.72	42834.8	8681.96	52.5347	27.5038	87.8335	13.8464	3.2363
39	8.91127	0.951722	0.105199	0.0254134	0.00561856	0.000310698	4.57711e-05	2.4445e-06	2.69882e-07	1.17051e-15	3.97698e-10	6.86688e-05	0.000315777	0.000194169	4.22055e-05	3.46172e-05	9.99974	0.000263045	9.89389	0.106105	9.96415	0.0358529	8.13451	1.86549	2.59034e-05	9.99997	9.86412	0.13588	0.0145809	9.98542	9.99055	0.00944875	280.402	177.871	34.5385	9.69518	8850.81	42970.8	8562.43	53.6481	27.7051	90.477	13.8655	3.36685
40	8.87941	0.975853	0.111005	0.0268144	0.00610087	0.000347203	4.70702e-05	2.58689e-06	2.93906e-07	1.309e-15	4.43736e-10	6.97822e-05	0.000318047	0.000198622	4.35617e-05	3.44934e-05	9.99974	0.000264927	9.89291	0.107088	9.96389	0.0361083	8.12371	1.87629	2.57543e-05	9.99997	9.86334	0.136656	0.0144983	9.9855	9.9905	0.00950326	281.819	178.956	34.531	9.68638	8370.46	43081.6	8447.15	54.751	27.9136	93.0273	13.8917	3.49521
41	8.84852	0.998926	0.116894	0.0281956	0.0065994	0.00038638	4.8327e-05	2.72825e-06	3.18863e-07	1.45607e-15	4.92513e-10	7.08633e-05	0.000320237	0.000202903	4.48823e-05	3.43735e-05	9.99973	0.000266742	9.89197	0.108034	9.96365	0.0363549	8.11332	1.88668	2.56124e-05	9.99997	9.8626	0.137403	0.0144196	9.98558	9.99044	0.00955569	283.15	179.987	34.5435	9.68241	7916.18	43168.7	8336.08	55.8442	28.1291	95.4904	13.9243	3.62123
42	8.81855	1.02101	0.122856	0.0295564	0.0071135	0.000428274	4.9544e-05	2.86852e-06	3.44727e-07	1.61174e-15	5.44023e-10	7.19141e-05	0.000322355	0.000207027	4.61693e-05	3.4257e-05	9.99973	0.000268499	9.89105	0.108945	9.96341	0.0365934	8.10329	1.89671	2.54769e-05	9.99997	9.86188	0.138123	0.0143445	9.98566	9.99039	0.00960624	284.398	180.966	34.5765	9.68369	7486.56	43233.1	8229.18	56.9286	28.3515	97.8724	13.9625	3.74478
43	8.78944	1.04218	0.128885	0.0308968	0.00764258	0.000472923	5.07242e-05	3.00769e-06	3.71477e-07	1.77601e-15	5.98265e-10	7.29367e-05	0.00032441	0.000211008	4.7425e-05	3.41439e-05	9.99973	0.000270202	9.89018	0.109824	9.96318	0.0368247	8.09359	1.90641	2.53473e-05	9.99997	9.86118	0.13882	0.0142726	9.98573	9.99034	0.0096551	285.566	181.892	34.63	9.69047	7080.25	43276.1	8126.35	58.0051	28.5806	100.179	14.0055	3.86574
44	8.76111	1.06251	0.134973	0.0322176	0.00818612	0.000520364	5.18701e-05	3.14577e-06	3.99094e-07	1.9489e-15	6.55242e-10	7.39332e-05	0.000326407	0.000214859	4.86516e-05	3.40339e-05	9.99973	0.000271858	9.88933	0.110672	9.96295	0.0370495	8.08418	1.91582	2.52228e-05	9.99997	9.8605	0.139496	0.0142036	9.9858	9.9903	0.00970244	286.658	182.766	34.7035	9.70283	6695.99	43298.9	8027.46	59.0746	28.8164	102.418	14.0527	3.98404
45	8.73351	1.08205	0.141115	0.0335195	0.00874365	0.000570626	5.29846e-05	3.28282e-06	4.27559e-07	2.13044e-15	7.14962e-10	7.49055e-05	0.000328352	0.000218591	4.98515e-05	3.39267e-05	9.99973	0.00027347	9.88851	0.111491	9.96273	0.0372684	8.07504	1.92496	2.5103e-05	9.99997	9.85985	0.140152	0.0141372	9.98586	9.99025	0.00974841	287.678	183.589	34.7962	9.72073	6332.59	43302.6	7932.4	60.1381	29.0587	104.593	14.1033	4.09957
