Time	[Gsbg]	[L]	[Gsa_gdp]	[Gsa_gtp]	[b1AR_S464]	[PDEcAMP]	[PDE]	[ATP]	[b1AR]	[Gs]	[A2RC]	[A2R]	[PKAC]	[ARC]	[PKAC_AKAR]	[Propranolol]	[b1ARinhib]	[light_spot]	[AC]	[PKI]	[PKAC_PKI]	[RC]	[b1AR_Gs]	[cAMP]	[GsAC]	[IBMX]	[PDE_IBMX]	[Fsk]	[FskAC]	[b1AR_p]	[L_b1AR]	[AKAR]	[AKARp]	[PP]	[PP_AKARp]	[DMNB_cAMP]	[L_b1AR_Gs]
22	0.0309831	6.48974e-24	0.000581151	0.0272338	2.16249e-25	8.94009e-05	0.0139106	5000	0.0118382	3.79766	3.15249e-06	0.0684666	0.000152172	0.00101867	7.22416e-05	0	0	0	0.0465319	0.111758	0.0682422	1.11051	0.00136169	0.00838718	0.0031681	0	0	0	0	6.30631e-08	2.74939e-25	9.99512	0.00438881	0.669581	0.000419296	3.01	1.34059e-23
23	0.0309831	6.47393e-24	0.000581151	0.0272338	2.30807e-25	9.19062e-05	0.0139081	5000	0.0118382	3.79766	3.44262e-06	0.0718328	0.000162914	0.00104422	7.73385e-05	0	0	0	0.0465319	0.108407	0.0715925	1.10712	0.00136169	0.00862377	0.0031681	0	0	0	0	6.96292e-08	2.74907e-25	9.99477	0.00470491	0.669551	0.000449474	3.01	1.34065e-23
24	0.0309831	6.47755e-24	0.000581151	0.0272338	2.45322e-25	9.4569e-05	0.0139054	5000	0.0118382	3.79766	3.75922e-06	0.0751841	0.000174278	0.00107141	8.27299e-05	0	0	0	0.0465319	0.105073	0.0749271	1.10374	0.00136169	0.00887533	0.0031681	0	0	0	0	7.66513e-08	2.74526e-25	9.9944	0.00503876	0.669519	0.000481346	3.01	1.33859e-23
25	0.030983	6.46695e-24	0.000581151	0.0272338	2.59792e-25	9.73952e-05	0.0139026	5000	0.0118382	3.79766	4.10449e-06	0.0785199	0.000186315	0.0011003	8.84405e-05	0	0	0	0.0465319	0.101755	0.0782451	1.10038	0.00136169	0.00914243	0.0031681	0	0	0	0	8.41558e-08	2.74391e-25	9.994	0.00539183	0.669485	0.000515049	3.01	1.33808e-23
26	0.030983	6.46353e-24	0.000581151	0.0272338	2.74219e-25	0.000100391	0.0138996	5000	0.0118382	3.79766	4.48088e-06	0.0818393	0.000199084	0.00113095	9.44979e-05	0	0	0	0.0465319	0.0984543	0.0815457	1.09703	0.00136169	0.00942569	0.0031681	0	0	0	0	9.21716e-08	2.74181e-25	9.99359	0.00576574	0.669449	0.000550736	3.01	1.33701e-23
27	0.030983	6.4593e-24	0.000581151	0.0272338	2.88604e-25	0.000103564	0.0138964	5000	0.0118382	3.79766	4.89113e-06	0.0851415	0.00021265	0.00116342	0.000100933	0	0	0	0.0465319	0.0951721	0.0848279	1.09369	0.00136169	0.0097258	0.0031681	0	0	0	0	1.0073e-07	2.73965e-25	9.99315	0.00616226	0.669411	0.000588578	3.01	1.33598e-23
28	0.030983	6.45253e-24	0.000581151	0.0272337	3.02946e-25	0.000106921	0.0138931	5000	0.0118382	3.79766	5.33826e-06	0.0884257	0.000227084	0.0011978	0.000107778	0	0	0	0.0465319	0.0919092	0.0880908	1.09037	0.00136169	0.0100435	0.00316809	0	0	0	0	1.09866e-07	2.73819e-25	9.99268	0.00658337	0.669371	0.000628762	3.01	1.33524e-23
29	0.030983	6.44801e-24	0.000581151	0.0272337	3.17246e-25	0.000110471	0.0138895	5000	0.0118382	3.79766	5.82567e-06	0.0916909	0.000242466	0.00123415	0.000115073	0	0	0	0.0465319	0.0886666	0.0913334	1.08707	0.00136168	0.0103796	0.00316809	0	0	0	0	1.19615e-07	2.7363e-25	9.99218	0.0070313	0.669329	0.0006715	3.01	1.3343e-23
30	0.0309829	6.44463e-24	0.000581151	0.0272337	3.31504e-25	0.000114223	0.0138858	5000	0.0118382	3.79766	6.35717e-06	0.0949361	0.000258887	0.00127257	0.00012286	-8.56416e-34	-1.53094e-33	0	0.0465319	0.0854456	0.0945544	1.08378	0.00136168	0.0107351	0.00316809	0	0	0	0	1.3002e-07	2.73402e-25	9.99165	0.00750851	0.669283	0.000717025	3.01	1.33326e-23
31	0.0309829	6.44005e-24	0.000581151	0.0272337	3.45721e-25	0.000118189	0.0138818	5000	0.0118382	3.79766	6.93699e-06	0.0981603	0.000276447	0.00131317	0.000131186	3.62521e-30	6.47238e-30	0	0.0465319	0.0822473	0.0977527	1.08052	0.00136168	0.0111109	0.00316809	0	0	0	0	1.41125e-07	2.73214e-25	9.99109	0.00801775	0.669234	0.0007656	3.01	1.33231e-23
32	0.0309829	6.4354e-24	0.00058115	0.0272337	3.59895e-25	0.000122378	0.0138776	5000	0.0118382	3.79766	7.56994e-06	0.101362	0.000295259	0.00135605	0.000140105	4.39932e-29	7.44296e-29	0	0.0465319	0.0790731	0.100927	1.07727	0.00136168	0.0115082	0.00316809	0	0	0	0	1.52979e-07	2.7302e-25	9.99048	0.00856213	0.669182	0.000817518	3.01	1.33138e-23
33	0.0309829	6.431e-24	0.00058115	0.0272336	3.74028e-25	0.000126803	0.0138732	5000	0.0118382	3.79766	8.26141e-06	0.104541	0.000315451	0.00140135	0.000149677	7.70115e-29	1.13122e-28	0	0.0465319	0.0759245	0.104076	1.07405	0.00136168	0.0119283	0.00316808	0	0	0	0	1.65637e-07	2.72827e-25	9.98983	0.00914512	0.669127	0.00087311	3.01	1.33044e-23
34	0.0309828	6.42638e-24	0.00058115	0.0272336	3.8812e-25	0.00013148	0.0138685	5000	0.0118381	3.79766	9.01749e-06	0.107694	0.000337167	0.0014492	0.00015997	7.44857e-29	1.12544e-28	0	0.0465319	0.072803	0.107197	1.07085	0.00136168	0.0123724	0.00316808	0	0	0	0	1.79159e-07	2.72636e-25	9.98914	0.00977065	0.669067	0.000932747	3.01	1.32951e-23
35	0.0309828	6.4219e-24	0.00058115	0.0272336	4.02169e-25	0.000136423	0.0138636	5000	0.0118381	3.79766	9.84509e-06	0.110821	0.000360571	0.00149977	0.00017106	6.64404e-29	9.87767e-29	0	0.0465319	0.0697103	0.11029	1.06767	0.00136168	0.0128421	0.00316808	0	0	0	0	1.93611e-07	2.72442e-25	9.98839	0.0104431	0.669003	0.000996848	3.01	1.32856e-23
36	0.0309828	6.41747e-24	0.00058115	0.0272336	4.16178e-25	0.00014165	0.0138584	5000	0.0118381	3.79766	1.07521e-05	0.11392	0.000385847	0.00155324	0.000183037	6.47785e-29	9.18208e-29	0	0.0465319	0.0666485	0.113352	1.06452	0.00136168	0.0133391	0.00316807	0	0	0	0	2.09066e-07	2.72248e-25	9.98758	0.0111676	0.668934	0.00106589	3.01	1.32762e-23
37	0.0309827	6.41292e-24	0.00058115	0.0272335	4.30145e-25	0.000147179	0.0138528	5000	0.0118381	3.79766	1.17473e-05	0.11699	0.000413204	0.00160979	0.000195998	6.6201e-29	9.69613e-29	0	0.0465319	0.0636195	0.11638	1.06139	0.00136167	0.0138654	0.00316807	0	0	0	0	2.25607e-07	2.7206e-25	9.98671	0.0119496	0.66886	0.00114041	3.01	1.3267e-23
38	0.0309827	6.40843e-24	0.00058115	0.0272335	4.44071e-25	0.000153033	0.013847	5000	0.0118381	3.79766	1.28409e-05	0.120027	0.000442883	0.00166964	0.000210056	6.58309e-29	9.73914e-29	0	0.0465319	0.0606258	0.119374	1.05829	0.00136167	0.0144229	0.00316807	0	0	0	0	2.43325e-07	2.7187e-25	9.98577	0.0127958	0.668779	0.00122101	3.01	1.32577e-23
39	0.0309827	6.40398e-24	0.00058115	0.0272335	4.57956e-25	0.000159233	0.0138408	5000	0.0118381	3.79766	1.40445e-05	0.123031	0.000475158	0.00173305	0.00022534	6.58104e-29	9.73844e-29	0	0.0465319	0.0576698	0.12233	1.05522	0.00136167	0.015014	0.00316806	0	0	0	0	2.62321e-07	2.71681e-25	9.98475	0.0137133	0.668692	0.0013084	3.01	1.32485e-23
40	0.0309826	6.39954e-24	0.00058115	0.0272334	4.71801e-25	0.000165807	0.0138342	5000	0.011838	3.79766	1.53714e-05	0.125998	0.000510339	0.00180028	0.000241998	6.58098e-29	9.73837e-29	0	0.0465319	0.0547544	0.125246	1.05219	0.00136167	0.0156413	0.00316806	0	0	0	0	2.82711e-07	2.71492e-25	9.98364	0.0147107	0.668597	0.00140336	3.01	1.32393e-23
41	0.0309826	6.39512e-24	0.00058115	0.0272334	4.85604e-25	0.000172783	0.0138272	5000	0.011838	3.79766	1.68368e-05	0.128926	0.000548784	0.00187164	0.000260197	6.58119e-29	9.73876e-29	0	0.0465319	0.0518826	0.128117	1.04919	0.00136167	0.0163076	0.00316805	0	0	0	0	3.04621e-07	2.71304e-25	9.98244	0.0157974	0.668493	0.00150679	3.01	1.32301e-23
42	0.0309825	6.3907e-24	0.00058115	0.0272333	4.99367e-25	0.000180192	0.0138198	5000	0.011838	3.79766	1.8458e-05	0.131813	0.000590903	0.00194744	0.00028013	6.58201e-29	9.73792e-29	0	0.0465319	0.0490578	0.130942	1.04622	0.00136166	0.0170161	0.00316805	0	0	0	0	3.28196e-07	2.71116e-25	9.98112	0.0169844	0.66838	0.00161974	3.01	1.3221e-23
43	0.0309825	6.3863e-24	0.00058115	0.0272333	5.13089e-25	0.00018807	0.0138119	5000	0.011838	3.79766	2.02551e-05	0.134655	0.000637164	0.00202807	0.000302017	6.58118e-29	9.73872e-29	0	0.046532	0.0462839	0.133716	1.0433	0.00136166	0.0177701	0.00316805	0	0	0	0	3.53599e-07	2.70929e-25	9.97967	0.0182842	0.668257	0.00174337	3.01	1.32118e-23
44	0.0309824	6.38192e-24	0.00058115	0.0272332	5.26771e-25	0.000196452	0.0138035	5000	0.011838	3.79766	2.2251e-05	0.137449	0.000688102	0.00211391	0.00032611	6.58135e-29	9.73857e-29	0	0.046532	0.0435649	0.136435	1.04041	0.00136166	0.0185734	0.00316804	0	0	0	0	3.81013e-07	2.70743e-25	9.97808	0.0197112	0.668121	0.00187905	3.01	1.32027e-23
45	0.0309824	6.37756e-24	0.00058115	0.0272332	5.40413e-25	0.000205381	0.0137946	5000	0.0118379	3.79766	2.44719e-05	0.140192	0.000744332	0.00220541	0.000352697	6.58121e-29	9.7387e-29	0	0.046532	0.0409053	0.139095	1.03758	0.00136166	0.0194301	0.00316803	0	0	0	0	4.10645e-07	2.70557e-25	9.97634	0.0212817	0.667972	0.00202831	3.01	1.31937e-23
46	0.0309823	6.37328e-24	0.00058115	0.0272331	5.54015e-25	0.0002149	0.0137851	5000	0.0118379	3.79766	2.69478e-05	0.142878	0.000806553	0.00230304	0.000382106	6.58119e-29	9.73871e-29	0	0.046532	0.0383102	0.14169	1.03479	0.00136165	0.0203447	0.00316803	0	0	0	0	4.42731e-07	2.70375e-25	9.97441	0.0230146	0.667807	0.00219293	3.01	1.31848e-23
47	0.0309822	6.36898e-24	0.00058115	0.0272331	5.67577e-25	0.000225055	0.0137749	5000	0.0118379	3.79766	2.9713e-05	0.145505	0.000875558	0.00240729	0.000414709	6.58127e-29	9.73864e-29	0	0.046532	0.0357848	0.144215	1.03206	0.00136165	0.0213218	0.00316802	0	0	0	0	4.77537e-07	2.70191e-25	9.97228	0.0249311	0.667625	0.0023749	3.01	1.31758e-23
48	0.0309821	6.36465e-24	0.00058115	0.027233	5.81099e-25	0.000235895	0.0137641	5000	0.0118378	3.79766	3.28061e-05	0.148068	0.000952247	0.0025187	0.000450925	6.58133e-29	9.73858e-29	0	0.046532	0.0333349	0.146665	1.02938	0.00136164	0.0223664	0.00316801	0	0	0	0	5.15364e-07	2.70008e-25	9.96992	0.0270557	0.667423	0.0025765	3.01	1.31669e-23
49	0.0309821	6.36039e-24	0.00058115	0.0272329	5.94582e-25	0.00024747	0.0137525	5000	0.0118378	3.79766	3.62708e-05	0.150562	0.00103762	0.00263781	0.000491225	6.58134e-29	9.73857e-29	0	0.046532	0.0309668	0.149033	1.02676	0.00136164	0.0234837	0.003168	0	0	0	0	5.56553e-07	2.69826e-25	9.96729	0.0294158	0.6672	0.00280031	3.01	1.3158e-23
50	0.030982	6.35617e-24	0.00058115	0.0272328	6.08024e-25	0.000259829	0.0137402	5000	0.0118378	3.79766	4.01555e-05	0.152982	0.0011328	0.00276517	0.000536127	6.58135e-29	9.73856e-29	0	0.046532	0.0286867	0.151313	1.02421	0.00136164	0.0246787	0.003168	0	0	0	0	6.01491e-07	2.69647e-25	9.96437	0.032042	0.666951	0.00304918	3.01	1.31493e-23
51	0.0309819	6.35192e-24	0.00058115	0.0272327	6.21428e-25	0.000273019	0.013727	5000	0.0118377	3.79766	4.45136e-05	0.155324	0.001239	0.00290131	0.000586197	6.58136e-29	9.73854e-29	0	0.046532	0.0265015	0.153499	1.02173	0.00136163	0.0259564	0.00316799	0	0	0	0	6.50611e-07	2.69464e-25	9.96112	0.0349685	0.666674	0.00332629	3.01	1.31404e-23
52	0.0309818	6.34759e-24	0.00058115	0.0272326	6.34792e-25	0.000287082	0.0137129	5000	0.0118377	3.79766	4.94025e-05	0.157582	0.00135752	0.00304671	0.000642037	6.58138e-29	9.73853e-29	0	0.046532	0.0244176	0.155582	1.01932	0.00136162	0.0273214	0.00316797	0	0	0	0	7.04402e-07	2.6928e-25	9.95749	0.0382325	0.666365	0.00363508	3.01	1.31314e-23
53	0.0309816	6.3433e-24	0.00058115	0.0272325	6.48116e-25	0.000302052	0.0136979	5000	0.0118376	3.79766	5.48829e-05	0.159752	0.00148973	0.00320177	0.000704277	6.5814e-29	9.73851e-29	0	0.046532	0.0224416	0.157558	1.01699	0.00136162	0.0287775	0.00316796	0	0	0	0	7.63406e-07	2.69097e-25	9.95344	0.0418741	0.666021	0.00397926	3.01	1.31225e-23
54	0.0309815	6.33907e-24	0.00058115	0.0272324	6.61402e-25	0.000317951	0.013682	5000	0.0118376	3.79766	6.10166e-05	0.161831	0.00163699	0.00336677	0.000773544	6.58142e-29	9.73849e-29	0	0.046532	0.0205792	0.159421	1.01474	0.00136161	0.0303275	0.00316795	0	0	0	0	8.28223e-07	2.68916e-25	9.94893	0.0459349	0.665637	0.00436264	3.01	1.31137e-23
55	0.0309814	6.33484e-24	0.00058115	0.0272323	6.74648e-25	0.000334784	0.0136652	5000	0.0118375	3.79766	6.78646e-05	0.163816	0.00180063	0.00354184	0.000850443	6.58144e-29	9.73847e-29	0	0.0465321	0.0188355	0.161164	1.01257	0.0013616	0.0319725	0.00316794	0	0	0	0	8.9951e-07	2.68735e-25	9.9439	0.0504574	0.665211	0.0047891	3.01	1.31048e-23
56	0.0309812	6.33063e-24	0.00058115	0.0272321	6.87855e-25	0.000352539	0.0136475	5000	0.0118374	3.79766	7.54833e-05	0.165703	0.00198186	0.00372687	0.000935513	6.58146e-29	9.73845e-29	0	0.0465321	0.0172143	0.162786	1.01049	0.0013616	0.0337118	0.00316792	0	0	0	0	9.77977e-07	2.68555e-25	9.93832	0.0554829	0.664738	0.00526234	3.01	1.30961e-23
57	0.030981	6.32642e-24	0.00058115	0.027232	7.01023e-25	0.000371177	0.0136288	5000	0.0118373	3.79766	8.39219e-05	0.167493	0.00218168	0.00392154	0.00102919	6.58149e-29	9.73842e-29	0	0.0465321	0.0157176	0.164282	1.0085	0.00136159	0.0355427	0.0031679	0	0	0	0	1.06438e-06	2.68375e-25	9.93214	0.0610494	0.664214	0.00578573	3.01	1.30873e-23
58	0.0309809	6.32222e-24	0.00058115	0.0272318	7.14153e-25	0.00039064	0.0136094	5000	0.0118373	3.79766	9.32175e-05	0.169187	0.00240078	0.00412528	0.00113178	6.58151e-29	9.73839e-29	0	0.0465321	0.0143457	0.165654	1.00659	0.00136158	0.0374599	0.00316789	0	0	0	0	1.1595e-06	2.68195e-25	9.92532	0.0671889	0.663638	0.00636206	3.01	1.30785e-23
59	0.0309806	6.31804e-24	0.000581149	0.0272316	7.27244e-25	0.000410843	0.0135892	5000	0.0118372	3.79766	0.000103393	0.170786	0.00263952	0.00433724	0.00124338	6.58155e-29	9.73836e-29	0	0.0465321	0.0130968	0.166903	1.00477	0.00136157	0.0394558	0.00316786	0	0	0	0	1.26416e-06	2.68015e-25	9.91784	0.0739255	0.663007	0.00699329	3.01	1.30697e-23
60	0.0309804	6.31388e-24	0.000581149	0.0272314	7.40296e-25	0.000431683	0.0135683	5000	0.0118371	3.79766	0.000114456	0.172295	0.00289782	0.00455636	0.00136394	6.58158e-29	9.73833e-29	0	0.0465322	0.0119671	0.168033	1.00303	0.00136156	0.0415208	0.00316784	0	0	0	0	1.37917e-06	2.67837e-25	9.90968	0.0812728	0.66232	0.00768037	3.01	1.3061e-23
61	0.0309802	6.30973e-24	0.000581149	0.0272312	7.5331e-25	0.00045304	0.013547	5000	0.011837	3.79766	0.000126393	0.173717	0.0031752	0.00478141	0.00149316	6.58162e-29	9.73829e-29	0	0.0465322	0.010951	0.169049	1.00137	0.00136154	0.0436437	0.00316782	0	0	0	0	1.50533e-06	2.67658e-25	9.90085	0.0892327	0.661577	0.00842314	3.01	1.30523e-23
62	0.0309799	6.30556e-24	0.000581149	0.0272309	7.66286e-25	0.000474787	0.0135252	5000	0.0118368	3.79766	0.000139176	0.17506	0.00347075	0.00501105	0.00163058	6.58166e-29	9.73825e-29	0	0.0465322	0.0100413	0.169959	0.99979	0.00136153	0.0458121	0.00316779	0	0	0	0	1.64341e-06	2.67478e-25	9.89135	0.0977947	0.66078	0.00922022	3.01	1.30436e-23
63	0.0309796	6.30139e-24	0.000581149	0.0272307	7.79223e-25	0.000496793	0.0135032	5000	0.0118367	3.79766	0.000152762	0.176329	0.00378327	0.00524389	0.00177558	6.5817e-29	9.73821e-29	0	0.0465322	0.0092299	0.17077	0.998274	0.00136151	0.0480135	0.00316776	0	0	0	0	1.79413e-06	2.67298e-25	9.88122	0.106936	0.659931	0.0100691	3.01	1.30348e-23
64	0.0309792	6.29727e-24	0.000581149	0.0272304	7.92122e-25	0.000518931	0.0134811	5000	0.0118365	3.79766	0.000167095	0.177531	0.00411123	0.00547861	0.00192741	6.58175e-29	9.73816e-29	0	0.0465323	0.00850803	0.171492	0.996824	0.0013615	0.0502354	0.00316773	0	0	0	0	1.95815e-06	2.6712e-25	9.87048	0.116623	0.659034	0.0109663	3.01	1.30261e-23
65	0.0309789	6.29319e-24	0.000581149	0.02723	8.04983e-25	0.000541085	0.0134589	5000	0.0118364	3.79766	0.00018211	0.178671	0.00445296	0.00571392	0.00208523	6.5818e-29	9.7381e-29	0	0.0465323	0.00786679	0.172133	0.995433	0.00136148	0.0524662	0.00316769	0	0	0	0	2.13607e-06	2.66944e-25	9.85919	0.126813	0.658092	0.0119075	3.01	1.30175e-23
