Time	[Akt]	[AktPIP3]	[AktPIP]	[AktPIPP]	[ERK]	[ERKP]	[ERKPP]	[GS]	[HRG]	[MEK]	[MEKP]	[MEKPP]	[PI3K]	[PI3Kstar]	[PIP3]	[R]	[RP]	[RHRG]	[RHRG2]	[RPI3K]	[RPI3Kstar]	[RShGS]	[RShP]	[RShc]	[Raf]	[Rafstar]	[RasGDP]	[RasGTP]	[ShGS]	[ShP]	[Shc]	[P_I]	[internalization]	[E]	[MKP3]	[PP2A]
36	8.74256	0.511206	0.351897	0.394338	991.727	8.21582	0.0573144	3.48966	250.015	60.0354	45.0912	14.8734	6.51905	3.15591	0.0270085	0.0145806	4.66251	5.79832	4.72291	0.255339	0.069701	6.33392	16.5508	4.447	96.313	3.68698	119.991	0.00934015	0.176418	950.284	22.2075	798.716	0.0514045	7	2.4	11.4
37	8.64657	0.54817	0.378589	0.426671	990.778	9.15071	0.0712031	3.63122	250.015	58.2362	45.8582	15.9057	6.22522	3.42077	0.029283	0.0147071	5.28284	6.09095	5.27766	0.276372	0.0776335	6.21596	15.6054	4.15496	96.3169	3.68309	119.992	0.00791834	0.152812	956.981	16.8895	798.617	0.0563702	7	2.4	11.4
38	8.54436	0.586055	0.407321	0.462266	989.768	10.1447	0.0876488	3.80225	250.015	56.4892	46.5586	16.9522	5.91613	3.69978	0.031681	0.0150072	5.98482	6.42505	5.90367	0.297721	0.0863682	6.0661	14.5408	3.83844	96.3227	3.67734	119.993	0.00669123	0.131644	962.764	12.6586	798.513	0.0619975	7	2.4	11.4
39	8.4374	0.623489	0.437799	0.501311	988.695	11.198	0.106972	4.00634	250.015	54.7936	47.1952	18.0112	5.60122	3.98459	0.0341312	0.015463	6.75699	6.79954	6.59371	0.318482	0.0957094	5.88062	13.3755	3.50312	96.33	3.66999	119.994	0.00564801	0.113041	967.736	9.392	798.403	0.0683633	7	2.4	11.4
40	8.32768	0.658881	0.469541	0.5439	987.56	12.3106	0.129515	4.24514	250.016	53.1486	47.7705	19.0808	5.29227	4.26463	0.0365428	0.0160593	7.57727	7.21004	7.33211	0.33774	0.105359	5.65787	12.1429	3.15818	96.3387	3.66127	119.995	0.00477339	0.0969889	972	6.94366	798.291	0.0755276	7	2.4	11.4
41	8.21736	0.690738	0.501907	0.589993	986.362	13.4823	0.155637	4.51745	250.017	51.5532	48.2873	20.1595	5.00111	4.52911	0.0388226	0.0167806	8.41614	7.64831	8.09604	0.35481	0.114969	5.39922	10.8877	2.81502	96.3486	3.65139	119.996	0.00404771	0.0833326	975.66	5.15489	798.179	0.083524	7	2.4	11.4
42	8.1084	0.717996	0.534194	0.639408	985.101	14.7129	0.185718	4.81891	250.018	50.0062	48.7482	21.2456	4.73706	4.76933	0.0408953	0.017609	9.24285	8.10268	8.85941	0.369391	0.124217	5.10928	9.65739	2.48496	96.3595	3.64054	119.997	0.00344863	0.0718063	978.806	3.87007	798.068	0.0923557	7	2.4	11.4
43	8.00222	0.740208	0.565745	0.691831	983.778	16.002	0.220155	5.14267	250.019	48.5065	49.1557	22.3378	4.50513	4.98044	0.0427182	0.0185226	10.0319	8.55949	9.59802	0.381564	0.132867	4.79524	8.49236	2.17705	96.3711	3.62888	119.997	0.00295364	0.0620935	981.521	2.95225	797.959	0.101997	7	2.4	11.4
44	7.8996	0.757508	0.596047	0.746846	982.392	17.3491	0.259363	5.48054	250.019	47.0529	49.5123	23.4347	4.30606	5.16152	0.044283	0.0194962	10.7666	9.00508	10.2934	0.391634	0.140787	4.46558	7.4204	1.89692	96.3835	3.61653	119.997	0.0025423	0.05388	983.871	2.2924	797.855	0.112401	7	2.4	11.4
45	7.80082	0.770415	0.624768	0.803992	980.943	18.7536	0.303772	5.82428	250.021	45.6443	49.8206	24.5351	4.1375	5.31458	0.0456064	0.0205026	11.4388	9.42781	10.9344	0.399981	0.147941	4.12883	6.45548	1.64684	96.3964	3.60358	119.998	0.00219752	0.0468898	985.911	1.81063	797.755	0.123509	7	2.4	11.4
46	7.70584	0.779613	0.651751	0.862797	979.431	20.2149	0.35383	6.16646	250.022	44.2793	50.083	25.6377	3.99555	5.44315	0.0467185	0.0215153	12.0471	9.81926	11.5162	0.406948	0.154349	3.79265	5.6005	1.42654	96.4099	3.59012	119.998	0.00190582	0.0408974	987.688	1.45175	797.659	0.135258	7	2.4	11.4
