Time	[LacI protein]	[TetR protein]	[cI protein]	[LacI mRNA]	[TetR mRNA]	[cI mRNA]
42	497.83	96.704	479.995	1.22569	0.524007	10.6309
43	472.097	93.8817	521.476	1.05227	0.567699	11.3456
44	447.018	91.5629	564.873	0.905694	0.618004	12.0303
45	422.718	89.761	609.796	0.782408	0.675752	12.6665
46	399.289	88.4943	655.752	0.679138	0.741882	13.2348
47	376.797	87.7866	702.148	0.592944	0.817452	13.7149
48	355.285	87.6677	748.298	0.52123	0.903653	14.087
49	334.775	88.1738	793.432	0.461741	1.00182	14.3331
50	315.277	89.348	836.72	0.412535	1.11344	14.4378
51	296.784	91.2414	877.299	0.371963	1.24017	14.3904
52	279.284	93.9129	914.311	0.338635	1.38385	14.1853
53	262.753	97.4308	946.937	0.31139	1.5465	13.8235
54	247.165	101.873	974.446	0.289268	1.73033	13.313
55	232.488	107.327	996.229	0.271478	1.93776	12.6683
56	218.687	113.892	1011.84	0.257378	2.1714	11.91
57	205.727	121.679	1021.01	0.246451	2.43405	11.0635
58	193.572	130.81	1023.68	0.238287	2.72868	10.1567
59	182.184	141.419	1019.97	0.23257	3.0584	9.2184
60	171.528	153.654	1010.21	0.229058	3.42641	8.27592
61	161.569	167.673	994.836	0.227581	3.83596	7.35376
62	152.274	183.646	974.447	0.228029	4.29023	6.47221
63	143.61	201.751	949.703	0.230343	4.79224	5.64675
64	135.549	222.175	921.31	0.234515	5.34468	4.88797
65	128.062	245.108	889.98	0.240583	5.94978	4.20186
66	121.123	270.74	856.407	0.248627	6.60904	3.59048
67	114.71	299.256	821.239	0.258772	7.323	3.05273
68	108.802	330.827	785.065	0.271186	8.09095	2.58513
69	103.381	365.603	748.405	0.286082	8.91062	2.18261
70	98.4314	403.704	711.708	0.30372	9.77782	1.83916
71	93.9419	445.204	675.351	0.324411	10.6862	1.54837
72	89.9031	490.122	639.642	0.348522	11.6267	1.30379
73	86.3089	538.408	604.824	0.376477	12.5876	1.09925
74	83.157	589.923	571.088	0.408769	13.5542	0.929042
75	80.4487	644.432	538.573	0.445962	14.509	0.787978
76	78.1892	701.587	507.376	0.488701	15.4312	0.671471
77	76.3881	760.915	477.56	0.537723	16.298	0.575518
78	75.0595	821.818	449.157	0.593861	17.0845	0.496676
79	74.2226	883.564	422.179	0.658063	17.7648	0.432016
80	73.9019	945.297	396.614	0.731395	18.313	0.379069
81	74.1281	1006.05	372.441	0.815062	18.7047	0.335773
82	74.9383	1064.77	349.625	0.910417	18.9185	0.300416
83	76.3765	1120.33	328.122	1.01898	18.9376	0.271588
84	78.4949	1171.61	307.885	1.14244	18.7514	0.24813
85	81.354	1217.5	288.862	1.28269	18.357	0.229099
86	85.0236	1256.99	270.998	1.44181	17.7601	0.21373
87	89.5835	1289.19	254.238	1.62214	16.9755	0.201405
88	95.1245	1313.41	238.527	1.82621	16.0266	0.191628
89	101.749	1329.17	223.81	2.0568	14.9442	0.184006
90	109.573	1336.29	210.034	2.31693	13.7642	0.178229
91	118.724	1334.8	197.147	2.60985	12.5251	0.174057
92	129.344	1325.02	185.1	2.93904	11.2652	0.171309
93	141.591	1307.49	173.846	3.30815	10.0198	0.169853
94	155.636	1282.94	163.34	3.721	8.81927	0.169599
95	171.664	1252.21	153.54	4.18148	7.68762	0.170495
96	189.874	1216.24	144.406	4.69347	6.64208	0.17252
97	210.479	1176	135.901	5.26075	5.69326	0.175685
98	233.701	1132.45	127.99	5.88681	4.84583	0.180028
99	259.767	1086.48	120.643	6.5747	4.09962	0.185615
100	288.911	1038.92	113.83	7.3268	3.45071	0.19254
