Time	[H+]	[Starch]	[Starch Glucosyl unit]	[Starch exposed to Beta Amylase due to action of Isoamylase (Starch DB)]	[Maltose{Cytosol}]	[Maltose{"Chloroplast Stroma"}]	[Maltotriose]	[Maltopentaose]	[(D)-Glucose{"Chloroplast Stroma"}]	[(D)-Glucose{Cytosol}]	[Arabinogalactan (AG)]	[Glucosyl Arabinogalactan (GlcAG)]	[ATP pool]	[ADP pool]	[Orthophosphate(HPi) pool]	[Glutathione (reduced)]	[G1P pool]	[G6P pool]	[Beta amylase]	[Isoamylase]	[Disproportionating enzyme 1(DPE1)]	[Disproportionating enzyme 2(DPE2)]	[Cytosolic Glucan phosphorylase]	[Hexokinase]	[Maltose exporter (MEX)]	[Glucose transporter (pGlcT)]
86	0.1	0.161968	1000	0.0201008	104.132	84.3786	138.131	977.46	0.254813	53.1623	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
87	0.1	0.161968	1000	0.0203346	105.32	85.1541	138.539	977.217	0.256285	53.1632	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
88	0.1	0.161968	1000	0.0205679	106.508	85.9277	138.947	976.974	0.257758	53.1642	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
89	0.1	0.161968	1000	0.0208003	107.697	86.6995	139.354	976.732	0.259233	53.1651	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
90	0.1	0.161968	1000	0.0210319	108.886	87.4695	139.76	976.491	0.260709	53.166	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
91	0.1	0.161968	1000	0.0212623	110.076	88.2376	140.165	976.25	0.262186	53.167	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
92	0.1	0.161968	1000	0.0214916	111.266	89.0038	140.57	976.009	0.263664	53.1679	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
93	0.1	0.161968	1000	0.0217197	112.457	89.7682	140.974	975.769	0.265143	53.1688	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
94	0.1	0.161968	1000	0.0219465	113.648	90.5308	141.377	975.529	0.266623	53.1697	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
95	0.1	0.161968	1000	0.0221721	114.839	91.2915	141.779	975.289	0.268104	53.1706	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
96	0.1	0.161968	1000	0.0223965	116.032	92.0504	142.181	975.05	0.269587	53.1715	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
97	0.1	0.161968	1000	0.0226197	117.224	92.8075	142.582	974.812	0.27107	53.1724	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
98	0.1	0.161968	1000	0.0228418	118.417	93.5627	142.982	974.574	0.272555	53.1733	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
99	0.1	0.161968	1000	0.0230626	119.611	94.3161	143.381	974.336	0.27404	53.1742	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
100	0.1	0.161968	1000	0.0232824	120.805	95.0678	143.78	974.099	0.275526	53.1752	12.5943	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
