Time	[EC]	[Z]	[Rho]	[Y]	[Fraction_Inactive_Channels]
49	-0.530852	0.242018	0.249741	0.648835	-0.249741
50	-0.181445	0.232336	0.308999	0.309109	-0.308999
51	-0.531981	0.238522	0.250932	0.653459	-0.250932
52	-0.182341	0.231259	0.311902	0.311082	-0.311902
53	-0.533003	0.23527	0.251517	0.657733	-0.251517
54	-0.183188	0.230072	0.31466	0.313116	-0.31466
55	-0.533932	0.232248	0.251552	0.661684	-0.251552
56	-0.183999	0.228774	0.317312	0.315225	-0.317312
57	-0.534788	0.229445	0.251066	0.665344	-0.251066
58	-0.184781	0.22739	0.319826	0.317391	-0.319826
59	-0.535567	0.226923	0.250096	0.668644	-0.250096
60	-0.185514	0.225947	0.322141	0.319567	-0.322141
61	-0.536283	0.224655	0.248669	0.671629	-0.248669
62	-0.186215	0.224442	0.324294	0.321774	-0.324294
63	-0.536943	0.222661	0.246818	0.674283	-0.246818
64	-0.18688	0.222909	0.326248	0.32397	-0.326248
65	-0.537548	0.220967	0.244607	0.676581	-0.244607
66	-0.187493	0.221376	0.327963	0.326118	-0.327963
67	-0.538109	0.219548	0.242059	0.678561	-0.242059
68	-0.188062	0.219853	0.329445	0.328209	-0.329445
69	-0.538635	0.218391	0.239187	0.680244	-0.239187
70	-0.188597	0.218348	0.330714	0.330249	-0.330714
71	-0.539131	0.217509	0.236069	0.681622	-0.236069
72	-0.189081	0.216893	0.331734	0.332188	-0.331734
73	-0.539606	0.216874	0.232685	0.682731	-0.232685
74	-0.189526	0.215487	0.332518	0.334039	-0.332518
75	-0.540068	0.216485	0.22906	0.683583	-0.22906
76	-0.189939	0.214127	0.333103	0.335812	-0.333103
77	-0.540527	0.216338	0.225231	0.684188	-0.225231
78	-0.190315	0.212838	0.33346	0.337476	-0.33346
79	-0.540983	0.216426	0.221211	0.684557	-0.221211
80	-0.190656	0.211631	0.333601	0.339025	-0.333601
81	-0.541446	0.216744	0.217033	0.684702	-0.217033
82	-0.190969	0.210505	0.33355	0.340464	-0.33355
83	-0.541917	0.217279	0.212766	0.684639	-0.212766
84	-0.191242	0.209483	0.333286	0.341759	-0.333286
85	-0.542408	0.218034	0.208341	0.684374	-0.208341
86	-0.191496	0.208533	0.33286	0.342963	-0.33286
87	-0.542922	0.218997	0.203856	0.683925	-0.203856
88	-0.191717	0.207697	0.332242	0.344021	-0.332242
89	-0.543467	0.220179	0.19924	0.683288	-0.19924
90	-0.191923	0.206933	0.331476	0.34499	-0.331476
91	-0.544048	0.221566	0.194585	0.682483	-0.194585
92	-0.192106	0.206271	0.330557	0.345834	-0.330557
93	-0.544671	0.223164	0.189871	0.681508	-0.189871
94	-0.192273	0.2057	0.329501	0.346573	-0.329501
95	-0.54534	0.224963	0.185147	0.680377	-0.185147
96	-0.192427	0.205214	0.328327	0.347213	-0.328327
97	-0.546057	0.226953	0.180449	0.679104	-0.180449
98	-0.192564	0.204821	0.327032	0.347742	-0.327032
99	-0.546835	0.229168	0.175719	0.677667	-0.175719
100	-0.192694	0.204511	0.325629	0.348183	-0.325629
