Time	[Glucose]	[Phosphates in Glycosome]	[Glucose 6-phosphate]	[Fructose 6-phosphate]	[Dihydroxyacetone phosphate]	[Glyceraldehyde 3-phosphate]	[NAD]	[NADH]	[Pyruvate]	[3-PGA 2-PGA PEP]	[Phosphates cytosol]	[Pyruvate external]	[Glycerol]	[Glucose external]	[Glycerol 3-phosphate]	[ATP cyt.]	[ADP cyt.]	[ATP gly.]	[ADP gly.]	[DHAP gly.]	[DHAP cyt.]	[Gy3P c.]	[Gy3P g.]	[3-PGA g.]	[PEP c.]
59	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
60	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
61	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
62	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
63	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
64	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
65	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
66	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
67	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
68	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
69	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
70	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
71	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
72	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
73	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
74	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
75	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
76	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
77	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
78	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
79	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
80	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
81	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
82	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
83	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
84	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
85	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
86	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
87	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
88	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
89	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
90	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
91	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
92	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
93	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
94	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
95	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
96	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
97	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
98	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
99	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
100	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
