Time	[APAF-1]	[Caspase 9]	[Caspase 9-XIAP complex]	[XIAP]	[APAF-1-Caspase 9-XIAP complex]	[APAF-1-Caspase 9 complex]	[Caspase 3]	[Caspase 3 cleaved]	[Caspase 3 cleaved - XIAP complex]	[Caspase 9 cleaved-XIAP complex]	[Caspase 9 cleaved]	[APAF-1-Caspase 9 cleaved complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]
74	15.3531	2.61988	10.1367	19.0078	3.10628	0.764854	191.519	0.787776	4.41893	0.042948	0.0321604	0.00982998	0.0131781	0.0131781	0.0131781	0.0131781	0.0131781
75	15.3535	2.58467	10.1438	18.9374	3.10858	0.754051	191.467	0.779133	4.44289	0.0433769	0.0318364	0.00973124	0.0133102	0.0133102	0.0133102	0.0133102	0.0133102
76	15.354	2.55047	10.1504	18.8688	3.1107	0.743557	191.416	0.770694	4.46633	0.0437969	0.0315127	0.00963256	0.0134396	0.0134396	0.0134396	0.0134396	0.0134396
77	15.3544	2.51725	10.1564	18.8021	3.11265	0.733363	191.366	0.762453	4.48924	0.0442082	0.0311894	0.00953401	0.0135663	0.0135663	0.0135663	0.0135663	0.0135663
78	15.3548	2.48497	10.1619	18.7371	3.11445	0.723459	191.317	0.754408	4.51166	0.0446109	0.0308669	0.00943569	0.0136904	0.0136904	0.0136904	0.0136904	0.0136904
79	15.3553	2.45361	10.1669	18.6737	3.11608	0.713836	191.269	0.746553	4.53359	0.0450051	0.0305454	0.00933765	0.0138119	0.0138119	0.0138119	0.0138119	0.0138119
80	15.3557	2.42313	10.1714	18.612	3.11757	0.704485	191.221	0.738886	4.55505	0.0453911	0.0302251	0.00923999	0.0139309	0.0139309	0.0139309	0.0139309	0.0139309
81	15.3562	2.39351	10.1754	18.5519	3.11891	0.695399	191.175	0.731402	4.57606	0.0457688	0.0299062	0.00914275	0.0140474	0.0140474	0.0140474	0.0140474	0.0140474
82	15.3567	2.36473	10.179	18.4933	3.12012	0.686568	191.129	0.724097	4.59664	0.0461386	0.029589	0.009046	0.0141614	0.0141614	0.0141614	0.0141614	0.0141614
83	15.3571	2.33675	10.1822	18.4362	3.12119	0.677985	191.083	0.716967	4.61678	0.0465005	0.0292736	0.0089498	0.014273	0.014273	0.014273	0.014273	0.014273
84	15.3576	2.30956	10.1849	18.3805	3.12214	0.669643	191.039	0.710008	4.63652	0.0468546	0.0289601	0.00885419	0.0143822	0.0143822	0.0143822	0.0143822	0.0143822
85	15.3581	2.28312	10.1873	18.3262	3.12297	0.661533	190.995	0.703218	4.65586	0.0472011	0.0286488	0.00875923	0.0144891	0.0144891	0.0144891	0.0144891	0.0144891
86	15.3586	2.25742	10.1892	18.2733	3.12368	0.65365	190.952	0.696591	4.67482	0.0475401	0.0283398	0.00866495	0.0145937	0.0145937	0.0145937	0.0145937	0.0145937
87	15.359	2.23244	10.1908	18.2216	3.12428	0.645985	190.909	0.690125	4.6934	0.0478718	0.0280332	0.00857139	0.0146961	0.0146961	0.0146961	0.0146961	0.0146961
88	15.3595	2.20814	10.1921	18.1713	3.12478	0.638533	190.867	0.683816	4.71162	0.0481962	0.027729	0.0084786	0.0147962	0.0147962	0.0147962	0.0147962	0.0147962
89	15.36	2.18452	10.193	18.1221	3.12517	0.631288	190.826	0.67766	4.72949	0.0485135	0.0274275	0.0083866	0.0148942	0.0148942	0.0148942	0.0148942	0.0148942
90	15.3605	2.16155	10.1936	18.0742	3.12547	0.624242	190.785	0.671655	4.74703	0.0488239	0.0271288	0.00829543	0.0149901	0.0149901	0.0149901	0.0149901	0.0149901
91	15.361	2.13921	10.1939	18.0274	3.12567	0.617391	190.745	0.665796	4.76423	0.0491275	0.0268328	0.00820512	0.0150838	0.0150838	0.0150838	0.0150838	0.0150838
92	15.3615	2.11748	10.1939	17.9818	3.12578	0.610728	190.706	0.66008	4.78111	0.0494243	0.0265397	0.00811568	0.0151755	0.0151755	0.0151755	0.0151755	0.0151755
93	15.3621	2.09635	10.1936	17.9372	3.1258	0.604248	190.667	0.654504	4.79769	0.0497145	0.0262496	0.00802714	0.0152652	0.0152652	0.0152652	0.0152652	0.0152652
94	15.3626	2.0758	10.1931	17.8937	3.12574	0.597946	190.629	0.649066	4.81397	0.0499983	0.0259626	0.00793952	0.0153529	0.0153529	0.0153529	0.0153529	0.0153529
95	15.3631	2.05581	10.1922	17.8512	3.1256	0.591816	190.591	0.643761	4.82995	0.0502757	0.0256786	0.00785285	0.0154387	0.0154387	0.0154387	0.0154387	0.0154387
96	15.3636	2.03636	10.1912	17.8097	3.12538	0.585853	190.554	0.638587	4.84566	0.0505469	0.0253978	0.00776713	0.0155226	0.0155226	0.0155226	0.0155226	0.0155226
97	15.3641	2.01744	10.1898	17.7692	3.12509	0.580052	190.517	0.633541	4.86109	0.050812	0.0251201	0.00768238	0.0156045	0.0156045	0.0156045	0.0156045	0.0156045
98	15.3647	1.99903	10.1883	17.7296	3.12472	0.57441	190.481	0.62862	4.87625	0.051071	0.0248457	0.00759861	0.0156847	0.0156847	0.0156847	0.0156847	0.0156847
99	15.3652	1.98113	10.1865	17.691	3.12429	0.56892	190.445	0.623821	4.89116	0.0513242	0.0245746	0.00751583	0.015763	0.015763	0.015763	0.015763	0.015763
100	15.3658	1.96371	10.1845	17.6532	3.1238	0.563579	190.41	0.619141	4.90582	0.0515716	0.0243067	0.00743406	0.0158396	0.0158396	0.0158396	0.0158396	0.0158396
