Time	[Arr]	[Ca2_buff]	[Ca2_free]	[G_GTP]	[Ga_GDP]	[Ga_GTP]	[Ga_GTP_PDE_a_Ga_GTP]	[Ga_GTP_a_PDE_a_Ga_GTP]	[Gbg]	[Gt]	[Ops]	[Ops_G]	[Ops_G_GTP]	[Ops_Gt]	[PDE]	[PDE_Ga_GTP]	[PDE_a_Ga_GTP]	[R]	[R0]	[R0_G]	[R0_G_GTP]	[R0_Gt]	[R0_RKpre]	[R1]	[R1_Arr]	[R1_G]	[R1_G_GTP]	[R1_Gt]	[R1_RKpost]	[R1_RKpre]	[R2]	[R2_Arr]	[R2_G]	[R2_G_GTP]	[R2_Gt]	[R2_RKpost]	[R2_RKpre]	[R3]	[R3_Arr]	[R3_G]	[R3_G_GTP]	[R3_Gt]	[R3_RKpost]	[R3_RKpre]	[R4]	[R4_Arr]	[R4_G]	[R4_G_GTP]	[R4_Gt]	[R4_RKpost]	[R4_RKpre]	[R5]	[R5_Arr]	[R5_G]	[R5_G_GTP]	[R5_Gt]	[R5_RKpost]	[R5_RKpre]	[R6]	[R6_Arr]	[R6_G]	[R6_G_GTP]	[R6_Gt]	[R6_RKpost]	[R6_RKpre]	[RGS]	[RGS_Ga_GTP_a_PDE_a_Ga_GTP]	[RGS_PDE_a_Ga_GTP]	[RK]	[Rec_wCa2_RK]	[cGMP]
18	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
19	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
20	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
21	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
22	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
23	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
24	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
25	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
26	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
27	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
28	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
29	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
30	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
31	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
32	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
33	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
34	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
35	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
36	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
37	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
38	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
39	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
40	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
41	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
42	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
43	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
44	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
45	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
46	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
47	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
48	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
49	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
50	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
51	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
52	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
53	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
54	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
55	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
56	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
57	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
58	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
59	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
60	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
61	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
62	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
63	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
64	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
65	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
66	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
67	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
68	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
69	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
