Time	[MAPK]	[MAPK-PY]	[MAPK-PT]	[MAPK-PP]	[MAPKK]	[MKP]	[MAPK-PY_MAPKK]	[MAPK-PT_MAPKK]	[MAPK_MAPKK_Y]	[MAPK_MAPKK_T]	[MAPK-PP_MKP_T]	[MAPK-PP_MKP_Y]	[MAPK-PY_MKP_Y]	[MAPK-PY_MKP_T]	[MAPK-PT_MKP_Y]	[MAPK-PT_MKP_T]	[MAPK_MKP_T]	[MAPK_MKP_Y]
74	452.752	6.89053	6.87504	67.984	9.49327	5.00859	0.130763	0.130469	85.1227	85.1227	13.8794	13.8794	0.234405	1.60584	1.60506	0.229206	32.3697	31.1884
75	451.647	6.92905	6.91354	69.017	9.51515	4.99172	0.131797	0.131502	85.1108	85.1108	14.0454	14.0454	0.234937	1.62197	1.6212	0.229729	32.1953	31.0144
76	450.541	6.96707	6.95156	70.052	9.53715	4.97494	0.132828	0.132532	85.0987	85.0987	14.2105	14.2105	0.235447	1.638	1.63723	0.23023	32.0217	30.8414
77	449.435	7.0046	6.98908	71.0891	9.55928	4.95824	0.133854	0.133557	85.0867	85.0867	14.3749	14.3749	0.235936	1.65393	1.65315	0.23071	31.8489	30.6693
78	448.327	7.04164	7.02612	72.1283	9.58152	4.94162	0.134876	0.134578	85.0745	85.0745	14.5386	14.5386	0.236404	1.66975	1.66898	0.23117	31.6769	30.498
79	447.219	7.0782	7.06267	73.1695	9.60388	4.92509	0.135893	0.135595	85.0623	85.0623	14.7015	14.7015	0.236851	1.68547	1.6847	0.231609	31.5057	30.3277
80	446.109	7.11428	7.09874	74.2128	9.62637	4.90864	0.136906	0.136607	85.0501	85.0501	14.8636	14.8636	0.237278	1.70109	1.70033	0.232028	31.3352	30.1582
81	444.999	7.14988	7.13434	75.2581	9.64899	4.89227	0.137915	0.137615	85.0377	85.0377	15.025	15.025	0.237684	1.71661	1.71585	0.232428	31.1656	29.9897
82	443.888	7.185	7.16946	76.3055	9.67173	4.87599	0.13892	0.138619	85.0254	85.0254	15.1856	15.1856	0.23807	1.73204	1.73128	0.232808	30.9967	29.822
83	442.776	7.21964	7.2041	77.355	9.69459	4.85978	0.139921	0.139619	85.0129	85.0129	15.3455	15.3455	0.238437	1.74736	1.74661	0.233168	30.8286	29.6551
84	441.663	7.25381	7.23828	78.4065	9.71759	4.84365	0.140917	0.140615	85.0004	85.0004	15.5046	15.5046	0.238784	1.76259	1.76184	0.23351	30.6613	29.4891
85	440.549	7.28751	7.27198	79.4601	9.74071	4.8276	0.141909	0.141607	84.9879	84.9879	15.663	15.663	0.239111	1.77773	1.77697	0.233833	30.4948	29.3239
86	439.434	7.32074	7.30522	80.5158	9.76397	4.81163	0.142897	0.142594	84.9753	84.9753	15.8207	15.8207	0.23942	1.79276	1.79201	0.234137	30.329	29.1596
87	438.318	7.3535	7.33799	81.5735	9.78736	4.79574	0.143881	0.143578	84.9626	84.9626	15.9777	15.9777	0.23971	1.80771	1.80696	0.234423	30.164	28.9961
88	437.201	7.3858	7.3703	82.6333	9.81088	4.77992	0.144861	0.144557	84.9499	84.9499	16.1339	16.1339	0.239982	1.82256	1.82181	0.23469	29.9997	28.8334
89	436.084	7.41764	7.40215	83.6952	9.83453	4.76418	0.145837	0.145532	84.937	84.937	16.2895	16.2895	0.240235	1.83731	1.83657	0.23494	29.8362	28.6716
90	434.965	7.44901	7.43353	84.7592	9.85832	4.74852	0.146809	0.146504	84.9242	84.9242	16.4443	16.4443	0.240471	1.85198	1.85124	0.235173	29.6735	28.5105
