Time	[Ca_c]	[pp-AKT:PI3P]	[eNOS-CaM-Ca4]	[CaM-Ca4]	[CaM-Ca2]	[eNOS-CaM-Ca2]	[eNOS-Cav-1]	[Calmodulin]	[Hsp90]	[Hsp90-eNOS-CaM-Ca4]	[Hsp90-p-eNOS-CaM-Ca4]	[Hsp90-eNOS-CaM-Ca2]	[Hsp90-p-eNOS-CaM-Ca2]	[L-Arg]	[NO]	[Hsp90-p-eNOS]	[Hsp90-eNOS]	[sa49_degraded]	[s117]	[s118]
40	117.2	1.723	0.0413215	2.82717	347.523	2.11285	34.8458	7635.41	199987	1.03322	0.00884344	10.9351	0.105698	499112	888.267	0.644668	0.0832685	0.131968	0.00815863	0.00275246
41	117.2	1.723	0.0413175	2.82717	347.523	2.11264	34.8425	7635.41	199987	1.03312	0.00884307	10.934	0.105694	499090	910.436	0.644641	0.0832652	0.135261	0.00836219	0.00282125
42	117.2	1.723	0.0413135	2.82717	347.523	2.11244	34.8392	7635.42	199987	1.03302	0.0088427	10.9329	0.105689	499067	932.602	0.644614	0.0832619	0.138553	0.00856573	0.00289004
43	117.2	1.723	0.0413095	2.82717	347.523	2.11223	34.8359	7635.42	199987	1.03292	0.00884233	10.9319	0.105685	499045	954.767	0.644587	0.0832585	0.141845	0.00876925	0.00295882
44	117.2	1.723	0.0413055	2.82717	347.523	2.11203	34.8326	7635.42	199987	1.03282	0.00884196	10.9308	0.105681	499023	976.929	0.644561	0.0832552	0.145137	0.00897275	0.0030276
45	117.2	1.723	0.0413015	2.82717	347.523	2.11182	34.8293	7635.42	199987	1.03272	0.00884159	10.9298	0.105677	499001	999.09	0.644534	0.0832518	0.148429	0.00917623	0.00309638
46	117.2	1.723	0.0412975	2.82717	347.523	2.11162	34.826	7635.42	199987	1.03262	0.00884122	10.9287	0.105672	498979	1021.25	0.644507	0.0832485	0.15172	0.00937969	0.00316515
47	117.2	1.723	0.0412936	2.82717	347.523	2.11141	34.8227	7635.42	199987	1.03252	0.00884085	10.9276	0.105668	498957	1043.41	0.64448	0.0832451	0.155011	0.00958313	0.00323392
48	117.2	1.723	0.0412896	2.82717	347.523	2.11121	34.8194	7635.42	199987	1.03242	0.00884048	10.9266	0.105664	498934	1065.56	0.644454	0.0832418	0.158301	0.00978655	0.00330269
49	117.2	1.723	0.0412856	2.82717	347.523	2.11101	34.8161	7635.43	199987	1.03232	0.00884011	10.9255	0.105659	498912	1087.71	0.644427	0.0832384	0.161592	0.00998995	0.00337146
50	117.2	1.723	0.0412816	2.82717	347.523	2.1108	34.8128	7635.43	199987	1.03222	0.00883974	10.9245	0.105655	498890	1109.86	0.6444	0.083235	0.164882	0.0101933	0.00344022
51	117.2	1.723	0.0412776	2.82717	347.523	2.1106	34.8095	7635.43	199987	1.03212	0.00883938	10.9234	0.105651	498868	1132.01	0.644373	0.0832317	0.168171	0.0103967	0.00350898
52	117.2	1.723	0.0412736	2.82717	347.523	2.11039	34.8062	7635.43	199987	1.03202	0.00883901	10.9223	0.105647	498846	1154.16	0.644346	0.0832283	0.171461	0.0106	0.00357774
53	117.2	1.723	0.0412696	2.82717	347.523	2.11019	34.8029	7635.43	199987	1.03192	0.00883864	10.9213	0.105642	498824	1176.31	0.644319	0.083225	0.17475	0.0108034	0.00364649
54	117.2	1.723	0.0412656	2.82717	347.523	2.10999	34.7996	7635.43	199987	1.03182	0.00883827	10.9202	0.105638	498802	1198.45	0.644292	0.0832216	0.178038	0.0110067	0.00371524
