Time	[Mdm2]	[p53]	[Mdm2_p53]	[Mdm2_mRNA]	[p53_mRNA]	[ATMA]	[ATMI]	[p21]	[p21_mRNA]	[p21step1]	[p21step2]	[p53_P]	[Mdm2_P]	[p21_basal]	[p38]	[p38_P]	[GADD45]	[IR]	[damDNA]	[ROS]	[basalROS]	[Sink]	[Source]
72	7.60135	6.20655	92.5527	9.96957	10	1.02299e-07	200	3.96052e-08	0.998298	0.0287341	4.13689e-05	7.19683e-09	2.92365e-06	7	100	1.41775e-11	2.85459e-12	0	7.18447e-07	8.39774e-14	10	1	1
73	7.62484	6.21205	92.5308	9.96919	10	1.05141e-07	200	4.12754e-08	0.998275	0.0291322	4.25246e-05	7.40945e-09	3.01667e-06	7	100	1.50639e-11	3.01633e-12	0	7.28404e-07	9.05242e-14	10	1	1
74	7.64809	6.21734	92.5092	9.96882	10	1.08021e-07	200	4.29919e-08	0.998251	0.0295304	4.36961e-05	7.62506e-09	3.11129e-06	7	100	1.59917e-11	3.18485e-12	0	7.3836e-07	9.74772e-14	10	1	1
75	7.6711	6.22241	92.4878	9.96844	10	1.1094e-07	200	4.47552e-08	0.998228	0.0299285	4.48835e-05	7.84363e-09	3.20751e-06	7	100	1.69622e-11	3.36033e-12	0	7.48315e-07	1.04855e-13	10	1	1
76	7.69388	6.22728	92.4666	9.96807	10	1.13897e-07	200	4.65659e-08	0.998204	0.0303265	4.60868e-05	8.06517e-09	3.30534e-06	7	100	1.79766e-11	3.54295e-12	0	7.5827e-07	1.12676e-13	10	1	1
77	7.71642	6.23194	92.4457	9.96769	10	1.16892e-07	200	4.84248e-08	0.99818	0.0307246	4.7306e-05	8.28965e-09	3.40476e-06	7	100	1.90364e-11	3.73291e-12	0	7.68224e-07	1.2096e-13	10	1	1
78	7.73873	6.2364	92.425	9.96732	10	1.19926e-07	200	5.03324e-08	0.998157	0.0311226	4.8541e-05	8.51707e-09	3.5058e-06	7	100	2.01429e-11	3.9304e-12	0	7.78178e-07	1.2973e-13	10	1	1
79	7.76082	6.24066	92.4045	9.96695	10	1.22997e-07	200	5.22894e-08	0.998133	0.0315206	4.97919e-05	8.74742e-09	3.60845e-06	7	100	2.12974e-11	4.13562e-12	0	7.88131e-07	1.39004e-13	10	1	1
80	7.78268	6.24473	92.3842	9.96657	10	1.26108e-07	200	5.42963e-08	0.99811	0.0319186	5.10586e-05	8.98067e-09	3.71271e-06	7	100	2.25013e-11	4.34877e-12	0	7.98083e-07	1.48805e-13	10	1	1
81	7.80433	6.2486	92.3641	9.9662	10	1.29256e-07	200	5.63539e-08	0.998086	0.0323166	5.23413e-05	9.21683e-09	3.81859e-06	7	100	2.37562e-11	4.57005e-12	0	8.08035e-07	1.59157e-13	10	1	1
82	7.82575	6.25228	92.3442	9.96583	10	1.32443e-07	200	5.84627e-08	0.998063	0.0327145	5.36398e-05	9.45587e-09	3.92609e-06	7	100	2.50632e-11	4.79965e-12	0	8.17986e-07	1.70081e-13	10	1	1
83	7.84697	6.25578	92.3245	9.96546	10	1.35667e-07	200	6.06233e-08	0.998039	0.0331124	5.49541e-05	9.69778e-09	4.03521e-06	7	100	2.64239e-11	5.03779e-12	0	8.27937e-07	1.816e-13	10	1	1
84	7.86798	6.25909	92.305	9.96509	10	1.3893e-07	200	6.28364e-08	0.998015	0.0335103	5.62844e-05	9.94255e-09	4.14596e-06	7	100	2.784e-11	5.28469e-12	0	8.37887e-07	1.93741e-13	10	1	1
85	7.88878	6.26222	92.2858	9.96472	10	1.42232e-07	200	6.51026e-08	0.997992	0.0339081	5.76305e-05	1.01902e-08	4.25834e-06	7	100	2.93126e-11	5.54054e-12	0	8.47836e-07	2.06527e-13	10	1	1
86	7.90938	6.26518	92.2667	9.96435	10	1.45571e-07	200	6.74225e-08	0.997968	0.034306	5.89924e-05	1.04406e-08	4.37235e-06	7	100	3.08434e-11	5.80555e-12	0	8.57785e-07	2.19982e-13	10	1	1
87	7.92978	6.26796	92.2478	9.96398	10	1.48948e-07	200	6.97969e-08	0.997945	0.0347038	6.03702e-05	1.06939e-08	4.488e-06	7	100	3.2434e-11	6.07997e-12	0	8.67733e-07	2.34137e-13	10	1	1
88	7.94999	6.27057	92.2291	9.96361	10	1.52364e-07	200	7.22261e-08	0.997921	0.0351015	6.17639e-05	1.095e-08	4.60528e-06	7	100	3.40858e-11	6.36398e-12	0	8.77681e-07	2.49015e-13	10	1	1
89	7.97	6.27301	92.2105	9.96324	10	1.55817e-07	200	7.4711e-08	0.997897	0.0354993	6.31734e-05	1.12088e-08	4.7242e-06	7	100	3.58004e-11	6.65782e-12	0	8.87628e-07	2.64645e-13	10	1	1
90	7.98982	6.27528	92.1922	9.96287	10	1.59309e-07	200	7.72521e-08	0.997874	0.035897	6.45988e-05	1.14705e-08	4.84476e-06	7	100	3.75795e-11	6.96172e-12	0	8.97574e-07	2.81057e-13	10	1	1
91	8.00946	6.27739	92.174	9.9625	10	1.62839e-07	200	7.985e-08	0.99785	0.0362947	6.604e-05	1.17349e-08	4.96697e-06	7	100	3.94245e-11	7.27588e-12	0	9.0752e-07	2.98274e-13	10	1	1
92	8.02891	6.27934	92.156	9.96213	10	1.66406e-07	200	8.25055e-08	0.997827	0.0366924	6.74971e-05	1.2002e-08	5.09082e-06	7	100	4.13374e-11	7.60057e-12	0	9.17465e-07	3.16335e-13	10	1	1
93	8.04818	6.28114	92.1382	9.96177	10	1.70012e-07	200	8.5219e-08	0.997803	0.03709	6.897e-05	1.22719e-08	5.21632e-06	7	100	4.33194e-11	7.93597e-12	0	9.2741e-07	3.35262e-13	10	1	1
94	8.06727	6.28278	92.1206	9.9614	10	1.73656e-07	200	8.79913e-08	0.99778	0.0374877	7.04588e-05	1.25445e-08	5.34347e-06	7	100	4.53725e-11	8.28237e-12	0	9.37354e-07	3.55094e-13	10	1	1
95	8.08619	6.28426	92.1031	9.96103	10	1.77337e-07	200	9.08228e-08	0.997756	0.0378853	7.19634e-05	1.28199e-08	5.47228e-06	7	100	4.74982e-11	8.63995e-12	0	9.47298e-07	3.75855e-13	10	1	1
96	8.10493	6.2856	92.0858	9.96066	10	1.81057e-07	200	9.37144e-08	0.997732	0.0382828	7.34838e-05	1.30979e-08	5.60274e-06	7	100	4.96983e-11	9.00899e-12	0	9.57241e-07	3.97583e-13	10	1	1
97	8.1235	6.28678	92.0686	9.9603	10	1.84814e-07	200	9.66665e-08	0.997709	0.0386804	7.50201e-05	1.33786e-08	5.73486e-06	7	100	5.19745e-11	9.38971e-12	0	9.67183e-07	4.2031e-13	10	1	1
98	8.14191	6.28783	92.0516	9.95993	10	1.88609e-07	200	9.96798e-08	0.997685	0.0390779	7.65722e-05	1.36619e-08	5.86864e-06	7	100	5.43285e-11	9.78235e-12	0	9.77124e-07	4.44069e-13	10	1	1
99	8.16015	6.28873	92.0348	9.95956	10	1.92442e-07	200	1.02755e-07	0.997662	0.0394754	7.81402e-05	1.3948e-08	6.00408e-06	7	100	5.67625e-11	1.01872e-11	0	9.87066e-07	4.68904e-13	10	1	1
100	8.17823	6.28949	92.0181	9.95919	10	1.96313e-07	200	1.05893e-07	0.997638	0.0398729	7.9724e-05	1.42366e-08	6.14119e-06	7	100	5.92779e-11	1.06045e-11	0	9.97006e-07	4.94844e-13	10	1	1
