Time	[GA4]	[GID]	[DELLA]	[DELLA_U]	[GA12]	[GA15]	[GA24]	[GA9]	[GA20ox]	[GA3ox]	[ga20ox]	[della]	[ga3ox]	[gid]	[GA4-GID]	[GA9-GA3ox]	[GA24-GA20ox]	[GA15-GA20ox]	[GA12-GA20ox]	[GA4-GID-closed]	[GA12_source]	[GA3ox_source]	[GA20ox_source]	[DELLA_source]	[GID_source]	[ga20ox_source]	[gid_source]	[della_source]	[ga3ox_source]	[GA4-GID-DELLA2]	[GA4-GID-DELLA1]	[GA4_source]	[sa5_degraded]	[sa6_degraded]	[sa7_degraded]	[sa8_degraded]	[sa1_degraded]
16	0.0133371	2.56392	0.00438881	0.0318468	0.00382801	0.00410428	0.00231507	0.00094758	0.000496984	0.00167914	0.00896723	0.452606	0.307015	0.472296	0.0163274	4.31898e-06	0.00137293	5.53677e-06	2.74225e-05	0.0118341	0	0	0	0	0	0	0	0	0	0.00590485	7.39997e-05	0	0	0	0	0	0
17	0.0130247	2.66691	0.00434032	0.0323499	0.00386587	0.00413381	0.00232701	0.000928726	0.000491142	0.00170181	0.00886567	0.469255	0.310945	0.490793	0.0165758	4.29018e-06	0.00136353	5.51106e-06	2.73682e-05	0.0115511	0	0	0	0	0	0	0	0	0	0.00569608	7.14129e-05	0	0	0	0	0	0
18	0.0127534	2.76505	0.00429941	0.0328359	0.0039034	0.00416331	0.00233917	0.00091263	0.000485478	0.00172096	0.00876563	0.484915	0.314264	0.508416	0.016819	4.26327e-06	0.00135471	5.48637e-06	2.73153e-05	0.0112778	0	0	0	0	0	0	0	0	0	0.00550516	6.90477e-05	0	0	0	0	0	0
19	0.0125157	2.85857	0.00426549	0.0333063	0.00394055	0.00419244	0.00235124	0.000898636	0.00047998	0.00173714	0.00866756	0.499629	0.31707	0.525213	0.0170558	4.23737e-06	0.0013462	5.4622e-06	2.72629e-05	0.0110148	0	0	0	0	0	0	0	0	0	0.00533071	6.6887e-05	0	0	0	0	0	0
20	0.0123053	2.94772	0.00423801	0.0337624	0.00397731	0.00422113	0.00236307	0.000886271	0.000474638	0.00175083	0.00857186	0.51344	0.319444	0.541226	0.0172851	4.21199e-06	0.00133788	5.43837e-06	2.7211e-05	0.0107621	0	0	0	0	0	0	0	0	0	0.00517146	6.49149e-05	0	0	0	0	0	0
21	0.0121174	3.03273	0.00421645	0.0342054	0.0040137	0.00424936	0.00237464	0.000875198	0.000469448	0.00176244	0.00847886	0.526389	0.32146	0.556497	0.0175058	4.18695e-06	0.0013297	5.41487e-06	2.71597e-05	0.0105202	0	0	0	0	0	0	0	0	0	0.00502621	6.31166e-05	0	0	0	0	0	0
22	0.0119481	3.11382	0.00420034	0.0346365	0.00404968	0.00427712	0.00238595	0.00086518	0.000464413	0.00177234	0.00838885	0.538517	0.323183	0.571066	0.0177172	4.16227e-06	0.00132166	5.3918e-06	2.71093e-05	0.010289	0	0	0	0	0	0	0	0	0	0.00489385	6.14783e-05	0	0	0	0	0	0
23	0.0117943	3.1912	0.00418924	0.0350569	0.00408517	0.0043044	0.00239699	0.000856037	0.000459543	0.00178084	0.00830205	0.549862	0.324668	0.584968	0.0179188	4.13806e-06	0.0013138	5.36927e-06	2.706e-05	0.0100685	0	0	0	0	0	0	0	0	0	0.00477336	5.99871e-05	0	0	0	0	0	0
24	0.0116535	3.26506	0.00418272	0.0354673	0.00412007	0.00433113	0.00240778	0.000847634	0.000454846	0.00178823	0.00821868	0.560461	0.325962	0.59824	0.0181104	4.11444e-06	0.00130615	5.3474e-06	2.70123e-05	0.00985866	0	0	0	0	0	0	0	0	0	0.00466378	5.86314e-05	0	0	0	0	0	0
25	0.0115239	3.33558	0.0041804	0.0358688	0.00415425	0.00435726	0.00241828	0.000839862	0.000450334	0.00179474	0.00813887	0.570351	0.327107	0.610914	0.0182919	4.09155e-06	0.00129875	5.32629e-06	2.69662e-05	0.00965918	0	0	0	0	0	0	0	0	0	0.00456424	5.74e-05	0	0	0	0	0	0
26	0.011404	3.40295	0.00418191	0.0362622	0.0041876	0.00438271	0.00242849	0.000832631	0.000446015	0.00180058	0.00806277	0.579565	0.328139	0.623021	0.0184634	4.06951e-06	0.00129163	5.30602e-06	2.69219e-05	0.00946989	0	0	0	0	0	0	0	0	0	0.00447391	5.62831e-05	0	0	0	0	0	0
27	0.0112924	3.46732	0.00418689	0.0366483	0.00421999	0.00440741	0.00243838	0.000825867	0.000441896	0.00180591	0.00799045	0.588139	0.329087	0.63459	0.0186253	4.04839e-06	0.0012848	5.28664e-06	2.68796e-05	0.00929051	0	0	0	0	0	0	0	0	0	0.00439206	5.52712e-05	0	0	0	0	0	0
28	0.0111883	3.52885	0.00419502	0.0370277	0.00425132	0.00443127	0.00244793	0.000819508	0.000437983	0.00181088	0.00792198	0.596105	0.329977	0.645651	0.018778	4.02828e-06	0.0012783	5.2682e-06	2.68393e-05	0.00912076	0	0	0	0	0	0	0	0	0	0.00431799	5.43558e-05	0	0	0	0	0	0
29	0.0110909	3.58768	0.00420599	0.037401	0.00428149	0.00445425	0.00245711	0.000813501	0.000434279	0.00181562	0.00785739	0.603493	0.330831	0.656227	0.0189219	4.00922e-06	0.00127213	5.25073e-06	2.68012e-05	0.0089603	0	0	0	0	0	0	0	0	0	0.00425107	5.3529e-05	0	0	0	0	0	0
30	0.0109995	3.64395	0.00421951	0.0377689	0.00431042	0.00447628	0.00246592	0.000807805	0.000430786	0.00182022	0.00779671	0.610335	0.331665	0.666345	0.0190575	3.99124e-06	0.0012663	5.23427e-06	2.67653e-05	0.00880882	0	0	0	0	0	0	0	0	0	0.00419071	5.27837e-05	0	0	0	0	0	0
31	0.0109136	3.69779	0.0042353	0.0381319	0.00433804	0.00449733	0.00247433	0.000802385	0.000427506	0.00182478	0.00773991	0.61666	0.332494	0.676026	0.0191855	3.97438e-06	0.00126082	5.21883e-06	2.67317e-05	0.00866596	0	0	0	0	0	0	0	0	0	0.00413638	5.2113e-05	0	0	0	0	0	0
32	0.0108328	3.74933	0.00425309	0.0384905	0.00436428	0.00451734	0.00248233	0.000797213	0.000424437	0.00182935	0.00768698	0.622496	0.333329	0.685294	0.0193063	3.95866e-06	0.00125569	5.20442e-06	2.67004e-05	0.00853139	0	0	0	0	0	0	0	0	0	0.00408758	5.1511e-05	0	0	0	0	0	0
33	0.0107567	3.79867	0.00427264	0.0388452	0.0043891	0.00453629	0.00248992	0.000792266	0.000421578	0.00183399	0.00763786	0.62787	0.334179	0.694167	0.0194207	3.94408e-06	0.00125091	5.19104e-06	2.66713e-05	0.00840477	0	0	0	0	0	0	0	0	0	0.00404386	5.0972e-05	0	0	0	0	0	0
34	0.0106851	3.84592	0.00429371	0.0391963	0.00441246	0.00455415	0.00249709	0.000787527	0.000418927	0.00183875	0.00759251	0.632808	0.335051	0.702666	0.019529	3.93064e-06	0.00124649	5.17871e-06	2.66446e-05	0.00828575	0	0	0	0	0	0	0	0	0	0.00400481	5.04909e-05	0	0	0	0	0	0
35	0.0106177	3.89119	0.00431609	0.0395443	0.00443432	0.00457092	0.00250384	0.000782982	0.000416479	0.00184364	0.00755083	0.637336	0.335949	0.710808	0.0196321	3.91835e-06	0.00124243	5.16741e-06	2.66201e-05	0.008174	0	0	0	0	0	0	0	0	0	0.00397005	5.00629e-05	0	0	0	0	0	0
36	0.0105544	3.93456	0.00433957	0.0398895	0.00445467	0.00458659	0.00251016	0.00077862	0.000414231	0.00184868	0.00751276	0.641478	0.336877	0.71861	0.0197302	3.90719e-06	0.00123871	5.15713e-06	2.6598e-05	0.0080692	0	0	0	0	0	0	0	0	0	0.00393921	4.96836e-05	0	0	0	0	0	0
37	0.0104948	3.97614	0.00436395	0.0402323	0.0044735	0.00460114	0.00251606	0.000774433	0.000412179	0.0018539	0.00747818	0.645257	0.337836	0.726089	0.0198241	3.89714e-06	0.00123535	5.14786e-06	2.65781e-05	0.00797103	0	0	0	0	0	0	0	0	0	0.00391199	4.93491e-05	0	0	0	0	0	0
38	0.010439	4.01599	0.00438905	0.0405728	0.00449082	0.00461458	0.00252154	0.000770414	0.000410317	0.00185929	0.00744701	0.648696	0.338827	0.73326	0.0199142	3.88819e-06	0.00123232	5.13958e-06	2.65604e-05	0.00787918	0	0	0	0	0	0	0	0	0	0.00388808	4.90558e-05	0	0	0	0	0	0
39	0.0103867	4.05421	0.00441469	0.0409115	0.00450661	0.00462693	0.00252661	0.000766557	0.00040864	0.00186486	0.00741912	0.651817	0.339849	0.740135	0.020001	3.88031e-06	0.00122962	5.13226e-06	2.65448e-05	0.00779337	0	0	0	0	0	0	0	0	0	0.00386721	4.88001e-05	0	0	0	0	0	0
40	0.0103379	4.09086	0.00444073	0.0412485	0.00452092	0.00463819	0.00253127	0.00076286	0.00040714	0.00187059	0.00739439	0.654638	0.340902	0.74673	0.0200849	3.87347e-06	0.00122725	5.12588e-06	2.65314e-05	0.00771332	0	0	0	0	0	0	0	0	0	0.00384914	4.85791e-05	0	0	0	0	0	0
41	0.0102924	4.12602	0.004467	0.0415841	0.00453375	0.00464839	0.00253552	0.000759319	0.000405813	0.00187649	0.0073727	0.657182	0.341983	0.753056	0.0201663	3.86763e-06	0.00122519	5.1204e-06	2.65199e-05	0.00763874	0	0	0	0	0	0	0	0	0	0.00383363	4.83898e-05	0	0	0	0	0	0
42	0.0102501	4.15975	0.00449337	0.0419185	0.00454514	0.00465754	0.00253939	0.00075593	0.000404651	0.00188252	0.00735393	0.659465	0.343089	0.759126	0.0202456	3.86276e-06	0.00122343	5.11578e-06	2.65104e-05	0.00756939	0	0	0	0	0	0	0	0	0	0.00382047	4.82297e-05	0	0	0	0	0	0
43	0.0102109	4.19211	0.00451972	0.0422518	0.00455513	0.00466567	0.00254287	0.000752692	0.000403647	0.00188869	0.00733792	0.661507	0.344219	0.76495	0.0203232	3.85881e-06	0.00122196	5.112e-06	2.65028e-05	0.00750501	0	0	0	0	0	0	0	0	0	0.00380947	4.80964e-05	0	0	0	0	0	0
44	0.0101747	4.22317	0.00454592	0.0425844	0.00456375	0.00467282	0.00254598	0.000749601	0.000402794	0.00189498	0.00732456	0.663324	0.345369	0.77054	0.0203994	3.85575e-06	0.00122076	5.10901e-06	2.64968e-05	0.00744537	0	0	0	0	0	0	0	0	0	0.00380044	4.79875e-05	0	0	0	0	0	0
45	0.0101414	4.25298	0.00457186	0.0429162	0.00457107	0.00467901	0.00254873	0.000746655	0.000402085	0.00190136	0.00731371	0.664932	0.346534	0.775904	0.0204744	3.85352e-06	0.00121983	5.10677e-06	2.64926e-05	0.00739025	0	0	0	0	0	0	0	0	0	0.00379322	4.7901e-05	0	0	0	0	0	0
46	0.0101109	4.2816	0.00459745	0.0432476	0.00457713	0.00468429	0.00255113	0.000743852	0.000401511	0.00190781	0.00730521	0.666348	0.347713	0.781054	0.0205486	3.85209e-06	0.00121915	5.10524e-06	2.64899e-05	0.00733944	0	0	0	0	0	0	0	0	0	0.00378766	4.78351e-05	0	0	0	0	0	0
47	0.0100832	4.30907	0.00462259	0.0435785	0.004582	0.00468868	0.00255319	0.00074119	0.000401067	0.00191432	0.00729894	0.667585	0.3489	0.785998	0.020622	3.85139e-06	0.0012187	5.10437e-06	2.64886e-05	0.00729272	0	0	0	0	0	0	0	0	0	0.00378362	4.7788e-05	0	0	0	0	0	0
48	0.0100581	4.33543	0.0046472	0.0439092	0.00458572	0.00469224	0.00255494	0.000738665	0.000400743	0.00192086	0.00729475	0.668659	0.350093	0.790743	0.0206949	3.85139e-06	0.00121847	5.10411e-06	2.64888e-05	0.00724991	0	0	0	0	0	0	0	0	0	0.00378097	4.77581e-05	0	0	0	0	0	0
49	0.0100356	4.36075	0.0046712	0.0442397	0.00458837	0.004695	0.00255638	0.000736274	0.000400532	0.00192741	0.00729251	0.669581	0.351287	0.795299	0.0207675	3.85203e-06	0.00121844	5.10443e-06	2.64901e-05	0.00721082	0	0	0	0	0	0	0	0	0	0.00377958	4.77438e-05	0	0	0	0	0	0
50	0.0100155	4.38505	0.00469454	0.0445702	0.00459001	0.00469701	0.00255753	0.000734016	0.000400427	0.00193396	0.00729208	0.670365	0.352478	0.799674	0.0208399	3.85326e-06	0.0012186	5.10528e-06	2.64927e-05	0.00717528	0	0	0	0	0	0	0	0	0	0.00377935	4.77439e-05	0	0	0	0	0	0
51	0.00999768	4.40839	0.00471714	0.0449007	0.0045907	0.00469831	0.00255841	0.000731885	0.000400421	0.00194049	0.00729333	0.671023	0.353664	0.803873	0.0209121	3.85504e-06	0.00121893	5.10661e-06	2.64962e-05	0.00714312	0	0	0	0	0	0	0	0	0	0.00378017	4.7757e-05	0	0	0	0	0	0
52	0.00998215	4.43079	0.00473896	0.0452314	0.00459051	0.00469894	0.00255902	0.00072988	0.000400506	0.00194697	0.00729611	0.671566	0.354841	0.807905	0.0209844	3.85731e-06	0.00121942	5.10838e-06	2.65007e-05	0.00711418	0	0	0	0	0	0	0	0	0	0.00378194	4.77819e-05	0	0	0	0	0	0
53	0.00996877	4.4523	0.00475996	0.0455623	0.00458952	0.00469896	0.00255939	0.000727996	0.000400674	0.00195338	0.00730031	0.672005	0.356006	0.811776	0.0210566	3.86003e-06	0.00122006	5.11055e-06	2.65061e-05	0.0070883	0	0	0	0	0	0	0	0	0	0.00378458	4.78175e-05	0	0	0	0	0	0
54	0.00995743	4.47294	0.00478008	0.0458934	0.00458777	0.00469841	0.00255954	0.000726229	0.000400919	0.00195972	0.00730579	0.672349	0.357154	0.815492	0.021129	3.86314e-06	0.00122083	5.11308e-06	2.65122e-05	0.00706534	0	0	0	0	0	0	0	0	0	0.00378801	4.78629e-05	0	0	0	0	0	0
55	0.00994804	4.49276	0.0047993	0.0462249	0.00458535	0.00469733	0.00255946	0.000724577	0.000401234	0.00196595	0.00731243	0.672608	0.358284	0.819059	0.0212015	3.86662e-06	0.00122171	5.11591e-06	2.6519e-05	0.00704515	0	0	0	0	0	0	0	0	0	0.00379214	4.79169e-05	0	0	0	0	0	0
56	0.0099405	4.51179	0.0048176	0.0465568	0.00458231	0.00469577	0.0025592	0.000723034	0.000401611	0.00197207	0.00732012	0.672791	0.359393	0.822483	0.021274	3.8704e-06	0.0012227	5.11903e-06	2.65264e-05	0.00702761	0	0	0	0	0	0	0	0	0	0.00379691	4.79787e-05	0	0	0	0	0	0
57	0.00993472	4.53005	0.00483494	0.0468892	0.00457872	0.00469378	0.00255875	0.000721598	0.000402045	0.00197807	0.00732872	0.672906	0.360477	0.82577	0.0213467	3.87445e-06	0.00122377	5.12238e-06	2.65343e-05	0.00701258	0	0	0	0	0	0	0	0	0	0.00380224	4.80476e-05	0	0	0	0	0	0
58	0.00993058	4.54758	0.00485132	0.047222	0.00457465	0.00469138	0.00255813	0.000720263	0.000402529	0.00198392	0.00733814	0.67296	0.361535	0.828924	0.0214194	3.87873e-06	0.00122492	5.12593e-06	2.65425e-05	0.00699994	0	0	0	0	0	0	0	0	0	0.00380808	4.81227e-05	0	0	0	0	0	0
59	0.009928	4.5644	0.00486673	0.0475554	0.00457014	0.00468864	0.00255736	0.000719027	0.000403057	0.00198962	0.00734827	0.672962	0.362565	0.831951	0.0214922	3.88319e-06	0.00122614	5.12964e-06	2.65511e-05	0.00698957	0	0	0	0	0	0	0	0	0	0.00381437	4.82032e-05	0	0	0	0	0	0
60	0.00992688	4.58054	0.00488115	0.0478893	0.00456526	0.00468559	0.00255646	0.000717884	0.000403622	0.00199515	0.00735899	0.672917	0.363563	0.834856	0.021565	3.88781e-06	0.0012274	5.13349e-06	2.656e-05	0.00698135	0	0	0	0	0	0	0	0	0	0.00382105	4.82886e-05	0	0	0	0	0	0
61	0.00992712	4.59603	0.00489459	0.0482239	0.00456007	0.00468226	0.00255544	0.000716832	0.000404219	0.00200051	0.00737022	0.672833	0.36453	0.837642	0.0216378	3.89253e-06	0.00122872	5.13745e-06	2.65691e-05	0.00697517	0	0	0	0	0	0	0	0	0	0.00382807	4.83781e-05	0	0	0	0	0	0
62	0.00992863	4.61088	0.00490704	0.0485591	0.00455461	0.00467871	0.00255431	0.000715865	0.000404844	0.00200569	0.00738185	0.672714	0.365463	0.840315	0.0217104	3.89734e-06	0.00123006	5.14147e-06	2.65782e-05	0.00697092	0	0	0	0	0	0	0	0	0	0.00383538	4.84713e-05	0	0	0	0	0	0
63	0.00993132	4.62513	0.00491852	0.048895	0.00454894	0.00467495	0.00255308	0.000714982	0.00040549	0.00201067	0.0073938	0.672567	0.36636	0.842878	0.0217828	3.9022e-06	0.00123142	5.14554e-06	2.65875e-05	0.0069685	0	0	0	0	0	0	0	0	0	0.00384294	4.85674e-05	0	0	0	0	0	0
64	0.00993509	4.63879	0.00492903	0.0492315	0.0045431	0.00467104	0.00255178	0.000714176	0.000406152	0.00201546	0.00740599	0.672396	0.367221	0.845336	0.021855	3.90708e-06	0.0012328	5.14963e-06	2.65968e-05	0.00696782	0	0	0	0	0	0	0	0	0	0.00385071	4.86661e-05	0	0	0	0	0	0
65	0.00993987	4.65189	0.00493858	0.0495687	0.00453714	0.00466699	0.0025504	0.000713445	0.000406827	0.00202004	0.00741833	0.672206	0.368044	0.847692	0.0219269	3.91196e-06	0.00123419	5.15372e-06	2.6606e-05	0.00696876	0	0	0	0	0	0	0	0	0	0.00385865	4.87667e-05	0	0	0	0	0	0
66	0.00994557	4.66444	0.00494719	0.0499066	0.0045311	0.00466285	0.00254897	0.000712785	0.000407509	0.00202441	0.00743075	0.672001	0.368829	0.849951	0.0219983	3.9168e-06	0.00123557	5.15779e-06	2.66151e-05	0.00697123	0	0	0	0	0	0	0	0	0	0.00386671	4.8869e-05	0	0	0	0	0	0
67	0.00995209	4.67648	0.00495488	0.0502453	0.00452501	0.00465864	0.0025475	0.000712193	0.000408195	0.00202857	0.00744317	0.671785	0.369576	0.852116	0.0220693	3.92158e-06	0.00123694	5.1618e-06	2.66241e-05	0.00697515	0	0	0	0	0	0	0	0	0	0.00387488	4.89724e-05	0	0	0	0	0	0
68	0.00995937	4.68801	0.00496168	0.0505846	0.00451893	0.00465439	0.002546	0.000711664	0.000408881	0.00203251	0.00745554	0.671561	0.370283	0.854189	0.0221397	3.92629e-06	0.00123829	5.16576e-06	2.6633e-05	0.00698042	0	0	0	0	0	0	0	0	0	0.00388311	4.90765e-05	0	0	0	0	0	0
69	0.00996733	4.69905	0.00496759	0.0509247	0.00451287	0.00465013	0.00254447	0.000711196	0.000409562	0.00203624	0.00746779	0.671334	0.37095	0.856175	0.0222095	3.9309e-06	0.00123962	5.16963e-06	2.66416e-05	0.00698695	0	0	0	0	0	0	0	0	0	0.00389138	4.9181e-05	0	0	0	0	0	0
70	0.00997589	4.70963	0.00497265	0.0512655	0.00450687	0.00464588	0.00254293	0.000710785	0.000410237	0.00203975	0.00747985	0.671106	0.371577	0.858078	0.0222786	3.9354e-06	0.00124093	5.17341e-06	2.665e-05	0.00699467	0	0	0	0	0	0	0	0	0	0.00389965	4.92855e-05	0	0	0	0	0	0
71	0.00998497	4.71975	0.00497688	0.051607	0.00450096	0.00464166	0.00254139	0.000710428	0.0004109	0.00204304	0.00749169	0.670879	0.372165	0.859898	0.0223468	3.93977e-06	0.00124219	5.17707e-06	2.66581e-05	0.00700348	0	0	0	0	0	0	0	0	0	0.00390791	4.93897e-05	0	0	0	0	0	0
72	0.00999451	4.72945	0.00498032	0.0519492	0.00449517	0.0046375	0.00253985	0.000710122	0.000411551	0.00204611	0.00750325	0.670656	0.372713	0.861641	0.0224142	3.94399e-06	0.00124342	5.18062e-06	2.6666e-05	0.00701332	0	0	0	0	0	0	0	0	0	0.00391612	4.94934e-05	0	0	0	0	0	0
73	0.0100044	4.73872	0.00498299	0.0522922	0.00448952	0.0046334	0.00253833	0.000709864	0.000412186	0.00204896	0.00751449	0.670439	0.373221	0.863308	0.0224806	3.94805e-06	0.00124461	5.18403e-06	2.66735e-05	0.0070241	0	0	0	0	0	0	0	0	0	0.00392427	4.95962e-05	0	0	0	0	0	0
74	0.0100147	4.74759	0.00498492	0.0526359	0.00448402	0.0046294	0.00253683	0.00070965	0.000412802	0.0020516	0.00752537	0.67023	0.37369	0.864903	0.022546	3.95195e-06	0.00124576	5.1873e-06	2.66807e-05	0.00703574	0	0	0	0	0	0	0	0	0	0.00393234	4.96979e-05	0	0	0	0	0	0
75	0.0100253	4.75607	0.00498615	0.0529802	0.0044787	0.0046255	0.00253535	0.000709479	0.000413399	0.00205403	0.00753586	0.67003	0.374121	0.866428	0.0226103	3.95567e-06	0.00124685	5.19042e-06	2.66876e-05	0.00704819	0	0	0	0	0	0	0	0	0	0.00394031	4.97983e-05	0	0	0	0	0	0
76	0.010036	4.76418	0.0049867	0.0533253	0.00447357	0.00462172	0.00253391	0.000709347	0.000413973	0.00205624	0.00754592	0.669842	0.374514	0.867885	0.0226735	3.9592e-06	0.00124789	5.19338e-06	2.6694e-05	0.00706136	0	0	0	0	0	0	0	0	0	0.00394816	4.98971e-05	0	0	0	0	0	0
77	0.0100469	4.77193	0.00498662	0.053671	0.00446865	0.00461807	0.00253251	0.000709252	0.000414524	0.00205826	0.00755553	0.669665	0.37487	0.869277	0.0227354	3.96255e-06	0.00124888	5.19618e-06	2.67002e-05	0.00707518	0	0	0	0	0	0	0	0	0	0.00395588	4.99943e-05	0	0	0	0	0	0
78	0.010058	4.77933	0.00498593	0.0540174	0.00446396	0.00461457	0.00253115	0.000709191	0.000415049	0.00206007	0.00756466	0.669502	0.375189	0.870607	0.022796	3.96569e-06	0.00124981	5.19882e-06	2.67059e-05	0.0070896	0	0	0	0	0	0	0	0	0	0.00396346	5.00895e-05	0	0	0	0	0	0
79	0.010069	4.7864	0.00498466	0.0543644	0.00445949	0.00461121	0.00252984	0.000709162	0.000415547	0.00206168	0.0075733	0.669353	0.375473	0.871877	0.0228554	3.96863e-06	0.00125069	5.20128e-06	2.67112e-05	0.00710455	0	0	0	0	0	0	0	0	0	0.00397087	5.01827e-05	0	0	0	0	0	0
