Time	[IL6{serum}]	[sgp130{serum}]	[sR_IL6_sgp130{serum}]	[CRP{serum}]	[sR{serum}]	[sR_IL6{serum}]	[Ab{serum}]	[Ab_IL6{serum}]	[Ab_sR_IL6{serum}]	[gp130{liver}]	[R_IL6_gp130{liver}]	[sR_IL6{liver}]	[R]	[IL6{liver}]	[R_IL6]	[Ractive{liver}]	[STAT3{liver}]	[pSTAT3{liver}]	[CRP{liver}]	[sR{liver}]	[CRPExtracellular]	[sgp130{liver}]	[sR_IL6_sgp130{liver}]	[Ab_sR_IL6{liver}]	[Ab_IL6{liver}]	[Ab{liver}]	[sR_IL6{gut}]	[gp130{gut}]	[R_IL6_gp130{gut}]	[Ractive{gut}]	[STAT3{gut}]	[pSTAT3{gut}]	[geneProduct]	[sR{gut}]	[IL6{gut}]	[sgp130{gut}]	[sR_IL6_sgp130{gut}]	[Ab{gut}]	[Ab_IL6{gut}]	[Ab_sR_IL6{gut}]	[Ab{peripheral}]
22	4.67697e-07	3.90013	0.000344971	39.3422	1.05155	4.281e-06	132.502	0.0243511	-7.56607e-27	0.438439	5.34514e-07	3.99233e-06	0.43882	2.10199e-07	4.54411e-08	0.0143922	9.11571	0.884288	26.8107	1.50606	72.3839	5.58122	0.000485434	-4.11739e-27	0.00513854	61.153	4.01632e-06	0.438426	6.20396e-07	0.0183016	8.84858	1.15142	34.0735	1.50606	2.70556e-06	5.58122	0.000486893	30.5467	0.0323777	-3.10717e-27	1.29635
23	4.97035e-07	3.90013	0.000321782	39.2232	1.05064	3.99354e-06	130.051	0.0254193	-7.46888e-27	0.438463	5.16914e-07	3.72389e-06	0.43882	2.21914e-07	4.41835e-08	0.0142819	9.1205	0.879503	26.6773	1.50492	72.1531	5.58121	0.000452762	-4.18009e-27	0.00554384	62.4884	3.74809e-06	0.438451	6.01937e-07	0.0181524	8.8556	1.1444	33.8871	1.50492	2.74499e-06	5.5812	0.000454234	31.2134	0.0335917	-3.11506e-27	1.33964
24	5.26941e-07	3.90012	0.000300199	39.0959	1.04964	3.72599e-06	127.72	0.0264844	-7.37626e-27	0.438485	5.00344e-07	3.47404e-06	0.43882	2.33917e-07	4.30123e-08	0.0141703	9.12547	0.874534	26.5387	1.50364	71.907	5.58119	0.000422351	-4.23943e-27	0.00596157	63.7446	3.49846e-06	0.438475	5.84517e-07	0.0180024	8.86283	1.13717	33.6951	1.50364	2.78492e-06	5.58119	0.000423837	31.8405	0.034789	-3.12179e-27	1.38203
25	5.5739e-07	3.90011	0.000280111	38.9603	1.04852	3.477e-06	125.503	0.0275463	-7.28795e-27	0.438506	4.84736e-07	3.24149e-06	0.438821	2.46205e-07	4.1922e-08	0.0140578	9.13061	0.869393	26.3952	1.50222	71.6458	5.58118	0.000394047	-4.29559e-27	0.00639141	64.9259	3.26614e-06	0.438497	5.68069e-07	0.0178519	8.87024	1.12976	33.4977	1.50222	2.8253e-06	5.58117	0.000395547	32.4302	0.03597	-3.12744e-27	1.42355
26	5.88355e-07	3.9001	0.000261416	38.8167	1.0473	3.24527e-06	123.394	0.0286052	-7.20374e-27	0.438526	4.70024e-07	3.02507e-06	0.438821	2.5878e-07	4.09075e-08	0.0139445	9.13591	0.864089	26.247	1.50066	71.37	5.58116	0.000367705	-4.3487e-27	0.00683306	66.0362	3.04993e-06	0.438518	5.52527e-07	0.0177009	8.87783	1.12217	33.2954	1.50065	2.86611e-06	5.58116	0.000369217	32.9844	0.0371349	-3.13208e-27	1.46425
27	6.19811e-07	3.9001	0.000244017	38.6653	1.04597	3.02962e-06	121.388	0.0296609	-7.12342e-27	0.438545	4.5615e-07	2.82366e-06	0.438821	2.7164e-07	3.99639e-08	0.0138304	9.14137	0.858634	26.0944	1.49893	71.0799	5.58115	0.000343189	-4.39894e-27	0.00728623	67.0793	2.84873e-06	0.438538	5.37832e-07	0.0175495	8.88558	1.11442	33.0885	1.49893	2.90732e-06	5.58115	0.000344715	33.505	0.0382842	-3.13576e-27	1.50417
28	6.5173e-07	3.90009	0.000227826	38.5063	1.04453	2.82896e-06	119.478	0.0307136	-7.04677e-27	0.438563	4.43058e-07	2.63622e-06	0.438821	2.84784e-07	3.90868e-08	0.0137158	9.14696	0.853037	25.9376	1.49706	70.776	5.58114	0.000320374	-4.44643e-27	0.00775062	68.0587	2.66151e-06	0.438557	5.23928e-07	0.017398	8.89348	1.10652	32.8772	1.49705	2.9489e-06	5.58114	0.000321913	33.9938	0.0394182	-3.13856e-27	1.54334
29	6.84088e-07	3.90008	0.000212759	38.34	1.04298	2.64223e-06	117.661	0.0317633	-6.9736e-27	0.43858	4.30697e-07	2.4618e-06	0.438821	2.98212e-07	3.8272e-08	0.0136008	9.15269	0.847309	25.7771	1.49502	70.4586	5.58113	0.000299142	-4.49132e-27	0.00822595	68.9778	2.4873e-06	0.438574	5.10763e-07	0.0172464	8.90152	1.09848	32.662	1.49502	2.99083e-06	5.58112	0.000300694	34.4525	0.0405373	-3.14052e-27	1.58179
30	7.16857e-07	3.90008	0.000198739	38.1665	1.04131	2.4685e-06	115.931	0.03281	-6.90375e-27	0.438595	4.19016e-07	2.2995e-06	0.438821	3.11923e-07	3.75156e-08	0.0134854	9.15854	0.841459	25.6129	1.49282	70.1284	5.58111	0.000279386	-4.53374e-27	0.00871193	69.8399	2.32521e-06	0.43859	4.98288e-07	0.0170949	8.90968	1.09032	32.4431	1.49282	3.03309e-06	5.58111	0.000280951	34.8826	0.0416417	-3.1417e-27	1.61957
31	7.50012e-07	3.90007	0.000185693	37.9861	1.03953	2.30685e-06	114.283	0.0338538	-6.83702e-27	0.43861	4.07973e-07	2.14848e-06	0.438821	3.25916e-07	3.6814e-08	0.0133698	9.1645	0.835498	25.4455	1.49046	69.7858	5.5811	0.000261002	-4.57379e-27	0.00920828	70.6478	2.1744e-06	0.438605	4.86458e-07	0.0169435	8.91796	1.08204	32.2208	1.49046	3.07566e-06	5.5811	0.00026258	35.2858	0.0427319	-3.14215e-27	1.65669
