Time	[Ca_in]	[Ca_store]	[Ca_ex]	[M_P]	[M_C]	[M_B]	[P_C]	[C_C]	[P_CP]	[C_CP]	[PC_C]	[PC_N]	[PC_CP]	[PC_NP]	[B_C]	[B_CP]	[B_N]	[B_NP]	[I_N]	[CB]	[VIP]	[Cl_ex]	[Cl_o]	[GABA]	[GABA_o]	[K_in]	[K_ex]	[Na_in]	[Na_ex]
16	0.1006	0.569818	5	0.155525	0.214168	8.50447	0.0351163	3.98492	0.0214346	5.08017	0.13138	0.357581	0.141633	0.199458	1.67501	0.837749	0.586701	0.236468	0.0624889	0.00407821	0.0124106	114.5	1	0.278276	0.2	42.7752	1	25.388	145
17	0.10333	0.597757	5	0.325667	0.443481	8.56829	0.0607039	3.5145	0.0309024	4.85659	0.0553096	0.0909473	0.0811197	0.139098	1.75024	0.843855	0.772725	0.256429	0.0255719	0.0052037	0.0189985	114.5	1	0.319567	0.2	42.7752	1	25.388	145
18	0.106134	0.627406	5	0.54912	0.7424	8.58035	0.114541	3.45206	0.0482472	4.63591	0.0536734	0.0187425	0.0539199	0.0471434	1.83631	0.850292	0.985008	0.275175	0.00654879	0.00695288	0.0299686	114.5	1	0.387924	0.2	42.7752	1	25.388	145
19	0.10874	0.658781	5	0.782219	1.04847	8.53348	0.183555	3.77074	0.06524	4.42	0.0951624	0.0126754	0.0675491	0.0169332	1.92517	0.857021	1.19144	0.290956	0.00292467	0.00932806	0.046195	114.5	1	0.488132	0.2	42.7752	1	25.388	145
20	0.110916	0.691712	5	1.01248	1.33787	8.42909	0.246631	4.38252	0.0773497	4.21018	0.180277	0.0201987	0.0983582	0.0192146	2.00836	0.863901	1.38369	0.303517	0.00411109	0.0120862	0.0671081	114.5	1	0.615718	0.2	42.7752	1	25.388	145
21	0.112591	0.725907	5	1.24055	1.60704	8.273	0.291981	5.20703	0.0846843	4.0068	0.315562	0.0371684	0.131822	0.0320184	2.07972	0.870754	1.5556	0.313293	0.00843352	0.0149404	0.0914622	114.5	1	0.762123	0.2	42.7752	1	25.388	145
22	0.113794	0.761045	5	1.46823	1.85742	8.07428	0.320166	6.1874	0.0887809	3.80974	0.498845	0.0648897	0.160755	0.0510379	2.13467	0.877398	1.69811	0.320777	0.0167848	0.0176775	0.117937	114.5	1	0.91868	0.2	42.7752	1	25.388	145
23	0.114586	0.796825	5	1.69625	2.09124	7.84466	0.336682	7.28252	0.0910091	3.61875	0.72146	0.105505	0.183225	0.0738521	2.16951	0.883664	1.79985	0.326349	0.0307124	0.0201733	0.145368	114.5	1	1.07811	0.2	42.7752	1	25.388	145
24	0.115017	0.832974	5	1.92431	2.31045	7.59807	0.34638	8.45957	0.0922385	3.4336	0.974213	0.161023	0.199891	0.0979528	2.18113	0.889393	1.84914	0.330256	0.0518615	0.0223664	0.172777	114.5	1	1.23467	0.2	42.7752	1	25.388	145
25	0.115106	0.869241	5	2.15125	2.51641	7.35021	0.352263	9.69117	0.0929446	3.25417	1.24976	0.233508	0.212079	0.121297	2.16719	0.894431	1.8366	0.332626	0.08161	0.0242307	0.199339	114.5	1	1.38382	0.2	42.7752	1	25.388	145
26	0.114835	0.905375	5	2.375	2.70967	7.11813	0.355947	10.9543	0.0933693	3.08039	1.54259	0.325992	0.221015	0.142699	2.12664	0.898622	1.75765	0.333464	0.120684	0.0257537	0.224333	114.5	1	1.52193	0.2	42.7752	1	25.388	145
27	0.114143	0.941095	5	2.59202	2.8894	6.9198	0.358176	12.2292	0.0936284	2.91225	1.84834	0.44366	0.22764	0.16173	2.06031	0.901809	1.61425	0.332639	0.168601	0.0269241	0.247101	114.5	1	1.64588	0.2	42.7752	1	25.388	145
28	0.112926	0.976073	5	2.79532	3.05181	6.77285	0.359044	13.4974	0.0937626	2.74983	2.16297	0.594745	0.232626	0.178393	1.97151	0.903832	1.41575	0.329833	0.222749	0.0277218	0.266983	114.5	1	1.75271	0.2	42.7752	1	25.388	145
29	0.111045	1.00991	5	2.9688	3.1852	6.69176	0.357815	14.737	0.0937451	2.5932	2.48066	0.790612	0.236435	0.192847	1.86626	0.90454	1.17934	0.324453	0.277168	0.0281155	0.283197	114.5	1	1.83887	0.2	42.7752	1	25.388	145
30	0.10837	1.04213	5	3.07011	3.25499	6.68315	0.351915	15.9097	0.0934275	2.44252	2.78784	1.04361	0.23937	0.205233	1.75308	0.903821	0.929717	0.315521	0.321855	0.0280613	0.294467	114.5	1	1.89827	0.2	42.7752	1	25.388	145
31	0.104876	1.07226	5	2.99296	3.17029	6.74123	0.33449	16.9266	0.0923451	2.29792	3.04635	1.3588	0.241595	0.215619	1.64214	0.901635	0.696464	0.301656	0.344393	0.0274864	0.29769	114.5	1	1.91517	0.2	42.7752	1	25.388	145
32	0.100767	1.09993	5	2.58536	2.7983	6.84876	0.29499	17.6003	0.0893814	2.15957	3.16738	1.71383	0.243118	0.223989	1.54368	0.898072	0.507356	0.281597	0.335742	0.0261772	0.283945	114.5	1	1.84283	0.2	42.7752	1	25.388	145
33	0.096519	1.12501	5	1.87191	2.15788	6.98509	0.233481	17.7084	0.0829952	2.02761	3.04332	2.03787	0.243767	0.230295	1.466	0.893393	0.377778	0.255963	0.298517	0.023375	0.232604	114.5	1	1.56716	0.2	42.7752	1	25.388	145
34	0.0927516	1.14775	5	1.06252	1.42523	7.13441	0.162581	17.1613	0.0719143	1.90216	2.65307	2.23092	0.243239	0.234544	1.41349	0.888029	0.30427	0.229198	0.248421	0.016537	0.121952	114.5	1	0.94219	0.2	42.7752	1	25.388	145
35	0.0899811	1.16865	5	0.36393	0.744467	7.28776	0.0944658	16.0076	0.054722	1.78336	2.07368	2.21773	0.241024	0.236802	1.38605	0.882498	0.272477	0.207844	0.201891	0.00310584	0.00728069	114.5	1	0.245999	0.2	42.7752	1	25.388	145
36	0.0884718	1.18839	5	0.0460898	0.251853	7.44057	0.0500873	14.3682	0.0346732	1.67129	1.45296	1.98567	0.236137	0.237039	1.38069	0.877295	0.270524	0.196103	0.16469	0.00184131	0.000727458	114.5	1	0.204606	0.2	42.7752	1	25.388	145
37	0.0882515	1.20764	5	0.0159568	0.0595952	7.58991	0.0334035	12.4858	0.0233608	1.566	0.948745	1.59711	0.227188	0.234938	1.39374	0.872812	0.293161	0.194429	0.134413	0.0018403	0.000760306	114.5	1	0.204814	0.2	42.7752	1	25.388	145
38	0.0892004	1.22703	5	0.024405	0.0399135	7.73291	0.0242202	10.6834	0.0173884	1.46753	0.575314	1.14223	0.212168	0.229579	1.42221	0.869315	0.340392	0.201096	0.106882	0.00194326	0.00125256	114.5	1	0.20793	0.2	42.7752	1	25.388	145
39	0.0911321	1.2471	5	0.0502261	0.0722374	7.86546	0.0183911	9.08611	0.0133063	1.3759	0.300942	0.692116	0.186104	0.218318	1.46427	0.866961	0.417251	0.213898	0.0783498	0.00218717	0.00244909	114.5	1	0.215498	0.2	42.7752	1	25.388	145
40	0.0938484	1.26831	5	0.114779	0.161582	7.9806	0.0187105	7.73732	0.0124323	1.2911	0.12295	0.309731	0.138841	0.19274	1.51939	0.865825	0.532398	0.230773	0.04725	0.00265943	0.00489853	114.5	1	0.230973	0.2	42.7752	1	25.388	145
41	0.0971485	1.29105	5	0.247028	0.344604	8.06716	0.0319778	6.71351	0.018311	1.21313	0.0518944	0.0754567	0.0770892	0.127548	1.58756	0.865929	0.689032	0.249551	0.0186344	0.00349903	0.00950382	114.5	1	0.260001	0.2	42.7752	1	25.388	145
42	0.100767	1.31559	5	0.437222	0.608142	8.11279	0.0623753	6.09927	0.0314373	1.14211	0.0515583	0.016916	0.051828	0.0407906	1.66606	0.867232	0.865054	0.26767	0.00487486	0.00486336	0.0174375	114.5	1	0.309799	0.2	42.7752	1	25.388	145
43	0.104321	1.34204	5	0.646591	0.896718	8.11149	0.105185	5.90322	0.0467367	1.0784	0.0857539	0.0117087	0.0639961	0.0154424	1.74779	0.869589	1.03665	0.283193	0.00232859	0.00678867	0.0294198	114.5	1	0.384516	0.2	42.7752	1	25.388	145
44	0.107475	1.37027	5	0.857875	1.17986	8.06278	0.151843	6.06863	0.0599457	1.02231	0.149831	0.0173674	0.0904523	0.0170747	1.82583	0.872762	1.19886	0.295773	0.00313056	0.00915088	0.0453907	114.5	1	0.483189	0.2	42.7752	1	25.388	145
45	0.11008	1.39996	5	1.06862	1.44837	7.96925	0.194884	6.52289	0.0697959	0.973902	0.249347	0.029766	0.120256	0.026924	1.89518	0.876486	1.34795	0.305763	0.00593326	0.0117545	0.0647751	114.5	1	0.601571	0.2	42.7752	1	25.388	145
46	0.112134	1.43074	5	1.27982	1.70064	7.83615	0.230302	7.2002	0.0766228	0.932869	0.388254	0.0499349	0.14799	0.0419696	1.95214	0.880509	1.47803	0.3136	0.0112116	0.0144099	0.0867435	114.5	1	0.733937	0.2	42.7752	1	25.388	145
47	0.113698	1.46222	5	1.49234	1.93741	7.67125	0.257503	8.04668	0.0812118	0.898602	0.565442	0.0801959	0.17121	0.0611883	1.99374	0.8846	1.58095	0.319631	0.0200532	0.0169714	0.110397	114.5	1	0.874363	0.2	42.7752	1	25.388	145
48	0.114836	1.49407	5	1.70622	2.15983	7.48469	0.277737	9.01902	0.084289	0.870333	0.776128	0.123106	0.189506	0.0831028	2.01741	0.888553	1.64711	0.324089	0.0338005	0.0193418	0.13486	114.5	1	1.01737	0.2	42.7752	1	25.388	145
49	0.115588	1.52598	5	1.92061	2.36892	7.28876	0.292694	10.0821	0.0863845	0.847248	1.01437	0.181168	0.203484	0.105884	2.02099	0.892179	1.66707	0.327097	0.0537826	0.0214606	0.159314	114.5	1	1.15811	0.2	42.7752	1	25.388	145
50	0.115955	1.55765	5	2.13368	2.56507	7.0976	0.303807	11.2067	0.0878454	0.828556	1.2745	0.257044	0.214037	0.127933	2.00297	0.8953	1.63362	0.328675	0.0809891	0.0232889	0.182994	114.5	1	1.29233	0.2	42.7752	1	25.388	145
51	0.115896	1.58879	5	2.34228	2.74763	6.92663	0.312049	12.3681	0.0888832	0.813531	1.55149	0.354308	0.222003	0.148241	1.96302	0.897742	1.54398	0.328734	0.115661	0.0247959	0.205173	114.5	1	1.41625	0.2	42.7752	1	25.388	145
52	0.115328	1.61914	5	2.54059	2.91369	6.79159	0.317877	13.5442	0.0896133	0.801533	1.84049	0.478377	0.228055	0.166372	1.90251	0.899334	1.40136	0.327047	0.156727	0.0259493	0.225124	114.5	1	1.52626	0.2	42.7752	1	25.388	145
53	0.114127	1.64838	5	2.71662	3.05508	6.70673	0.321087	14.7113	0.09007	0.792007	2.13554	0.636981	0.232693	0.182257	1.82498	0.89992	1.21588	0.323195	0.201021	0.0267085	0.242035	114.5	1	1.61845	0.2	42.7752	1	25.388	145
54	0.112169	1.67622	5	2.84256	3.14983	6.68153	0.320267	15.8368	0.0901826	0.784481	2.4259	0.839261	0.236271	0.195969	1.73623	0.899369	1.00473	0.316495	0.24251	0.0270213	0.254762	114.5	1	1.6872	0.2	42.7752	1	25.388	145
55	0.109388	1.70236	5	2.85185	3.1419	6.71688	0.311371	16.8584	0.089664	0.77856	2.68639	1.09137	0.239009	0.207586	1.64398	0.897606	0.791134	0.305953	0.272458	0.0268104	0.261015	114.5	1	1.72078	0.2	42.7752	1	25.388	145
56	0.105887	1.7266	5	2.6216	2.92474	6.80343	0.286384	17.6456	0.0877524	0.773901	2.85806	1.38455	0.240983	0.217132	1.55689	0.894652	0.600747	0.290472	0.281946	0.0258997	0.254911	114.5	1	1.688	0.2	42.7752	1	25.388	145
57	0.102008	1.74883	5	2.07633	2.43061	6.92506	0.239383	17.9955	0.0830628	0.770208	2.84482	1.67601	0.242099	0.224572	1.48319	0.890664	0.454488	0.269765	0.267296	0.0237293	0.2221	114.5	1	1.50968	0.2	42.7752	1	25.388	145
58	0.0982957	1.76916	5	1.33581	1.7589	7.06578	0.176732	17.7493	0.0740871	0.767212	2.5815	1.88577	0.242086	0.229859	1.42894	0.885951	0.36026	0.24605	0.234743	0.0185079	0.141147	114.5	1	1.05376	0.2	42.7752	1	25.388	145
59	0.0953158	1.78788	5	0.601415	1.06461	7.21442	0.110312	16.8837	0.0593397	0.764679	2.09723	1.93191	0.240464	0.23298	1.39669	0.88094	0.312039	0.224415	0.196782	0.00671699	0.0286619	114.5	1	0.379807	0.2	42.7752	1	25.388	145
60	0.0934742	1.80544	5	0.122762	0.477901	7.36451	0.0568181	15.4699	0.0390375	0.762401	1.50382	1.77512	0.23628	0.233851	1.38571	0.87609	0.299395	0.209973	0.161929	0.00203669	0.00119386	114.5	1	0.207558	0.2	42.7752	1	25.388	145
61	0.0929506	1.82231	5	0.0260493	0.141124	7.51204	0.0331729	13.6596	0.0238379	0.76018	0.971039	1.44691	0.227838	0.23207	1.39359	0.871802	0.315914	0.205002	0.131214	0.00198669	0.000990027	114.5	1	0.206268	0.2	42.7752	1	25.388	145
62	0.0937478	1.83895	5	0.0312556	0.0620158	7.6535	0.0231197	11.7779	0.0167778	0.757835	0.574114	1.0322	0.212677	0.226537	1.41786	0.86838	0.360472	0.208924	0.102394	0.0020786	0.00142945	114.5	1	0.209049	0.2	42.7752	1	25.388	145
63	0.0957703	1.85577	5	0.0603876	0.0890655	7.78427	0.0176533	10.0724	0.0127647	0.755239	0.290878	0.61187	0.18544	0.214152	1.45681	0.866021	0.437059	0.219769	0.0728254	0.00232627	0.00261233	114.5	1	0.21653	0.2	42.7752	1	25.388	145
64	0.0988866	1.87304	5	0.131581	0.186196	7.89696	0.018839	8.63063	0.0123801	0.752314	0.115598	0.258134	0.135764	0.18489	1.50979	0.86484	0.553078	0.235262	0.0416874	0.00282498	0.00510965	114.5	1	0.232306	0.2	42.7752	1	25.388	145
65	0.102947	1.89093	5	0.269941	0.377571	7.98029	0.0327752	7.53514	0.0187119	0.749054	0.0525891	0.0578221	0.0751203	0.112066	1.57628	0.864885	0.708327	0.252929	0.015132	0.00372927	0.00987181	114.5	1	0.262316	0.2	42.7752	1	25.388	145
66	0.107715	1.90942	5	0.460245	0.641173	8.02309	0.0620225	6.85998	0.0314937	0.745621	0.0577945	0.0153027	0.0549269	0.0336815	1.65265	0.866122	0.877654	0.270001	0.00408171	0.00519989	0.0180067	114.5	1	0.313362	0.2	42.7752	1	25.388	145
67	0.112815	1.92828	5	0.667405	0.925158	8.02069	0.101746	6.60328	0.0459447	0.742362	0.0961949	0.0125249	0.0693937	0.0152867	1.73154	0.8684	1.04135	0.284629	0.00234504	0.00727013	0.030068	114.5	1	0.388541	0.2	42.7752	1	25.388	145
68	0.117897	1.94703	5	0.877857	1.20337	7.97308	0.145045	6.70757	0.058527	0.739664	0.164376	0.0192299	0.096084	0.0186257	1.80642	0.871481	1.19562	0.296528	0.00344258	0.00984031	0.0459246	114.5	1	0.48647	0.2	42.7752	1	25.388	145
69	0.122773	1.96507	5	1.0904	1.46768	7.88296	0.18612	7.1022	0.0681931	0.737792	0.267823	0.0325515	0.125124	0.0292123	1.87261	0.875102	1.33674	0.306018	0.00647762	0.0127594	0.0650378	114.5	1	0.603166	0.2	42.7752	1	25.388	145
70	0.127387	1.98177	5	1.30679	1.71653	7.75555	0.221682	7.72189	0.0751877	0.736817	0.410748	0.0539099	0.151816	0.0447853	1.92664	0.879013	1.45876	0.313484	0.0120274	0.0158834	0.0866756	114.5	1	0.733531	0.2	42.7752	1	25.388	145
71	0.131735	1.99656	5	1.52878	1.95042	7.5985	0.250981	8.51141	0.0801522	0.736655	0.593216	0.0859938	0.174138	0.064457	1.96564	0.882987	1.55349	0.319229	0.0212514	0.0190996	0.110053	114.5	1	0.872335	0.2	42.7752	1	25.388	145
72	0.135798	2.00894	5	1.75731	2.1703	7.42192	0.274801	9.42497	0.0837105	0.737143	0.81221	0.131944	0.191806	0.086814	1.98712	0.886819	1.61115	0.323448	0.0356205	0.022324	0.134398	114.5	1	1.01469	0.2	42.7752	1	25.388	145
73	0.139482	2.01861	5	1.99229	2.3769	7.23819	0.29442	10.4243	0.086339	0.738105	1.06365	0.195129	0.205399	0.110053	1.98892	0.89032	1.62194	0.326227	0.0566816	0.02548	0.158973	114.5	1	1.15616	0.2	42.7752	1	25.388	145
74	0.142568	2.02552	5	2.23221	2.57026	7.06179	0.310984	11.4769	0.0883605	0.739377	1.34353	0.279418	0.215741	0.132558	1.96947	0.89331	1.5782	0.327541	0.0857137	0.0284681	0.183063	114.5	1	1.29272	0.2	42.7752	1	25.388	145
75	0.144677	2.03006	5	2.47307	2.74901	6.90869	0.32522	12.5544	0.0899728	0.740829	1.64804	0.390059	0.223606	0.153275	1.92838	0.89561	1.47684	0.32724	0.123216	0.0311297	0.205954	114.5	1	1.42058	0.2	42.7752	1	25.388	145
76	0.145282	2.03309	5	2.70588	2.90863	6.79519	0.337226	13.6305	0.0912734	0.742359	1.97266	0.534768	0.229618	0.171719	1.86706	0.897046	1.32151	0.325004	0.168096	0.0332232	0.226893	114.5	1	1.53595	0.2	42.7752	1	25.388	145
77	0.143834	2.03596	5	2.91039	3.03646	6.73542	0.346087	14.6768	0.0922622	0.743896	2.30971	0.72415	0.234246	0.187773	1.78929	0.897457	1.12402	0.320264	0.216467	0.0344475	0.244963	114.5	1	1.63431	0.2	42.7752	1	25.388	145
78	0.14002	2.04009	5	3.0385	3.09773	6.73726	0.348827	15.6508	0.0927933	0.745384	2.64197	0.969813	0.237811	0.201469	1.70134	0.896714	0.904951	0.312104	0.260527	0.0345441	0.258703	114.5	1	1.70838	0.2	42.7752	1	25.388	145
79	0.134045	2.04644	5	2.98238	3.00719	6.79804	0.338241	16.4654	0.0924109	0.74678	2.92672	1.27642	0.2405	0.212858	1.61163	0.894757	0.691853	0.299245	0.289147	0.0334082	0.264832	114.5	1	1.74121	0.2	42.7752	1	25.388	145
80	0.126711	2.05511	5	2.59788	2.64534	6.90443	0.303816	16.9492	0.0900825	0.748036	3.07384	1.62266	0.242346	0.221957	1.5295	0.89164	0.513113	0.280524	0.292428	0.0309792	0.254702	114.5	1	1.68687	0.2	42.7752	1	25.388	145
81	0.119184	2.06545	5	1.90541	2.02698	7.03857	0.245032	16.9014	0.0843981	0.749091	2.97719	1.94127	0.243211	0.228769	1.46335	0.887577	0.387073	0.25648	0.269665	0.0266523	0.209426	114.5	1	1.43981	0.2	42.7752	1	25.388	145
82	0.112599	2.0766	5	1.10482	1.31692	7.18576	0.174015	16.2401	0.0741109	0.749872	2.61221	2.13556	0.242825	0.233354	1.41839	0.882934	0.313999	0.231181	0.232346	0.0179484	0.110213	114.5	1	0.873283	0.2	42.7752	1	25.388	145
83	0.107733	2.08788	5	0.398955	0.663701	7.33722	0.103189	15.0205	0.0576272	0.750305	2.0509	2.12994	0.240702	0.235812	1.39566	0.87817	0.282091	0.210795	0.194401	0.00378502	0.00826829	114.5	1	0.252222	0.2	42.7752	1	25.388	145
84	0.10492	2.09892	5	0.0555819	0.212689	7.48822	0.0542933	13.3832	0.0371275	0.750304	1.43576	1.90813	0.235839	0.236129	1.3932	0.873726	0.280514	0.199508	0.161649	0.0022895	0.00110069	114.5	1	0.206968	0.2	42.7752	1	25.388	145
85	0.104182	2.10958	5	0.0187773	0.0547516	7.63565	0.0353708	11.5755	0.0246529	0.749772	0.928574	1.52822	0.226717	0.233954	1.4081	0.869961	0.304477	0.197999	0.132945	0.00227917	0.00115608	114.5	1	0.207319	0.2	42.7752	1	25.388	145
86	0.105394	2.11974	5	0.0286013	0.0448758	7.77639	0.0254835	9.87194	0.0182103	0.748634	0.553999	1.08072	0.211089	0.228258	1.43791	0.867121	0.354352	0.204742	0.105362	0.00241931	0.00178926	114.5	1	0.211325	0.2	42.7752	1	25.388	145
87	0.108428	2.12918	5	0.0590379	0.0842147	7.90592	0.0197046	8.37242	0.0140876	0.746839	0.282514	0.639607	0.183532	0.216039	1.48116	0.865354	0.435529	0.217591	0.0760284	0.00275166	0.00324262	114.5	1	0.220514	0.2	42.7752	1	25.388	145
88	0.113241	2.13742	5	0.133636	0.186696	8.01666	0.0213437	7.12394	0.0138255	0.744354	0.112487	0.27177	0.133681	0.187593	1.53758	0.864736	0.556661	0.234435	0.0441826	0.00338565	0.00609884	114.5	1	0.238548	0.2	42.7752	1	25.388	145
89	0.119941	2.14348	5	0.279438	0.385897	8.09673	0.0378054	6.21043	0.0210473	0.741241	0.0506256	0.0611753	0.0731867	0.115985	1.60707	0.865294	0.718766	0.253002	0.0162826	0.00451082	0.0113369	114.5	1	0.27153	0.2	42.7752	1	25.388	145
90	0.128798	2.14559	5	0.480053	0.65775	8.1341	0.0726125	5.70987	0.035305	0.737807	0.0555602	0.0153947	0.0530916	0.0349073	1.68629	0.866985	0.896501	0.270679	0.00430814	0.00637707	0.0201822	114.5	1	0.326967	0.2	42.7752	1	25.388	145
91	0.140321	2.14061	5	0.699849	0.947525	8.12368	0.120119	5.61607	0.0509856	0.734607	0.0950375	0.0123186	0.0681867	0.015184	1.76778	0.869658	1.06841	0.285695	0.00238152	0.00919041	0.0333228	114.5	1	0.408726	0.2	42.7752	1	25.388	145
92	0.155768	2.12299	5	0.928832	1.22912	8.06563	0.171675	5.86359	0.0641759	0.732183	0.168483	0.0194228	0.0963835	0.018634	1.84477	0.873077	1.23009	0.297824	0.00354223	0.0132104	0.0507011	114.5	1	0.51577	0.2	42.7752	1	25.388	145
93	0.178314	2.08201	5	1.17406	1.49524	7.96317	0.221128	6.37466	0.0740714	0.73082	0.285397	0.0342771	0.127354	0.030175	1.91234	0.876982	1.37715	0.307433	0.00694234	0.0192308	0.0718768	114.5	1	0.644568	0.2	42.7752	1	25.388	145
94	0.214641	1.99533	5	1.45666	1.74495	7.82232	0.268037	7.07556	0.0814103	0.730506	0.456404	0.0596407	0.155842	0.0477728	1.96676	0.881126	1.50225	0.314934	0.0135329	0.0300901	0.0964451	114.5	1	0.791793	0.2	42.7752	1	25.388	145
95	0.250522	1.85294	5	1.82134	1.97909	7.65209	0.319203	7.89209	0.0874365	0.731053	0.696455	0.101606	0.179733	0.0708937	2.00479	0.885283	1.5943	0.32063	0.0254372	0.05059	0.124487	114.5	1	0.957004	0.2	42.7752	1	25.388	145
96	0.201171	1.80296	5	2.24443	2.19864	7.46493	0.377943	8.74247	0.0930141	0.732198	1.02868	0.171359	0.198916	0.0984418	2.02309	0.889244	1.63715	0.324672	0.0465766	0.0500056	0.156439	114.5	1	1.14168	0.2	42.7752	1	25.388	145
97	0.153427	1.82755	5	2.56145	2.40388	7.27788	0.420607	9.5933	0.0971724	0.733701	1.43365	0.280517	0.21363	0.127656	2.01785	0.892805	1.61079	0.327011	0.0824185	0.0337818	0.190137	114.5	1	1.33243	0.2	42.7752	1	25.388	145
98	0.135216	1.85479	5	2.79975	2.59344	7.11244	0.442297	10.4754	0.0993862	0.735401	1.84872	0.429652	0.224166	0.154347	1.98574	0.895748	1.50355	0.327382	0.13499	0.0304976	0.221423	114.5	1	1.50596	0.2	42.7752	1	25.388	145
99	0.128573	1.87933	5	3.00647	2.76203	6.99124	0.453075	11.3939	0.100462	0.737199	2.24888	0.618929	0.231431	0.176356	1.92655	0.897843	1.32369	0.325317	0.199719	0.0304776	0.248558	114.5	1	1.65375	0.2	42.7752	1	25.388	145
