Time	[V_membrane]	[n]	[jm]	[Ca_er_Ca_equations]	[Ca_i]
84	-61.2724	0.00044829	0.118912	59.9894	0.118101
85	-61.2754	0.000448068	0.118898	59.9893	0.118177
86	-61.2783	0.000447846	0.118885	59.9892	0.118253
87	-61.2812	0.000447624	0.118871	59.9891	0.118328
88	-61.2842	0.000447404	0.118858	59.989	0.118403
89	-61.2871	0.000447184	0.118845	59.9889	0.118478
90	-61.29	0.000446964	0.118831	59.9888	0.118552
91	-61.2929	0.000446745	0.118818	59.9887	0.118626
92	-61.2958	0.000446527	0.118804	59.9885	0.1187
93	-61.2987	0.00044631	0.118791	59.9884	0.118773
94	-61.3016	0.000446093	0.118777	59.9883	0.118846
95	-61.3044	0.000445877	0.118764	59.9882	0.118918
96	-61.3073	0.000445661	0.118751	59.9881	0.11899
97	-61.3102	0.000445446	0.118737	59.988	0.119062
98	-61.313	0.000445232	0.118724	59.9879	0.119133
99	-61.3159	0.000445018	0.11871	59.9878	0.119204
100	-61.3187	0.000444805	0.118697	59.9877	0.119274
