Time	[NatP]	[MisP]	[Hsp70]	[Hsp90]	[Hsp70_dam]	[Hsp90_dam]	[Hsp90_Proteasome]	[Hsp70_Proteasome]	[Hsp70Client]	[Hsp90Client]	[Hsp70_Hsp70Client]	[Hsp90_Hsp90Client]	[Akt]	[Akt_Hsp90]	[CHIP]	[Akt_CHIP_Hsp90]	[Akt_Proteasome]	[Hsf1]	[Hsf1_Hsp90]	[Hsp90_MisP]	[Hsp70_MisP]	[Hsf1_Hsf1_Hsf1]	[Hsf1_Hsf1_Hsf1_P]	[Hsf1_Hsf1]	[HSEHsp70]	[HSEHsp90]	[HSEHsp70_Hsf1_Hsf1_Hsf1]	[HSEHsp70_Hsf1_Hsf1_Hsf1_P]	[HSEHsp90_Hsf1_Hsf1_Hsf1]	[HSEHsp90_Hsf1_Hsf1_Hsf1_P]	[Jnk]	[Jnk_P]	[Ppx]	[Mkp1]	[Mkp1_P]	[Mkp1_Proteasome]	[Hsp70_Ppx]	[Pkc]	[p38]	[p38_P]	[Proteasome]	[MisP_Proteasome]	[AggP]	[SeqAggP]	[AggP_Proteasome]	[ROS]	[ATP]	[ADP]	[Source]	[Sink]	[p38Death]	[JNKDeath]	[PIDeath]	[CellDeath]
20	17600.2	6.60707	1388.71	1816.88	0.00277564	0.00363239	0.169767	0.155673	473.688	559.35	26.3121	40.6504	337.578	32.4189	255.015	79.9851	0.0448774	1.35731	98.6426	466.393	406.741	4.86792e-07	1.25076e-06	3.82533e-05	2	2	3.9124e-07	1.87983e-06	3.9124e-07	1.87983e-06	96.1498	3.85024	1.7684	0.0360194	99.9642	3.22963e-06	98.2316	100	96.1498	3.85024	498.81	0.819283	1.25754e-06	3.47226e-13	3.11909e-08	10.0075	10000	1000	1	1	1.14355e-05	1.14355e-05	2.40239e-15	2.2871e-05
21	17600.2	6.85653	1388.83	1817.01	0.00291461	0.0038142	0.177672	0.162924	473.686	559.347	26.3143	40.6531	337.576	32.421	255.016	79.9843	0.046965	1.35721	98.6427	466.259	406.614	4.96032e-07	1.28268e-06	3.82498e-05	2	2	4.08395e-07	1.97883e-06	4.08395e-07	1.97883e-06	96.1496	3.85038	1.76825	0.0360176	99.9642	3.38007e-06	98.2318	100	96.1496	3.85038	498.755	0.857239	1.44376e-06	4.38204e-13	3.79216e-08	10.0079	10000	1000	1	1	1.20131e-05	1.20131e-05	3.09197e-15	2.40261e-05
22	17600.2	7.09965	1388.95	1817.14	0.0030536	0.00399604	0.185523	0.170126	473.683	559.344	26.3165	40.6557	337.574	32.423	255.016	79.9836	0.0490384	1.35712	98.6428	466.129	406.49	5.05104e-07	1.31404e-06	3.82463e-05	2	2	4.2511e-07	2.07629e-06	4.2511e-07	2.07629e-06	96.1495	3.85052	1.76809	0.0360158	99.9642	3.52947e-06	98.2319	100	96.1495	3.85052	498.7	0.894924	1.64467e-06	5.46032e-13	4.56169e-08	10.0083	10000	1000	1	1	1.25906e-05	1.25906e-05	3.92568e-15	2.51812e-05
23	17600.3	7.3366	1389.07	1817.26	0.0031926	0.00417789	0.193322	0.17728	473.681	559.342	26.3187	40.6583	337.572	32.425	255.017	79.9829	0.0510977	1.35703	98.6429	466.003	406.368	5.14015e-07	1.34487e-06	3.82429e-05	2	2	4.41404e-07	2.17224e-06	4.41404e-07	2.17224e-06	96.1493	3.85066	1.76795	0.0360141	99.9642	3.67786e-06	98.2321	100	96.1493	3.85066	498.646	0.932342	1.86037e-06	6.72622e-13	5.43501e-08	10.0087	10000	1000	1	1	1.31682e-05	1.31682e-05	4.92356e-15	2.63364e-05
24	17600.3	7.56753	1389.19	1817.38	0.00333161	0.00435977	0.201069	0.184386	473.679	559.339	26.3207	40.6607	337.569	32.4269	255.018	79.9821	0.0531431	1.35694	98.643	465.88	406.249	5.22768e-07	1.37517e-06	3.82396e-05	2	2	4.57293e-07	2.26669e-06	4.57293e-07	2.26669e-06	96.1492	3.8508	1.7678	0.0360124	99.9642	3.82524e-06	98.2322	100	96.1492	3.8508	498.592	0.969495	2.09095e-06	8.19964e-13	6.41949e-08	10.0091	10000	1000	1	1	1.37458e-05	1.37458e-05	6.10709e-15	2.74916e-05
25	17600.3	7.79259	1389.3	1817.49	0.00347065	0.00454165	0.208764	0.191445	473.677	559.337	26.3228	40.6631	337.567	32.4287	255.019	79.9814	0.0551746	1.35686	98.643	465.76	406.133	5.31368e-07	1.40496e-06	3.82364e-05	2	2	4.72795e-07	2.35965e-06	4.72795e-07	2.35965e-06	96.1491	3.85094	1.76766	0.0360108	99.9642	3.97161e-06	98.2323	100	96.1491	3.85094	498.538	1.00638	2.33645e-06	9.90117e-13	7.52254e-08	10.0094	10000	1000	1	1	1.43235e-05	1.43235e-05	7.49926e-15	2.86469e-05
26	17600.3	8.01193	1389.41	1817.6	0.00360969	0.00472356	0.216408	0.198456	473.675	559.335	26.3248	40.6655	337.566	32.4306	255.019	79.9806	0.0571923	1.35678	98.6431	465.644	406.019	5.39819e-07	1.43425e-06	3.82334e-05	2	2	4.87925e-07	2.45113e-06	4.87925e-07	2.45113e-06	96.1489	3.85108	1.76752	0.0360093	99.9642	4.11698e-06	98.2325	100	96.1489	3.85108	498.485	1.04301	2.59689e-06	1.18521e-12	8.75158e-08	10.0098	10000	1000	1	1	1.49011e-05	1.49011e-05	9.12451e-15	2.98022e-05
27	17600.3	8.22569	1389.52	1817.71	0.00374876	0.00490548	0.224	0.205421	473.673	559.332	26.3268	40.6678	337.564	32.4323	255.02	79.9799	0.0591963	1.3567	98.6432	465.531	405.908	5.48124e-07	1.46305e-06	3.82306e-05	2	2	5.02696e-07	2.54117e-06	5.02696e-07	2.54117e-06	96.1488	3.85122	1.76738	0.0360078	99.9643	4.26136e-06	98.2326	100	96.1488	3.85122	498.432	1.07938	2.87226e-06	1.40742e-12	1.0114e-07	10.0102	10000	1000	1	1	1.54788e-05	1.54788e-05	1.10088e-14	3.09576e-05
28	17600.3	8.43402	1389.63	1817.82	0.00388784	0.00508742	0.231541	0.212339	473.671	559.33	26.3287	40.67	337.562	32.434	255.021	79.9792	0.0611868	1.35662	98.6433	465.421	405.799	5.56286e-07	1.49136e-06	3.82279e-05	2	2	5.17123e-07	2.62977e-06	5.17123e-07	2.62977e-06	96.1486	3.85135	1.76725	0.0360064	99.9643	4.40475e-06	98.2327	100	96.1486	3.85135	498.379	1.11549	3.16252e-06	1.659e-12	1.16173e-07	10.0106	10000	1000	1	1	1.60565e-05	1.60565e-05	1.31795e-14	3.21129e-05
29	17600.3	8.63706	1389.73	1817.92	0.00402693	0.00526938	0.239032	0.219212	473.669	559.328	26.3306	40.6721	337.56	32.4357	255.022	79.9784	0.0631637	1.35654	98.6434	465.314	405.692	5.64308e-07	1.5192e-06	3.82254e-05	2	2	5.31218e-07	2.71696e-06	5.31218e-07	2.71696e-06	96.1485	3.85149	1.76712	0.036005	99.9643	4.54717e-06	98.2329	100	96.1485	3.85149	498.327	1.15135	3.46761e-06	1.94224e-12	1.32688e-07	10.0109	10000	1000	1	1	1.66342e-05	1.66342e-05	1.56656e-14	3.32684e-05
30	17600.3	8.83493	1389.83	1818.02	0.00416604	0.00545135	0.246473	0.226038	473.668	559.326	26.3324	40.6742	337.558	32.4373	255.022	79.9777	0.0651273	1.35647	98.6434	465.21	405.588	5.72192e-07	1.54657e-06	3.8223e-05	2	2	5.44993e-07	2.80274e-06	5.44993e-07	2.80274e-06	96.1484	3.85163	1.76699	0.0360038	99.9643	4.68862e-06	98.233	100	96.1484	3.85163	498.275	1.18695	3.78745e-06	2.25945e-12	1.50758e-07	10.0113	10000	1000	1	1	1.72119e-05	1.72119e-05	1.84974e-14	3.44238e-05
