Time	[Ras2_GDP]	[Cdc25]	[Ras2_GDP_Cdc25]	[Ras2_Cdc25]	[GDP]	[GTP]	[Ras2_GTP_Cdc25]	[Ras2_GTP]	[Ira2]	[Ras2_GTP_Ira2]	[CYR1]	[Ras2_GTP_CYR1]	[ATP]	[cAMP]	[PKA]	[cAMP_PKA]	[IIcAMP_PKA]	[IIIcAMP_PKA]	[IVcAMP_PKA]	[C]	[R_2cAMP]	[R]	[R_C]	[Pde1]	[Pde1f]	[cAMP_Pde1f]	[AMP]	[PPA2]	[Pde2]	[cAMP_Pde2]	[Cdc25f]	[Ira2P]	[Ras2_GTP_Ira2P]
15	18286.9	0.0155342	148.382	5.75568e-05	1.5e+06	5e+06	151.546	1019.35	4.72909	193.82	1.39627	198.604	2.4e+07	38215.3	599.343	735.868	613.987	371.001	100.231	146.671	145.35	1.32128	12.4703	1399.62	0.000815816	0.383299	46424.4	4000	2710.75	3789.25	0.0564275	0.00335796	1.44792
16	18205.4	0.0155335	147.839	5.75115e-05	1.5e+06	5e+06	152.066	1100.11	4.35077	193.444	1.03207	198.968	2.4e+07	41187.8	532.187	671.781	624.595	429.548	132.072	204.933	203.608	1.3247	14.7027	1399.37	0.00122796	0.627881	52974.4	4000	2590.36	3909.64	0.0789963	0.0046139	2.20024
17	18126.5	0.0155327	147.31	5.74672e-05	1.5e+06	5e+06	152.572	1178.45	4.03005	192.834	0.820935	199.179	2.4e+07	44074.7	494.563	613.993	616.194	471.364	162.565	265.923	264.597	1.32667	16.7163	1399.04	0.00173295	0.9562	59719.2	4000	2483.46	4016.54	0.102674	0.0059975	3.12977
18	18050.7	0.0155319	146.799	5.74244e-05	1.5e+06	5e+06	153.06	1253.93	3.75728	192.026	0.685818	199.314	2.4e+07	46889.4	479.084	568.16	596.25	495.836	189.284	324.334	323.006	1.32787	18.4359	1398.63	0.00231409	1.36823	66639	4000	2387.5	4112.5	0.125397	0.0074431	4.20949
19	17978	0.0155313	146.31	5.73837e-05	1.5e+06	5e+06	153.529	1326.25	3.5246	191.065	0.591048	199.409	2.4e+07	49634.3	477.732	536.102	571.956	505.453	210.886	375.911	374.582	1.32862	19.8288	1398.14	0.00294916	1.85713	73717.2	4000	2300.85	4199.15	0.145499	0.00889037	5.40161
20	17908.8	0.0155308	145.844	5.73453e-05	1.5e+06	5e+06	153.978	1395.21	3.32538	189.999	0.520055	199.48	2.4e+07	52303.5	483.239	516.574	548.822	504.54	227.232	418.282	416.953	1.3291	20.9029	1397.59	0.00361522	2.41137	80939.5	4000	2222.42	4277.58	0.16204	0.0102924	6.66535
21	17843.1	0.0155305	145.403	5.73094e-05	1.5e+06	5e+06	154.407	1460.71	3.15395	188.871	0.464624	199.535	2.4e+07	54887.9	490.088	506.468	530.026	497.824	239.164	451.162	449.832	1.3294	21.6992	1396.98	0.00429267	3.01759	88293	4000	2151.42	4348.58	0.174891	0.011619	7.96381
22	17780.9	0.0155303	144.985	5.72757e-05	1.5e+06	5e+06	154.815	1522.73	3.00545	187.713	0.420181	199.58	2.4e+07	57379.4	494.944	502.095	516.514	489.269	248.061	475.955	474.626	1.32961	22.2802	1396.33	0.00496748	3.66331	95766.2	4000	2087.14	4412.86	0.184583	0.0128568	9.26843
23	17722.2	0.0155301	144.591	5.72443e-05	1.5e+06	5e+06	155.202	1581.31	2.8758	186.549	0.383865	199.616	2.4e+07	59774	496.504	500.212	507.62	481.451	255.352	495.006	493.676	1.32975	22.7158	1395.66	0.00563165	4.33877	103348	4000	2028.89	4471.11	0.192022	0.0140057	10.5607
24	17666.8	0.01553	144.219	5.72147e-05	1.5e+06	5e+06	155.567	1636.51	2.76169	185.392	0.353736	199.646	2.4e+07	62072.3	494.955	498.597	501.888	475.494	262.144	510.775	509.445	1.32986	23.0691	1394.96	0.0062823	5.03768	111030	4000	1975.98	4524.02	0.198164	0.0150747	11.8315
25	17614.8	0.0155298	143.87	5.7187e-05	1.5e+06	5e+06	155.911	1688.42	2.66049	184.245	0.328414	199.672	2.4e+07	64279.5	491.262	496.155	497.796	471.426	269.059	525.216	523.886	1.32996	23.3872	1394.24	0.00691994	5.75686	118803	4000	1927.72	4572.28	0.203774	0.0160774	13.0785
26	17566	0.0155296	143.541	5.71609e-05	1.5e+06	5e+06	156.234	1737.1	2.57016	183.109	0.3069	199.693	2.4e+07	66403.1	486.551	492.679	494.215	468.693	276.269	539.489	538.159	1.33005	23.697	1393.5	0.00754677	6.49536	126660	4000	1883.49	4616.51	0.209312	0.0170281	14.3037
27	17520.4	0.0155294	143.233	5.71363e-05	1.5e+06	5e+06	156.536	1782.65	2.48915	181.982	0.288457	199.712	2.4e+07	68451.1	481.71	488.471	490.538	466.625	283.651	554.003	552.673	1.33013	24.0077	1392.74	0.0081653	7.25325	134595	4000	1842.74	4657.26	0.214941	0.0179395	15.5104
28	17477.8	0.0155291	142.945	5.71133e-05	1.5e+06	5e+06	156.818	1825.11	2.41625	180.863	0.272533	199.727	2.4e+07	70430.8	477.238	483.984	486.606	464.707	290.977	568.659	567.329	1.33021	24.3175	1391.96	0.00877764	8.03081	142602	4000	1805.01	4694.99	0.220628	0.0188219	16.702
29	17438.3	0.0155289	142.678	5.70918e-05	1.5e+06	5e+06	157.081	1864.54	2.35049	179.749	0.258711	199.741	2.4e+07	72348.1	473.288	479.59	482.52	462.68	298.044	583.138	581.808	1.33029	24.6197	1391.16	0.00938515	8.82801	150677	4000	1769.92	4730.08	0.226249	0.0196832	17.8809
30	17401.8	0.0155287	142.429	5.70719e-05	1.5e+06	5e+06	157.323	1901.01	2.29108	178.64	0.246661	199.753	2.4e+07	74207.3	469.795	475.489	478.456	460.496	304.743	597.134	595.804	1.33036	24.9085	1390.35	0.00998858	9.64434	158815	4000	1737.19	4762.81	0.231685	0.0205292	19.0483
31	17368.2	0.0155285	142.201	5.70535e-05	1.5e+06	5e+06	157.547	1934.56	2.23736	177.536	0.236125	199.764	2.4e+07	76011.6	466.615	471.727	474.558	458.217	311.058	610.468	609.138	1.33043	25.1804	1389.51	0.0105883	10.4789	167014	4000	1706.57	4793.43	0.236865	0.0213645	20.2049
32	17337.5	0.0155283	141.991	5.70366e-05	1.5e+06	5e+06	157.752	1965.23	2.18874	176.438	0.226891	199.773	2.4e+07	77763.6	463.616	468.259	470.893	455.935	317.03	623.098	621.768	1.33049	25.4353	1388.66	0.0111845	11.3308	175269	4000	1677.86	4822.14	0.241772	0.0221933	21.3511
33	17309.6	0.0155281	141.799	5.70212e-05	1.5e+06	5e+06	157.939	1993.09	2.14473	175.345	0.218788	199.781	2.4e+07	79465.6	460.721	465.01	467.462	453.716	322.715	635.078	633.747	1.33054	25.6747	1387.79	0.0117773	12.199	183578	4000	1650.88	4849.12	0.246425	0.0230191	22.4871
34	17284.4	0.0155279	141.626	5.70072e-05	1.5e+06	5e+06	158.107	2018.17	2.10488	174.258	0.211674	199.788	2.4e+07	81119.6	457.901	461.918	464.233	451.586	328.165	646.495	645.164	1.33059	25.9007	1386.9	0.0123668	13.0827	191938	4000	1625.48	4874.52	0.25086	0.0238454	23.6134
35	17262.1	0.0155277	141.471	5.69946e-05	1.5e+06	5e+06	158.258	2040.52	2.06884	173.176	0.20543	199.795	2.4e+07	82727.9	455.157	458.948	461.166	449.546	333.41	657.432	656.101	1.33063	26.1153	1386.01	0.0129534	13.981	200347	4000	1601.53	4898.47	0.255107	0.0246755	24.7303
36	17242.4	0.0155276	141.334	5.69834e-05	1.5e+06	5e+06	158.391	2060.18	2.03627	172.1	0.199961	199.8	2.4e+07	84292.5	452.502	456.087	458.232	447.58	338.466	667.947	666.616	1.33068	26.3199	1385.09	0.0135372	14.8933	208802	4000	1578.9	4921.1	0.259189	0.0255126	25.8386
37	17225.3	0.0155274	141.214	5.69736e-05	1.5e+06	5e+06	158.507	2077.21	2.00691	171.028	0.195186	199.805	2.4e+07	85815.1	449.942	453.332	455.415	445.676	343.34	678.072	676.742	1.33072	26.5154	1384.17	0.0141185	15.8191	217301	4000	1557.49	4942.51	0.263121	0.0263598	26.9388
38	17210.9	0.0155272	141.111	5.69651e-05	1.5e+06	5e+06	158.606	2091.63	1.98052	169.961	0.191038	199.809	2.4e+07	87297.7	447.48	450.685	452.708	443.826	348.036	687.828	686.497	1.33075	26.7024	1383.23	0.0146974	16.7578	225843	4000	1537.19	4962.81	0.266908	0.0272202	28.0316
39	17199	0.0155271	141.026	5.69579e-05	1.5e+06	5e+06	158.688	2103.49	1.9569	168.898	0.18746	199.813	2.4e+07	88741.6	445.112	448.141	450.105	442.025	352.562	697.228	695.897	1.33079	26.8813	1382.28	0.0152741	17.7089	234426	4000	1517.93	4982.07	0.270558	0.0280966	29.1174
40	17189.6	0.0155269	140.956	5.69521e-05	1.5e+06	5e+06	158.754	2112.83	1.93589	167.838	0.184408	199.816	2.4e+07	90148.5	442.83	445.698	447.605	440.274	356.924	706.286	704.955	1.33082	27.0525	1381.31	0.0158488	18.6718	243047	4000	1499.62	5000.38	0.274074	0.0289919	30.1969
41	17182.7	0.0155267	140.903	5.69475e-05	1.5e+06	5e+06	158.804	2119.68	1.91732	166.782	0.181843	199.818	2.4e+07	91519.6	440.629	443.349	445.2	438.572	361.132	715.019	713.689	1.33085	27.2166	1380.34	0.0164217	19.6461	251707	4000	1482.2	5017.8	0.277465	0.0299091	31.2705
42	17178.3	0.0155266	140.866	5.69441e-05	1.5e+06	5e+06	158.837	2124.08	1.90109	165.729	0.179733	199.82	2.4e+07	92856.1	438.503	441.087	442.888	436.918	365.194	723.444	722.113	1.33088	27.3739	1379.35	0.0169928	20.6313	260402	4000	1465.61	5034.39	0.280735	0.0308512	32.3388
43	17176.3	0.0155264	140.845	5.6942e-05	1.5e+06	5e+06	158.855	2126.05	1.88708	164.679	0.178054	199.822	2.4e+07	94159.3	436.45	438.908	440.661	435.312	369.118	731.576	730.245	1.33091	27.5249	1378.36	0.0175624	21.627	269133	4000	1449.78	5050.22	0.283892	0.0318213	33.4024
44	17176.7	0.0155263	140.84	5.69412e-05	1.5e+06	5e+06	158.857	2125.64	1.8752	163.63	0.176784	199.823	2.4e+07	95430.2	434.465	436.807	438.515	433.752	372.91	739.431	738.1	1.33093	27.67	1377.35	0.0181305	22.6328	277897	4000	1434.68	5065.32	0.286941	0.0328226	34.4617
45	17179.5	0.0155261	140.85	5.69415e-05	1.5e+06	5e+06	158.844	2122.88	1.86538	162.584	0.175908	199.824	2.4e+07	96669.7	432.546	434.779	436.446	432.235	376.577	747.022	745.691	1.33096	27.8094	1376.33	0.0186973	23.6482	286694	4000	1420.24	5079.76	0.289887	0.0338586	35.5172
46	17184.6	0.015526	140.876	5.6943e-05	1.5e+06	5e+06	158.816	2117.78	1.85757	161.538	0.175416	199.825	2.4e+07	97879	430.691	432.822	434.449	430.761	380.124	754.361	753.03	1.33098	27.9436	1375.31	0.0192629	24.6728	295522	4000	1406.44	5093.56	0.292736	0.0349327	36.5696
47	17192	0.0155259	140.916	5.69457e-05	1.5e+06	5e+06	158.772	2110.39	1.85173	160.493	0.1753	199.825	2.4e+07	99058.7	428.897	430.932	432.522	429.328	383.555	761.46	760.129	1.331	28.0727	1374.27	0.0198273	25.7065	304382	4000	1393.23	5106.77	0.295491	0.0360489	37.6191
48	17201.7	0.0155257	140.972	5.69496e-05	1.5e+06	5e+06	158.714	2100.71	1.84782	159.448	0.175557	199.824	2.4e+07	100210	427.16	429.106	430.66	427.934	386.877	768.328	766.997	1.33102	28.197	1373.23	0.0203908	26.7487	313271	4000	1380.58	5119.42	0.298156	0.0372112	38.6665
49	17213.6	0.0155256	141.042	5.69546e-05	1.5e+06	5e+06	158.641	2088.79	1.84583	158.404	0.176189	199.824	2.4e+07	101333	425.479	427.341	428.861	426.579	390.093	774.976	773.645	1.33104	28.3169	1372.18	0.0209534	27.7991	322189	4000	1368.46	5131.54	0.300736	0.0384243	39.7122
50	17227.7	0.0155255	141.127	5.69607e-05	1.5e+06	5e+06	158.554	2074.65	1.84577	157.358	0.177199	199.823	2.4e+07	102429	423.852	425.635	427.123	425.262	393.207	781.412	780.081	1.33106	28.4324	1371.12	0.0215152	28.8575	331135	4000	1356.83	5143.17	0.303233	0.0396928	40.7567
51	17244.1	0.0155254	141.226	5.6968e-05	1.5e+06	5e+06	158.452	2058.3	1.84764	156.311	0.178596	199.821	2.4e+07	103499	422.276	423.985	425.441	423.98	396.224	787.645	786.314	1.33108	28.5438	1370.05	0.0220763	29.9235	340108	4000	1345.67	5154.33	0.305652	0.0410223	41.8005
52	17262.6	0.0155252	141.34	5.69764e-05	1.5e+06	5e+06	158.336	2039.76	1.85146	155.262	0.180392	199.82	2.4e+07	104543	420.749	422.388	423.815	422.734	399.147	793.683	792.352	1.3311	28.6513	1368.98	0.0226369	30.9968	349108	4000	1334.96	5165.04	0.307995	0.0424185	42.8442
53	17283.3	0.0155251	141.468	5.69859e-05	1.5e+06	5e+06	158.206	2019.06	1.85728	154.21	0.182604	199.817	2.4e+07	105562	419.27	420.843	422.241	421.522	401.98	799.533	798.202	1.33111	28.7551	1367.9	0.0231969	32.0772	358134	4000	1324.67	5175.33	0.310265	0.0438879	43.8884
54	17306.2	0.015525	141.61	5.69964e-05	1.5e+06	5e+06	158.062	1996.22	1.86515	153.156	0.185254	199.815	2.4e+07	106556	417.837	419.347	420.718	420.343	404.726	805.202	803.871	1.33113	28.8553	1366.81	0.0237564	33.1644	367185	4000	1314.78	5185.22	0.312465	0.0454378	44.9336
55	17331.2	0.0155249	141.766	5.70081e-05	1.5e+06	5e+06	157.904	1971.25	1.87515	152.097	0.188368	199.812	2.4e+07	107527	416.448	417.898	419.243	419.197	407.388	810.698	809.367	1.33114	28.9521	1365.72	0.0243157	34.2581	376261	4000	1305.27	5194.73	0.314597	0.0470762	45.9803
56	17358.3	0.0155247	141.935	5.70208e-05	1.5e+06	5e+06	157.733	1944.16	1.88736	151.035	0.191979	199.808	2.4e+07	108474	415.102	416.496	417.816	418.082	409.97	816.025	814.694	1.33116	29.0456	1364.62	0.0248747	35.3581	385361	4000	1296.12	5203.88	0.316664	0.0488122	47.0292
57	17387.5	0.0155246	142.119	5.70346e-05	1.5e+06	5e+06	157.547	1914.97	1.90189	149.966	0.196126	199.804	2.4e+07	109397	413.797	415.137	416.433	416.997	412.472	821.19	819.859	1.33117	29.136	1363.51	0.0254336	36.4642	394484	4000	1287.31	5212.69	0.318667	0.0506559	48.081
58	17418.8	0.0155245	142.316	5.70495e-05	1.5e+06	5e+06	157.348	1883.7	1.91887	148.892	0.200855	199.799	2.4e+07	110299	412.532	413.822	415.094	415.942	414.899	826.199	824.867	1.33119	29.2234	1362.4	0.0259923	37.576	403631	4000	1278.84	5221.16	0.32061	0.0526189	49.1362
59	17452.2	0.0155244	142.526	5.70654e-05	1.5e+06	5e+06	157.136	1850.34	1.93846	147.811	0.206223	199.794	2.4e+07	111178	411.306	412.547	413.796	414.916	417.253	831.055	829.724	1.3312	29.3078	1361.28	0.0265511	38.6934	412800	4000	1270.68	5229.32	0.322494	0.0547144	50.1955
60	17487.7	0.0155243	142.75	5.70823e-05	1.5e+06	5e+06	156.91	1814.92	1.96083	146.722	0.212296	199.788	2.4e+07	112036	410.117	411.312	412.539	413.919	419.536	835.765	834.434	1.33121	29.3895	1360.16	0.0271099	39.8162	421991	4000	1262.82	5237.18	0.324321	0.0569573	51.2597
61	17525.2	0.0155242	142.988	5.71003e-05	1.5e+06	5e+06	156.67	1777.43	1.98622	145.625	0.219153	199.781	2.4e+07	112872	408.965	410.115	411.321	412.949	421.75	840.333	839.001	1.33122	29.4685	1359.03	0.0276689	40.9441	431203	4000	1255.25	5244.75	0.326093	0.0593651	52.3296
62	17564.8	0.015524	143.239	5.71194e-05	1.5e+06	5e+06	156.418	1737.89	2.01488	144.517	0.226888	199.773	2.4e+07	113688	407.848	408.956	410.141	412.005	423.897	844.762	843.431	1.33123	29.5449	1357.89	0.0282281	42.0769	440437	4000	1247.95	5252.05	0.327811	0.0619575	53.4059
63	17606.4	0.0155239	143.503	5.71395e-05	1.5e+06	5e+06	156.152	1696.3	2.0471	143.399	0.235615	199.764	2.4e+07	114483	406.765	407.832	408.998	411.088	425.978	849.058	847.727	1.33124	29.6188	1356.76	0.0287877	43.2145	449691	4000	1240.92	5259.08	0.329477	0.064758	54.4895
64	17650.1	0.0155238	143.781	5.71606e-05	1.5e+06	5e+06	155.872	1652.66	2.08325	142.268	0.245467	199.755	2.4e+07	115258	405.715	406.744	407.89	410.197	427.997	853.224	851.892	1.33125	29.6903	1355.61	0.0293476	44.3566	458966	4000	1234.14	5265.86	0.331092	0.0677938	55.5814
65	17695.8	0.0155237	144.072	5.71827e-05	1.5e+06	5e+06	155.58	1606.97	2.12376	141.122	0.256608	199.743	2.4e+07	116013	404.698	405.69	406.817	409.331	429.954	857.263	855.931	1.33126	29.7594	1354.47	0.0299081	45.5031	468260	4000	1227.61	5272.39	0.332658	0.0710969	56.6826
66	17743.6	0.0155235	144.377	5.72059e-05	1.5e+06	5e+06	155.274	1559.22	2.16913	139.962	0.269235	199.731	2.4e+07	116748	403.712	404.668	405.777	408.489	431.851	861.179	859.847	1.33127	29.8263	1353.32	0.0304691	46.6538	477574	4000	1221.31	5278.69	0.334176	0.0747055	57.7942
67	17793.5	0.0155234	144.695	5.72302e-05	1.5e+06	5e+06	154.954	1509.41	2.21998	138.784	0.28359	199.716	2.4e+07	117465	402.757	403.679	404.77	407.671	433.69	864.975	863.643	1.33128	29.891	1352.16	0.0310307	47.8085	486908	4000	1215.24	5284.76	0.335648	0.0786653	58.9174
68	17845.5	0.0155233	145.026	5.72554e-05	1.5e+06	5e+06	154.621	1457.54	2.27702	137.586	0.299968	199.7	2.4e+07	118162	401.833	402.721	403.794	406.877	435.472	868.654	867.322	1.33129	29.9535	1351	0.0315931	48.967	496260	4000	1209.39	5290.61	0.337074	0.0830312	60.0535
69	17899.5	0.0155231	145.371	5.72818e-05	1.5e+06	5e+06	154.275	1403.59	2.34116	136.367	0.318737	199.681	2.4e+07	118840	400.937	401.794	402.85	406.105	437.198	872.218	870.887	1.3313	30.014	1349.84	0.0321563	50.1291	505630	4000	1203.75	5296.25	0.338455	0.0878705	61.204
70	17955.6	0.015523	145.729	5.73091e-05	1.5e+06	5e+06	153.915	1347.56	2.41348	135.123	0.340356	199.66	2.4e+07	119500	400.071	400.896	401.935	405.357	438.869	875.671	874.34	1.33131	30.0725	1348.67	0.0327204	51.2948	515019	4000	1198.32	5301.68	0.339793	0.0932657	62.3705
71	18013.9	0.0155228	146.102	5.73376e-05	1.5e+06	5e+06	153.542	1289.42	2.49533	133.851	0.365405	199.635	2.4e+07	120141	399.233	400.028	401.051	404.631	440.486	879.014	877.683	1.33131	30.129	1347.5	0.0332856	52.4637	524425	4000	1193.09	5306.91	0.341088	0.0993196	63.5548
72	18074.3	0.0155227	146.488	5.73671e-05	1.5e+06	5e+06	153.155	1229.15	2.5884	132.547	0.394626	199.605	2.4e+07	120763	398.422	399.189	400.195	403.926	442.051	882.25	880.919	1.33132	30.1836	1346.33	0.0338519	53.6359	533849	4000	1188.05	5311.95	0.342341	0.106162	64.7588
73	18136.9	0.0155225	146.887	5.73976e-05	1.5e+06	5e+06	152.753	1166.73	2.69481	131.206	0.428977	199.571	2.4e+07	121368	397.64	398.378	399.367	403.243	443.563	885.38	884.049	1.33133	30.2363	1345.15	0.0344195	54.8111	543290	4000	1183.19	5316.81	0.343553	0.113959	65.985
74	18201.6	0.0155223	147.301	5.74293e-05	1.5e+06	5e+06	152.338	1102.14	2.81731	129.824	0.469715	199.53	2.4e+07	121954	396.884	397.595	398.568	402.582	445.025	888.406	887.075	1.33134	30.2872	1343.98	0.0349885	55.9891	552748	4000	1178.53	5321.47	0.344724	0.122927	67.2357
75	18268.6	0.0155221	147.73	5.74621e-05	1.5e+06	5e+06	151.909	1035.34	2.95946	128.393	0.518513	199.481	2.4e+07	122521	396.156	396.839	397.796	401.942	446.435	891.329	889.998	1.33134	30.3362	1342.79	0.0355591	57.1699	562223	4000	1174.04	5325.96	0.345854	0.13335	68.514
76	18337.9	0.0155218	148.173	5.7496e-05	1.5e+06	5e+06	151.465	966.294	3.12603	126.905	0.577634	199.422	2.4e+07	123070	395.454	396.111	397.052	401.322	447.794	894.15	892.819	1.33135	30.3835	1341.61	0.0361314	58.3532	571714	4000	1169.74	5330.26	0.346944	0.145615	69.8231
77	18409.5	0.0155215	148.63	5.7531e-05	1.5e+06	5e+06	151.006	894.962	3.32346	125.35	0.650203	199.35	2.4e+07	123600	394.78	395.41	396.335	400.724	449.102	896.868	895.537	1.33135	30.429	1340.42	0.0367058	59.539	581221	4000	1165.61	5334.39	0.347994	0.160256	71.1666
78	18483.5	0.0155212	149.103	5.75672e-05	1.5e+06	5e+06	150.532	821.3	3.56076	123.713	0.740618	199.259	2.4e+07	124111	394.134	394.737	395.645	400.147	450.359	899.484	898.153	1.33136	30.4727	1339.24	0.0372825	60.727	590744	4000	1161.66	5338.34	0.349002	0.178034	72.5487
79	18560	0.0155208	149.591	5.76046e-05	1.5e+06	5e+06	150.043	745.261	3.85085	121.975	0.855227	199.145	2.4e+07	124601	393.516	394.093	394.983	399.591	451.562	901.996	900.665	1.33137	30.5146	1338.04	0.0378618	61.9172	600282	4000	1157.89	5342.11	0.349969	0.200072	73.9737
80	18639	0.0155203	150.095	5.76432e-05	1.5e+06	5e+06	149.539	666.801	4.21295	120.113	1.00344	198.997	2.4e+07	125070	392.928	393.478	394.349	399.057	452.71	904.401	903.07	1.33137	30.5546	1336.85	0.0384444	63.1094	609836	4000	1154.3	5345.7	0.350893	0.228089	75.4462
