Time	[asp]	[ni]	[T]	[Tasp]	[Tni]	[W]	[TW]	[Tasp_W]	[Tni_W]	[TA]	[Tasp_A]	[Tni_A]	[WA]	[TWA]	[Tasp_WA]	[Tni_WA]	[A]	[Ap]	[B]	[Bp]	[Z]	[Y]	[Yp]	[M]	[MYp]	[MYpYp]	[MYpYpYp]	[MYpYpYpYp]	[ATP]
11	0	0	3.02275e-06	1.04147e-07	0	2.81001e-06	7.03264e-07	2.42306e-08	0	3.85079e-07	1.32677e-08	0	7.19235e-07	7.24302e-07	2.49555e-08	0	3.09368e-06	4.32765e-08	1.91811e-06	8.05881e-08	2e-05	9.90722e-06	6.44826e-09	7.85404e-09	9.00353e-10	2.76462e-10	2.69492e-10	7.03654e-10	0.1
12	0	0	3.08871e-06	3.83152e-08	0	2.81023e-06	7.18704e-07	8.91547e-09	0	3.93367e-07	4.87969e-09	0	7.1904e-07	7.39931e-07	9.17879e-09	0	3.09288e-06	4.45198e-08	1.91563e-06	8.30656e-08	2e-05	9.90293e-06	7.73407e-09	6.9824e-09	9.60042e-10	3.53573e-10	4.13386e-10	1.2946e-09	0.1
13	0	0	3.11302e-06	1.40961e-08	0	2.81035e-06	7.24389e-07	3.28012e-09	0	3.96387e-07	1.79488e-09	0	7.18945e-07	7.45661e-07	3.37644e-09	0	3.09263e-06	4.50016e-08	1.91388e-06	8.48208e-08	2e-05	9.90037e-06	8.41875e-09	6.46948e-09	9.68265e-10	3.88171e-10	4.94015e-10	1.68407e-09	0.1
14	0	0	3.12197e-06	5.18556e-09	0	2.8104e-06	7.26481e-07	1.20668e-09	0	3.9749e-07	6.60228e-10	0	7.18907e-07	7.47765e-07	1.24203e-09	0	3.09255e-06	4.51849e-08	1.91292e-06	8.57756e-08	2e-05	9.89916e-06	8.72889e-09	6.23055e-09	9.66857e-10	4.01885e-10	5.30311e-10	1.8744e-09	0.1
15	0	0	3.12527e-06	1.90763e-09	0	2.81042e-06	7.2725e-07	4.43906e-10	0	3.97895e-07	2.42871e-10	0	7.18892e-07	7.48538e-07	4.569e-10	0	3.09252e-06	4.52542e-08	1.91246e-06	8.62393e-08	2e-05	9.89866e-06	8.85569e-09	6.13212e-09	9.65407e-10	4.07112e-10	5.45012e-10	1.95434e-09	0.1
16	0	0	3.12648e-06	7.01804e-10	0	2.81043e-06	7.27533e-07	1.6331e-10	0	3.98043e-07	8.93491e-11	0	7.18886e-07	7.48822e-07	1.68089e-10	0	3.09251e-06	4.52804e-08	1.91225e-06	8.64507e-08	2e-05	9.89847e-06	8.90472e-09	6.09398e-09	9.64715e-10	4.09072e-10	5.50669e-10	1.98557e-09	0.1
17	0	0	3.12693e-06	2.58107e-10	0	2.81043e-06	7.27637e-07	6.00616e-11	0	3.98098e-07	3.28603e-11	0	7.18884e-07	7.48927e-07	6.18189e-11	0	3.09251e-06	4.52903e-08	1.91216e-06	8.65433e-08	2e-05	9.89839e-06	8.9232e-09	6.0796e-09	9.64435e-10	4.09802e-10	5.52795e-10	1.99737e-09	0.1
18	0	0	3.12709e-06	9.49121e-11	0	2.81043e-06	7.27676e-07	2.20861e-11	0	3.98118e-07	1.20835e-11	0	7.18883e-07	7.48965e-07	2.27323e-11	0	3.09251e-06	4.5294e-08	1.91212e-06	8.65827e-08	2e-05	9.89837e-06	8.93007e-09	6.07425e-09	9.64328e-10	4.10072e-10	5.53586e-10	2.00177e-09	0.1
19	0	0	3.12715e-06	3.48712e-11	0	2.81043e-06	7.2769e-07	8.11455e-12	0	3.98125e-07	4.43954e-12	0	7.18883e-07	7.48979e-07	8.35195e-12	0	3.0925e-06	4.52954e-08	1.9121e-06	8.65992e-08	2e-05	9.89836e-06	8.93262e-09	6.07226e-09	9.64288e-10	4.10172e-10	5.53879e-10	2.0034e-09	0.1
20	0	0	3.12717e-06	1.2794e-11	0	2.81043e-06	7.27695e-07	2.97718e-12	0	3.98128e-07	1.62884e-12	0	7.18883e-07	7.48984e-07	3.06428e-12	0	3.0925e-06	4.52959e-08	1.91209e-06	8.66059e-08	2e-05	9.89835e-06	8.93356e-09	6.07153e-09	9.64273e-10	4.10209e-10	5.53987e-10	2.004e-09	0.1
21	0	0	3.12718e-06	4.68151e-12	0	2.81043e-06	7.27697e-07	1.08939e-12	0	3.98129e-07	5.96014e-13	0	7.18883e-07	7.48986e-07	1.12126e-12	0	3.0925e-06	4.52961e-08	1.91209e-06	8.66087e-08	2e-05	9.89835e-06	8.93391e-09	6.07126e-09	9.64268e-10	4.10223e-10	5.54027e-10	2.00422e-09	0.1
22	0	0	3.12718e-06	1.70024e-12	0	2.81043e-06	7.27698e-07	3.95648e-13	0	3.98129e-07	2.16462e-13	0	7.18883e-07	7.48987e-07	4.07223e-13	0	3.0925e-06	4.52962e-08	1.91209e-06	8.66098e-08	2e-05	9.89835e-06	8.93403e-09	6.07116e-09	9.64266e-10	4.10228e-10	5.54042e-10	2.0043e-09	0.1
23	0	0	3.12718e-06	6.15877e-13	0	2.81043e-06	7.27698e-07	1.43315e-13	0	3.98129e-07	7.84088e-14	0	7.18883e-07	7.48987e-07	1.47508e-13	0	3.0925e-06	4.52962e-08	1.91209e-06	8.66102e-08	2e-05	9.89835e-06	8.93408e-09	6.07112e-09	9.64265e-10	4.1023e-10	5.54048e-10	2.00433e-09	0.1
24	0	0	3.12719e-06	2.15766e-13	0	2.81043e-06	7.27698e-07	5.02088e-14	0	3.98129e-07	2.74696e-14	0	7.18883e-07	7.48987e-07	5.16777e-14	0	3.0925e-06	4.52962e-08	1.91209e-06	8.66104e-08	2e-05	9.89835e-06	8.9341e-09	6.07111e-09	9.64265e-10	4.1023e-10	5.5405e-10	2.00435e-09	0.1
25	0	0	3.12719e-06	7.10849e-14	0	2.81043e-06	7.27698e-07	1.65415e-14	0	3.98129e-07	9.04999e-15	0	7.18883e-07	7.48987e-07	1.70254e-14	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.9341e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.5405e-10	2.00435e-09	0.1
26	0	0	3.12719e-06	2.36865e-14	0	2.81043e-06	7.27698e-07	5.51186e-15	0	3.98129e-07	3.01558e-15	0	7.18883e-07	7.48987e-07	5.67312e-15	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.5405e-10	2.00435e-09	0.1
27	0	0	3.12719e-06	7.93139e-15	0	2.81043e-06	7.27698e-07	1.84564e-15	0	3.98129e-07	1.00976e-15	0	7.18883e-07	7.48987e-07	1.89963e-15	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
28	0	0	3.12719e-06	3.78431e-15	0	2.81043e-06	7.27698e-07	8.8061e-16	0	3.98129e-07	4.81789e-16	0	7.18883e-07	7.48987e-07	9.06373e-16	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
29	0	0	3.12719e-06	2.70976e-15	0	2.81043e-06	7.27698e-07	6.30562e-16	0	3.98129e-07	3.44986e-16	0	7.18883e-07	7.48987e-07	6.4901e-16	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
30	0	0	3.12719e-06	1.84605e-15	0	2.81043e-06	7.27698e-07	4.29578e-16	0	3.98129e-07	2.35026e-16	0	7.18883e-07	7.48987e-07	4.42146e-16	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
31	0	0	3.12719e-06	2.23721e-15	0	2.81043e-06	7.27698e-07	5.20601e-16	0	3.98129e-07	2.84825e-16	0	7.18883e-07	7.48987e-07	5.35831e-16	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
32	0	0	3.12719e-06	2.98205e-15	0	2.81043e-06	7.27698e-07	6.93926e-16	0	3.98129e-07	3.79652e-16	0	7.18883e-07	7.48987e-07	7.14227e-16	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
33	0	0	3.12719e-06	3.0358e-15	0	2.81043e-06	7.27698e-07	7.06433e-16	0	3.98129e-07	3.86495e-16	0	7.18883e-07	7.48987e-07	7.271e-16	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
34	0	0	3.12719e-06	2.39846e-15	0	2.81043e-06	7.27698e-07	5.58124e-16	0	3.98129e-07	3.05354e-16	0	7.18883e-07	7.48987e-07	5.74452e-16	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
35	0	0	3.12719e-06	1.45599e-15	0	2.81043e-06	7.27698e-07	3.3881e-16	0	3.98129e-07	1.85365e-16	0	7.18883e-07	7.48987e-07	3.48722e-16	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
36	0	0	3.12719e-06	1.28794e-15	0	2.81043e-06	7.27698e-07	2.99703e-16	0	3.98129e-07	1.6397e-16	0	7.18883e-07	7.48987e-07	3.08471e-16	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
37	0	0	3.12719e-06	1.05883e-15	0	2.81043e-06	7.27698e-07	2.46391e-16	0	3.98129e-07	1.34802e-16	0	7.18883e-07	7.48987e-07	2.53599e-16	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
38	0	0	3.12719e-06	7.68677e-16	0	2.81043e-06	7.27698e-07	1.78872e-16	0	3.98129e-07	9.7862e-17	0	7.18883e-07	7.48987e-07	1.84105e-16	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
39	0	0	3.12719e-06	4.17472e-16	0	2.81043e-06	7.27698e-07	9.71461e-17	0	3.98129e-07	5.31494e-17	0	7.18883e-07	7.48987e-07	9.99881e-17	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
40	0	0	3.12719e-06	2.12567e-17	0	2.81043e-06	7.27698e-07	4.94647e-18	0	3.98129e-07	2.70629e-18	0	7.18883e-07	7.48987e-07	5.09118e-18	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
41	0	0	3.12719e-06	1.64543e-17	0	2.81043e-06	7.27698e-07	3.82894e-18	0	3.98129e-07	2.09486e-18	0	7.18883e-07	7.48987e-07	3.94095e-18	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
42	0	0	3.12719e-06	1.16518e-17	0	2.81043e-06	7.27698e-07	2.7114e-18	0	3.98129e-07	1.48344e-18	0	7.18883e-07	7.48987e-07	2.79072e-18	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
43	0	0	3.12719e-06	6.84938e-18	0	2.81043e-06	7.27698e-07	1.59386e-18	0	3.98129e-07	8.72022e-19	0	7.18883e-07	7.48987e-07	1.64049e-18	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
44	0	0	3.12719e-06	4.74045e-18	0	2.81043e-06	7.27698e-07	1.10311e-18	0	3.98129e-07	6.03524e-19	0	7.18883e-07	7.48987e-07	1.13538e-18	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
45	0	0	3.12719e-06	4.63243e-18	0	2.81043e-06	7.27698e-07	1.07797e-18	0	3.98129e-07	5.89772e-19	0	7.18883e-07	7.48987e-07	1.10951e-18	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
46	0	0	3.12719e-06	4.52441e-18	0	2.81043e-06	7.27698e-07	1.05284e-18	0	3.98129e-07	5.7602e-19	0	7.18883e-07	7.48987e-07	1.08364e-18	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
47	0	0	3.12719e-06	4.41639e-18	0	2.81043e-06	7.27698e-07	1.0277e-18	0	3.98129e-07	5.62268e-19	0	7.18883e-07	7.48987e-07	1.05777e-18	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
48	0	0	3.12719e-06	4.30838e-18	0	2.81043e-06	7.27698e-07	1.00257e-18	0	3.98129e-07	5.48516e-19	0	7.18883e-07	7.48987e-07	1.03189e-18	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
49	0	0	3.12719e-06	4.20036e-18	0	2.81043e-06	7.27698e-07	9.7743e-19	0	3.98129e-07	5.34763e-19	0	7.18883e-07	7.48987e-07	1.00602e-18	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
50	0	0	3.12719e-06	4.09234e-18	0	2.81043e-06	7.27698e-07	9.52294e-19	0	3.98129e-07	5.21011e-19	0	7.18883e-07	7.48987e-07	9.80151e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
51	0	0	3.12719e-06	3.98432e-18	0	2.81043e-06	7.27698e-07	9.27158e-19	0	3.98129e-07	5.07259e-19	0	7.18883e-07	7.48987e-07	9.5428e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
52	0	0	3.12719e-06	3.8763e-18	0	2.81043e-06	7.27698e-07	9.02022e-19	0	3.98129e-07	4.93507e-19	0	7.18883e-07	7.48987e-07	9.28409e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
53	0	0	3.12719e-06	3.76829e-18	0	2.81043e-06	7.27698e-07	8.76886e-19	0	3.98129e-07	4.79755e-19	0	7.18883e-07	7.48987e-07	9.02538e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
54	0	0	3.12719e-06	3.66027e-18	0	2.81043e-06	7.27698e-07	8.5175e-19	0	3.98129e-07	4.66003e-19	0	7.18883e-07	7.48987e-07	8.76666e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
55	0	0	3.12719e-06	3.55225e-18	0	2.81043e-06	7.27698e-07	8.26614e-19	0	3.98129e-07	4.5225e-19	0	7.18883e-07	7.48987e-07	8.50795e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
56	0	0	3.12719e-06	3.44423e-18	0	2.81043e-06	7.27698e-07	8.01479e-19	0	3.98129e-07	4.38498e-19	0	7.18883e-07	7.48987e-07	8.24924e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
57	0	0	3.12719e-06	3.33621e-18	0	2.81043e-06	7.27698e-07	7.76343e-19	0	3.98129e-07	4.24746e-19	0	7.18883e-07	7.48987e-07	7.99053e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
58	0	0	3.12719e-06	3.2282e-18	0	2.81043e-06	7.27698e-07	7.51207e-19	0	3.98129e-07	4.10994e-19	0	7.18883e-07	7.48987e-07	7.73182e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
59	0	0	3.12719e-06	3.12018e-18	0	2.81043e-06	7.27698e-07	7.26071e-19	0	3.98129e-07	3.97242e-19	0	7.18883e-07	7.48987e-07	7.4731e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
60	0	0	3.12719e-06	3.01216e-18	0	2.81043e-06	7.27698e-07	7.00935e-19	0	3.98129e-07	3.8349e-19	0	7.18883e-07	7.48987e-07	7.21439e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
61	0	0	3.12719e-06	2.90414e-18	0	2.81043e-06	7.27698e-07	6.75799e-19	0	3.98129e-07	3.69737e-19	0	7.18883e-07	7.48987e-07	6.95568e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
62	0	0	3.12719e-06	2.79613e-18	0	2.81043e-06	7.27698e-07	6.50663e-19	0	3.98129e-07	3.55985e-19	0	7.18883e-07	7.48987e-07	6.69697e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
63	0	0	3.12719e-06	2.68811e-18	0	2.81043e-06	7.27698e-07	6.25527e-19	0	3.98129e-07	3.42233e-19	0	7.18883e-07	7.48987e-07	6.43825e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
64	0	0	3.12719e-06	2.58009e-18	0	2.81043e-06	7.27698e-07	6.00391e-19	0	3.98129e-07	3.28481e-19	0	7.18883e-07	7.48987e-07	6.17954e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
65	0	0	3.12719e-06	2.47207e-18	0	2.81043e-06	7.27698e-07	5.75255e-19	0	3.98129e-07	3.14729e-19	0	7.18883e-07	7.48987e-07	5.92083e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
66	0	0	3.12719e-06	2.36405e-18	0	2.81043e-06	7.27698e-07	5.50119e-19	0	3.98129e-07	3.00977e-19	0	7.18883e-07	7.48987e-07	5.66212e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
67	0	0	3.12719e-06	2.25604e-18	0	2.81043e-06	7.27698e-07	5.24983e-19	0	3.98129e-07	2.87224e-19	0	7.18883e-07	7.48987e-07	5.4034e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
68	0	0	3.12719e-06	2.14802e-18	0	2.81043e-06	7.27698e-07	4.99847e-19	0	3.98129e-07	2.73472e-19	0	7.18883e-07	7.48987e-07	5.14469e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
69	0	0	3.12719e-06	2.04e-18	0	2.81043e-06	7.27698e-07	4.74711e-19	0	3.98129e-07	2.5972e-19	0	7.18883e-07	7.48987e-07	4.88598e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
70	0	0	3.12719e-06	1.93198e-18	0	2.81043e-06	7.27698e-07	4.49575e-19	0	3.98129e-07	2.45968e-19	0	7.18883e-07	7.48987e-07	4.62727e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
71	0	0	3.12719e-06	1.82396e-18	0	2.81043e-06	7.27698e-07	4.24439e-19	0	3.98129e-07	2.32216e-19	0	7.18883e-07	7.48987e-07	4.36856e-19	0	3.0925e-06	4.52963e-08	1.91209e-06	8.66105e-08	2e-05	9.89835e-06	8.93411e-09	6.0711e-09	9.64265e-10	4.10231e-10	5.54051e-10	2.00435e-09	0.1
