Time	[Phosphoenol pyruvate]	[Extracellular Glucose]	[Glucose-6-Phosphate]	[Pyruvate]	[Fructose-6-Phosphate]	[Glucose-1-Phosphate]	[6-Phosphogluconate]	[sedoheptulose-7-phosphate]	[Glyceraldehyde-3-Phosphate]	[Erythrose-4-phosphate]	[Xylulose-5-phosphate]	[Ribose-5-phosphate]	[Dihydroxyacetonephosphate]	[3-Phosphoglycerate]	[2-Phosphoglycerate]	[Ribulose-5-phosphate]
69	1.11242	1.21666	3.60287	4.24458	0.617199	0.588956	0.866525	0.218324	0.452941	0.16093	0.175538	0.497264	0.420001	0.934267	0.171101	0.135997
70	1.11278	1.20544	3.59779	4.24149	0.616343	0.587516	0.864647	0.217911	0.452954	0.160851	0.175383	0.496789	0.419737	0.934404	0.17114	0.135869
71	1.11332	1.19425	3.59291	4.23831	0.61552	0.586155	0.862877	0.217515	0.452962	0.160775	0.175233	0.496333	0.419466	0.934686	0.171205	0.135746
72	1.11403	1.1831	3.58822	4.23504	0.61473	0.584867	0.861206	0.217135	0.452966	0.160701	0.175089	0.495893	0.419188	0.935107	0.171297	0.135628
73	1.11491	1.17199	3.5837	4.23169	0.613969	0.583648	0.859627	0.21677	0.452966	0.160628	0.17495	0.495469	0.418903	0.935661	0.171412	0.135513
74	1.11593	1.16091	3.57934	4.22825	0.613237	0.582495	0.858132	0.216421	0.452963	0.160558	0.174815	0.49506	0.418612	0.936342	0.171552	0.135403
75	1.11711	1.14987	3.57515	4.22473	0.612532	0.581402	0.856716	0.216085	0.452955	0.160489	0.174685	0.494666	0.418313	0.937144	0.171713	0.135297
76	1.11843	1.13887	3.5711	4.22113	0.611852	0.580368	0.855372	0.215762	0.452943	0.160421	0.17456	0.494284	0.418008	0.938063	0.171897	0.135195
77	1.11988	1.12791	3.56719	4.21746	0.611197	0.579387	0.854095	0.215452	0.452928	0.160355	0.174438	0.493916	0.417696	0.939094	0.172101	0.135096
78	1.12147	1.11698	3.56342	4.21371	0.610566	0.578458	0.85288	0.215154	0.452909	0.16029	0.17432	0.49356	0.417377	0.940233	0.172325	0.135
79	1.12319	1.1061	3.55978	4.20989	0.609956	0.577577	0.851723	0.214868	0.452886	0.160227	0.174205	0.493215	0.417052	0.941476	0.172569	0.134908
80	1.12503	1.09526	3.55627	4.20599	0.609368	0.576741	0.850619	0.214592	0.45286	0.160165	0.174095	0.492882	0.416721	0.942819	0.172831	0.134818
81	1.12699	1.08446	3.55287	4.20202	0.6088	0.575948	0.849566	0.214327	0.45283	0.160103	0.173987	0.492558	0.416383	0.94426	0.173112	0.134732
82	1.12907	1.0737	3.54958	4.19799	0.608252	0.575196	0.84856	0.214072	0.452796	0.160043	0.173882	0.492245	0.416038	0.945796	0.17341	0.134648
83	1.13126	1.06298	3.5464	4.19389	0.607722	0.574483	0.847597	0.213826	0.452759	0.159984	0.173781	0.491941	0.415688	0.947425	0.173725	0.134566
84	1.13356	1.05231	3.54332	4.18972	0.60721	0.573805	0.846675	0.21359	0.452718	0.159925	0.173682	0.491646	0.41533	0.949143	0.174057	0.134488
85	1.13597	1.04168	3.54035	4.18548	0.606716	0.573163	0.845792	0.213363	0.452674	0.159867	0.173586	0.491359	0.414967	0.950949	0.174406	0.134411
86	1.13849	1.0311	3.53747	4.18118	0.606238	0.572552	0.844944	0.213144	0.452626	0.15981	0.173493	0.491081	0.414597	0.952842	0.174771	0.134337
