Time	[IIa]	[VIII]	[VIIIa]	[APC_PS]	[IX]	[IXa]	[XIa]	[XI]	[XIIa]	[VII]	[VIIa]	[X]	[Xa]	[IXa_VIIIa]	[V]	[Va]	[II]	[F]	[Fg]	[DP]	[P]	[XF]	[XIII]	[Pg]	[APC]	[IIa_Tmod]	[PC]	[Tmod]	[TF]	[VIIa_TF]	[VII_TF]	[Xa_TFPI]	[TFPI]	[PS]	[VKH2]	[Va_Xa]	[CA]	[XII]	[K]	[ATIII_Heparin]	[Xa_ATIII_Heparin]	[VK]	[C_warf]	[VKO]	[Pk]	[FDP]	[D]	[TAT]	[VIIa_TF_Xa_TFPI]	[XIIIa]	[IIa_ATIII_Heparin]	[A_warf]	[IXa_ATIII_Heparin]	[VK_p]	Values[Integral_Fibrin]
10	0.0105853	8.12076e-07	0.00132256	0.0563462	0.635972	0.080468	0.0102237	19.3754	0	0.00140441	1.62225e-07	13.08	0.0942614	0.000531588	0.0216943	0.0502028	169.545	110.822	0.682745	1117.56	4.64081	185.259	3.79733	575.344	0.00622761	0.0185985	9.84868	17.6253	53.9781	0.0377229	0.000766834	0.0232724	2.47664	90.8288	0.0632002	0.000471219	0	153.27	0	0	0	0.727648	0	0.0516189	268.041	72.5734	1044.99	47.2692	8.76932e-05	0.437867	0	0	0	0.357374	1332.49
11	0.0105159	8.12076e-07	0.00130318	0.0605783	0.636804	0.0831254	0.0106144	20.2448	0	0.00154655	1.89341e-07	12.5199	0.0930769	0.0005412	0.0218386	0.0497976	175.681	110.039	0.686977	1084.34	4.72637	147.73	3.76073	560.841	0.0066552	0.019744	9.97436	18.8289	50.5938	0.0389484	0.000792515	0.0229791	2.47693	91.332	0.0652343	0.000461337	0	155.915	0	0	0	0.735348	0	0.0542001	276.915	73.0313	1011.31	39.345	8.9423e-05	0.418868	0	0	0	0.400128	1442.9
12	0.0104818	8.12077e-07	0.00128634	0.0645495	0.637513	0.0854269	0.0109886	21.0242	0	0.00169698	2.20153e-07	12.0567	0.0920044	0.000549087	0.0219108	0.0494266	182	109.481	0.68905	1042.56	4.78427	121.125	3.7281	545.686	0.00704948	0.020858	10.0615	19.9519	47.3525	0.0400093	0.000815017	0.0227129	2.4772	91.839	0.0669953	0.000452422	0	158.528	0	0	0	0.741645	0	0.0566404	285.357	73.3015	969.255	32.8541	9.081e-05	0.406606	0	0	0	0.443269	1552.64
13	0.010483	8.12077e-07	0.0012717	0.0682706	0.638116	0.0874121	0.0113556	21.7224	0	0.00185706	2.55356e-07	11.6774	0.0910838	0.000555518	0.0219097	0.0490864	188.463	109.133	0.688918	996.273	4.82009	102.528	3.69826	530.387	0.00741272	0.021958	10.11	20.9986	44.2501	0.040924	0.000834714	0.0224838	2.47742	92.3419	0.0685137	0.000444618	0	161.11	0	0	0	0.746858	0	0.058916	293.386	73.4601	922.813	27.5388	9.19596e-05	0.398566	0	0	0	0.486725	1661.93
14	0.0105179	8.12076e-07	0.00125893	0.071743	0.63863	0.0891198	0.0117216	22.3472	0	0.00202842	2.95786e-07	11.3692	0.0903291	0.000560743	0.0218384	0.048775	195.033	108.967	0.686684	948.386	4.83824	89.6736	3.67017	515.333	0.00774606	0.0230558	10.1205	21.9728	41.2825	0.0417103	0.000851979	0.0222954	2.47761	92.8347	0.0698195	0.000437954	0	163.662	0	0	0	0.751224	0	0.0610143	301.024	73.5469	874.839	23.1882	9.29486e-05	0.39339	0	0	0	0.530439	1770.97
15	0.0105838	8.12076e-07	0.00124781	0.0749614	0.639067	0.0905864	0.0120901	22.9056	0	0.002213	3.4244e-07	11.1208	0.0897365	0.000564981	0.0217038	0.0484912	201.681	108.952	0.682541	900.86	4.84229	80.8868	3.64291	500.817	0.00804989	0.0241583	10.0947	22.878	38.4456	0.0423851	0.000867162	0.0221471	2.47776	93.3128	0.0709407	0.00043238	0	166.182	0	0	0	0.754918	0	0.062931	308.29	73.5842	827.275	19.6293	9.38289e-05	0.390294	0	0	0	0.574366	1879.91
16	0.0106778	8.12075e-07	0.00123813	0.0779176	0.63944	0.0918449	0.0124629	23.4037	0	0.00241305	3.96526e-07	10.9219	0.089292	0.000568423	0.0215141	0.0482343	208.38	109.059	0.676742	854.968	4.83525	74.9629	3.61574	487.054	0.00832421	0.0252692	10.0348	23.7175	35.7348	0.0429635	0.000880589	0.0220355	2.47787	93.7731	0.0719028	0.000427807	0	168.673	0	0	0	0.758072	0	0.0646683	315.201	73.5853	781.382	16.7205	9.46333e-05	0.388777	0	0	0	0.618472	1988.91
17	0.0107965	8.12074e-07	0.00122972	0.0806039	0.63976	0.0929247	0.0128405	23.8473	0	0.00263126	4.59512e-07	10.7635	0.0889762	0.000571229	0.0212787	0.048004	215.106	109.261	0.669562	811.487	4.81969	71.0517	3.58806	474.196	0.00856894	0.0263891	9.94401	24.4942	33.1459	0.0434591	0.000892553	0.0219557	2.47795	94.214	0.0727282	0.000424122	0	171.134	0	0	0	0.760786	0	0.0662327	321.776	73.5593	737.928	14.3455	9.53814e-05	0.388483	0	0	0	0.662727	2098.06
18	0.010937	8.12073e-07	0.00122244	0.083016	0.640034	0.0938516	0.0132228	24.2415	0	0.0028708	5.33197e-07	10.6381	0.0887683	0.000573534	0.0210065	0.0477996	221.841	109.536	0.661272	770.85	4.79787	68.5583	3.55939	462.339	0.00878426	0.0275169	9.82606	25.2112	30.6744	0.0438838	0.000903322	0.0219027	2.478	94.6349	0.0734367	0.000421208	0	173.566	0	0	0	0.763136	0	0.0676338	328.029	73.5132	697.337	12.409	9.60835e-05	0.389137	0	0	0	0.707107	2207.46
19	0.0110962	8.12072e-07	0.00121616	0.0851541	0.640272	0.0946478	0.0136088	24.5908	0	0.0031355	6.19815e-07	10.5393	0.0886476	0.000575449	0.020706	0.0476202	228.567	109.862	0.652128	733.256	4.77172	67.0675	3.52938	451.536	0.0089707	0.0286504	9.68503	25.8711	28.3157	0.0442478	0.000913136	0.0218715	2.47803	95.0364	0.0740453	0.000418952	0	175.969	0	0	0	0.765181	0	0.0688828	333.978	73.4524	659.803	10.8327	9.67444e-05	0.390516	0	0	0	0.751594	2317.15
20	0.0112715	8.12071e-07	0.00121078	0.0870241	0.640481	0.0953324	0.0139975	24.8995	0	0.00343	7.22165e-07	10.462	0.0885956	0.00057706	0.0203849	0.0474646	235.271	110.221	0.642354	698.747	4.74289	66.2882	3.49781	441.802	0.00912927	0.0297864	9.5252	26.4767	26.0656	0.0445599	0.000922216	0.0218574	2.47805	95.4195	0.0745688	0.000417248	0	178.343	0	0	0	0.76697	0	0.0699921	339.636	73.3816	625.365	9.55234	9.7366e-05	0.39243	0	0	0	0.79617	2427.19
21	0.0114604	8.1207e-07	0.00120619	0.0886373	0.640667	0.0959219	0.0143878	25.1715	0	0.00376	8.4379e-07	10.4017	0.0885959	0.000578436	0.0200497	0.0473314	241.94	110.598	0.632148	667.267	4.7128	66.0139	3.46452	433.12	0.00926145	0.0309216	9.35083	27.0306	23.9196	0.0448275	0.000930765	0.0218563	2.47805	95.786	0.0750196	0.000416002	0	180.689	0	0	0	0.768538	0	0.070974	345.019	73.3046	593.962	8.51524	9.79481e-05	0.394719	0	0	0	0.840822	2537.6
22	0.0116609	8.12069e-07	0.00120229	0.0900096	0.640835	0.0964301	0.0147784	25.4101	0	0.00413263	9.89236e-07	10.355	0.0886345	0.000579629	0.0197058	0.0472187	248.566	110.979	0.621675	638.695	4.68255	66.0965	3.42944	425.452	0.00936911	0.0320523	9.16603	27.5353	21.8734	0.045057	0.00093898	0.0218648	2.47804	96.1377	0.0754085	0.000415128	0	183.007	0	0	0	0.769918	0	0.0718409	350.139	73.2247	565.47	7.67806	9.84903e-05	0.397246	0	0	0	0.885538	2648.39
23	0.0118709	8.12067e-07	0.001199	0.0911606	0.640993	0.0968689	0.0151683	25.6185	0	0.00455688	1.1644e-06	10.319	0.0887	0.000580678	0.0193579	0.0471246	255.14	111.354	0.611071	612.872	4.65303	66.4278	3.39259	418.742	0.00945441	0.033175	8.97459	27.9935	19.9229	0.0452538	0.000947054	0.0218801	2.47802	96.4767	0.0757444	0.000414554	0	185.297	0	0	0	0.771135	0	0.0726046	355.009	73.1443	539.727	7.00519	9.89918e-05	0.399896	0	0	0	0.930307	2759.56
24	0.0120889	8.12066e-07	0.00119623	0.0921124	0.641145	0.0972483	0.0155564	25.7998	0	0.00504438	1.37706e-06	10.2916	0.0887831	0.000581613	0.0190094	0.0470471	261.655	111.714	0.600446	589.618	4.62491	66.9273	3.35399	412.92	0.00951971	0.0342865	8.77989	28.4076	18.0639	0.0454221	0.00095519	0.0218999	2.478	96.8048	0.0760351	0.000414217	0	187.56	0	0	0	0.772209	0	0.0732762	359.642	73.0657	516.552	6.46737	9.94522e-05	0.40257	0	0	0	0.975121	2871.09
25	0.0123134	8.12065e-07	0.00119392	0.0928882	0.641299	0.0975768	0.0159418	25.9564	0	0.00561034	1.63763e-06	10.2708	0.0888764	0.000582454	0.0186634	0.046984	268.106	112.055	0.58989	568.744	4.59864	67.5343	3.31377	407.912	0.00956746	0.0353835	8.58488	28.7799	16.2927	0.0455657	0.000963609	0.0219223	2.47798	97.1239	0.0762871	0.000414062	0	189.795	0	0	0	0.773161	0	0.073866	364.049	72.9904	495.754	6.04058	9.98708e-05	0.405191	0	0	0	1.01997	2982.98
26	0.0125432	8.12064e-07	0.001192	0.0935112	0.641462	0.0978615	0.0163236	26.0908	0	0.00627517	1.96034e-06	10.2554	0.0889739	0.000583217	0.0183221	0.0469334	274.489	112.37	0.57947	550.058	4.57451	68.2024	3.27204	403.637	0.00960007	0.0364632	8.39203	29.1128	14.6052	0.0456875	0.00097257	0.0219459	2.47795	97.4357	0.076506	0.000414043	0	192.005	0	0	0	0.774004	0	0.0743833	368.24	72.9198	477.139	5.70504	0.000100247	0.407693	0	0	0	1.06485	3095.19
27	0.012777	8.12063e-07	0.00119041	0.0940039	0.641643	0.0981084	0.0167011	26.2052	0	0.00706682	2.36499e-06	10.2441	0.0890707	0.000583912	0.0179874	0.0468935	280.799	112.659	0.569243	533.372	4.55268	68.8959	3.22896	400.017	0.00961982	0.037523	8.20334	29.4087	12.9978	0.0457896	0.000982392	0.0219693	2.47793	97.7415	0.0766964	0.000414119	0	194.187	0	0	0	0.774752	0	0.0748366	372.228	72.8548	460.517	5.44449	0.000100581	0.410026	0	0	0	1.10975	3207.71
28	0.0130138	8.12061e-07	0.00118909	0.0943869	0.641855	0.0983227	0.0170735	26.3016	0	0.00802476	2.87999e-06	10.2363	0.0891627	0.000584545	0.0176605	0.0468624	287.035	112.92	0.559252	518.501	4.53319	69.5875	3.18471	396.974	0.00962885	0.0385604	8.02039	29.6697	11.467	0.0458735	0.000993492	0.0219917	2.47791	98.0425	0.0768624	0.000414257	0	196.344	0	0	0	0.775418	0	0.0752337	376.021	72.7959	445.705	5.24555	0.00010087	0.412149	0	0	0	1.15468	3320.5
29	0.0132527	8.1206e-07	0.00118802	0.0946787	0.642118	0.0985082	0.0174402	26.3818	0	0.00920649	3.54722e-06	10.2313	0.0892461	0.000585121	0.0173427	0.0468387	293.194	113.154	0.54953	505.273	4.51596	70.2563	3.13947	394.436	0.009629	0.0395729	7.84437	29.898	10.0095	0.0459397	0.00100645	0.0220121	2.47789	98.3396	0.0770073	0.000414424	0	198.475	0	0	0	0.776011	0	0.0755814	379.629	72.7435	432.529	5.09721	0.000101112	0.414032	0	0	0	1.19961	3433.54
30	0.0134925	8.12059e-07	0.00118714	0.0948947	0.642461	0.0986681	0.0178002	26.4474	0	0.0106992	4.43081e-06	10.2287	0.0893163	0.000585642	0.017035	0.0468211	299.275	113.364	0.540113	493.522	4.50088	70.8869	3.09346	392.333	0.00962186	0.040558	7.67612	30.0957	8.62187	0.0459875	0.0010221	0.0220293	2.47787	98.6336	0.0771341	0.000414588	0	200.581	0	0	0	0.776541	0	0.0758858	383.061	72.6979	420.824	4.99039	0.0001013	0.415651	0	0	0	1.24456	3546.8
31	0.0137318	8.12058e-07	0.00118645	0.0950468	0.642932	0.0988043	0.0181523	26.5001	0	0.0126416	5.63356e-06	10.2283	0.089367	0.000586109	0.0167385	0.0468086	305.276	113.55	0.531035	483.094	4.48772	71.4683	3.04688	390.606	0.00960859	0.0415121	7.51626	30.2648	7.30122	0.0460141	0.00104176	0.022042	2.47786	98.925	0.0772452	0.00041471	0	202.661	0	0	0	0.777015	0	0.0761523	386.326	72.6589	410.435	4.91757	0.00010142	0.416986	0	0	0	1.28951	3660.26
32	0.0139686	8.12057e-07	0.00118592	0.0951416	0.643621	0.0989167	0.0184944	26.5411	0	0.0152688	7.33006e-06	10.2303	0.0893871	0.000586516	0.0164551	0.0468007	311.197	113.719	0.522355	473.844	4.47621	71.993	2.99995	389.202	0.00958983	0.0424301	7.36522	30.4075	6.04471	0.0460128	0.00106759	0.0220473	2.47785	99.2144	0.0773428	0.000414737	0	204.717	0	0	0	0.777439	0	0.0763857	389.431	72.6264	401.218	4.8725	0.000101448	0.418014	0	0	0	1.33447	3773.9
33	0.014199	8.12056e-07	0.00118557	0.0951765	0.644706	0.099001	0.0188221	26.5718	0	0.0190113	9.83985e-06	10.2352	0.0893539	0.000586848	0.0161883	0.0467975	317.039	113.876	0.514182	465.639	4.46586	72.4566	2.95294	388.077	0.00956526	0.0433016	7.22345	30.5258	4.84992	0.0459682	0.00110352	0.0220402	2.47786	99.5023	0.0774287	0.000414568	0	206.748	0	0	0	0.777821	0	0.0765901	392.385	72.5997	393.039	4.84989	0.000101326	0.418698	0	0	0	1.37943	3887.69
34	0.0144144	8.12055e-07	0.00118549	0.0951271	0.646593	0.0990414	0.0191249	26.5937	0	0.0247494	1.381e-05	10.2447	0.0892125	0.000587057	0.0159464	0.0468007	322.802	114.034	0.506777	458.351	4.45574	72.8581	2.9062	387.204	0.00953221	0.0441024	7.09169	30.622	3.71501	0.0458421	0.0011574	0.0220077	2.47789	99.7896	0.0775044	0.000413973	0	208.755	0	0	0	0.778166	0	0.0767692	395.195	72.5774	385.773	4.84506	0.00010092	0.418956	0	0	0	1.42438	4001.65
35	0.0145898	8.12055e-07	0.001186	0.094901	0.650392	0.09898	0.0193723	26.6082	0	0.0345836	2.07499e-05	10.2628	0.088801	0.00058697	0.0157541	0.0468168	328.49	114.223	0.500909	451.851	4.4434	73.2011	2.8603	386.589	0.00948072	0.0447628	6.97188	30.6993	2.63961	0.0455246	0.00124752	0.0219128	2.47799	100.078	0.0775714	0.0004123	0	210.738	0	0	0	0.778477	0	0.0769263	397.868	72.5543	379.297	4.85321	9.98424e-05	0.418561	0	0	0	1.46933	4115.77
36	0.0146287	8.12055e-07	0.00118854	0.0941085	0.660091	0.0985447	0.0194471	26.6181	0	0.0548764	3.49795e-05	10.3024	0.0874845	0.000585758	0.0157086	0.0468712	334.113	114.549	0.499632	445.973	4.41928	73.505	2.8167	386.342	0.00936843	0.0450134	6.87063	30.7634	1.62803	0.0445978	0.00142716	0.0216119	2.47829	100.375	0.0776308	0.000407024	0	212.698	0	0	0	0.77876	0	0.0770643	400.41	72.506	373.467	4.86722	9.66621e-05	0.41672	0	0	0	1.51428	4230.14
37	0.0139457	8.12057e-07	0.00120352	0.0903102	0.698355	0.0956295	0.0186503	26.6324	0	0.114058	7.24565e-05	10.4221	0.0813884	0.000576632	0.0164489	0.0471057	339.713	115.588	0.523191	440.245	4.32345	73.8887	2.78139	387.134	0.00892544	0.0432436	6.81995	30.8357	0.707892	0.0406098	0.00191824	0.0202481	2.47967	100.709	0.0776836	0.000382869	0	214.634	0	0	0	0.779018	0	0.0771854	402.829	72.2513	367.994	4.86492	8.35766e-05	0.40941	0	0	0	1.55922	4345.08
38	0.00765133	8.12105e-07	0.00137859	0.060096	1.01086	0.0625273	0.0110275	26.713	0	0.402574	0.000141681	11.04	0.0403192	0.000449688	0.028844	0.0481188	345.608	123.173	0.933606	430.484	3.53513	75.574	2.79812	394.836	0.00558929	0.0256565	7.07684	31.0619	0.0751819	0.0167804	0.00407159	0.0109363	2.48904	101.316	0.0777306	0.000210441	0	216.547	0	0	0	0.779254	0	0.0772921	405.129	69.3797	361.104	4.69608	2.23259e-05	0.364048	0	0	0	1.60415	4463.12
39	2.01976e-05	8.52192e-07	0.00201628	0.000724229	2.60601	0.00042135	5.73911e-05	27.0234	0	1.16763	3.10495e-06	12.9984	0.000210176	7.44236e-06	0.492157	0.00417758	352.655	127.929	50.1664	400.713	1.46918	83.6647	2.99346	436.263	3.7491e-05	0.00013505	8.5795	31.8413	3.24519e-05	2.44525e-05	0.00476531	9.03759e-05	2.49991	103.071	0.0777726	3.07686e-07	0	218.437	0	0	0	0.779471	0	0.077386	407.318	56.4582	344.255	3.98363	1.22496e-09	0.210667	0	0	0	1.64907	4598.43
40	1.31866e-10	0.00282393	0.00118631	1.09007e-08	4.52342	3.30761e-09	5.05481e-10	27.3637	0	1.91523	8.12281e-11	15.185	2.42492e-09	7.46337e-11	1.59021	1.33875e-07	359.939	59.1157	201.35	376.162	0.753795	82.9434	3.23529	500.534	4.04168e-10	1.20678e-09	10.4367	32.7268	5.79437e-12	6.86569e-11	0.00237351	1.70689e-09	2.5	105.203	0.0778103	3.91516e-15	0	220.304	0	0	0	0.779671	0	0.0774689	409.399	54.9325	321.23	3.26162	6.78478e-18	0.105686	0	0	0	1.69399	4685.54
41	4.48842e-18	0.0400566	2.85726e-09	3.94066e-15	6.38735	7.5362e-16	5.88136e-17	27.6717	0	2.57873	1.96837e-17	17.334	7.87179e-17	4.53996e-19	2.64705	2.43827e-14	367.156	35.5351	320.279	351.535	0.512027	77.947	3.47629	569.424	5.58435e-17	1.42008e-16	12.2051	33.5693	9.04364e-22	4.06906e-18	0.00117865	1.8859e-16	2.5	107.302	0.0778443	8.26287e-24	0	222.149	0	0	0	0.779856	0	0.0775421	411.38	53.7645	297.77	2.67039	1.40786e-26	0.0530093	0	0	0	1.73888	4731.17
42	1.17976e-24	0.0772445	-2.07488e-15	-4.70119e-21	8.19884	-6.77444e-22	-3.24495e-23	27.9503	0	3.16757	-2.19407e-23	19.4457	2.08406e-23	5.05309e-25	3.6594	-1.47269e-20	374.305	24.3992	428.263	329.234	0.39279	72.6377	3.71642	638.13	3.24944e-23	-7.85293e-23	13.8883	34.3706	2.69028e-27	-1.00473e-24	0.0005853	-1.00965e-22	2.5	109.369	0.0778749	-6.88016e-29	0	223.973	0	0	0	0.780029	0	0.077607	413.263	53.9931	275.24	2.18633	1.56688e-32	0.0265882	0	0	0	1.78377	4760.55
43	9.65187e-24	0.112337	8.5458e-15	6.34553e-21	9.9593	1.49366e-21	1.07662e-22	28.2025	0	3.69015	3.32928e-23	21.5206	1.67815e-22	7.81306e-25	4.62915	5.36894e-20	381.387	18.0269	530.147	308.566	0.320209	67.6841	3.95569	705.246	1.54805e-22	2.61713e-22	15.4901	35.1329	-1.42777e-28	6.80905e-24	0.000290651	3.43979e-22	2.5	111.403	0.0779028	-1.39416e-27	0	225.774	0	0	0	0.78019	0	0.0776646	415.055	54.5378	254.028	1.79002	2.42262e-32	0.013336	0	0	0	1.82865	4781.51
44	-4.397e-24	0.145452	-7.64279e-15	-3.56153e-21	11.6701	-8.50886e-22	-4.04629e-23	28.4306	0	4.15394	-2.13555e-23	23.5594	-7.18237e-23	-1.79125e-25	5.55808	-3.22927e-20	388.403	13.9474	628.091	289.274	0.270314	63.18	4.1941	770.237	1.13858e-23	-1.00755e-22	17.0147	35.8579	6.07411e-28	-1.53853e-24	0.000144333	-1.26161e-22	2.5	113.405	0.0779281	-3.47694e-27	0	227.554	0	0	0	0.780342	0	0.0777159	416.759	55.0348	234.239	1.46554	-5.55415e-33	0.00668904	0	0	0	1.87351	4797.36
45	-3.04685e-23	0.1767	-1.30263e-14	-9.6804e-21	13.3326	-4.52868e-21	1.72228e-22	28.6371	0	4.56556	1.34392e-23	25.5625	-4.41436e-22	1.59422e-24	6.44792	1.26752e-20	395.352	11.1399	723.446	271.272	0.233315	59.0957	4.43166	832.881	3.84252e-21	4.04275e-22	18.4656	36.5477	-2.99026e-25	1.69737e-23	7.1674e-05	5.39979e-22	2.5	115.376	0.0779513	-9.46688e-27	0	229.313	0	0	0	0.780486	0	0.0777617	418.38	55.4	215.872	1.19988	4.94325e-32	0.00335507	0	0	0	1.91835	4809.82
46	-1.13845e-24	0.206188	-1.44253e-14	-1.98511e-22	14.9482	-3.72488e-22	2.11432e-23	28.8239	0	4.93088	-1.14998e-23	27.5306	-2.41068e-23	2.85491e-25	7.3003	-3.38955e-20	402.235	9.109	817.134	254.515	0.204482	55.3794	4.66836	893.098	-8.5072e-23	4.26476e-23	19.8463	37.2037	-9.35866e-25	3.87501e-24	3.55923e-05	7.68918e-23	2.5	117.315	0.0779726	-2.03616e-27	0	231.051	0	0	0	0.780622	0	0.0778026	419.922	55.6354	198.88	0.982382	8.8523e-33	0.00168282	0	0	0	1.96319	4819.89
47	2.97928e-23	0.234015	-1.5578e-14	-3.35247e-20	16.5182	4.85945e-22	-1.53059e-23	28.9929	0	5.25512	-8.69339e-25	29.4642	7.17517e-23	-6.35143e-26	8.11681	-4.94327e-20	409.053	7.58545	909.798	238.957	0.181235	51.9818	4.90421	950.878	3.41131e-20	-4.59918e-23	21.1604	37.8278	-4.32824e-23	-1.37531e-24	1.76746e-05	-3.23047e-23	2.5	119.224	0.0779922	4.66306e-28	0	232.768	0	0	0	0.780751	0	0.0778394	421.389	55.7655	183.191	0.804306	-1.9694e-33	0.000844065	0	0	0	2.008	4828.21
