Time	[IR]	[IRins]	[IRp]	[IRip]	[IRi]	[IRS]	[IRSip]	[X]	[Xp]	[V1a]	[V1b]	[V1c]	[V1d]	[V1e]	[V1g]	[v1r]	[V2]	[Vm2]	[V3]	[Vm3]	[simXp]	[intamount]	[measIRp]	[measdoublestep]	[measanna]	[measdosR]
60	0.0872952	8.86367	0.00172546	0.296538	0.750776	9.99358	0.0064162	9.15427	0.845727	3.39938	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.209131	0.209131	0.0956603	0.095658	0.845727	0.104731	1	57.3366	107.536	88.1614
61	0.0872952	8.86367	0.00172546	0.296538	0.750776	9.99358	0.00641619	9.15427	0.84573	3.39938	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.209131	0.209131	0.0956602	0.0956583	0.84573	0.104731	1	57.3365	107.536	88.1613
62	0.0872952	8.86367	0.00172546	0.296537	0.750776	9.99358	0.00641619	9.15427	0.845731	3.39938	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.209131	0.209131	0.0956601	0.0956585	0.845731	0.104731	1	57.3365	107.536	88.1612
63	0.0872952	8.86367	0.00172546	0.296537	0.750776	9.99358	0.00641618	9.15427	0.845733	3.39938	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.209131	0.209131	0.09566	0.0956587	0.845733	0.104731	1	57.3364	107.536	88.1611
64	0.0872952	8.86367	0.00172546	0.296537	0.750776	9.99358	0.00641618	9.15427	0.845734	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956599	0.0956588	0.845734	0.104731	1	57.3364	107.536	88.161
65	0.0872952	8.86367	0.00172546	0.296537	0.750776	9.99358	0.00641617	9.15426	0.845735	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956599	0.0956589	0.845735	0.104731	1	57.3363	107.536	88.161
66	0.0872952	8.86367	0.00172546	0.296537	0.750776	9.99358	0.00641617	9.15426	0.845736	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956598	0.095659	0.845736	0.104731	1	57.3363	107.536	88.1609
67	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641617	9.15426	0.845737	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956597	0.0956591	0.845737	0.104731	1	57.3363	107.536	88.1609
68	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641617	9.15426	0.845738	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956597	0.0956592	0.845738	0.104731	1	57.3363	107.536	88.1609
69	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641616	9.15426	0.845738	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956597	0.0956592	0.845738	0.104731	1	57.3362	107.536	88.1609
70	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641616	9.15426	0.845738	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956597	0.0956593	0.845738	0.104731	1	57.3362	107.536	88.1608
71	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641616	9.15426	0.845739	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956596	0.0956593	0.845739	0.104731	1	57.3362	107.536	88.1608
72	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641616	9.15426	0.845739	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956596	0.0956594	0.845739	0.104731	1	57.3362	107.536	88.1608
73	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641616	9.15426	0.845739	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956596	0.0956594	0.845739	0.104731	1	57.3362	107.536	88.1608
74	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641616	9.15426	0.84574	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956596	0.0956594	0.84574	0.104731	1	57.3362	107.536	88.1608
75	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641616	9.15426	0.84574	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956596	0.0956594	0.84574	0.104731	1	57.3362	107.536	88.1608
76	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641616	9.15426	0.84574	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956596	0.0956594	0.84574	0.104731	1	57.3362	107.536	88.1608
77	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641616	9.15426	0.84574	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956596	0.0956595	0.84574	0.104731	1	57.3362	107.536	88.1608
78	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641616	9.15426	0.84574	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.84574	0.104731	1	57.3362	107.536	88.1608
79	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641616	9.15426	0.84574	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.84574	0.104731	1	57.3362	107.536	88.1608
80	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641616	9.15426	0.84574	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.84574	0.104731	1	57.3362	107.536	88.1607
81	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641616	9.15426	0.84574	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.84574	0.104731	1	57.3362	107.536	88.1607
82	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641616	9.15426	0.84574	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.84574	0.104731	1	57.3362	107.536	88.1607
83	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.84574	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.84574	0.104731	1	57.3362	107.536	88.1607
84	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.84574	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.84574	0.104731	1	57.3362	107.536	88.1607
85	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.845741	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.845741	0.104731	1	57.3362	107.536	88.1607
86	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.845741	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.845741	0.104731	1	57.3362	107.536	88.1607
87	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.845741	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.845741	0.104731	1	57.3362	107.536	88.1607
88	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.845741	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.845741	0.104731	1	57.3362	107.536	88.1607
89	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.845741	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.845741	0.104731	1	57.3362	107.536	88.1607
90	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.845741	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.845741	0.104731	1	57.3362	107.536	88.1607
91	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.845741	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.845741	0.104731	1	57.3362	107.536	88.1607
92	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.845741	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.845741	0.104731	1	57.3362	107.536	88.1607
93	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.845741	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.845741	0.104731	1	57.3362	107.536	88.1607
94	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.845741	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.845741	0.104731	1	57.3362	107.536	88.1607
95	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.845741	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.845741	0.104731	1	57.3362	107.536	88.1607
96	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.845741	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.845741	0.104731	1	57.3362	107.536	88.1607
97	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.845741	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.845741	0.104731	1	57.3362	107.536	88.1607
98	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.845741	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.845741	0.104731	1	57.3362	107.536	88.1607
99	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.845741	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.845741	0.104731	1	57.3362	107.536	88.1607
100	0.0872952	8.86367	0.00172546	0.296536	0.750776	9.99358	0.00641615	9.15426	0.845741	3.39939	0.177293	3.22209	2.7274	2.7274	0.494689	2.7274	0.20913	0.20913	0.0956595	0.0956595	0.845741	0.104731	1	57.3362	107.536	88.1607
