Time	[_2PGA_c]	[ATP_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[Fru6P_g]	[Pi_g]	[O2_c]	[NADP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[NADPH_c]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
23	0.330929	2.16818	4.95146	0.609974	2.61291	2.0578	0.487354	1.33642	3.65224	0.176843	0	1	3.6158	3.4941	0.000345083	0	0.0166116	0.000536361	0.0117299	3.58021	0.01	0.164915	0.0356091	0.01	0.0352524	5	0.5059	0.384201	1.33771	0	3.95623	10.1651	0.119163	0	0.367485	0	0.0485394	17.432	0.00139334	0.012515	0.00566656	0.98525	3.33223	1006.41	0.395401	0.0437654
24	0.331221	2.16955	4.95134	0.612915	2.62155	2.06088	0.489027	1.33572	3.65786	0.177483	0	1	3.6158	3.494	0.000345192	0	0.0166115	0.000536352	0.0117319	3.57587	0.01	0.165501	0.0355225	0.01	0.0351658	5	0.506	0.384197	1.33968	0	3.95619	10.2433	0.119555	0	0.367485	0	0.0486573	17.5255	0.00139332	0.0125151	0.00566781	0.985853	3.3262	1007.89	0.394731	0.0438085
25	0.331477	2.17078	4.95122	0.615914	2.62997	2.06401	0.490636	1.33509	3.66276	0.178099	0	1	3.61581	3.4939	0.000345296	0	0.0166113	0.000536343	0.0117338	3.57079	0.01	0.166064	0.035433	0.01	0.0350763	5	0.506096	0.384192	1.3414	0	3.95615	10.3202	0.119938	0	0.367485	0	0.048781	17.6202	0.00139331	0.0125152	0.00566901	0.986381	3.32007	1009.18	0.394137	0.0438537
26	0.331702	2.17187	4.95109	0.618947	2.6382	2.06716	0.492193	1.33452	3.66709	0.178694	0	1	3.61581	3.49381	0.000345395	0	0.0166112	0.000536333	0.0117356	3.56515	0.01	0.166606	0.0353418	0.01	0.034985	5	0.506187	0.384186	1.3429	0	3.9561	10.3958	0.120311	0	0.367485	0	0.0489091	17.7155	0.00139329	0.0125153	0.00567016	0.986848	3.31389	1010.32	0.393604	0.0439005
27	0.331903	2.17287	4.95096	0.621999	2.64625	2.07031	0.493705	1.33401	3.67094	0.179273	0	1	3.61582	3.49372	0.000345492	0	0.016611	0.000536322	0.0117373	3.55911	0.01	0.16713	0.0352497	0.01	0.0348929	5	0.506276	0.384179	1.34424	0	3.95605	10.4702	0.120676	0	0.367485	0	0.0490406	17.8113	0.00139327	0.0125155	0.00567127	0.987266	3.30769	1011.33	0.393122	0.0439485
28	0.332084	2.17377	4.95083	0.625055	2.65414	2.07345	0.495178	1.33354	3.6744	0.179838	0	1	3.61583	3.49364	0.000345586	0	0.0166108	0.000536311	0.011739	3.55279	0.01	0.167637	0.0351574	0.01	0.0348006	5	0.506362	0.384172	1.34543	0	3.956	10.5435	0.121034	0	0.367484	0	0.0491743	17.9072	0.00139326	0.0125156	0.00567235	0.987641	3.3015	1012.24	0.392683	0.0439973
29	0.332248	2.17461	4.95069	0.628103	2.66187	2.07656	0.496619	1.33311	3.67753	0.18039	0	1	3.61583	3.49355	0.000345677	0	0.0166107	0.0005363	0.0117407	3.54628	0.01	0.168129	0.0350655	0.01	0.0347086	5	0.506446	0.384165	1.3465	0	3.95595	10.6157	0.121385	0	0.367484	0	0.0493098	18.0031	0.00139324	0.0125158	0.0056734	0.987983	3.29534	1013.07	0.392278	0.0440468
30	0.332398	2.17538	4.95055	0.631136	2.66947	2.07964	0.498032	1.33271	3.68039	0.180931	0	1	3.61584	3.49347	0.000345765	0	0.0166105	0.00053629	0.0117423	3.53966	0.01	0.168608	0.0349745	0.01	0.0346175	5	0.506527	0.384157	1.34748	0	3.9559	10.687	0.121729	0	0.367484	0	0.0494463	18.0988	0.00139323	0.012516	0.00567442	0.988296	3.28923	1013.82	0.391904	0.0440966
31	0.332537	2.17611	4.95042	0.634146	2.67693	2.08267	0.49942	1.33234	3.68303	0.181463	0	1	3.61585	3.49339	0.000345852	0	0.0166103	0.000536279	0.0117438	3.53299	0.01	0.169075	0.0348845	0.01	0.0345276	5	0.506607	0.38415	1.34838	0	3.95585	10.7574	0.122068	0	0.367484	0	0.0495833	18.1941	0.00139321	0.0125162	0.00567542	0.988586	3.28318	1014.52	0.391553	0.0441467
32	0.332666	2.17679	4.95028	0.637129	2.68426	2.08567	0.500787	1.33199	3.68549	0.181987	0	1	3.61586	3.49332	0.000345937	0	0.0166102	0.000536268	0.0117454	3.52632	0.01	0.169531	0.0347959	0.01	0.034439	5	0.506685	0.384142	1.34921	0	3.9558	10.8269	0.1224	0	0.367484	0	0.0497205	18.289	0.00139319	0.0125163	0.0056764	0.988856	3.27721	1015.17	0.391224	0.0441969
33	0.332786	2.17743	4.95014	0.64008	2.69148	2.08861	0.502134	1.33165	3.68779	0.182503	0	1	3.61587	3.49324	0.000346021	0	0.01661	0.000536257	0.0117469	3.51968	0.01	0.169977	0.0347089	0.01	0.0343519	5	0.506761	0.384134	1.34999	0	3.95575	10.8956	0.122727	0	0.367483	0	0.0498576	18.3834	0.00139318	0.0125165	0.00567736	0.989109	3.27131	1015.77	0.390913	0.044247
34	0.3329	2.17805	4.95001	0.642997	2.69858	2.0915	0.503464	1.33134	3.68995	0.183013	0	1	3.61587	3.49316	0.000346103	0	0.0166098	0.000536246	0.0117484	3.5131	0.01	0.170413	0.0346234	0.01	0.0342664	5	0.506837	0.384126	1.35072	0	3.9557	10.9635	0.123049	0	0.367483	0	0.0499942	18.4771	0.00139316	0.0125167	0.0056783	0.989349	3.2655	1016.34	0.390617	0.044297
35	0.333008	2.17863	4.94987	0.645877	2.70557	2.09434	0.504778	1.33103	3.692	0.183517	0	1	3.61588	3.49309	0.000346183	0	0.0166097	0.000536236	0.0117498	3.5066	0.01	0.17084	0.0345398	0.01	0.0341827	5	0.50691	0.384118	1.35141	0	3.95565	11.0306	0.123365	0	0.367483	0	0.0501303	18.5703	0.00139315	0.0125169	0.00567923	0.989576	3.25978	1016.88	0.390335	0.0443468
36	0.333112	2.17919	4.94973	0.648718	2.71246	2.09713	0.506078	1.33074	3.69396	0.184016	0	1	3.61589	3.49302	0.000346263	0	0.0166095	0.000536225	0.0117513	3.5002	0.01	0.171259	0.0344579	0.01	0.0341008	5	0.506983	0.38411	1.35206	0	3.9556	11.0969	0.123677	0	0.367483	0	0.0502656	18.6627	0.00139313	0.0125171	0.00568015	0.989793	3.25415	1017.4	0.390064	0.0443964
37	0.33321	2.17973	4.9496	0.65152	2.71924	2.09987	0.507364	1.33046	3.69584	0.184509	0	1	3.6159	3.49295	0.000346341	0	0.0166094	0.000536215	0.0117527	3.49391	0.01	0.171669	0.0343778	0.01	0.0340207	5	0.507055	0.384102	1.35269	0	3.95555	11.1625	0.123984	0	0.367483	0	0.0504001	18.7544	0.00139312	0.0125172	0.00568105	0.990001	3.24861	1017.89	0.389803	0.0444456
38	0.333306	2.18025	4.94947	0.654281	2.72593	2.10255	0.508637	1.33019	3.69764	0.184997	0	1	3.61591	3.49287	0.000346418	0	0.0166092	0.000536205	0.0117541	3.48774	0.01	0.172072	0.0342996	0.01	0.0339424	5	0.507125	0.384095	1.35329	0	3.95551	11.2275	0.124287	0	0.367483	0	0.0505335	18.8454	0.0013931	0.0125174	0.00568194	0.990201	3.24317	1018.37	0.389552	0.0444946
39	0.333397	2.18076	4.94933	0.657002	2.73252	2.10518	0.509899	1.32993	3.69938	0.185481	0	1	3.61591	3.4928	0.000346494	0	0.0166091	0.000536195	0.0117555	3.48168	0.01	0.172468	0.0342231	0.01	0.033866	5	0.507195	0.384087	1.35387	0	3.95546	11.2917	0.124585	0	0.367482	0	0.050666	18.9355	0.00139309	0.0125176	0.00568281	0.990394	3.23782	1018.83	0.389308	0.0445431
40	0.333486	2.18125	4.9492	0.659683	2.73902	2.10776	0.511149	1.32968	3.70107	0.185961	0	1	3.61592	3.49274	0.000346569	0	0.0166089	0.000536185	0.0117568	3.47576	0.01	0.172857	0.0341485	0.01	0.0337913	5	0.507264	0.38408	1.35444	0	3.95541	11.3552	0.124879	0	0.367482	0	0.0507972	19.025	0.00139307	0.0125178	0.00568368	0.990581	3.23256	1019.27	0.389072	0.0445913
41	0.333573	2.18173	4.94907	0.662323	2.74542	2.11028	0.512389	1.32943	3.70271	0.186437	0	1	3.61593	3.49267	0.000346643	0	0.0166088	0.000536176	0.0117582	3.46996	0.01	0.173239	0.0340756	0.01	0.0337184	5	0.507332	0.384073	1.35498	0	3.95536	11.4181	0.12517	0	0.367482	0	0.0509274	19.1136	0.00139306	0.0125179	0.00568453	0.990763	3.2274	1019.7	0.388842	0.0446391
42	0.333657	2.18219	4.94894	0.664922	2.75174	2.11276	0.513618	1.32919	3.7043	0.186908	0	1	3.61593	3.4926	0.000346716	0	0.0166087	0.000536166	0.0117595	3.46429	0.01	0.173614	0.0340045	0.01	0.0336473	5	0.507399	0.384066	1.35551	0	3.95531	11.4803	0.125456	0	0.367482	0	0.0510563	19.2015	0.00139305	0.0125181	0.00568537	0.99094	3.22232	1020.12	0.388619	0.0446865
43	0.333739	2.18264	4.94882	0.667482	2.75798	2.11518	0.514837	1.32896	3.70586	0.187376	0	1	3.61594	3.49254	0.000346789	0	0.0166085	0.000536157	0.0117608	3.45875	0.01	0.173984	0.0339351	0.01	0.0335778	5	0.507465	0.384059	1.35603	0	3.95527	11.5419	0.125738	0	0.367482	0	0.051184	19.2885	0.00139303	0.0125183	0.0056862	0.991113	3.21734	1020.53	0.388401	0.0447334
44	0.333819	2.18308	4.94869	0.670003	2.76413	2.11756	0.516046	1.32873	3.70738	0.18784	0	1	3.61595	3.49247	0.00034686	0	0.0166084	0.000536148	0.0117621	3.45334	0.01	0.174347	0.0338673	0.01	0.0335101	5	0.50753	0.384052	1.35654	0	3.95522	11.6029	0.126016	0	0.367482	0	0.0513105	19.3748	0.00139302	0.0125184	0.00568702	0.991282	3.21244	1020.93	0.388188	0.0447799
45	0.333897	2.18352	4.94856	0.672485	2.7702	2.11989	0.517246	1.3285	3.70887	0.188301	0	1	3.61595	3.49241	0.000346931	0	0.0166083	0.000536139	0.0117634	3.44805	0.01	0.174705	0.0338012	0.01	0.0334439	5	0.507595	0.384045	1.35703	0	3.95517	11.6633	0.126291	0	0.367481	0	0.0514357	19.4603	0.00139301	0.0125186	0.00568783	0.991446	3.20763	1021.32	0.387981	0.044826
46	0.333974	2.18394	4.94844	0.674928	2.77619	2.12217	0.518436	1.32828	3.71032	0.188758	0	1	3.61596	3.49234	0.000347	0	0.0166081	0.000536131	0.0117646	3.44288	0.01	0.175057	0.0337366	0.01	0.0333793	5	0.507658	0.384038	1.35751	0	3.95513	11.723	0.126562	0	0.367481	0	0.0515597	19.5449	0.001393	0.0125187	0.00568864	0.991608	3.2029	1021.71	0.387777	0.0448717
47	0.334049	2.18435	4.94832	0.677335	2.78211	2.12441	0.519617	1.32807	3.71175	0.189211	0	1	3.61597	3.49228	0.000347069	0	0.016608	0.000536122	0.0117659	3.43783	0.01	0.175404	0.0336736	0.01	0.0333163	5	0.507721	0.384032	1.35799	0	3.95508	11.7822	0.12683	0	0.367481	0	0.0516824	19.6289	0.00139298	0.0125189	0.00568943	0.991766	3.19826	1022.08	0.387578	0.0449169
48	0.334123	2.18476	4.9482	0.679704	2.78794	2.1266	0.520789	1.32786	3.71315	0.189661	0	1	3.61597	3.49222	0.000347137	0	0.0166079	0.000536114	0.0117671	3.43291	0.01	0.175745	0.0336121	0.01	0.0332547	5	0.507784	0.384026	1.35846	0	3.95504	11.8408	0.127094	0	0.367481	0	0.0518039	19.712	0.00139297	0.012519	0.00569021	0.991921	3.1937	1022.45	0.387383	0.0449617
49	0.334195	2.18516	4.94808	0.682037	2.7937	2.12875	0.521952	1.32765	3.71453	0.190108	0	1	3.61598	3.49215	0.000347204	0	0.0166078	0.000536106	0.0117683	3.42809	0.01	0.176081	0.033552	0.01	0.0331946	5	0.507845	0.38402	1.35891	0	3.95499	11.8988	0.127354	0	0.367481	0	0.0519241	19.7943	0.00139296	0.0125192	0.00569098	0.992073	3.18921	1022.82	0.387192	0.045006
50	0.334266	2.18555	4.94796	0.684334	2.79939	2.13086	0.523107	1.32745	3.71589	0.190551	0	1	3.61599	3.49209	0.000347271	0	0.0166077	0.000536098	0.0117695	3.42339	0.01	0.176412	0.0334933	0.01	0.0331359	5	0.507906	0.384013	1.35936	0	3.95495	11.9563	0.127612	0	0.367481	0	0.0520431	19.8759	0.00139295	0.0125193	0.00569175	0.992223	3.18481	1023.17	0.387005	0.0450499
51	0.334336	2.18593	4.94784	0.686597	2.80501	2.13293	0.524252	1.32725	3.71722	0.190991	0	1	3.61599	3.49203	0.000347337	0	0.0166075	0.00053609	0.0117707	3.4188	0.01	0.176738	0.033436	0.01	0.0330786	5	0.507966	0.384008	1.35981	0	3.95491	12.0132	0.127866	0	0.367481	0	0.0521608	19.9568	0.00139294	0.0125194	0.0056925	0.992369	3.18048	1023.52	0.386821	0.0450934
52	0.334405	2.18631	4.94772	0.688825	2.81056	2.13496	0.525389	1.32705	3.71853	0.191427	0	1	3.616	3.49197	0.000347402	0	0.0166074	0.000536083	0.0117719	3.41431	0.01	0.17706	0.03338	0.01	0.0330226	5	0.508025	0.384002	1.36024	0	3.95486	12.0696	0.128117	0	0.36748	0	0.0522774	20.0368	0.00139293	0.0125196	0.00569325	0.992514	3.17622	1023.87	0.386641	0.0451364
53	0.334472	2.18667	4.94761	0.69102	2.81604	2.13695	0.526518	1.32686	3.71982	0.191861	0	1	3.616	3.49192	0.000347466	0	0.0166073	0.000536075	0.011773	3.40993	0.01	0.177376	0.0333253	0.01	0.0329679	5	0.508084	0.383996	1.36067	0	3.95482	12.1254	0.128365	0	0.36748	0	0.0523927	20.1162	0.00139292	0.0125197	0.00569399	0.992656	3.17203	1024.21	0.386464	0.045179
54	0.334539	2.18704	4.94749	0.693183	2.82145	2.1389	0.527638	1.32667	3.72109	0.192291	0	1	3.61601	3.49186	0.000347529	0	0.0166072	0.000536068	0.0117742	3.40565	0.01	0.177688	0.0332719	0.01	0.0329144	5	0.508142	0.38399	1.36109	0	3.95478	12.1807	0.12861	0	0.36748	0	0.0525068	20.1948	0.00139291	0.0125198	0.00569472	0.992795	3.16792	1024.54	0.38629	0.0452212
55	0.334604	2.18739	4.94738	0.695313	2.8268	2.14081	0.52875	1.32649	3.72234	0.192718	0	1	3.61601	3.4918	0.000347592	0	0.0166071	0.000536061	0.0117753	3.40146	0.01	0.177996	0.0332196	0.01	0.0328622	5	0.5082	0.383985	1.36151	0	3.95474	12.2355	0.128851	0	0.36748	0	0.0526198	20.2727	0.0013929	0.01252	0.00569544	0.992933	3.16387	1024.87	0.386119	0.045263
56	0.334669	2.18774	4.94727	0.697412	2.83208	2.14269	0.529853	1.32631	3.72357	0.193142	0	1	3.61602	3.49174	0.000347654	0	0.016607	0.000536054	0.0117764	3.39737	0.01	0.178299	0.0331686	0.01	0.0328111	5	0.508256	0.38398	1.36192	0	3.9547	12.2897	0.12909	0	0.36748	0	0.0527316	20.3498	0.00139289	0.0125201	0.00569616	0.993068	3.15989	1025.2	0.385951	0.0453044
57	0.334732	2.18809	4.94716	0.69948	2.8373	2.14454	0.530949	1.32613	3.72478	0.193562	0	1	3.61603	3.49169	0.000347716	0	0.0166069	0.000536047	0.0117776	3.39338	0.01	0.178598	0.0331186	0.01	0.0327611	5	0.508313	0.383974	1.36232	0	3.95465	12.3435	0.129326	0	0.36748	0	0.0528422	20.4263	0.00139288	0.0125202	0.00569686	0.993201	3.15598	1025.52	0.385786	0.0453454
58	0.334795	2.18843	4.94705	0.701517	2.84245	2.14635	0.532036	1.32595	3.72598	0.19398	0	1	3.61603	3.49163	0.000347777	0	0.0166068	0.000536041	0.0117787	3.38947	0.01	0.178893	0.0330698	0.01	0.0327123	5	0.508368	0.383969	1.36272	0	3.95461	12.3967	0.129559	0	0.36748	0	0.0529517	20.502	0.00139287	0.0125203	0.00569756	0.993332	3.15213	1025.83	0.385624	0.0453859
59	0.334857	2.18876	4.94694	0.703526	2.84754	2.14813	0.533115	1.32578	3.72716	0.194395	0	1	3.61604	3.49158	0.000347837	0	0.0166067	0.000536034	0.0117797	3.38564	0.01	0.179184	0.033022	0.01	0.0326645	5	0.508423	0.383964	1.36312	0	3.95457	12.4494	0.12979	0	0.36748	0	0.0530601	20.5771	0.00139286	0.0125204	0.00569825	0.993461	3.14834	1026.14	0.385465	0.0454261
