Time	[IL6]	[IFN]	[(IFN-R-JAK)2*-STAT3C]	[(IFN-R-JAK)2*-STAT3C*]	[STAT1C*-STAT3C*]	[STAT1N*-STAT3N*]	[gp80]	[IL6-gp80]	[gp130]	[JAK(IFN)]	[gp130-JAK]	[IL6-gp80-gp130-JAK]	[(IL6-gp80-gp130-JAK)2]	[(IL6-gp80-gp130-JAK)2*]	[(IL6-gp80-gp130-JAK)2*-STAT3C]	[STAT3C]	[STAT3C*]	[(IL6-gp80-gp130-JAK)2*-STAT3C*]	[(STAT3C*)2]	[(IL6-gp80-gp130-JAK)2*-SOCS3]	[(IL6-gp80-gp130-JAK)2*-SHP2]	[STAT3C-STAT3C*]	[SOCS3]	[PP1]	[PP1-STAT3C*]	[PP1-(STAT3C*)2]	[mRNA-SOCS3C]	[Grb2]	[(IL6-gp80-gp130-JAK)2*-SHP2*]	[(IL6-gp80-gp130-JAK)2*-SHP2*-Grb2]	[SOS]	[SHP2*-Grb2]	[(IL6-gp80-gp130-JAK)2*-SHP2*-Grb2-SOS]	[Ras-GDP]	[(IL6-gp80-gp130-JAK)2*-SHP2*-Grb2-SOS-Ras-GDP]	[Ras-GTP]	[Raf]	[Raf-Ras-GTP]	[Ras-GTP*]	[Raf*]	[(IL6-gp80-gp130-JAK)2*-SHP2*-Grb2-SOS-Ras-GTP]	[SHP2*-Grb2-SOS]	[Grb2-SOS]	[SHP2*]	[Phosp1]	[Raf*-Phosp1]	[MEK]	[MEK-Raf*]	[MEK-P]	[MEK-P-Raf*]	[MEK-PP]	[MEK-PP-Phosp2]	[Phosp2]	[MEK-P-Phosp2]	[ERK]	[ERK-MEK-PP]	[ERK-P]	[ERK-P-MEK-PP]	[ERK-PP]	[Phosp3]	[ERK-PP-Phosp3]	[ERK-P-Phosp3]	[PP2-STAT1N*-STAT3N*]	[PP1-STAT1C*-STAT3C*]	[CEBPi]	[CEBP]	[CEBPn]	[R-JAK]	[IFN-R-JAK]	[(IFN-R-JAK)2]	[(IFN-R-JAK)2*]	[(IFN-R-JAK)2*-STAT1C]	[STAT1C]	[STAT1C*]	[(IFN-R-JAK)2*-STAT1C*]	[(STAT1C*)2]	[(IFN-R-JAK)2*-SHP2]	[PP1-STAT1C*]	[STAT1C-STAT1C*]	[mRNA-SOCS1C]	[SOCS1]	[(IFN-R-JAK)2*-SOCS1]	[PP1-(STAT1C*)2]	[(IFN-R-JAK)2*-STAT1C-SOCS1]	[(IFN-R-JAK)2*-STAT1C-SHP2-SOCS1]	[(IFN-R-JAK)2*-STAT1C-SHP2]	[R]	[SHP2]	[STAT3*]	[STAT1*]	[(IL6-gp80-gp130-JAK)2*-STAT1]	[(IL6-gp80-gp130-JAK)2*-STAT1*]	[JAK(IL-6)]	[(STAT1N*)2]	[PP2-STAT1N*]	[STAT1N*]	[STAT1N]	[mRNA-SOCS1N]	[PP2-(STAT1N*)2]	[STAT1N-STAT1N*]	[(STAT3N*)2]	[PP2]	[PP2-(STAT3N*)2]	[STAT3N*]	[PP2-STAT3N*]	[STAT3N]	[STAT3N-STAT3N*]	[mRNA-SOCS3N]
10	0	0.1	3.29006e-07	9.12175e-16	6.28527e-13	2.35518e-15	8	0	0.8	2.22371	5.37207	0	0	0	0	1000	2.56928e-06	0	1.103e-13	0	0	6.76594e-10	1.31541e-25	50	1.68552e-07	4.09224e-15	1.99396e-23	53.2887	0	0	2.28871	0	0	19000	0	0	67	0	0	0	0	0	31.7113	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	9.51638e-17	2.27486e-14	40493	0	0	9.61837	0.153888	0.00198974	4.06908e-06	2.04095e-05	1000	1.50349e-05	2.11346e-13	3.58435e-12	6.26957e-07	9.44504e-07	3.79084e-09	1.37921e-22	8.99324e-25	9.31767e-33	1.26649e-13	2.55552e-32	1.09583e-33	2.44625e-37	2.22371	100	2.73851e-06	1.59832e-05	0	0	6.62793	1.02674e-14	2.88663e-16	7.74151e-15	1.25417e-18	1.96082e-19	4.11074e-16	1.28897e-18	4.24094e-16	60	1.75538e-17	2.40375e-16	9.10946e-18	2.02707e-19	5.69335e-20	2.80228e-20
11	0	0.1	4.66044e-07	2.05184e-15	1.74967e-12	7.21672e-15	8	0	0.8	2.21266	5.61741	0	0	0	0	1000	4.02989e-06	0	2.98112e-13	0	0	1.14894e-09	5.53532e-25	50	2.86135e-07	1.21058e-14	7.55105e-23	52.8452	0	0	1.84524	0	0	19000	0	0	67	0	0	0	0	0	32.1548	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	3.19844e-16	6.94277e-14	40493	0	0	9.61341	0.168719	0.00256601	5.74573e-06	2.96237e-05	1000	2.42467e-05	5.17346e-13	1.02761e-11	9.55525e-07	1.65412e-06	6.64094e-09	5.29917e-22	3.84507e-24	5.90078e-32	3.98705e-13	1.74213e-31	8.23584e-33	2.04508e-36	2.21266	100	4.31717e-06	2.59075e-05	0	0	6.38259	3.17378e-14	1.09036e-15	2.65976e-14	5.17633e-18	6.76223e-19	1.39728e-15	4.82202e-18	1.25966e-15	60	5.71015e-17	8.09684e-16	3.36412e-17	7.6777e-19	2.03063e-19	9.5392e-20
12	0	0.1	6.37136e-07	4.25355e-15	4.40087e-12	1.98033e-14	8	0	0.8	2.20528	5.83284	0	0	0	0	1000	6.04784e-06	0	7.31158e-13	0	0	1.85082e-09	2.02888e-24	50	4.60796e-07	3.22123e-14	2.51269e-22	52.4991	0	0	1.49909	0	0	19000	0	0	67	0	0	0	0	0	32.5009	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	9.54121e-16	1.89743e-13	40493	0	0	9.60509	0.183094	0.00321372	7.83454e-06	4.13418e-05	1000	3.7259e-05	1.15545e-12	2.6505e-11	1.39444e-06	2.73577e-06	1.09868e-08	1.7836e-21	1.42727e-23	3.12114e-31	1.11898e-12	9.8411e-31	5.083e-32	1.39164e-35	2.20528	100	6.51049e-06	4.00058e-05	0	0	6.16716	8.75122e-14	3.60828e-15	8.07891e-14	1.86021e-17	2.06146e-18	4.19812e-15	1.58009e-17	3.36566e-15	60	1.65625e-16	2.42424e-15	1.09459e-16	2.55765e-18	6.40151e-19	2.87863e-19
13	0	0.1	8.45677e-07	8.23907e-15	1.01729e-11	4.95686e-14	8	0	0.8	2.20015	6.02201	0	0	0	0	1000	8.74833e-06	0	1.65375e-12	0	0	2.85322e-09	6.62657e-24	50	7.10156e-07	7.84625e-14	7.50598e-22	52.228	0	0	1.22804	0	0	19000	0	0	67	0	0	0	0	0	32.772	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	2.57681e-15	4.72984e-13	40493	0	0	9.59482	0.197027	0.00392885	1.0376e-05	5.58478e-05	1000	5.50038e-05	2.39118e-12	6.2612e-11	1.96263e-06	4.31453e-06	1.7332e-08	5.37667e-21	4.70925e-23	1.42126e-30	2.85421e-12	4.75205e-30	2.66133e-31	7.97416e-35	2.20015	100	9.46135e-06	5.93358e-05	0	0	5.97799	2.19437e-13	1.06954e-14	2.21484e-13	5.95505e-17	5.67133e-18	1.13824e-14	4.63682e-17	8.23228e-15	60	4.36549e-16	6.57884e-15	3.20421e-16	7.65475e-18	1.82037e-18	7.85645e-19
14	0	0.1	1.09481e-06	1.507e-14	2.18962e-11	1.14795e-13	8	0	0.8	2.19641	6.18812	0	0	0	0	1000	1.22669e-05	0	3.49271e-12	0	0	4.23792e-09	1.9629e-23	50	1.05451e-06	1.77337e-13	2.04645e-21	52.0153	0	0	1.01529	0	0	19000	0	0	67	0	0	0	0	0	32.9847	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	6.39777e-15	1.09081e-12	40493	0	0	9.58347	0.21053	0.00470693	1.34075e-05	7.34079e-05	1000	7.85015e-05	4.64022e-12	1.37336e-10	2.67911e-06	6.53679e-06	2.62664e-08	1.47662e-20	1.40648e-22	5.7029e-30	6.71597e-12	2.00957e-29	1.21254e-30	3.95048e-34	2.19641	100	1.33257e-05	8.50648e-05	0	0	5.81188	5.07873e-13	2.88851e-14	5.56857e-13	1.72849e-16	1.43073e-17	2.82985e-14	1.23958e-16	1.86847e-14	60	1.06102e-15	1.64281e-14	8.57654e-16	2.09232e-17	4.74347e-18	1.96952e-18
15	0	0.1	1.38744e-06	2.62474e-14	4.43396e-11	2.48741e-13	8	0	0.8	2.19352	6.33398	0	0	0	0	1000	1.67485e-05	0	6.95598e-12	0	0	6.09736e-09	5.34749e-23	50	1.51678e-06	3.75906e-13	5.15955e-21	51.848	0	0	0.847966	0	0	19000	0	0	67	0	0	0	0	0	33.152	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	1.47805e-14	2.35367e-12	40493	0	0	9.57154	0.223619	0.00554325	1.69637e-05	9.42684e-05	1000	0.000108853	8.52336e-12	2.82757e-10	3.56261e-06	9.57009e-06	3.84654e-08	3.74475e-20	3.85741e-22	2.05286e-29	1.47495e-11	7.58847e-29	4.905e-30	1.72808e-33	2.19352	100	1.82714e-05	0.000118462	0	0	5.66602	1.09771e-12	7.20415e-14	1.30023e-12	4.61309e-16	3.35168e-17	6.53306e-14	3.05989e-16	3.97754e-14	60	2.40561e-15	3.82003e-14	2.12607e-15	5.29137e-17	1.14681e-17	4.59092e-18
16	0	0.1	1.7262e-06	4.38224e-14	8.51752e-11	5.08858e-13	8	0	0.8	2.19117	6.46205	0	0	0	0	1000	2.23464e-05	0	1.31671e-11	0	0	8.53429e-09	1.35494e-22	50	2.12245e-06	7.53771e-13	1.21566e-20	51.7162	0	0	0.716171	0	0	19000	0	0	67	0	0	0	0	0	33.2838	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	3.20837e-14	4.79451e-12	40493	0	0	9.55936	0.23631	0.00643305	2.1076e-05	0.000118656	1000	0.000147233	1.49315e-11	5.51198e-10	4.63143e-06	1.36028e-05	5.46885e-08	8.86483e-20	9.82745e-22	6.72917e-29	3.05195e-11	2.59801e-28	1.79028e-29	6.78753e-33	2.19117	100	2.44775e-05	0.000160891	0	0	5.53795	2.23661e-12	1.67735e-13	2.84811e-12	1.14486e-15	7.36528e-17	1.41477e-13	7.05048e-16	8.01013e-14	60	5.13541e-15	8.35117e-14	4.93156e-15	1.25106e-16	2.5983e-17	1.0049e-17
17	0	0.1	2.11348e-06	7.0519e-14	1.56261e-10	9.89994e-13	8	0	0.8	2.18916	6.57452	0	0	0	0	1000	2.92215e-05	0	2.38418e-11	0	0	1.16613e-08	3.22217e-22	50	2.8994e-06	1.43983e-12	2.69965e-20	51.6122	0	0	0.612237	0	0	19000	0	0	67	0	0	0	0	0	33.3878	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	6.59527e-14	9.28784e-12	40493	0	0	9.54711	0.248621	0.00737157	2.57728e-05	0.000146776	1000	0.00019488	2.51e-11	1.02452e-09	5.90321e-06	1.88433e-05	7.57767e-08	1.9761e-19	2.34755e-21	2.03231e-28	5.99535e-11	8.1652e-28	5.97252e-29	2.42639e-32	2.18916	100	3.21328e-05	0.000213802	0	0	5.42548	4.3287e-12	3.67783e-13	5.90066e-12	2.66629e-15	1.53068e-16	2.89752e-13	1.52974e-15	1.53671e-13	60	1.04004e-14	1.72982e-13	1.07932e-14	2.78879e-16	5.56173e-17	2.08202e-17
18	0	0.1	2.55145e-06	1.09866e-13	2.7531e-10	1.84282e-12	8	0	0.8	2.18737	6.67327	0	0	0	0	1000	3.75414e-05	0	4.15162e-11	0	0	1.56005e-08	7.24656e-22	50	3.87788e-06	2.6352e-12	5.69091e-20	51.5302	0	0	0.530196	0	0	19000	0	0	67	0	0	0	0	0	33.4698	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	1.29232e-13	1.72141e-11	40493	0	0	9.53492	0.260567	0.00835421	3.10798e-05	0.000178817	1000	0.000253094	4.06926e-11	1.82628e-09	7.39477e-06	2.55194e-05	1.02649e-07	4.17827e-19	5.29888e-21	5.71195e-28	1.12519e-10	2.38026e-27	1.84112e-28	7.98467e-32	2.18737	100	4.14353e-05	0.000278721	0	0	5.32673	8.00793e-12	7.64976e-13	1.16411e-11	5.8717e-15	3.02896e-16	5.65046e-13	3.14822e-15	2.82478e-13	60	2.0108e-14	3.41688e-13	2.24432e-14	5.90247e-16	1.13236e-16	4.11022e-17
19	0	0.1	3.04202e-06	1.66336e-13	4.67985e-10	3.29859e-12	8	0	0.8	2.18572	6.75999	0	0	0	0	1000	4.74796e-05	0	6.98305e-11	0	0	2.04827e-08	1.55095e-21	50	5.09027e-06	4.64342e-12	1.1455e-19	51.4654	0	0	0.465389	0	0	19000	0	0	67	0	0	0	0	0	33.5346	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	2.42689e-13	3.06788e-11	40493	0	0	9.52284	0.272163	0.00937654	3.70199e-05	0.000214946	999.999	0.000323225	6.38932e-11	3.13723e-09	9.12205e-06	3.38768e-05	1.36298e-07	8.4304e-19	1.13748e-20	1.5061e-27	2.02807e-10	6.49145e-27	5.29152e-28	2.44155e-31	2.18572	100	5.2591e-05	0.000357246	0	0	5.24001	1.42346e-11	1.51847e-12	2.19925e-11	1.23046e-14	5.73928e-16	1.05512e-12	6.18277e-15	4.99934e-13	60	3.73079e-14	6.47083e-13	4.45955e-14	1.19306e-15	2.20519e-16	7.77415e-17
20	0	0.1	3.5869e-06	2.45492e-13	7.70494e-10	5.70173e-12	8	0	0.8	2.18417	6.83613	0	0	0	0	1000	5.92145e-05	0	1.13878e-10	0	0	2.64469e-08	3.17575e-21	49.9999	6.57097e-06	7.90952e-12	2.21259e-19	51.4142	0	0	0.414165	0	0	19000	0	0	67	0	0	0	0	0	33.5858	0	67	0	41667	0	0	0	0	0	67	0	35000	0	0	0	0	16667	0	0	4.38796e-13	5.27975e-11	40493	0	0	9.51091	0.283426	0.0104343	4.36133e-05	0.000255312	999.999	0.000406669	9.75051e-11	5.21451e-09	1.11e-05	4.41783e-05	1.77786e-07	1.63141e-18	2.33472e-20	3.75141e-27	3.52614e-10	1.66815e-26	1.42867e-27	6.99214e-31	2.18417	100	6.5813e-05	0.000451037	0	0	5.16387	2.44194e-11	2.89115e-12	3.99757e-11	2.46673e-14	1.04623e-15	1.89557e-12	1.1646e-14	8.55337e-13	60	6.67195e-14	1.18019e-12	8.50889e-14	2.31434e-15	4.12715e-16	1.41533e-16
