Time	[_2PGA_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[Fru6P_g]	[Pi_g]	[O2_c]	[NADP_c]	[ATP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[NADPH_c]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
11	0.309413	4.96186	0.281023	1.80289	1.56038	0.381332	1.39947	3.26665	0.137406	0	1	3.61498	2.03962	3.50198	0.000336523	0	0.0166248	0.000537379	0.0115733	4.43489	0.01	0.110924	0.0566084	0.01	0.0562669	5	0.498022	0.385022	1.209	0	3.96099	4.28607	0.0823003	0	0.367504	0	0.0381362	9.94001	0.00139483	0.0124961	0.00556718	0.938457	4.1586	904.565	0.460906	0.0390105
12	0.309564	4.9629	0.234609	1.70827	1.45201	0.379446	1.40425	3.2745	0.137076	0	1	3.61489	2.02936	3.50216	0.000336335	0	0.0166385	0.00053805	0.0115699	4.81914	0.01	0.105117	0.0642734	0.01	0.063936	5	0.497845	0.385109	1.2154	0	3.96173	3.77218	0.0779854	0	0.367506	0	0.0370989	9.24449	0.00139606	0.0124942	0.005565	0.938091	4.31338	906.654	0.466392	0.0382746
13	0.308546	4.96363	0.19057	1.60196	1.33314	0.37801	1.41279	3.26275	0.137067	0	1	3.61468	2.01078	3.50229	0.000336192	0	0.0166469	0.00053853	0.0115672	5.28339	0.01	0.0985202	0.0746701	0.01	0.0743383	5	0.497707	0.385317	1.21559	0	3.9625	3.24427	0.073129	0	0.367511	0	0.0363722	8.59564	0.00139685	0.0124895	0.00556334	0.935051	4.47629	903.561	0.476428	0.0375035
14	0.306214	4.96402	0.149847	1.48202	1.20434	0.377236	1.4257	3.22952	0.137531	0	1	3.61443	1.98212	3.50237	0.000336116	0	0.0166537	0.000538954	0.0115659	5.85999	0.01	0.0911628	0.0892981	0.01	0.088974	5	0.497629	0.38557	1.20926	0	3.96337	2.70793	0.0676433	0	0.367516	0	0.0359793	7.98126	0.0013975	0.0124837	0.00556248	0.928952	4.64582	894.779	0.492176	0.0366343
15	0.302278	4.96406	0.113636	1.34606	1.06807	0.377159	1.44386	3.1707	0.138577	0	1	3.61416	1.94055	3.50238	0.00033611	0	0.01666	0.000539361	0.0115658	6.59103	0.01	0.0830525	0.110584	0.01	0.110271	5	0.497618	0.385842	1.19534	0	3.96442	2.17163	0.0614183	0	0.367522	0	0.0359369	7.38161	0.00139811	0.0124775	0.00556243	0.919041	4.81829	879.213	0.515587	0.0355775
16	0.296261	4.96379	0.0830379	1.1918	0.92897	0.377575	1.46822	3.07968	0.140249	0	1	3.61388	1.88213	3.50234	0.000336154	0	0.0166659	0.000539755	0.0115666	7.52742	0.01	0.0741696	0.142406	0.01	0.142108	5	0.497656	0.386123	1.17191	0	3.96579	1.6498	0.0543519	0	0.367529	0	0.0362116	6.76333	0.00139868	0.0124711	0.00556295	0.904113	4.98799	855.086	0.549645	0.0342101
17	0.287472	4.96334	0.0585429	1.0182	0.792507	0.378156	1.49943	2.94728	0.142568	0	1	3.6136	1.8018	3.50229	0.000336213	0	0.0166714	0.000540122	0.0115677	8.72287	0.01	0.064446	0.190906	0.01	0.190629	5	0.49771	0.386402	1.13596	0	3.96762	1.16419	0.0463985	0	0.367535	0	0.0366589	6.07781	0.00139921	0.0124647	0.00556364	0.882399	5.14895	819.922	0.598766	0.0323775
18	0.274946	4.96303	0.0396642	0.826087	0.661752	0.379011	1.53733	2.76202	0.145767	0	1	3.61333	1.69281	3.50221	0.000336301	0	0.0166761	0.000540447	0.0115694	10.2241	0.01	0.0537345	0.266313	0.01	0.266064	5	0.497787	0.38667	1.0834	0	3.9701	0.740323	0.0375998	0	0.367541	0	0.0369727	5.27082	0.00139966	0.0124586	0.00556469	0.851322	5.29858	770.578	0.669862	0.0298982
19	0.257249	4.96337	0.0251454	0.617716	0.533949	0.381902	1.58004	2.50948	0.150885	0	1	3.61308	1.54459	3.50196	0.000336603	0	0.0166799	0.000540721	0.0115751	12.0634	0.01	0.041795	0.388567	0.01	0.388355	5	0.498036	0.386919	1.00894	0	3.97346	0.40046	0.0280642	0	0.367547	0	0.0366271	4.29775	0.00140002	0.0124529	0.00556833	0.806788	5.44091	703.054	0.775372	0.0265369
20	0.231952	4.96546	0.0136156	0.396344	0.398237	0.393688	1.62053	2.16908	0.161513	0	1	3.61286	1.33873	3.50098	0.000337794	0	0.0166828	0.000540942	0.0115975	14.2543	0.01	0.0283483	0.606214	0.01	0.606054	5	0.499017	0.387139	0.904891	0	3.97809	0.160095	0.0179469	0	0.367552	0	0.034538	3.12575	0.0014003	0.0124479	0.00558264	0.741368	5.58815	611.497	0.940741	0.0219058
21	0.194444	4.97289	0.00442303	0.168766	0.230708	0.446613	1.63264	1.70687	0.193581	0	1	3.61267	1.04535	3.49716	0.000342469	0	0.016685	0.000541112	0.0116853	16.7577	0.01	0.013367	1.06895	0.01	1.06886	5	0.50284	0.387328	0.756579	0	3.9847	0.0284048	0.00757715	0	0.367556	0	0.0271132	1.69901	0.0014005	0.0124436	0.00563869	0.640108	5.76487	485.906	1.222	0.015304
22	0.137748	4.99744	4.49509e-05	0.00365055	0.0246869	0.433914	1.52621	1.09349	0.198203	0	1	3.61252	0.644597	3.4948	0.000339663	0	0.0166861	0.000541217	0.0116143	19.2567	0.01	0.000713129	2.1487	0.01	2.1487	5	0.505199	0.387483	0.533367	0	3.98998	2.17851e-05	0.000154788	0	0.36756	0	0.00255652	0.0945444	0.00140059	0.0124401	0.00558813	0.476885	5.97527	316.392	1.72919	0.0100235
23	0.0823767	5	2.81085e-08	1.56558e-06	0.00106368	3.19498e-06	1.22347	0.590546	1.46029e-06	0	1	3.61241	0.300988	3.99555	1.90194e-07	0	0.0166852	0.000541204	0.00179406	20.5794	0.01	1.74409e-06	3.20305	0.01	3.20305	5	0.00444687	0.387588	0.308375	0	3.99063	1.38359e-12	7.01654e-08	0	0.367562	0	1.09116e-06	4.28283e-05	0.00140049	0.0124376	4.20993e-06	0.301622	5.99894	174.697	2.37554	0.00936628
24	0.0453358	5	4.3985e-09	2.37791e-07	0.000432329	4.56061e-07	0.824811	0.302033	2.08429e-07	0	1	3.61237	0.10914	3.99992	2.38477e-08	0	0.0166829	0.000541101	0.00178701	20.248	0.01	3.00244e-07	4.40567	0.01	4.40567	5	7.99532e-05	0.387632	0.160464	0	3.9909	3.23626e-14	1.08336e-08	0	0.367563	0	1.46392e-07	6.11607e-06	0.00140025	0.0124366	6.59576e-07	0.173386	5.99957	90.4746	2.96605	0.00910021
25	0.0246968	5	1.69423e-09	7.14227e-08	0.000270281	1.76411e-07	0.477977	0.156755	8.06221e-08	0	1	3.61238	0.0318211	3.99997	9.19966e-09	0	0.0166797	0.000540932	0.00178621	18.6347	0.01	9.18192e-08	5.77739	0.01	5.77739	5	2.82796e-05	0.387619	0.0754759	0	3.99096	3.02464e-15	3.26039e-09	0	0.367563	0	4.31502e-08	1.81705e-06	0.00139993	0.0124368	2.55164e-07	0.0974374	5.99973	46.4905	3.3902	0.00903749
26	0.0146843	5	8.85896e-10	2.7583e-08	0.000196336	9.25108e-08	0.259089	0.0903642	4.22783e-08	0	1	3.61245	0.00861659	3.99999	4.8191e-09	0	0.0166756	0.0005407	0.00178598	16.3272	0.01	3.58868e-08	7.08676	0.01	7.08676	5	1.43839e-05	0.387553	0.0334143	0	3.99098	4.83401e-16	1.26132e-09	0	0.367562	0	1.64596e-08	6.9748e-07	0.00139952	0.0124383	1.33785e-07	0.0591947	5.9998	25.8849	3.63229	0.00901619
27	0.0100073	5	5.42765e-10	1.34835e-08	0.000154067	5.67743e-08	0.144824	0.0604419	2.59463e-08	0	1	3.61257	0.00256386	3.99999	2.95561e-09	0	0.0166704	0.000540397	0.00178587	13.8329	0.01	1.77207e-08	8.12362	0.01	8.12362	5	8.68079e-06	0.387435	0.0151216	0	3.99099	1.25162e-16	6.1759e-10	0	0.367559	0	7.96241e-09	3.39367e-07	0.001399	0.0124409	8.20916e-08	0.0408981	5.99985	16.614	3.75261	0.0090069
28	0.00769186	5	3.66346e-10	8.02792e-09	0.000126741	3.83552e-08	0.087642	0.0459711	1.75285e-08	0	1	3.61274	0.000908392	3.99999	1.99589e-09	0	0.0166638	0.000539999	0.00178582	11.4361	0.01	1.06287e-08	8.80831	0.01	8.80831	5	5.80296e-06	0.387262	0.00748091	0	3.991	4.70537e-17	3.68161e-10	0	0.367555	0	4.70442e-09	2.01385e-07	0.00139834	0.0124448	5.54521e-08	0.0316855	5.99987	12.2396	3.81145	0.00900184
29	0.00642827	5	2.63872e-10	5.49205e-09	0.000107635	2.76377e-08	0.057454	0.0381968	1.26306e-08	0	1	3.61298	0.00038035	4	1.43776e-09	0	0.016655	0.000539467	0.00178579	9.25286	0.01	7.30658e-09	9.1557	0.01	9.1557	5	4.15132e-06	0.387022	0.00412239	0	3.991	2.26409e-17	2.52073e-10	0	0.36755	0	3.20197e-09	1.37468e-07	0.00139745	0.0124502	3.99535e-08	0.0265978	5.99989	9.9616	3.84217	0.00899857
30	0.00567068	5	1.99121e-10	4.11697e-09	9.35309e-05	2.0857e-08	0.0401404	0.0335837	9.53172e-09	0	1	3.61331	0.000181343	4	1.08477e-09	0	0.0166428	0.000538732	0.00178577	7.32067	0.01	5.49448e-09	9.21492	0.01	9.21492	5	3.11639e-06	0.386692	0.00249971	0	3.991	1.27741e-17	1.8906e-10	0	0.367542	0	2.39223e-09	1.029e-07	0.00139623	0.0124576	3.0149e-08	0.0235229	5.99991	8.6463	3.85968	0.00899621
31	0.00518012	5	1.55615e-10	3.27893e-09	8.26931e-05	1.62964e-08	0.0294117	0.0306172	7.44752e-09	0	1	3.61377	9.51154e-05	4	8.47436e-10	0	0.0166255	0.000537684	0.00178576	5.64739	0.01	4.38534e-09	9.04122	0.01	9.04122	5	2.42524e-06	0.386233	0.00163506	0	3.99101	8.02186e-18	1.50629e-10	0	0.367532	0	1.90095e-09	8.18723e-08	0.00139447	0.012468	2.35553e-08	0.0215211	5.99992	7.8182	3.87049	0.00899438
32	0.00484285	5	1.24982e-10	2.72242e-09	7.41059e-05	1.30827e-08	0.0223354	0.0285874	5.97883e-09	0	1	3.61442	5.35349e-05	4	6.80226e-10	0	0.0165997	0.000536136	0.00178575	4.22948	0.01	3.64648e-09	8.68899	0.01	8.68899	5	1.94086e-06	0.385577	0.00113361	0	3.99101	5.43543e-18	1.25094e-10	0	0.367517	0	1.57578e-09	6.79281e-08	0.00139185	0.0124828	1.89092e-08	0.0201397	5.99993	7.26054	3.87761	0.00899288
33	0.00459992	5	1.02605e-10	2.32862e-09	6.71348e-05	1.07332e-08	0.0174388	0.0271304	4.9051e-09	0	1	3.61539	3.18042e-05	4	5.58005e-10	0	0.01656	0.000533758	0.00178574	3.05756	0.01	3.12243e-09	8.21179	0.01	8.21179	5	1.58827e-06	0.384606	0.000822167	0	3.99101	3.89696e-18	1.07018e-10	0	0.367495	0	1.34625e-09	5.80712e-08	0.00138778	0.0125048	1.55127e-08	0.019142	5.99993	6.86507	3.88253	0.00899162
34	0.00441838	5	8.57635e-11	2.03623e-09	6.13634e-05	8.96373e-09	0.0139246	0.0260443	4.09645e-09	0	1	3.61689	1.97322e-05	4	4.6597e-10	0	0.0164956	0.000529937	0.00178574	2.11735	0.01	2.73265e-09	7.66302	0.01	7.66302	5	1.32365e-06	0.383112	0.000617934	0	3.99101	2.91815e-18	9.35931e-11	0	0.367461	0	1.17614e-09	5.07586e-08	0.00138117	0.0125388	1.29549e-08	0.018395	5.99994	6.57308	3.88606	0.00899053
35	0.00427859	5	7.27714e-11	1.81088e-09	5.65067e-05	7.598e-09	0.0113308	0.0252096	3.4723e-09	0	1	3.6193	1.27002e-05	4	3.94944e-10	0	0.0163855	0.000523453	0.00178574	1.3893	0.01	2.4318e-09	7.09504	0.01	7.09504	5	1.12001e-06	0.380697	0.000478127	0	3.99101	2.26162e-18	8.32433e-11	0	0.367406	0	1.04523e-09	4.51261e-08	0.00136978	0.0125942	1.09807e-08	0.0178188	5.99994	6.35039	3.88866	0.00898956
36	0.00416822	5	6.25372e-11	1.63192e-09	5.23635e-05	6.522e-09	0.00937388	0.0245517	2.98057e-09	0	1	3.62346	8.44512e-06	4	3.38991e-10	0	0.0161825	0.000511655	0.00178573	0.848321	0.01	2.19262e-09	6.55569	0.01	6.55569	5	9.59965e-07	0.376543	0.000379081	0	3.99101	1.80204e-18	7.50226e-11	0	0.367309	0	9.41398e-10	4.06554e-08	0.00134863	0.0126908	9.42544e-09	0.0173634	5.99995	6.17597	3.89062	0.00898869
37	0.00407918	5	5.43289e-11	1.48626e-09	4.87873e-05	5.65935e-09	0.00787114	0.0240216	2.58633e-09	0	1	3.63124	5.78742e-06	4	2.94137e-10	0	0.0157665	0.000487956	0.00178573	0.464959	0.01	1.99777e-09	6.08286	0.01	6.08287	5	8.31919e-07	0.368763	0.000306933	0	3.99101	1.46873e-18	6.83307e-11	0	0.367123	0	8.56971e-10	3.70183e-08	0.00130477	0.0128768	8.17857e-09	0.0169956	5.99995	6.03622	3.89212	0.00898791
38	0.00400599	5	4.7641e-11	1.36523e-09	4.56693e-05	4.95729e-09	0.00670004	0.0235864	2.26549e-09	0	1	3.64787	4.08112e-06	4	2.57636e-10	0	0.0147557	0.000432646	0.00178573	0.208859	0.01	1.83574e-09	5.69939	0.01	5.69939	5	7.27897e-07	0.352127	0.000253151	0	3.99101	1.21968e-18	6.27696e-11	0	0.366702	0	7.86882e-10	3.39973e-08	0.00119627	0.0132983	7.16386e-09	0.016693	5.99995	5.92202	3.8933	0.00898719
39	0.0039448	5	4.21163e-11	1.26289e-09	4.29266e-05	4.37841e-09	0.00577581	0.0232229	2.00094e-09	0	1	3.69185	2.9588e-06	4	2.27541e-10	0	0.0116161	0.000280343	0.00178573	0.0571534	0.01	1.69863e-09	5.41235	0.01	5.41235	5	6.42262e-07	0.308148	0.000212272	0	3.99101	1.02877e-18	5.80668e-11	0	0.365393	0	7.27659e-10	3.14437e-08	0.000856427	0.0146069	6.32721e-09	0.0164397	5.99996	5.82705	3.89422	0.00898653
40	0.00389286	5	3.74969e-11	1.17506e-09	4.04951e-05	3.89557e-09	0.00503893	0.0229146	1.78028e-09	0	1	3.80901	2.2059e-06	4	2.0244e-10	0	0.00460615	5.32918e-05	0.00178573	0.0048583	0.01	1.58089e-09	5.21984	0.01	5.21984	5	5.70934e-07	0.190995	0.000180695	0	3.99101	8.79206e-19	5.40301e-11	0	0.359168	0	6.76861e-10	2.92526e-08	0.00020643	0.0208321	5.62938e-09	0.0162247	5.99996	5.74681	3.89496	0.00898591
41	0.00384814	5	3.35938e-11	1.09872e-09	3.83246e-05	3.48866e-09	0.0044456	0.0226495	1.59432e-09	0	1	3.93085	1.68681e-06	4	1.81288e-10	0	0.00288042	2.17501e-05	0.00178572	0.00103112	0.01	1.47852e-09	5.10939	0.01	5.10939	5	5.10897e-07	0.0691506	0.000155946	0	3.99101	7.59822e-19	5.05215e-11	0	0.332953	0	6.32736e-10	2.73487e-08	9.86584e-05	0.0470473	5.0413e-09	0.0160394	5.99996	5.67803	3.89555	0.00898534
42	0.00380917	5	3.0267e-11	1.03173e-09	3.63751e-05	3.14248e-09	0.00396088	0.0224185	1.43612e-09	0	1	3.9766	1.31686e-06	4	1.63294e-10	0	0.00280124	1.93281e-05	0.00178572	0.000562652	0.01	1.38863e-09	5.05054	0.01	5.05054	5	4.5988e-07	0.0233951	0.000136212	0	3.99102	6.63051e-19	4.74421e-11	0	0.271566	0	5.94026e-10	2.56782e-08	9.26136e-05	0.108434	4.54099e-09	0.0158778	5.99996	5.61831	3.89604	0.0089848
43	0.00377484	5	2.74095e-11	9.72452e-10	3.46144e-05	2.84547e-09	0.00355915	0.0222152	1.30038e-09	0	1	3.98866	1.04664e-06	4	1.47856e-10	0	0.00277934	1.86791e-05	0.00178572	0.000449819	0.01	1.30909e-09	5.01974	0.01	5.01974	5	4.16152e-07	0.0113389	0.000120214	0	3.99102	5.83569e-19	4.47175e-11	0	0.208792	0	5.5979e-10	2.42004e-08	9.08717e-05	0.171208	4.11175e-09	0.0157354	5.99997	5.56587	3.89644	0.00898429
44	0.00374432	5	2.49376e-11	9.19634e-10	3.30163e-05	2.58869e-09	0.00322202	0.0220345	1.18304e-09	0	1	3.99315	8.45039e-07	4	1.3451e-10	0	0.0027705	1.84185e-05	0.00178572	0.000408599	0.01	1.23818e-09	5.00376	0.01	5.00376	5	3.78384e-07	0.00685282	0.000107055	0	3.99102	5.17519e-19	4.22895e-11	0	0.161229	0	5.29292e-10	2.28838e-08	9.01193e-05	0.218771	3.74066e-09	0.0156087	5.99997	5.51938	3.89678	0.00898382
45	0.00371696	5	2.27852e-11	8.72266e-10	3.15592e-05	2.36518e-09	0.00293596	0.0218726	1.08089e-09	0	1	3.99532	6.91825e-07	4	1.22893e-10	0	0.00276528	1.82736e-05	0.00178572	0.000388541	0.01	1.17457e-09	4.9955	0.01	4.9955	5	3.45536e-07	0.00468419	9.60942e-05	0	3.99102	4.62051e-19	4.0112e-11	0	0.127227	0	5.0195e-10	2.17032e-08	8.96629e-05	0.252773	3.41767e-09	0.0154952	5.99997	5.47781	3.89706	0.00898336
46	0.00369226	5	2.08998e-11	8.29539e-10	3.02254e-05	2.16943e-09	0.00269087	0.0217266	9.91433e-10	0	1	3.99652	5.73445e-07	4	1.1272e-10	0	0.00276172	1.81805e-05	0.00178572	0.000377222	0.01	1.11719e-09	4.99126	0.01	4.99126	5	3.16788e-07	0.00347817	8.68606e-05	0	3.99102	4.15028e-19	3.81478e-11	0	0.1033	0	4.77293e-10	2.06384e-08	8.93486e-05	0.2767	3.13478e-09	0.0153926	5.99997	5.44037	3.89731	0.00898293
47	0.00366982	5	1.92389e-11	7.908e-10	2.89997e-05	1.99702e-09	0.00247904	0.0215939	9.12639e-10	0	1	3.99725	4.80619e-07	4	1.03759e-10	0	0.00275912	1.81158e-05	0.00178572	0.000370269	0.01	1.06514e-09	4.98908	0.01	4.98908	5	2.91485e-07	0.00275153	7.90041e-05	0	3.99102	3.74822e-19	3.63668e-11	0	0.0865633	0	4.54943e-10	1.96731e-08	8.91181e-05	0.293437	2.88562e-09	0.0152994	5.99997	5.40641	3.89752	0.00898252
48	0.00364932	5	1.77684e-11	7.5551e-10	2.78695e-05	1.84437e-09	0.00229453	0.0214727	8.42878e-10	0	1	3.99771	4.06856e-07	4	9.58265e-11	0	0.00275715	1.80687e-05	0.00178572	0.000365764	0.01	1.01772e-09	4.98797	0.01	4.98797	5	2.69097e-07	0.00229176	7.22592e-05	0	3.99102	3.40179e-19	3.47443e-11	0	0.0748854	0	4.34587e-10	1.87938e-08	8.89423e-05	0.305115	2.66503e-09	0.0152143	5.99997	5.37544	3.89771	0.00898213
49	0.00363049	5	1.64602e-11	7.23224e-10	2.68241e-05	1.70858e-09	0.00213267	0.0213615	7.80822e-10	0	1	3.99801	3.47531e-07	4	8.87698e-11	0	0.00275561	1.80331e-05	0.00178572	0.000362737	0.01	9.74334e-10	4.9874	0.01	4.9874	5	2.49193e-07	0.00199162	6.64215e-05	0	3.99102	3.10119e-19	3.32599e-11	0	0.066747	0	4.15968e-10	1.79895e-08	8.88044e-05	0.313253	2.4688e-09	0.015136	5.99997	5.34705	3.89787	0.00898176
50	0.00361312	5	1.52914e-11	6.93572e-10	2.58543e-05	1.58725e-09	0.00198976	0.0212589	7.25374e-10	0	1	3.99821	2.99295e-07	4	8.24649e-11	0	0.00275437	1.80055e-05	0.00178572	0.000360648	0.01	9.34478e-10	4.98712	0.01	4.98712	5	2.31419e-07	0.00179158	6.13318e-05	0	3.99102	2.83867e-19	3.18966e-11	0	0.0610777	0	3.98871e-10	1.72509e-08	8.86939e-05	0.318922	2.29347e-09	0.0150638	5.99997	5.32088	3.89801	0.0089814
51	0.00359703	5	1.42427e-11	6.66242e-10	2.49522e-05	1.4784e-09	0.00186285	0.0211638	6.7563e-10	0	1	3.99834	2.5968e-07	4	7.68086e-11	0	0.00275337	1.79836e-05	0.00178572	0.000359176	0.01	8.97736e-10	4.98698	0.01	4.98698	5	2.1548e-07	0.00165637	5.68647e-05	0	3.99102	2.60808e-19	3.06401e-11	0	0.0571281	0	3.83115e-10	1.65701e-08	8.86039e-05	0.322872	2.13618e-09	0.0149969	5.99998	5.29667	3.89814	0.00898106
52	0.00358207	5	1.32984e-11	6.40971e-10	2.41109e-05	1.38037e-09	0.00174954	0.0210755	6.30832e-10	0	1	3.99844	2.26848e-07	4	7.17148e-11	0	0.00275254	1.7966e-05	0.00178572	0.00035812	0.01	8.63757e-10	4.98691	0.01	4.98691	5	2.01133e-07	0.00156407	5.292e-05	0	3.99102	2.40442e-19	2.94781e-11	0	0.0543755	0	3.68549e-10	1.59407e-08	8.85297e-05	0.325624	1.99453e-09	0.0149347	5.99998	5.27418	3.89825	0.00898073
53	0.0035681	5	1.24449e-11	6.17532e-10	2.33244e-05	1.29178e-09	0.00164787	0.020993	5.90347e-10	0	1	3.9985	1.99407e-07	4	6.71115e-11	0	0.00275185	1.79516e-05	0.00178572	0.000357351	0.01	8.32238e-10	4.98688	0.01	4.98688	5	1.88173e-07	0.00150061	4.9417e-05	0	3.99102	2.22368e-19	2.84004e-11	0	0.0524557	0	3.55041e-10	1.5357e-08	8.84677e-05	0.327544	1.86652e-09	0.0148767	5.99998	5.25322	3.89835	0.00898041
