Time	[L_WCC]	[L_WCCVVDn]	[Period]	[T]	[VVDc]	[VVDn]	[WC1c]	[WC2c]	[X]	[Y]	[active_hypoWCCn]	[c_hypoFRQ_to_hyperFRQ]	[cycle]	[degraded_L_WCCCVVDn]	[degraded_VVDc]	[degraded_VVDn]	[degraded_WC1c]	[degraded_WC2c]	[degraded_active_hypoWCCn]	[degraded_frq_mRNA]	[degraded_hyperFFCn]	[degraded_hyperFRQc]	[degraded_hyperWCCc]	[degraded_hyperWCCn]	[degraded_vvd_mRNA]	[degraded_wc1_mRNA]	[degraded_wc2_mRNA]	[frq_gene]	[frq_level_A]	[frq_mRNA]	[hyperFRQc]	[hyperFRQn]	[hyperWCCc]	[hyperWCCn]	[hypoFRQc]	[hypoFRQn]	[hypoWCCc]	[hypoWCCn]	[n_hypoFRQ_to_hyperFRQ]	[time]	[total_FRQ]	[total_FRQc]	[total_FRQn]	[total_VVD]	[total_WC1]	[total_WC2]	[total_WCCn]	[total_hyper_FRQ]	[total_hypoWCC]	[total_hypo_FRQ]	[vvd_gene]	[vvd_mRNA]	[wc1_gene]	[wc1_mRNA]	[wc2_gene]	[wc2_mRNA]	[line]	[line2]	[line3]	[total_hyperWCC]	[hyper_hypo_WCC]
37	0	0	0	37	0	0	0.0399501	6.0932	0	0	0.0689593	2.36851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.637719	0.405445	0.0721008	0.397517	0.144141	0.960299	0.43407	0.383952	0.555398	6.02032	0	1.87191	1.36574	0.506171	0	1.58992	7.64317	0.768498	0.477546	0.93935	1.39437	1	0	1	0.531412	1	0.634286	1.8728	0.985	1.67	0.541658	0.57663
38	0	0	0	38	0	0	0.0397389	6.0954	0	0	0.0631755	2.24297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.49125	0.411337	0.0741746	0.417525	0.176318	0.922616	0.440807	0.388975	0.504951	5.94282	0	1.84893	1.33395	0.514981	0	1.59068	7.64635	0.744445	0.485511	0.893927	1.36342	1	0	1	0.528619	1	0.635341	1.8728	0.985	1.67	0.593843	0.664309
39	0	0	0	39	0	0	0.0395079	6.09892	0	0	0.0577787	2.10657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.364528	0.412188	0.0756366	0.439834	0.198163	0.8683	0.442078	0.396145	0.464286	5.84477	0	1.7982	1.28049	0.517715	0	1.59571	7.65513	0.720228	0.487824	0.860431	1.31038	1	0	1	0.525822	1	0.636219	1.8728	0.985	1.67	0.637997	0.741485
40	0	0	0	40	0	0	0.0392934	6.1034	0	0	0.0536339	1.97361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.274593	0.407886	0.0763236	0.4612	0.206607	0.805007	0.437714	0.404626	0.439192	5.73497	0	1.72693	1.21289	0.514037	0	1.60455	7.66866	0.699432	0.48421	0.843817	1.24272	1	0	1	0.523479	1	0.63678	1.8728	0.985	1.67	0.667807	0.791412
41	0	0	0	41	0	0	0.0391269	6.10832	0	0	0.0512732	1.85595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.223314	0.399016	0.076163	0.478791	0.201906	0.740552	0.428296	0.413331	0.431703	5.62341	0	1.64403	1.13957	0.504459	0	1.61613	7.68533	0.684882	0.475179	0.845034	1.16885	1	0	1	0.521925	1	0.636961	1.8728	0.985	1.67	0.680697	0.805526
42	0	0	0	42	0	0	0.0390279	6.11311	0	0	0.0508561	1.76129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.205433	0.386625	0.0751817	0.490688	0.186422	0.680957	0.414933	0.421182	0.440871	5.51908	0	1.5577	1.06758	0.490115	0	1.62905	7.70313	0.67815	0.461807	0.862054	1.09589	1	0	1	0.521315	1	0.63677	1.8728	0.985	1.67	0.67711	0.785462
43	0	0	0	43	0	0	0.0390026	6.11726	0	0	0.0522322	1.69461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.216329	0.371972	0.0734914	0.496032	0.163655	0.630348	0.398987	0.427303	0.463607	5.42903	0	1.4748	1.00232	0.472478	0	1.64183	7.72009	0.679494	0.445463	0.89091	1.02934	1	0	1	0.521637	1	0.636263	1.8728	0.985	1.67	0.659687	0.740465
44	0	0	0	44	0	0	0.0390459	6.12037	0	0	0.055025	1.66039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.254184	0.356356	0.0712628	0.494965	0.137529	0.591689	0.381884	0.431141	0.495471	5.35881	0	1.40119	0.948046	0.453147	0	1.65318	7.7345	0.688026	0.427619	0.926612	0.973573	1	0	1	0.522748	1	0.635532	1.8728	0.985	1.67	0.632495	0.682589
45	0	0	0	45	0	0	0.0391443	6.12222	0	0	0.0587334	1.66351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.318017	0.341051	0.0687006	0.48842	0.111572	0.567343	0.365032	0.4325	0.531723	5.31338	0	1.34213	0.908394	0.433733	0	1.66209	7.74516	0.702028	0.409752	0.964223	0.932375	1	0	1	0.524421	1	0.634682	1.8728	0.985	1.67	0.599992	0.622255
46	0	0	0	46	0	0	0.0392799	6.12273	0	0	0.0628509	1.7082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.404538	0.327265	0.0660252	0.477782	0.0882281	0.559032	0.349769	0.431511	0.568334	5.29751	0	1.30209	0.886297	0.415795	0	1.66799	7.75144	0.719413	0.39329	0.999845	0.908802	1	0	1	0.526403	1	0.63381	1.8728	0.985	1.67	0.56601	0.566098
47	0	0	0	47	0	0	0.0394348	6.12198	0	0	0.06696	1.79502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.506535	0.316083	0.0634584	0.464528	0.0686867	0.567374	0.337301	0.428536	0.60251	5.31531	0	1.28422	0.883457	0.400759	0	1.67065	7.7532	0.738156	0.379541	1.03105	0.904675	1	0	1	0.528464	1	0.632993	1.8728	0.985	1.67	0.533214	0.517159
48	0	0	0	48	0	0	0.039594	6.12015	0	0	0.0707726	1.91795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.614022	0.308375	0.0612083	0.449965	0.0531744	0.591448	0.328598	0.424053	0.632644	5.36852	0	1.28963	0.899822	0.389807	0	1.6702	7.75076	0.756591	0.369583	1.0567	0.920046	1	0	1	0.530434	1	0.632282	1.8728	0.985	1.67	0.503139	0.476143
49	0	0	0	49	0	0	0.0397467	6.11745	0	0	0.0741208	2.06368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.717022	0.304704	0.0594535	0.435119	0.0413946	0.628813	0.324301	0.418564	0.657998	5.4547	0	1.31727	0.933517	0.383754	0	1.66694	7.74465	0.773513	0.364158	1.07656	0.953114	1	0	1	0.532206	1	0.631705	1.8728	0.985	1.67	0.476513	0.442625
50	0	0	0	50	0	0	0.0398859	6.11414	0	0	0.0769242	2.21431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.80788	0.305276	0.0583273	0.420735	0.0328945	0.675977	0.324657	0.412521	0.678339	5.56612	0	1.36424	0.981253	0.382984	0	1.6613	7.73556	0.788157	0.363603	1.09086	1.00063	1	0	1	0.533722	1	0.631274	1.8728	0.985	1.67	0.45363	0.415846
51	0	0	0	51	0	0	0.0400075	6.11046	0	0	0.0791528	2.35216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.881981	0.309945	0.0579079	0.407343	0.0273149	0.729039	0.329528	0.406305	0.693626	5.69056	0	1.42642	1.03898	0.387436	0	1.65375	7.72421	0.800093	0.367853	1.09993	1.05857	1	0	1	0.534956	1	0.630992	1.8728	0.985	1.67	0.434658	0.395169
52	0	0	0	52	0	0	0.040109	6.10665	0	0	0.0807924	2.46397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.9371	0.318271	0.0582149	0.395345	0.0245734	0.784211	0.338452	0.400226	0.703733	5.81384	0	1.49915	1.10248	0.396667	0	1.64478	7.71132	0.809099	0.376486	1.10396	1.12266	1	0	1	0.535899	1	0.630855	1.8728	0.985	1.67	0.419918	0.380375
53	0	0	0	53	0	0	0.0401883	6.1029	0	0	0.0818116	2.54265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.972042	0.329603	0.0592134	0.38513	0.0250443	0.838066	0.350722	0.394536	0.708162	5.92302	0	1.5776	1.16767	0.409935	0	1.63487	7.69758	0.815018	0.388817	1.1027	1.18879	1	0	1	0.536539	1	0.630862	1.8728	0.985	1.67	0.410174	0.371973
54	0	0	0	54	0	0	0.0402423	6.09941	0	0	0.0821268	2.58639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.985099	0.343142	0.0608224	0.377205	0.0297509	0.8875	0.365464	0.389471	0.705725	6.00872	0	1.65693	1.23064	0.426287	0	1.62452	7.68369	0.817603	0.403964	1.0952	1.25296	1	0	1	0.536846	1	0.631021	1.8728	0.985	1.67	0.406955	0.371582
55	0	0	0	55	0	0	0.0402658	6.0964	0	0	0.08157	2.59632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.972653	0.357983	0.0629244	0.372336	0.0404453	0.929436	0.381688	0.385301	0.694353	6.06582	0	1.73203	1.28742	0.444612	0	1.61427	7.6704	0.816369	0.420907	1.07965	1.31112	1	0	1	0.536754	1	0.63135	1.8728	0.985	1.67	0.412782	0.382327
