Time	[APCC]	[APCCYCdk1Y00YCdk1Y01YInt]	[APCCYCdk1Y10YCdk1Y11YInt]	[APCCYCdk2Y000YCdk2Y002YInt]	[APCCYCdk2Y010YCdk2Y012YInt]	[APCCYCdk2Y100YCdk2Y102YInt]	[APCCYCdk2Y110YCdk2Y112YInt]	[APCCYCyclinAYInt]	[APCCYEmi1]	[Cdk1Y00]	[Cdk1Y01]	[Cdk1Y10]	[Cdk1Y11]	[Cdk1Y11YpRbY10YpRbY20YInt]	[Cdk1Y11YpRbY11YpRbY21YInt]	[Cdk2Y000]	[Cdk2Y001]	[Cdk2Y002]	[Cdk2Y010]	[Cdk2Y011]	[Cdk2Y011YpRbY10YpRbY20YInt]	[Cdk2Y011YpRbY11YpRbY21YInt]	[Cdk2Y012]	[Cdk2Y012YpRbY10YpRbY20YInt]	[Cdk2Y012YpRbY11YpRbY21YInt]	[Cdk2Y100]	[Cdk2Y101]	[Cdk2Y102]	[Cdk2Y110]	[Cdk2Y111]	[Cdk2Y112]	[Cdk4Y00]	[Cdk4Y01]	[Cdk4Y01YpRbY00YpRbY10YInt]	[Cdk4Y01YpRbY01YpRbY11YInt]	[Cdk4Y10]	[Cdk4Y11]	[CyclinA]	[CyclinD]	[CyclinE]	[E2F]	[Emi1]	[p27]	[pRbY00]	[pRbY01]	[pRbY10]	[pRbY11]	[pRbY20]	[pRbY21]	[totalYCyclinYD]	[totalYCyclinYE]	[totalYCyclinYA]	[totalYp27]	[hypophosphorylatedYpRb]	[hyperphosphorylatedYpRb]	[totalYEmi1]	[activeYCdk2]
20	24920.9	68.6855	0	35.7723	59.1797	59.1797	-5.06769	5.74091	4541.3	99059.3	871.964	0	0	0	0	35146.5	2048.29	454.284	2377.15	84.3762	67.2247	1.80308	-349.253	-4445.5	-121.549	58117.8	3387	751.199	2307.08	89.0849	-64.5255	47149.4	6847.39	34.8475	1.05983	40225.2	5742.12	72.8916	14880.9	169.886	278.575	202.419	13538.9	181.634	6.53539	68663	1839.36	-6132.98	-95.4511	27470.4	5778.63	1736.56	124094	70502.4	-6228.43	4743.71	-264.877
21	24940.6	68.2797	0	35.6209	58.7955	58.7955	-5.11356	5.7111	4509.27	99065.6	866.143	0	0	0	0	35207	2043.16	452.006	2434.41	88.7017	71.534	1.90682	-355.713	-4608.37	-125.159	58086.8	3370.92	745.749	2409.96	94.1039	-65.0544	47210.3	6843.22	13.151	0.604954	40192.2	5740.59	72.4566	14889.4	169.279	276.477	200.833	13512.7	16.0488	3.09069	69447	1848.87	-6570.04	-98.6758	27473.2	5766.17	1715.59	124088	71295.9	-6668.72	4710.1	-267.011
22	24960.2	67.8827	0	35.4713	58.4206	58.4206	-5.15824	5.68183	4477.46	99071.7	860.447	0	0	0	0	35265.4	2038.14	449.757	2490.44	92.9596	75.8398	2.00906	-361.942	-4767.59	-128.639	58057	3355.34	740.431	2510.22	99.0046	-65.5671	47268.1	6839.63	-5.63785	0.217015	40159.8	5737.88	72.0298	14895.4	168.691	274.399	199.26	13487.5	-128.31	0.145006	70205.1	1857.45	-7008.9	-101.711	27472.9	5754.14	1695.16	124082	72062.6	-7110.61	4676.72	-268.982
23	24979.6	67.4937	0	35.3232	58.0544	58.0544	-5.20149	5.65311	4445.89	99077.6	854.867	0	0	0	0	35321.9	2033.21	447.534	2545.27	97.1463	80.1376	2.10968	-367.94	-4923.26	-131.988	58028.6	3340.25	735.234	2607.95	103.787	-66.0608	47323.2	6836.69	-22.0646	-0.114826	40128	5734.22	71.611	14899.4	168.121	272.34	197.702	13463.1	-255.387	-2.38237	70941.1	1865.2	-7448.8	-104.564	27470.3	5742.51	1675.24	124075	72806.3	-7553.36	4643.59	-270.794
24	24998.8	67.1124	0	35.1767	57.6963	57.6963	-5.24311	5.62491	4414.53	99083.5	849.397	0	0	0	0	35376.4	2028.39	445.338	2598.95	101.259	84.4238	2.20856	-373.712	-5075.53	-135.208	58001.2	3325.61	730.151	2703.23	108.45	-66.5332	47376	6834.39	-36.5714	-0.39976	40096.7	5729.82	71.2	14901.7	167.569	270.302	196.158	13439.4	-368.378	-4.5596	71658.1	1872.2	-7889.06	-107.237	27465.9	5731.28	1655.84	124068	73530.3	-7996.3	4610.69	-272.453
25	25017.8	66.7383	0	35.0317	57.346	57.346	-5.28299	5.59724	4383.4	99089.2	844.033	0	0	0	0	35429.3	2023.67	443.167	2651.51	105.296	88.695	2.30562	-379.261	-5224.49	-138.298	57974.9	3311.43	725.179	2796.17	112.995	-66.983	47426.7	6832.69	-49.5161	-0.645524	40065.9	5724.85	70.7968	14902.6	167.033	268.285	194.628	13416.5	-469.869	-6.44395	72358.5	1878.53	-8329.06	-109.739	27460.2	5720.43	1636.93	124061	74237.1	-8438.8	4578.03	-273.965
26	25036.7	66.3714	0	34.8882	57.003	57.003	-5.32104	5.57009	4352.5	99094.9	838.773	0	0	0	0	35480.6	2019.07	441.023	2702.99	109.256	92.948	2.4008	-384.593	-5370.26	-141.261	57949.5	3297.68	720.311	2886.83	117.425	-67.4093	47475.6	6831.56	-61.1879	-0.858591	40035.4	5719.46	70.4013	14902.4	166.514	266.292	193.112	13394.2	-561.953	-8.08329	73044.3	1884.24	-8768.22	-112.072	27453.5	5709.94	1618.51	124053	74928.5	-8880.29	4545.61	-275.338
27	25055.3	66.0115	0	34.7465	56.6671	56.6671	-5.35723	5.54345	4321.82	99100.4	833.614	0	0	0	0	35530.4	2014.58	438.906	2753.41	113.138	97.1804	2.49404	-389.716	-5512.94	-144.1	57924.9	3284.34	715.546	2975.3	121.74	-67.812	47522.8	6830.94	-71.8205	-1.04435	40005.3	5713.75	70.0134	14901.3	166.01	264.322	191.611	13372.4	-646.325	-9.51755	73716.9	1889.4	-9206.01	-114.243	27446	5699.81	1600.55	124045	75606.3	-9320.25	4513.43	-276.578
28	25073.8	65.6584	0	34.6065	56.3383	56.3383	-5.39156	5.51733	4291.36	99105.8	828.556	0	0	0	0	35578.8	2010.21	436.818	2802.81	116.941	101.39	2.58531	-394.636	-5652.61	-146.817	57901	3271.41	710.88	3061.64	125.942	-68.191	47568.6	6830.76	-81.6024	-1.20729	39975.6	5707.82	69.633	14899.5	165.52	262.377	190.123	13351.2	-724.355	-10.7799	74377.6	1894.04	-9641.95	-116.258	27438.1	5690.02	1583.06	124037	76271.6	-9758.21	4481.48	-277.695
29	25092.2	65.312	0	34.4683	56.0162	56.0162	-5.42405	5.49172	4261.12	99111.1	823.596	0	0	0	0	35625.9	2005.95	434.759	2851.21	120.667	105.574	2.67459	-399.361	-5789.38	-149.416	57877.8	3258.86	706.312	3145.94	130.034	-68.5468	47613.1	6830.98	-90.6859	-1.35111	39946.2	5701.75	69.2602	14897.1	165.046	260.457	188.649	13330.5	-797.152	-11.8978	75027.1	1898.21	-10075.6	-118.121	27429.8	5680.55	1566.02	124029	76925.3	-10193.7	4449.77	-278.694
