Time	[Epidermal_Growth_Factor]	[EGFR]	[EGF_EGFR]	[(EGF_EGFR)2]	[(EGF_EGFR)2-P]	[PLCg]	[(EGF_EGFR)2_PLCg]	[(EGF_EGFR)2_PLCg-P]	[PLCg-P]	[Grb2]	[(EGF_EGFR)2_Grb2]	[SOS]	[(EGF_EGFR)2_Grb2_SOS]	[Grb2_SOS]	[Shc]	[(EGF_EGFR)2_Shc]	[(EGF_EGFR)_Shc-P]	[Shc-P]	[(EGF_EGFR)2_Shc_Grb2]	[Shc_Grb2]	[(EGF_EGFR)2_Shc_Grb2_SOS]	[Shc_Grb2_SOS]	[PLCgP-I]
80	580.601	0.601485	17.4602	30.4765	3.62672	0.188989	0.0487345	0.336726	3.04723	14.2147	2.90521	1.77694	0.845573	1.70244	1.14168	0.0731664	1.83754	81.6155	0.480192	35.1769	0.33877	29.3363	101.378
81	580.601	0.601425	17.4584	30.4703	3.62593	0.187321	0.0482529	0.334121	3.04654	14.2123	2.9135	1.7771	0.848804	1.70215	1.14201	0.0731699	1.83747	81.6241	0.480016	35.1713	0.338568	29.3334	101.384
82	580.601	0.601363	17.4566	30.4641	3.62515	0.185901	0.0478413	0.331887	3.04595	14.2101	2.92137	1.77724	0.851889	1.70187	1.14235	0.0731737	1.8374	81.6323	0.479848	35.166	0.338385	29.3306	101.388
83	580.601	0.601302	17.4548	30.458	3.62439	0.184694	0.0474896	0.329971	3.04545	14.2079	2.92884	1.77738	0.854832	1.7016	1.14268	0.0731778	1.83735	81.64	0.479689	35.1609	0.338218	29.328	101.392
84	580.601	0.601242	17.4531	30.452	3.62365	0.183668	0.047189	0.328327	3.04502	14.2059	2.93593	1.77751	0.857639	1.70135	1.14301	0.0731821	1.83731	81.6473	0.479537	35.1561	0.338066	29.3254	101.396
85	580.601	0.601182	17.4514	30.4462	3.62293	0.182796	0.0469321	0.326917	3.04465	14.204	2.94266	1.77763	0.860317	1.70111	1.14334	0.0731866	1.83727	81.6543	0.479393	35.1516	0.337927	29.323	101.399
86	580.601	0.601123	17.4497	30.4405	3.62223	0.182057	0.0467126	0.325706	3.04433	14.2022	2.94905	1.77775	0.86287	1.70088	1.14365	0.0731911	1.83724	81.6609	0.479255	35.1473	0.3378	29.3207	101.401
87	580.601	0.601066	17.448	30.4351	3.62156	0.181429	0.046525	0.324666	3.04406	14.2005	2.95511	1.77786	0.865304	1.70066	1.14396	0.0731956	1.83721	81.6672	0.479124	35.1432	0.337682	29.3185	101.403
88	580.601	0.601011	17.4465	30.4298	3.62091	0.180898	0.0463646	0.323773	3.04383	14.1988	2.96087	1.77797	0.867624	1.70045	1.14426	0.0732001	1.83719	81.6731	0.478999	35.1393	0.337572	29.3164	101.405
89	580.601	0.600957	17.4449	30.4247	3.62028	0.180448	0.0462276	0.323005	3.04363	14.1973	2.96633	1.77807	0.869835	1.70025	1.14455	0.0732046	1.83717	81.6788	0.47888	35.1356	0.337471	29.3144	101.407
90	580.601	0.600904	17.4434	30.4197	3.61968	0.180067	0.0461104	0.322345	3.04347	14.1958	2.97152	1.77816	0.871941	1.70006	1.14484	0.073209	1.83715	81.6842	0.478767	35.1321	0.337376	29.3125	101.408
91	580.601	0.600854	17.442	30.415	3.6191	0.179746	0.0460103	0.321776	3.04332	14.1944	2.97645	1.77825	0.873947	1.69989	1.14511	0.0732132	1.83714	81.6893	0.478659	35.1287	0.337288	29.3106	101.409
92	580.601	0.600805	17.4406	30.4104	3.61855	0.179475	0.0459248	0.321287	3.0432	14.1931	2.98113	1.77834	0.875858	1.69971	1.14537	0.0732174	1.83712	81.6941	0.478556	35.1256	0.337205	29.3089	101.41
93	580.601	0.600758	17.4393	30.4061	3.61802	0.179247	0.0458517	0.320865	3.04309	14.1919	2.98557	1.77842	0.877677	1.69955	1.14562	0.0732215	1.83711	81.6987	0.478459	35.1225	0.337128	29.3072	101.411
94	580.601	0.600713	17.438	30.4019	3.61751	0.179056	0.0457892	0.320501	3.043	14.1907	2.98978	1.7785	0.87941	1.6994	1.14586	0.0732254	1.8371	81.7031	0.478366	35.1197	0.337055	29.3056	101.412
95	580.601	0.60067	17.4368	30.3979	3.61703	0.178896	0.0457358	0.320187	3.04293	14.1895	2.99378	1.77857	0.88106	1.69925	1.1461	0.0732292	1.83709	81.7072	0.478277	35.117	0.336987	29.3041	101.412
96	580.601	0.600629	17.4356	30.3941	3.61656	0.178762	0.0456901	0.319916	3.04286	14.1885	2.99758	1.77864	0.88263	1.69911	1.14632	0.0732329	1.83709	81.7112	0.478193	35.1144	0.336922	29.3027	101.413
97	580.601	0.600589	17.4345	30.3904	3.61612	0.17865	0.0456511	0.319681	3.0428	14.1875	3.00119	1.77871	0.884124	1.69898	1.14653	0.0732365	1.83708	81.7149	0.478113	35.1119	0.336861	29.3013	101.413
98	580.601	0.600551	17.4334	30.3869	3.6157	0.178558	0.0456178	0.319478	3.04276	14.1865	3.00462	1.77877	0.885547	1.69886	1.14673	0.0732399	1.83707	81.7185	0.478037	35.1096	0.336804	29.3	101.414
99	580.601	0.600515	17.4324	30.3836	3.6153	0.178481	0.0455893	0.319301	3.04272	14.1856	3.00787	1.77883	0.886901	1.69874	1.14693	0.0732431	1.83707	81.7218	0.477965	35.1074	0.336749	29.2988	101.414
100	580.6	0.60048	17.4314	30.3804	3.61491	0.178419	0.0455649	0.319148	3.04268	14.1847	3.01096	1.77889	0.888189	1.69862	1.14712	0.0732463	1.83706	81.7251	0.477896	35.1053	0.336698	29.2976	101.414
