Time	[_2PGA_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[NADPH_c]	[Fru6P_g]	[Pi_g]	[O2_c]	[NADP_c]	[ATP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[Rib_g]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
20	0.330709	4.95142	0.610453	2.6077	2.0583	0.485744	1.33372	3.64454	0.384161	0.176112	0	1	3.61584	2.17343	3.49432	0.00210468	0	0.0166118	0.000536354	0.177474	3.56008	0.01	0.164586	0.0355313	0.919148	0.0351749	5	0.505678	0.01	1.33345	0	3.95624	10.1168	0.118924	0	0.367484	0	0.048581	17.4162	0.00139335	0.0125159	0.00586171	0.98521	3.33125	1004.32	0.392851	0.0437572
21	0.331069	4.95149	0.609414	2.60905	2.05721	0.486348	1.33298	3.65158	0.384174	0.176343	0	1	3.61583	2.17487	3.49428	0.00210281	0	0.0166119	0.000536364	0.17728	3.56896	0.01	0.164774	0.0355855	0.918081	0.0352291	5	0.505715	0.01	1.33601	0	3.95627	10.127	0.118987	0	0.367484	0	0.0485079	17.3977	0.00139336	0.0125156	0.00586197	0.985936	3.33338	1006.18	0.392154	0.0437299
22	0.33136	4.95155	0.608572	2.61014	2.05632	0.486838	1.33238	3.65728	0.384184	0.17653	0	1	3.61582	2.17603	3.49425	0.0021013	0	0.016612	0.000536373	0.177123	3.57619	0.01	0.164926	0.0356295	0.917216	0.0352732	5	0.505745	0.01	1.33809	0	3.95629	10.1352	0.119038	0	0.367485	0	0.0484488	17.3828	0.00139337	0.0125154	0.00586218	0.986523	3.33511	1007.68	0.391592	0.0437079
23	0.331596	4.9516	0.607888	2.61103	2.0556	0.487237	1.33189	3.6619	0.384193	0.176682	0	1	3.61581	2.17697	3.49423	0.00210007	0	0.016612	0.000536379	0.176995	3.58207	0.01	0.165049	0.0356654	0.916514	0.035309	5	0.50577	0.01	1.33977	0	3.95631	10.1419	0.11908	0	0.367485	0	0.048401	17.3707	0.00139338	0.0125152	0.00586234	0.986999	3.33652	1008.89	0.391137	0.0436901
24	0.331787	4.95164	0.607334	2.61174	2.05501	0.48756	1.3315	3.66564	0.3842	0.176806	0	1	3.6158	2.17773	3.49421	0.00209907	0	0.0166121	0.000536385	0.176892	3.58686	0.01	0.165149	0.0356946	0.915944	0.0353382	5	0.505789	0.01	1.34113	0	3.95632	10.1474	0.119113	0	0.367485	0	0.0483623	17.361	0.00139338	0.012515	0.00586248	0.987383	3.33766	1009.88	0.390769	0.0436758
25	0.331941	4.95167	0.606884	2.61232	2.05453	0.487823	1.33118	3.66868	0.384205	0.176906	0	1	3.61579	2.17835	3.49419	0.00209826	0	0.0166122	0.000536389	0.176808	3.59075	0.01	0.165229	0.0357183	0.915481	0.0353619	5	0.505805	0.01	1.34224	0	3.95634	10.1518	0.11914	0	0.367485	0	0.048331	17.353	0.00139339	0.0125149	0.00586259	0.987695	3.33858	1010.68	0.390472	0.0436641
26	0.332067	4.95169	0.606518	2.61279	2.05415	0.488036	1.33092	3.67115	0.38421	0.176988	0	1	3.61579	2.17885	3.49418	0.00209761	0	0.0166122	0.000536393	0.176739	3.59391	0.01	0.165295	0.0357376	0.915106	0.0353811	5	0.505818	0.01	1.34313	0	3.95635	10.1553	0.119162	0	0.367485	0	0.0483056	17.3466	0.00139339	0.0125148	0.00586268	0.987948	3.33934	1011.33	0.390231	0.0436547
27	0.332169	4.95172	0.606221	2.61317	2.05383	0.48821	1.33071	3.67315	0.384213	0.177054	0	1	3.61579	2.17925	3.49417	0.00209707	0	0.0166122	0.000536396	0.176684	3.59648	0.01	0.165348	0.0357532	0.914801	0.0353968	5	0.505829	0.01	1.34386	0	3.95635	10.1582	0.11918	0	0.367485	0	0.048285	17.3414	0.0013934	0.0125147	0.00586275	0.988153	3.33995	1011.86	0.390035	0.0436471
28	0.332251	4.95173	0.605981	2.61348	2.05358	0.488351	1.33054	3.67477	0.384216	0.177108	0	1	3.61578	2.17958	3.49416	0.00209664	0	0.0166123	0.000536398	0.176639	3.59857	0.01	0.165391	0.035766	0.914553	0.0354095	5	0.505837	0.01	1.34445	0	3.95636	10.1606	0.119195	0	0.367485	0	0.0482683	17.3372	0.0013934	0.0125146	0.00586281	0.988319	3.34044	1012.28	0.389877	0.0436409
29	0.332318	4.95175	0.605785	2.61373	2.05337	0.488465	1.33041	3.67609	0.384219	0.177152	0	1	3.61578	2.17984	3.49416	0.00209629	0	0.0166123	0.0005364	0.176602	3.60027	0.01	0.165425	0.0357763	0.914353	0.0354199	5	0.505844	0.01	1.34493	0	3.95636	10.1625	0.119206	0	0.367485	0	0.0482547	17.3338	0.0013934	0.0125146	0.00586286	0.988454	3.34085	1012.63	0.389749	0.0436359
