Time	[MKKK]	[MKKK_P]	[MKK]	[MKK_P]	[MKK_PP]	[M]	[M_P]	[M_PP]	[P1]	[P2]	[P3]	[M_PP_n]	[PreP3_mRNA]	[P3mRNA]	[P3_c]	[P3_n]	[M_n]	[M_P_n]
35	911.632	88.3684	3955.04	44.5426	0.416338	216.625	0.0412494	5.39603e-06	100	500	500	1.82742e-05	7.96989e-27	2.12599e-28	1.2659e-31	1.75809e-31	783.189	0.144358
36	910.437	89.5631	3953.19	46.3614	0.451138	216.621	0.0452449	6.51805e-06	100	500	500	2.21114e-05	1.74452e-26	4.77894e-28	2.92052e-31	4.0616e-31	783.175	0.158477
37	909.275	90.7249	3951.3	48.2098	0.487917	216.617	0.0495074	7.83467e-06	100	500	500	2.66205e-05	3.73862e-26	1.05176e-27	6.59445e-31	9.18312e-31	783.16	0.173548
38	908.145	91.8551	3949.39	50.0875	0.526742	216.613	0.0540476	9.37345e-06	100	500	500	3.18972e-05	7.85625e-26	2.2681e-27	1.45846e-30	2.03357e-30	783.144	0.189609
39	907.045	92.9549	3947.44	51.9944	0.567676	216.608	0.0588764	1.1165e-05	100	500	500	3.80486e-05	1.62042e-25	4.79554e-27	3.16032e-30	4.4118e-30	783.127	0.2067
40	905.975	94.0254	3945.46	53.9304	0.610786	216.603	0.0640048	1.32434e-05	100	500	500	4.51932e-05	3.28502e-25	9.9569e-27	6.71962e-30	9.39128e-30	783.108	0.224861
41	904.932	95.0677	3943.45	55.8951	0.656137	216.597	0.069444	1.56461e-05	100	500	500	5.34622e-05	6.55254e-25	2.03228e-26	1.40339e-29	1.96347e-29	783.089	0.244131
42	903.917	96.0829	3941.41	57.8885	0.703795	216.591	0.0752053	1.84146e-05	100	500	500	6.30007e-05	1.28608e-24	4.07976e-26	2.88061e-29	4.03433e-29	783.069	0.26455
43	902.928	97.072	3939.34	59.9102	0.753827	216.585	0.0813	2.15948e-05	100	500	500	7.39686e-05	2.48577e-24	8.06224e-26	5.81776e-29	8.15577e-29	783.047	0.286161
44	901.964	98.0358	3937.23	61.96	0.806299	216.579	0.0877399	2.52366e-05	100	500	500	8.65415e-05	4.73487e-24	1.56938e-25	1.1569e-28	1.62334e-28	783.024	0.309005
45	901.025	98.9752	3935.1	64.0377	0.861276	216.572	0.0945364	2.93953e-05	100	500	500	0.000100912	8.89355e-24	3.01076e-25	2.26624e-28	3.18278e-28	783	0.333124
46	900.109	99.8911	3932.94	66.1429	0.918824	216.565	0.101701	3.4131e-05	100	500	500	0.000117292	1.64841e-23	5.6965e-25	4.37613e-28	6.15124e-28	782.975	0.358561
47	899.216	100.784	3930.75	68.2753	0.979008	216.557	0.109247	3.95094e-05	100	500	500	0.000135911	3.01951e-23	1.06518e-24	8.35052e-28	1.17476e-27	782.948	0.385357
48	898.344	101.656	3928.52	70.4347	1.04189	216.549	0.117184	4.56022e-05	100	500	500	0.000157022	5.46264e-23	1.96705e-24	1.57331e-27	2.21513e-27	782.92	0.413556
49	897.494	102.505	3926.27	72.6207	1.10755	216.541	0.125526	5.24874e-05	100	500	500	0.000180897	9.7641e-23	3.58704e-24	2.92613e-27	4.12303e-27	782.89	0.443203
50	896.665	103.335	3923.99	74.833	1.17603	216.532	0.134285	6.02496e-05	100	500	500	0.000207834	1.72591e-22	6.46487e-24	5.37671e-27	7.58165e-27	782.859	0.474339
51	895.856	104.144	3921.68	77.0712	1.24741	216.523	0.143472	6.89804e-05	100	500	500	0.000238157	3.01847e-22	1.15218e-23	9.76547e-27	1.37801e-26	782.826	0.50701
52	895.065	104.935	3919.34	79.3349	1.32176	216.513	0.1531	7.87791e-05	100	500	500	0.000272213	5.22227e-22	2.03013e-23	1.75249e-26	2.47464e-26	782.792	0.541259
53	894.294	105.706	3916.98	81.6239	1.39912	216.503	0.163181	8.9753e-05	100	500	500	0.000310381	8.94348e-22	3.5391e-23	3.11003e-26	4.39444e-26	782.756	0.577131
54	893.54	106.46	3914.58	83.9376	1.47957	216.493	0.173728	0.000102018	100	500	500	0.000353067	1.5172e-21	6.10935e-23	5.46305e-26	7.72406e-26	782.718	0.614671
55	892.804	107.196	3912.16	86.2759	1.56317	216.482	0.184752	0.000115698	100	500	500	0.000400712	2.55403e-21	1.04623e-22	9.5184e-26	1.3466e-25	782.679	0.653922
56	892.085	107.915	3909.71	88.6381	1.64997	216.47	0.196267	0.000130927	100	500	500	0.000453786	4.25791e-21	1.77363e-22	1.64083e-25	2.32268e-25	782.638	0.69493
57	891.383	108.617	3907.24	91.024	1.74005	216.458	0.208285	0.000147849	100	500	500	0.000512796	7.03037e-21	2.97717e-22	2.79936e-25	3.96484e-25	782.595	0.737741
58	890.697	109.303	3904.73	93.4332	1.83346	216.446	0.220817	0.000166618	100	500	500	0.000578288	1.15213e-20	4.96046e-22	4.74086e-25	6.71834e-25	782.55	0.782398
59	890.026	109.974	3902.2	95.8652	1.93026	216.433	0.233878	0.000187399	100	500	500	0.000650843	1.87095e-20	8.18719e-22	7.95078e-25	1.12731e-24	782.504	0.828947
60	889.37	110.63	3899.65	98.3197	2.0305	216.419	0.247479	0.000210368	100	500	500	0.000731085	3.01284e-20	1.33956e-21	1.32147e-24	1.87462e-24	782.455	0.877433
61	888.729	111.271	3897.07	100.796	2.13425	216.405	0.261632	0.000235715	100	500	500	0.00081968	4.81918e-20	2.17692e-21	2.18154e-24	3.09626e-24	782.405	0.927902
62	888.102	111.898	3894.46	103.294	2.24157	216.39	0.27635	0.000263639	100	500	500	0.000917338	7.6462e-20	3.50777e-21	3.56963e-24	5.06882e-24	782.352	0.980398
63	887.489	112.511	3891.83	105.813	2.3525	216.375	0.291647	0.000294355	100	500	500	0.00102482	1.2042e-19	5.60892e-21	5.79468e-24	8.23222e-24	782.297	1.03497
64	886.889	113.111	3889.18	108.353	2.46711	216.359	0.307533	0.000328091	100	500	500	0.00114292	1.88705e-19	8.92992e-21	9.37079e-24	1.3319e-23	782.24	1.09165
65	886.303	113.697	3886.5	110.914	2.58545	216.342	0.324022	0.000365089	100	500	500	0.00127251	2.93224e-19	1.40944e-20	1.50169e-23	2.13538e-23	782.181	1.1505
66	885.729	114.271	3883.8	113.494	2.70756	216.325	0.341127	0.000405606	100	500	500	0.0014145	4.53119e-19	2.2122e-20	2.39349e-23	3.40505e-23	782.12	1.21156
67	885.167	114.832	3881.07	116.094	2.83352	216.307	0.358859	0.000449915	100	500	500	0.00156985	6.94869e-19	3.44393e-20	3.78235e-23	5.38323e-23	782.057	1.27488
68	884.618	115.382	3878.32	118.713	2.96335	216.289	0.377231	0.000498304	100	500	500	0.00173958	1.05922e-18	5.32769e-20	5.93846e-23	8.4555e-23	781.991	1.34049
69	884.08	115.919	3875.55	121.35	3.09712	216.27	0.396257	0.000551079	100	500	500	0.00192477	1.60449e-18	8.18712e-20	9.25919e-23	1.31892e-22	781.923	1.40844
70	883.554	116.446	3872.76	124.006	3.23488	216.25	0.415947	0.000608563	100	500	500	0.00212658	2.41479e-18	1.24948e-19	1.43317e-22	2.04226e-22	781.852	1.47879
71	883.039	116.961	3869.94	126.679	3.37667	216.23	0.436315	0.000671098	100	500	500	0.00234622	3.61634e-18	1.89729e-19	2.20698e-22	3.14616e-22	781.779	1.55157
72	882.535	117.465	3867.11	129.37	3.52255	216.209	0.457373	0.000739043	100	500	500	0.00258496	5.37991e-18	2.86066e-19	3.37297e-22	4.81011e-22	781.704	1.62683
73	882.041	117.959	3864.25	132.078	3.67254	216.187	0.479134	0.000812779	100	500	500	0.00284415	7.96749e-18	4.29375e-19	5.13168e-22	7.32082e-22	781.626	1.70461
74	881.557	118.443	3861.37	134.802	3.82672	216.164	0.501609	0.000892707	100	500	500	0.00312521	1.17321e-17	6.40605e-19	7.75802e-22	1.10714e-21	781.545	1.78496
75	881.084	118.916	3858.47	137.542	3.9851	216.141	0.524812	0.000979246	100	500	500	0.00342964	1.72101e-17	9.5208e-19	1.16837e-21	1.66795e-21	781.462	1.86793
76	880.62	119.38	3855.55	140.298	4.14775	216.117	0.548755	0.00107284	100	500	500	0.00375902	2.5076e-17	1.40471e-18	1.74577e-21	2.49304e-21	781.376	1.95355
77	880.166	119.834	3852.62	143.069	4.3147	216.092	0.57345	0.00117396	100	500	500	0.00411499	3.64151e-17	2.06628e-18	2.60119e-21	3.71583e-21	781.287	2.04188
78	879.72	120.279	3849.66	145.856	4.48599	216.066	0.598909	0.00128308	100	500	500	0.0044993	5.2513e-17	3.01695e-18	3.84478e-21	5.494e-21	781.196	2.13296
79	879.284	120.716	3846.68	148.656	4.66167	216.04	0.625146	0.00140073	100	500	500	0.00491378	7.54966e-17	4.39294e-18	5.66932e-21	8.10371e-21	781.102	2.22683
80	878.857	121.143	3843.69	151.471	4.84176	216.013	0.652171	0.00152745	100	500	500	0.00536033	1.07855e-16	6.35364e-18	8.30001e-21	1.18675e-20	781.004	2.32353
81	878.438	121.562	3840.67	154.299	5.02632	215.985	0.679999	0.00166378	100	500	500	0.00584097	1.53545e-16	9.15862e-18	1.2113e-20	1.73246e-20	780.904	2.42313
82	878.028	121.972	3837.64	157.141	5.21537	215.956	0.70864	0.00181034	100	500	500	0.00635779	2.17448e-16	1.3129e-17	1.75749e-20	2.51437e-20	780.801	2.52564
83	877.625	122.375	3834.6	159.996	5.40896	215.927	0.738107	0.00196773	100	500	500	0.006913	3.06714e-16	1.87442e-17	2.53963e-20	3.63439e-20	780.695	2.63113
84	877.231	122.769	3831.53	162.863	5.60711	215.896	0.768414	0.0021366	100	500	500	0.0075089	4.30748e-16	2.66402e-17	3.65273e-20	5.22876e-20	780.586	2.73964
85	876.844	123.156	3828.45	165.742	5.80986	215.865	0.799572	0.00231763	100	500	500	0.00814789	6.02338e-16	3.76934e-17	5.22949e-20	7.48787e-20	780.474	2.85121
86	876.465	123.535	3825.35	168.633	6.01724	215.833	0.831593	0.00251153	100	500	500	0.0088325	8.39155e-16	5.31304e-17	7.45809e-20	1.06818e-19	780.359	2.96588
87	876.093	123.907	3822.24	171.535	6.22929	215.799	0.86449	0.00271903	100	500	500	0.00956535	1.16433e-15	7.45831e-17	1.05923e-19	1.51747e-19	780.24	3.08371
88	875.728	124.272	3819.11	174.448	6.44603	215.765	0.898276	0.0029409	100	500	500	0.0103492	1.61097e-15	1.04445e-16	1.50118e-19	2.15118e-19	780.118	3.20473
89	875.37	124.63	3815.96	177.372	6.6675	215.731	0.932963	0.00317795	100	500	500	0.0111869	2.21696e-15	1.45439e-16	2.11466e-19	3.03106e-19	779.993	3.329
90	875.019	124.981	3812.8	180.306	6.89372	215.695	0.968563	0.00343102	100	500	500	0.0120814	3.04455e-15	2.0214e-16	2.97431e-19	4.26435e-19	779.865	3.45655
91	874.675	125.325	3809.63	183.25	7.12472	215.658	1.00509	0.00370097	100	500	500	0.0130358	4.1624e-15	2.79593e-16	4.16206e-19	5.96875e-19	779.733	3.58743
92	874.337	125.663	3806.44	186.203	7.36053	215.62	1.04255	0.00398871	100	500	500	0.0140535	5.66756e-15	3.85048e-16	5.79775e-19	8.31648e-19	779.598	3.72169
93	874.005	125.995	3803.23	189.166	7.60117	215.581	1.08097	0.0042952	100	500	500	0.0151377	7.69637e-15	5.28834e-16	8.05466e-19	1.15567e-18	779.459	3.85938
94	873.679	126.321	3800.02	192.138	7.84667	215.542	1.12035	0.00462142	100	500	500	0.0162919	1.04014e-14	7.22479e-16	1.11258e-18	1.59668e-18	779.316	4.00053
95	873.36	126.64	3796.78	195.118	8.09704	215.501	1.16071	0.00496839	100	500	500	0.0175199	1.40297e-14	9.85218e-16	1.53426e-18	2.20234e-18	779.171	4.1452
96	873.046	126.954	3793.54	198.106	8.35232	215.459	1.20205	0.00533718	100	500	500	0.0188255	1.88494e-14	1.33779e-15	2.10605e-18	3.02376e-18	779.021	4.29343
97	872.738	127.262	3790.28	201.102	8.61253	215.417	1.2444	0.0057289	100	500	500	0.0202125	2.52374e-14	1.8099e-15	2.87978e-18	4.13553e-18	778.868	4.44527
98	872.435	127.565	3787.02	204.106	8.87768	215.373	1.28777	0.0061447	100	500	500	0.0216851	3.37051e-14	2.4424e-15	3.92771e-18	5.64161e-18	778.711	4.60076
99	872.137	127.863	3783.73	207.117	9.1478	215.328	1.33216	0.00658577	100	500	500	0.0232476	4.48321e-14	3.28154e-15	5.33151e-18	7.65952e-18	778.55	4.75995
100	871.845	128.155	3780.44	210.135	9.4229	215.282	1.37759	0.00705337	100	500	500	0.0249043	5.95173e-14	4.40095e-15	7.22482e-18	1.03816e-17	778.385	4.92289
