Time	[Glyin]	[Hog1]	[Hog1PP]	[Pbs2]	[Pbs2P]	[Phosphatase]	[Protein]	[RNA]	[Hog1P]	[Sho1]	[Sho1Pbs2P]	[Hog1PPActive]	[Glyex]	[Fps1]	[Fps1P]
89	180000	0.327993	0.00681826	0.121341	0.000130728	0.0432877	0.0454267	0.0340077	0.0472906	0.131042	0.00011609	0.00681826	1804.46	0.0255278	0.0255279
90	180000	0.327993	0.00681829	0.121341	0.000130729	0.0432877	0.0454267	0.0340078	0.0472907	0.131042	0.00011609	0.00681829	1804.51	0.0255278	0.0255279
91	180000	0.327993	0.00681833	0.121341	0.000130729	0.0432877	0.0454267	0.034008	0.0472908	0.131042	0.00011609	0.00681833	1804.56	0.0255278	0.025528
92	180000	0.327993	0.00681836	0.121341	0.00013073	0.0432877	0.0454267	0.0340082	0.0472909	0.131042	0.00011609	0.00681836	1804.61	0.0255278	0.025528
93	180000	0.327993	0.00681839	0.121341	0.000130731	0.0432877	0.0454267	0.0340083	0.047291	0.131042	0.00011609	0.00681839	1804.66	0.0255278	0.025528
94	180000	0.327993	0.00681843	0.121341	0.000130731	0.0432877	0.0454267	0.0340085	0.0472911	0.131042	0.00011609	0.00681843	1804.71	0.0255278	0.025528
95	180000	0.327993	0.00681846	0.121341	0.000130732	0.0432877	0.0454267	0.0340087	0.0472912	0.131042	0.00011609	0.00681846	1804.76	0.0255278	0.025528
96	180000	0.327992	0.0068185	0.121341	0.000130733	0.0432877	0.0454267	0.0340088	0.0472913	0.131042	0.00011609	0.0068185	1804.81	0.0255278	0.025528
97	180000	0.327992	0.00681853	0.121341	0.000130734	0.0432877	0.0454267	0.034009	0.0472915	0.131042	0.00011609	0.00681853	1804.86	0.0255278	0.025528
98	180000	0.327992	0.00681857	0.121341	0.000130734	0.0432877	0.0454267	0.0340092	0.0472916	0.131042	0.00011609	0.00681857	1804.91	0.0255278	0.025528
99	180000	0.327992	0.0068186	0.121341	0.000130735	0.0432877	0.0454267	0.0340093	0.0472917	0.131042	0.00011609	0.0068186	1804.96	0.0255278	0.025528
100	180001	0.327992	0.00681863	0.121341	0.000130736	0.0432877	0.0454267	0.0340095	0.0472918	0.131042	0.00011609	0.00681863	1805.01	0.0255278	0.025528
