Time	[Clb2T]	[Clb5T]	[Cln]	[Cdc20]	[Cdh1]	[Sic1T]	[Trim2]	[Trim5]	[Swi5]	[Mcm]	[MBF]	[Pds1T]	[Esp1T]	[PoloT]	[Polo]	[Net1dep]	[Net1pp]	[RENT]	[RENTp]	[Cdc14n]	[Tem1]	[Cdc15]	[MEN]	[Clb2]	[Clb5]	[Sic1]	[Pds1]	[Esp1b]	[Esp1]	[Net1p]	[Net1]	[Cdc14c]
20	0.0743921	0.043473	0.134116	0.0038613	0.998788	0.74793	0.072815	0.0402232	0.991722	0.00048086	0.513948	0.0557649	0.25	0.0387582	0.000906778	0.079897	0.846756	0.15193	0.0728547	0.29577	9.07973e-06	0.804684	2.47448e-06	0.00157709	0.00324978	0.634892	0.000680143	0.0550848	0.194915	0.013	-0.0116851	0.0523006
21	0.0611521	0.0504943	0.163166	0.00190895	0.997752	0.745385	0.0596654	0.0465019	0.987934	0.000476655	0.609197	0.0664439	0.25	0.0231684	0.000360885	0.125632	0.804561	0.193792	0.0693205	0.285117	3.48624e-06	0.798971	9.42874e-07	0.00148672	0.0039924	0.639218	0.000843421	0.0656004	0.1844	0.013	-0.0113534	0.0210908
22	0.0524786	0.0584319	0.194174	0.00125912	0.996163	0.712794	0.0509611	0.0532926	0.983581	0.000477788	0.703388	0.0780671	0.25	0.0141751	0.000186909	0.168795	0.764678	0.233215	0.0660147	0.25732	1.73716e-06	0.791857	4.65939e-07	0.00151755	0.00513937	0.608541	0.00104217	0.0770249	0.172975	0.013	-0.0108931	0.00946514
23	0.0468074	0.0672313	0.226582	0.00104365	0.993756	0.658699	0.045155	0.0603903	0.978482	0.000483456	0.795797	0.0905324	0.25	0.00898723	0.000117069	0.208469	0.727973	0.269335	0.0630002	0.225672	1.04324e-06	0.784342	2.77476e-07	0.00165239	0.00684096	0.553154	0.00128493	0.0892474	0.160753	0.013	-0.0103081	0.00499353
24	0.0431191	0.0768469	0.259863	0.000973719	0.990043	0.592406	0.0412234	0.0675269	0.972189	0.000493837	0.884919	0.103774	0.25	0.0059954	8.36621e-05	0.244523	0.694565	0.302016	0.0602933	0.194834	7.11358e-07	0.776789	1.87622e-07	0.00189574	0.00931992	0.483655	0.00158441	0.10219	0.14781	0.013	-0.00958154	0.00314968
25	0.0407532	0.0872128	0.293349	0.000953503	0.984252	0.522277	0.0384872	0.0743433	0.964008	0.000509739	0.965419	0.117719	0.25	0.00427192	6.6772e-05	0.277095	0.664315	0.331367	0.0578948	0.166348	5.38403e-07	0.769324	1.40819e-07	0.00226595	0.0128695	0.409446	0.00195825	0.115761	0.134239	0.013	-0.00868235	0.00228446
26	0.0392872	0.0980875	0.324868	0.000951666	0.975326	0.45494	0.0365023	0.0803492	0.952995	0.000532191	0.998742	0.132122	0.25	0.00328244	5.92396e-05	0.306404	0.637002	0.357562	0.0558023	0.140642	4.50067e-07	0.761985	1.16735e-07	0.00278495	0.0177383	0.338089	0.00242172	0.1297	0.1203	0.013	-0.00756422	0.00179613
27	0.038458	0.10894	0.350219	0.000958489	0.962104	0.395864	0.0350072	0.0849998	0.938074	0.000561236	0.998495	0.14645	0.25	0.00271952	5.78144e-05	0.332701	0.612373	0.380789	0.0540118	0.117747	4.11769e-07	0.754774	1.05924e-07	0.0034508	0.0239406	0.275857	0.00299124	0.143458	0.106542	0.013	-0.00616165	0.0014643
28	0.0381079	0.119669	0.369921	0.000971539	0.943442	0.34718	0.0338479	0.0881574	0.918086	0.000596805	0.997941	0.1606	0.25	0.00240669	6.08763e-05	0.356245	0.590167	0.401218	0.0525155	0.0975745	4.04362e-07	0.747684	1.03177e-07	0.00426001	0.0315118	0.225174	0.00370849	0.156892	0.0931083	0.013	-0.00438498	0.00120753
29	0.0381507	0.130273	0.385208	0.000990946	0.918264	0.307633	0.0329318	0.0898641	0.891843	0.000639287	0.997218	0.174571	0.25	0.00224329	6.78097e-05	0.377288	0.570132	0.418984	0.051304	0.0800205	4.17656e-07	0.740704	1.05719e-07	0.00521887	0.0404087	0.184837	0.00463337	0.169938	0.080062	0.013	-0.00211625	0.000995222
30	0.038549	0.140749	0.39704	0.00101789	0.885583	0.274799	0.0321965	0.09015	0.858208	0.00068993	0.996278	0.18836	0.25	0.00217264	7.86469e-05	0.396069	0.552023	0.434187	0.0503681	0.0649972	4.46418e-07	0.733819	1.12107e-07	0.00635254	0.0505993	0.152453	0.00585813	0.182502	0.0674982	0.013	0.000789637	0.000815488
31	0.0393021	0.151096	0.406159	0.00105425	0.844451	0.246273	0.0315848	0.0889666	0.816127	0.000751459	0.995041	0.201961	0.25	0.00216371	9.40539e-05	0.412814	0.535601	0.446911	0.0497039	0.052426	4.89047e-07	0.727013	1.2185e-07	0.00771734	0.0621291	0.125722	0.00752673	0.194434	0.0555659	0.013	0.00448881	0.000663453
32	0.0404405	0.161308	0.413133	0.00110273	0.793877	0.220106	0.0310289	0.0861702	0.764618	0.000828694	0.993365	0.215367	0.25	0.00220095	0.000115515	0.427735	0.520629	0.457263	0.0493214	0.0422004	5.47608e-07	0.720262	1.35376e-07	0.00941163	0.0751375	0.102907	0.0098609	0.205506	0.0444941	0.013	0.00910852	0.000536748
33	0.042027	0.171378	0.418386	0.0011673	0.73276	0.19489	0.0304384	0.0815557	0.702739	0.000929376	0.991001	0.228566	0.25	0.00227857	0.000145701	0.441014	0.506876	0.465432	0.0492556	0.0341342	6.28863e-07	0.713535	1.54251e-07	0.0115886	0.0898224	0.0828958	0.0131782	0.215388	0.0346121	0.013	0.0146915	0.000433561
34	0.0441644	0.181295	0.422221	0.00125395	0.659864	0.169706	0.0296889	0.0749311	0.629598	0.00106554	0.987509	0.241541	0.25	0.0023979	0.00018912	0.452793	0.494124	0.471713	0.0495781	0.0279355	7.4666e-07	0.706786	1.8171e-07	0.0144754	0.106364	0.0650864	0.0178489	0.223692	0.0263081	0.013	0.0211635	0.000351654
35	0.0470092	0.191039	0.424818	0.00137205	0.573881	0.144065	0.028606	0.0662197	0.544472	0.00125596	0.982109	0.254262	0.25	0.00256675	0.000253279	0.463144	0.482171	0.47647	0.0504061	0.0232415	9.25662e-07	0.699948	2.23489e-07	0.0184032	0.12482	0.0492394	0.0241206	0.230141	0.0198587	0.013	0.0283584	0.000288069
36	0.0507956	0.200578	0.426225	0.00153667	0.473594	0.117857	0.0269482	0.055574	0.447138	0.00153037	0.973451	0.266683	0.25	0.00280034	0.000350713	0.472035	0.470853	0.480069	0.0519141	0.019692	1.20618e-06	0.692927	2.88865e-07	0.0238473	0.145004	0.0353343	0.0318968	0.234786	0.0152142	0.013	0.0360789	0.000239395
37	0.0558722	0.209858	0.426325	0.00177296	0.358188	0.0913421	0.024398	0.0434776	0.338656	0.00193699	0.959398	0.278726	0.25	0.00312422	0.000502448	0.479293	0.460046	0.482813	0.0543517	0.0169849	1.65248e-06	0.685584	3.92422e-07	0.0314742	0.16638	0.0234665	0.0407422	0.237984	0.0120162	0.013	0.044141	0.000202297
38	0.0627593	0.218789	0.424801	0.00212453	0.227883	0.0652186	0.0206029	0.0308113	0.223196	0.00255506	0.937055	0.290268	0.25	0.00357979	0.000743609	0.484565	0.449681	0.484933	0.058067	0.0148927	2.36871e-06	0.677729	5.57475e-07	0.0421563	0.187978	0.0138044	0.0501021	0.240166	0.00983379	0.013	0.0523859	0.000173915
39	0.0722185	0.22724	0.421131	0.00266868	0.0863607	0.0408964	0.0153907	0.0188805	0.112596	0.00351211	0.903247	0.301116	0.25	0.00423292	0.00113101	0.487295	0.439734	0.486594	0.063519	0.0132537	3.52205e-06	0.669106	8.20794e-07	0.0568278	0.20836	0.00662519	0.0594463	0.24167	0.00832985	0.013	0.0606715	0.000152012
40	0.0848017	0.235026	0.414648	0.00349207	5.28789e-05	0.0211888	0.00939206	0.00941346	0.0336626	0.0049602	0.855399	0.310986	0.25	0.00514647	0.00173304	0.486792	0.430236	0.487909	0.0712179	0.0119559	5.31272e-06	0.659426	1.22465e-06	0.0754096	0.225613	0.00238325	0.0682705	0.242715	0.007285	0.013	0.0688552	0.000134938
41	0.0979658	0.241955	0.404701	0.00438924	1.98572e-05	0.00957691	0.00470166	0.00396257	0.0056332	0.00671478	0.793425	0.319599	0.25	0.00615536	0.00247565	0.482773	0.421254	0.488957	0.081276	0.0109211	7.50917e-06	0.648602	1.71002e-06	0.0932641	0.237992	0.000912679	0.0761543	0.243445	0.00655507	0.013	0.0767889	0.000121506
42	0.110864	0.247894	0.390923	0.00528664	1.76482e-05	0.00501793	0.00259116	0.0018225	0.00128171	0.00854787	0.720034	0.326812	0.25	0.00720277	0.00325749	0.475702	0.412859	0.489798	0.093186	0.0100913	9.80815e-06	0.636874	2.20344e-06	0.108273	0.246072	0.000604267	0.0828558	0.243956	0.00604364	0.013	0.084343	0.00011085
43	0.123499	0.252748	0.373271	0.00618862	1.60453e-05	0.00361059	0.00194195	0.00114461	0.000770486	0.0105177	0.637634	0.332524	0.25	0.00829131	0.00406334	0.466053	0.405117	0.490474	0.106474	0.00942344	1.21735e-05	0.62448	2.69467e-06	0.121557	0.251604	0.000524017	0.0882159	0.244309	0.00569147	0.013	0.0914088	0.000102342
44	0.135876	0.256441	0.351874	0.00710471	1.48391e-05	0.00321212	0.00179796	0.00092949	0.000664026	0.0127681	0.547628	0.33666	0.25	0.00942915	0.00490965	0.454084	0.398097	0.491018	0.120875	0.0088865	1.46636e-05	0.611559	3.19476e-06	0.134078	0.255511	0.00048466	0.0921228	0.244537	0.00546252	0.013	0.0978852	9.55236e-05
45	0.147999	0.258909	0.326935	0.00805021	1.39306e-05	0.00310885	0.0018046	0.000847253	0.000606613	0.0154337	0.45104	0.339157	0.25	0.0106309	0.00581267	0.439937	0.391878	0.491452	0.136237	0.00845837	1.73356e-05	0.598196	3.71374e-06	0.146194	0.258062	0.000457004	0.0944929	0.244664	0.00533602	0.013	0.10367	9.00689e-05
46	0.159872	0.260099	0.298705	0.00904544	1.32653e-05	0.00309902	0.00185881	0.000805147	0.000564534	0.0186569	0.348974	0.33996	0.25	0.0119171	0.00678708	0.42372	0.386554	0.49179	0.152451	0.00812383	2.02431e-05	0.584458	4.26006e-06	0.158013	0.259294	0.00043506	0.0952619	0.244698	0.005302	0.013	0.108656	8.57459e-05
47	0.171501	0.259969	0.267494	0.0101163	1.28112e-05	0.00312861	0.00193378	0.000777859	0.000533017	0.0226157	0.242973	0.339023	0.25	0.0133151	0.00785033	0.405533	0.38223	0.492045	0.169424	0.00787303	2.34519e-05	0.570408	4.84372e-06	0.169567	0.259191	0.000416976	0.0943822	0.244641	0.00535929	0.013	0.112725	8.23954e-05
48	0.182891	0.258496	0.233729	0.011296	1.25514e-05	0.00318352	0.0020236	0.000758026	0.00051032	0.027545	0.13601	0.336313	0.25	0.0148607	0.00902586	0.38548	0.379034	0.492219	0.187071	0.00770085	2.70516e-05	0.556103	5.47867e-06	0.180868	0.257738	0.000401892	0.0918278	0.244485	0.00551514	0.013	0.115747	7.99163e-05
49	0.194048	0.255706	0.198264	0.0126276	1.24802e-05	0.00325974	0.00212756	0.000742934	0.000495487	0.0337585	0.0390645	0.331841	0.25	0.0166015	0.0103459	0.363672	0.377114	0.492315	0.205312	0.00760684	3.11689e-05	0.5416	6.18467e-06	0.19192	0.254963	0.000389245	0.087626	0.244215	0.00578522	0.013	0.117572	7.82592e-05
50	0.204977	0.251934	0.164634	0.0141673	1.25932e-05	0.0033513	0.00224263	0.000730295	0.000487923	0.041668	0.00791644	0.325913	0.25	0.0186001	0.0118543	0.340232	0.376654	0.492327	0.224066	0.00759589	3.59744e-05	0.526954	6.98811e-06	0.202734	0.251203	0.00037837	0.0820934	0.24382	0.00618046	0.013	0.11802	7.74263e-05
51	0.215685	0.247752	0.137745	0.0159882	1.28875e-05	0.00343982	0.00235538	0.000716048	0.000487194	0.0518012	0.00757141	0.319057	0.25	0.0209393	0.0136109	0.315299	0.377881	0.492242	0.243247	0.00768002	4.16957e-05	0.512218	7.92333e-06	0.213329	0.247036	0.000368396	0.0757592	0.243298	0.00670242	0.013	0.116876	7.74802e-05
52	0.226178	0.243186	0.116786	0.0181846	1.34057e-05	0.00351393	0.00245672	0.000698099	0.000494056	0.0648009	0.00740288	0.311232	0.25	0.0237263	0.0156953	0.28903	0.381084	0.49204	0.262759	0.00788188	4.86774e-05	0.497441	9.04298e-06	0.223721	0.242488	0.000359109	0.068634	0.242598	0.00740166	0.013	0.113877	7.8566e-05
53	0.236463	0.238164	0.100449	0.0208744	1.42305e-05	0.00357292	0.00254577	0.000676617	0.000510544	0.0813942	0.007259	0.302284	0.25	0.0270966	0.018211	0.261618	0.386621	0.491678	0.282483	0.00824152	5.74304e-05	0.482669	1.04246e-05	0.233917	0.237487	0.000350537	0.0606572	0.241627	0.00837304	0.013	0.108702	8.09552e-05
54	0.246545	0.232591	0.0877142	0.0242	1.55074e-05	0.00361973	0.0026246	0.000652371	0.000540415	0.102343	0.00713949	0.292025	0.25	0.0312158	0.021289	0.233301	0.394942	0.491085	0.302255	0.00883027	6.87337e-05	0.467948	1.21859e-05	0.24392	0.231939	0.000342762	0.0518102	0.240215	0.00978513	0.013	0.100974	8.51341e-05
55	0.256429	0.226358	0.077787	0.0283261	1.75056e-05	0.00365862	0.00269653	0.000626175	0.000590639	0.12838	0.00704491	0.280247	0.25	0.036278	0.0250891	0.204396	0.406593	0.490127	0.321836	0.0097806	8.38496e-05	0.45332	1.4518e-05	0.253732	0.225731	0.000335914	0.0421983	0.238049	0.0119512	0.013	0.0902791	9.19886e-05
56	0.266115	0.219338	0.0700486	0.0334347	2.07613e-05	0.00369469	0.0027657	0.000598772	0.000674903	0.160153	0.00697656	0.266741	0.25	0.0425017	0.029799	0.175327	0.422205	0.48854	0.340822	0.0113563	0.000104993	0.438828	1.77591e-05	0.263349	0.218739	0.000330212	0.0322049	0.234536	0.0154642	0.013	0.0762542	0.000103225
57	0.2756	0.211399	0.0640171	0.0397182	2.6451e-05	0.00373449	0.00283752	0.000570897	0.000822507	0.198179	0.00693637	0.251328	0.25	0.0501233	0.0356319	0.146695	0.44244	0.485743	0.358447	0.0141342	0.000136227	0.424511	2.25341e-05	0.272762	0.210828	0.000326079	0.0226943	0.228634	0.021366	0.013	0.0588164	0.000122422
58	0.284873	0.202416	0.0593176	0.0473715	3.74388e-05	0.00378831	0.0029203	0.000543541	0.00110268	0.242824	0.00692686	0.233907	0.25	0.0593889	0.0428213	0.119368	0.467877	0.480346	0.373051	0.0194963	0.000184341	0.410408	2.9891e-05	0.281953	0.201872	0.000324464	0.0149037	0.219003	0.0309966	0.013	0.0387768	0.000157868
59	0.293918	0.192283	0.0556583	0.0565842	6.08238e-05	0.00387624	0.00303004	0.000518574	0.0016842	0.29429	0.00695116	0.2145	0.25	0.0705466	0.0516145	0.0945919	0.498798	0.469092	0.380943	0.0306784	0.000258038	0.396561	4.11741e-05	0.290888	0.191764	0.000327632	0.00954177	0.204959	0.0450414	0.013	0.0191106	0.000229816
60	0.302708	0.180937	0.0528123	0.0675324	0.000109197	0.00403849	0.00319905	0.000499577	0.00287786	0.352602	0.00701305	0.193306	0.25	0.0838372	0.0622637	0.0740252	0.534864	0.447304	0.376423	0.0523167	0.000366204	0.383015	5.78013e-05	0.299509	0.180437	0.000339862	0.00621742	0.187088	0.0629117	0.013	0.00483176	0.000379186
61	0.311207	0.168379	0.0506032	0.0803702	0.000190648	0.00432644	0.00347186	0.00049014	0.00489731	0.417591	0.00711677	0.170728	0.25	0.0994852	0.0750147	0.0592357	0.574928	0.414844	0.357291	0.0845074	0.000518588	0.369824	8.14854e-05	0.307736	0.167888	0.000364444	0.00417473	0.166554	0.0834462	0.013	-0.00277246	0.000648164
62	0.31937	0.154689	0.048894	0.0952228	0.00030468	0.00476549	0.00387568	0.000489329	0.007656	0.488879	0.00726599	0.147387	0.25	0.11769	0.0900961	0.0507385	0.617191	0.376361	0.32671	0.122593	0.000727489	0.357048	0.000114675	0.315494	0.1542	0.00040048	0.00287484	0.144512	0.105488	0.013	-0.00655155	0.0010466
63	0.327142	0.140046	0.0475783	0.112178	0.000451489	0.00535115	0.00441322	0.000492195	0.0109892	0.56587	0.00746305	0.124075	0.25	0.138616	0.107708	0.0477821	0.659459	0.336125	0.289183	0.162309	0.00100907	0.344742	0.000161033	0.322729	0.139554	0.000445735	0.00201432	0.122061	0.127939	0.013	-0.0085833	0.00156662
64	0.334463	0.124725	0.0465732	0.131278	0.000634726	0.00606927	0.00507765	0.000493228	0.0147616	0.64768	0.00770884	0.101682	0.25	0.162384	0.128007	0.048951	0.699466	0.297304	0.249092	0.200489	0.001385	0.33296	0.000226173	0.329386	0.124232	0.000498401	0.00142683	0.100255	0.149745	0.013	-0.00976981	0.00220717
65	0.341265	0.109093	0.0458145	0.152505	0.000861901	0.00690453	0.00585963	0.000487949	0.018853	0.732933	0.0080024	0.0810732	0.25	0.189049	0.151092	0.0528115	0.735263	0.26224	0.210132	0.234775	0.00188529	0.321752	0.000318948	0.335405	0.108605	0.000556952	0.0010177	0.0800555	0.169944	0.013	-0.0105029	0.00298563
66	0.347471	0.0935805	0.0452517	0.175751	0.00114603	0.00784092	0.00674753	0.000473374	0.0231531	0.819177	0.00834037	0.0629656	0.25	0.218575	0.176974	0.0581901	0.76554	0.232431	0.174941	0.26362	0.00255306	0.311169	0.000453816	0.340723	0.0931071	0.000620019	0.000730105	0.0622355	0.187765	0.013	-0.010971	0.0039483
67	0.352993	0.0786495	0.044845	0.20073	0.00150906	0.00886234	0.00772746	0.000448318	0.0275777	0.900815	0.00871674	0.0478193	0.25	0.250737	0.205529	0.0641759	0.78978	0.208494	0.14503	0.286317	0.00345231	0.301274	0.000655171	0.345266	0.0782012	0.000686559	0.000528032	0.0472912	0.202709	0.013	-0.011274	0.00518816
68	0.357712	0.0647536	0.0445631	0.226689	0.00198821	0.00995593	0.00878601	0.000413617	0.0321009	0.96097	0.00912356	0.0357896	0.25	0.284819	0.23633	0.0700413	0.80824	0.19023	0.120919	0.302894	0.00467714	0.29215	0.000964584	0.348926	0.06434	0.000756306	0.000387435	0.0354021	0.214598	0.013	-0.0114699	0.00687583
69	0.361437	0.052309	0.0443807	0.251802	0.00264703	0.0111195	0.00991675	0.000372207	0.036799	0.977355	0.00955354	0.0267515	0.25	0.318977	0.268196	0.0751673	0.821753	0.176842	0.102426	0.313857	0.00634698	0.283922	0.00144756	0.35152	0.0519368	0.000830492	0.000291575	0.0264599	0.22354	0.013	-0.0115951	0.0093006
70	0.364065	0.0416285	0.0442774	0.274554	0.00359421	0.0123708	0.0111299	0.000328469	0.0418937	0.978485	0.00999845	0.0203406	0.25	0.351593	0.29942	0.0789771	0.83148	0.167193	0.0889859	0.319911	0.00859408	0.276783	0.00219875	0.352935	0.0413	0.000912439	0.000228079	0.0201125	0.229887	0.013	-0.011673	0.012896
71	0.365641	0.0328153	0.0442367	0.29478	0.00502571	0.0137595	0.0124643	0.00028667	0.0478177	0.978613	0.0104496	0.0160071	0.25	0.382381	0.329103	0.0808504	0.838844	0.159877	0.0798086	0.321811	0.0116237	0.271019	0.00337523	0.353177	0.0325286	0.00100855	0.000187104	0.01582	0.23418	0.013	-0.0117214	0.0183113
72	0.366203	0.0257816	0.0442451	0.312474	0.00732153	0.0153912	0.0140098	0.000250304	0.0553771	0.978494	0.0109081	0.0131736	0.25	0.411251	0.356898	0.0800105	0.845448	0.153306	0.0740771	0.3201	0.015769	0.267061	0.00524874	0.352193	0.0255313	0.00113114	0.00016112	0.0130124	0.236988	0.013	-0.0117539	0.0265946
73	0.36572	0.0203274	0.0442933	0.327452	0.011239	0.0174747	0.015949	0.000222189	0.0660285	0.978116	0.0113926	0.0113565	0.25	0.43799	0.382477	0.0754238	0.85297	0.145812	0.0711528	0.3148	0.0215029	0.265581	0.00825928	0.349771	0.0201052	0.00130346	0.000144785	0.0112117	0.238788	0.013	-0.011782	0.0393884
74	0.364032	0.0162058	0.0443765	0.339171	0.0182281	0.0203989	0.0186256	0.000204877	0.082302	0.977372	0.0119499	0.0102044	0.25	0.462117	0.40525	0.0659299	0.863108	0.135707	0.0704989	0.305376	0.0293688	0.267605	0.0130233	0.345406	0.0160009	0.00156844	0.00013458	0.0100698	0.23993	0.013	-0.0118152	0.0589171
