Time	[RuBP]	[PGA]	[TP]	[Ru5P]	[Pi]	[ATP]	[ADP]	[RuBisCo]	[totRuBP]	[TPc]	[Pic]
76	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
77	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
78	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
79	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
80	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
81	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
82	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
83	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
84	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
85	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
86	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
87	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
88	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
89	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
90	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
91	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
92	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
93	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
94	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
95	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
96	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
97	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
98	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
99	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
100	0.689217	9.70379	0.229621	0.259071	0.84582	0.213335	1.28666	3.56	2.37418	0.2	1.4
