Time	[ADPi]	[ATPi]	[Cri]	[PCri]	[PCr]	[ADP]	[ATP]	[Cr]	[Pii]	[Pi]
88	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
89	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
90	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
91	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
92	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
93	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
94	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
95	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
96	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
97	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
98	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
99	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
100	57645.7	554.254	155997	3.19739	0.145785	4849.92	0.0821704	12999.9	73796.7	6170.26
