Time	[PGA]	[DPGA]	[GAP]	[DHAP]	[TP]	[FBP]	[F6P]	[G6P]	[G1P]	[HeP]	[E4P]	[SBP]	[S7P]	[X5P]	[R5P]	[Ru5P]	[PeP]	[RuBP]	[ATP]	[ADP]	[NADPH]	[Pi]	[PGCA]	[GCA]	[GCEA]	[CO2]	[O2]	[NADP]	[HPRc]	[GCAc]	[GOAc]	[GLYc]	[SERc]	[GCEAc]	[PGAc]	[GAPc]	[DHAPc]	[TPc]	[FBPc]	[F6Pc]	[G6Pc]	[G1Pc]	[HePc]	[F26BPc]	[UDPGc]	[SucPc]	[Succ]	[UTPc]	[UDPc]	[NAD]	[NADH]	[GLUc]	[KGc]	[Pic]	[PiTc]	[ATPc]	[ADPc]	[PiPic]
20	4.277	0.00472467	0.128732	2.57463	2.70336	0.0248537	0.133561	0.307191	0.0178171	0.45857	0.240459	0.333886	0.672891	0.185778	0.311179	0.124471	0.621428	2.53497	0.14701	1.35299	0.21	0.0822713	0.000129652	0.0424396	0.279049	0.009	0.2646	0.29	0.00228868	0.0208745	0.00864786	0.990704	8.1903	0.283101	0.0619216	0.250159	5.00319	5.25335	1.61294	1.51646	3.48786	0.203691	5.20801	0.0385531	1.30048	0.00955284	0.0325301	0.75	-0.550476	0.4	0.47	24	0.4	0.0641858	0.0641858	0.35	0.65	7.80304e-10
21	4.46855	0.0047688	0.129918	2.59836	2.72828	0.0250878	0.130685	0.300575	0.0174333	0.448692	0.233718	0.323535	0.658783	0.184808	0.309554	0.123821	0.618183	2.45353	0.14729	1.35271	0.21	0.0825317	0.000129138	0.0429544	0.296242	0.009	0.2646	0.29	0.0022808	0.0207758	0.00860658	0.985985	8.20177	0.299701	0.0650568	0.252417	5.04835	5.30077	1.60548	1.50511	3.46176	0.202167	5.16904	0.0394485	1.32436	0.0100565	0.0343561	0.75	-0.574363	0.4	0.47	24	0.4	0.0652274	0.0652274	0.35	0.65	5.34106e-10
22	4.64623	0.00481779	0.131133	2.62266	2.75379	0.0253369	0.128137	0.294716	0.0170935	0.439947	0.22795	0.314842	0.644335	0.183737	0.30776	0.123104	0.614601	2.37625	0.147675	1.35233	0.21	0.0828373	0.000128614	0.0434358	0.312909	0.009	0.2646	0.29	0.00227263	0.020675	0.00856485	0.981609	8.21297	0.315783	0.0680511	0.254669	5.09337	5.34804	1.59849	1.4936	3.43528	0.20062	5.1295	0.0402995	1.34706	0.0105667	0.0362141	0.75	-0.597062	0.4	0.47	24	0.4	0.066261	0.066261	0.35	0.65	4.66263e-10
23	4.8095	0.00487164	0.13239	2.64779	2.78018	0.0256044	0.125902	0.289574	0.0167953	0.432271	0.223096	0.30776	0.629642	0.182586	0.305831	0.122332	0.610749	2.30331	0.148154	1.35185	0.21	0.0831871	0.000128083	0.0438821	0.32897	0.009	0.2646	0.29	0.00226425	0.0205727	0.0085228	0.977477	8.22396	0.331281	0.0708874	0.256916	5.13833	5.39524	1.59194	1.48193	3.40843	0.199052	5.08941	0.041108	1.36858	0.0110817	0.0380992	0.75	-0.618579	0.4	0.47	24	0.4	0.0672778	0.0672778	0.35	0.65	-4.33609e-11
24	4.95794	0.00493028	0.133696	2.67392	2.80761	0.0258927	0.123963	0.285115	0.0165367	0.425615	0.219105	0.302236	0.614812	0.181372	0.303799	0.121519	0.60669	2.23484	0.148721	1.35128	0.21	0.0835793	0.00012755	0.044292	0.344351	0.009	0.2646	0.29	0.00225574	0.0204697	0.00848065	0.973522	8.23477	0.346128	0.0735487	0.259164	5.18327	5.44243	1.58582	1.47009	3.38121	0.197463	5.04876	0.0418758	1.38893	0.0115993	0.0400057	0.75	-0.638926	0.4	0.47	24	0.4	0.0682689	0.0682689	0.35	0.65	3.56442e-10
25	5.0912	0.00499347	0.135057	2.70114	2.83619	0.0262031	0.122307	0.281305	0.0163157	0.419928	0.215927	0.298212	0.59996	0.180115	0.301692	0.120677	0.602484	2.17099	0.149365	1.35064	0.21	0.0840114	0.000127018	0.0446649	0.358977	0.009	0.2646	0.29	0.00224718	0.0203669	0.00843868	0.969695	8.24543	0.36026	0.0760189	0.261413	5.22826	5.48967	1.58009	1.4581	3.35363	0.195852	5.00758	0.0426047	1.40812	0.0121173	0.041927	0.75	-0.658115	0.4	0.47	24	0.4	0.0692258	0.0692258	0.35	0.65	-3.28091e-10
26	5.20908	0.00506084	0.136474	2.72947	2.86595	0.026536	0.120919	0.278114	0.0161306	0.415164	0.213511	0.295625	0.585207	0.17883	0.299541	0.119816	0.598187	2.11189	0.150075	1.34992	0.21	0.0844793	0.000126493	0.0450004	0.37278	0.009	0.2646	0.29	0.00223869	0.0202652	0.00839722	0.965969	8.25595	0.373618	0.0782829	0.263667	5.27334	5.53701	1.57473	1.44596	3.3257	0.194221	4.96588	0.0432959	1.42616	0.0126331	0.0438557	0.75	-0.676163	0.4	0.47	24	0.4	0.0701402	0.0701402	0.35	0.65	3.25734e-10
27	5.31153	0.00513183	0.137944	2.75888	2.89682	0.0268912	0.119787	0.27551	0.0159796	0.411276	0.211811	0.29441	0.570672	0.177535	0.297371	0.118949	0.593855	2.05761	0.150841	1.34916	0.21	0.0849779	0.00012598	0.0452987	0.385695	0.009	0.2646	0.29	0.00223033	0.0201656	0.00835659	0.962333	8.26633	0.386145	0.0803272	0.265928	5.31856	5.58448	1.56973	1.43367	3.29743	0.19257	4.92367	0.0439509	1.44309	0.0131439	0.0457836	0.75	-0.69309	0.4	0.47	24	0.4	0.0710039	0.0710039	0.35	0.65	-2.5725e-10
28	5.39866	0.00520569	0.139462	2.78924	2.9287	0.0272672	0.118896	0.273462	0.0158608	0.408219	0.210779	0.2945	0.556472	0.176245	0.29521	0.118084	0.589539	2.00821	0.151649	1.34835	0.21	0.0855009	0.000125485	0.0455606	0.397669	0.009	0.2646	0.29	0.00222223	0.0200691	0.00831717	0.958784	8.27659	0.397792	0.0821405	0.268197	5.36393	5.63213	1.56508	1.42124	3.26884	0.1909	4.88098	0.0445709	1.45892	0.013647	0.0477019	0.75	-0.708918	0.4	0.47	24	0.4	0.0718093	0.0718093	0.35	0.65	7.35644e-10
29	5.47075	0.00528148	0.141019	2.82038	2.9614	0.0276619	0.118234	0.271938	0.0157724	0.405944	0.210369	0.295824	0.542719	0.174974	0.293081	0.117232	0.585287	1.96367	0.152483	1.34752	0.21	0.0860407	0.000125011	0.0457871	0.408653	0.009	0.2646	0.29	0.00221445	0.0199767	0.00827928	0.955331	8.28672	0.408516	0.0837143	0.270475	5.40949	5.67997	1.56074	1.40867	3.23994	0.189213	4.83783	0.045157	1.47368	0.0141393	0.0496009	0.75	-0.723677	0.4	0.47	24	0.4	0.0725495	0.0725495	0.35	0.65	1.55595e-10
30	5.52829	0.00535812	0.142603	2.85206	2.99467	0.0280722	0.117785	0.270906	0.0157126	0.404404	0.210535	0.298309	0.529513	0.173735	0.291006	0.116402	0.581143	1.92396	0.15333	1.34667	0.21	0.086589	0.000124563	0.0459793	0.418613	0.009	0.2646	0.29	0.00220709	0.0198891	0.00824326	0.951988	8.29672	0.418284	0.085043	0.272763	5.45525	5.72802	1.55672	1.39598	3.21076	0.187508	4.79425	0.0457101	1.4874	0.0146179	0.051471	0.75	-0.737396	0.4	0.47	24	0.4	0.0732184	0.0732184	0.35	0.65	7.54103e-10
