Time	Values[h_post]	Values[V_post]	Values[n_post]	Values[s]	Values[V_pre]	Values[h_pre]	Values[n_pre]
75	0.790455	-64.3679	0.0865294	0.00289842	-64.0074	0.780502	0.0891535
76	0.78989	-64.347	0.0866795	0.0026226	-64.0081	0.780522	0.0891485
77	0.789356	-64.3272	0.0868213	0.00237303	-64.0087	0.78054	0.0891438
78	0.78885	-64.3086	0.0869554	0.0021472	-64.0093	0.780556	0.0891395
79	0.788373	-64.291	0.0870819	0.00194287	-64.0099	0.780572	0.0891353
80	0.787921	-64.2744	0.0872014	0.00175798	-64.0104	0.780587	0.0891315
81	0.787495	-64.2588	0.0873142	0.00159069	-64.0108	0.7806	0.0891279
82	0.787093	-64.2441	0.0874205	0.00143931	-64.0113	0.780613	0.0891247
83	0.786714	-64.2302	0.0875208	0.00130235	-64.0117	0.780625	0.0891216
84	0.786356	-64.2172	0.0876153	0.00117841	-64.0121	0.780636	0.0891186
85	0.786019	-64.2049	0.0877044	0.00106627	-64.0125	0.780646	0.0891159
86	0.785701	-64.1933	0.0877883	0.000964801	-64.0128	0.780656	0.0891134
87	0.785401	-64.1825	0.0878673	0.000872988	-64.0131	0.780665	0.089111
88	0.785119	-64.1723	0.0879417	0.000789913	-64.0134	0.780673	0.0891088
89	0.784853	-64.1627	0.0880117	0.000714742	-64.0137	0.780681	0.0891068
90	0.784603	-64.1536	0.0880776	0.000646726	-64.014	0.780689	0.0891049
91	0.784368	-64.1451	0.0881395	0.000585181	-64.0142	0.780696	0.0891031
92	0.784147	-64.1372	0.0881978	0.000529494	-64.0144	0.780702	0.0891014
93	0.783939	-64.1297	0.0882525	0.000479106	-64.0146	0.780708	0.0890999
94	0.783743	-64.1226	0.088304	0.000433513	-64.0148	0.780713	0.0890984
95	0.783559	-64.116	0.0883524	0.000392258	-64.015	0.780719	0.089097
96	0.783386	-64.1098	0.0883978	0.00035493	-64.0152	0.780724	0.0890958
97	0.783224	-64.104	0.0884405	0.000321154	-64.0153	0.780728	0.0890946
98	0.783071	-64.0986	0.0884806	0.000290592	-64.0155	0.780732	0.0890935
99	0.782928	-64.0934	0.0885183	0.000262939	-64.0156	0.780736	0.0890924
100	0.782793	-64.0886	0.0885536	0.000237917	-64.0158	0.78074	0.0890915
