Time	[Bhi]	[VattHi]	[Vex]	[Blo]	[VattLo]	[Ven]	[Vfus]	[VpCyt]	[VpNuc]	[Rc]	[P_Rdrp]	[RcRdrp]	[P_Np]	[P_M1]	[VpNucM1]	[VpCytM1]	[Cp]	[Rv]	[RvRdrp]	[Rm1]	[Rm2]	[Rm3]	[Rm4]	[Rm5]	[Rm6]	[Rm7]	[Rm8]	[P_Pb1]	[P_Pb2]	[P_Pa]	[P_Nep]	[P_Ha]	[P_Na]	[P_M2]	[Vrel]	[total cRNA]	[total cRNA of a segment]	[total vRNA]	[total vRNA of a segment]
20	150	2.09366e-22	1.58261e-22	1000	9.63226e-24	2.9968e-22	5.1	2.39475e-21	177.653	1.65479e-06	1.48153e+08	0.00687853	1.18397e+08	2.56046e+08	1403.41	548958	4563.02	0.00042688	1.77443	8733.87	8733.87	9164.44	11532.5	13157.5	14556.4	20161.8	23344	0.690595	0.690595	7.41678e+06	4.50168e+07	1.86246e+08	2.4826e+08	5.95338e+06	24813.4	4563.03	570.379	550541	68817.6
21	150	2.82994e-23	2.13917e-23	1000	1.30196e-24	4.05068e-23	5.1	3.2369e-22	170.418	1.55276e-06	1.51458e+08	0.00660494	1.18279e+08	2.57369e+08	1330.43	545535	4399.81	0.00040263	1.71266	8272.91	8272.91	8680.75	10923.8	12463.1	13788.2	19097.7	22111.9	0.664564	0.664564	7.58646e+06	4.57869e+07	1.89778e+08	2.53794e+08	6.0313e+06	26838.1	4399.82	549.978	547038	68379.8
22	150	2.09481e-24	1.58348e-24	1000	9.63753e-26	2.99844e-24	5.1	2.39606e-23	163.654	1.46092e-06	1.54589e+08	0.00635444	1.18062e+08	2.58358e+08	1262.78	540400	4241.43	0.000380274	1.65405	7861.43	7861.43	8248.99	10380.5	11843.2	13102.4	18147.8	21012.1	0.64106	0.64106	7.74746e+06	4.65028e+07	1.93086e+08	2.59036e+08	6.10173e+06	28846.9	4241.43	530.179	541828	67728.5
23	150	2.35857e-25	1.78285e-25	1000	1.0851e-26	3.37597e-25	5.1	2.69775e-24	157.3	1.37768e-06	1.57565e+08	0.00612288	1.1777e+08	2.59072e+08	1199.84	533809	4088.03	0.000359598	1.59818	7490.54	7490.54	7859.82	9890.75	11284.4	12484.2	17291.6	20020.8	0.619659	0.619659	7.90066e+06	4.71714e+07	1.96196e+08	2.64017e+08	6.16572e+06	30833.9	4088.03	511.004	535167	66895.9
24	150	-6.70422e-26	-5.06775e-26	1000	-3.08439e-27	-9.59617e-26	5.1	-7.66832e-25	151.308	1.30177e-06	1.60401e+08	0.00590707	1.17423e+08	2.59558e+08	1141.12	525992	3939.69	0.000340423	1.54474	7153.23	7153.23	7505.88	9445.36	10776.3	11922.1	16512.9	19119.2	0.600022	0.600022	8.0468e+06	4.77984e+07	1.9913e+08	2.68761e+08	6.22416e+06	32794.3	3939.7	492.462	527286	65910.7
25	150	-5.3282e-26	-4.02761e-26	1000	-2.45133e-27	-7.6266e-26	5.1	-6.09443e-25	145.639	1.23219e-06	1.63109e+08	0.00570454	1.17036e+08	2.59855e+08	1086.21	517154	3796.44	0.000322597	1.49349	6843.96	6843.96	7181.36	9036.99	10310.4	11406.6	15799	18292.6	0.581879	0.581879	8.18649e+06	4.83887e+07	2.01907e+08	2.73291e+08	6.27781e+06	34723.7	3796.45	474.556	518387	64798.4
26	150	7.50569e-27	5.67358e-27	1000	3.45312e-28	1.07434e-26	5.1	8.58505e-26	140.26	1.16812e-06	1.65701e+08	0.00551335	1.16622e+08	2.59998e+08	1034.74	507476	3658.23	0.000305992	1.44423	6558.37	6558.37	6881.69	8659.89	9880.15	10930.6	15139.7	17529.3	0.565012	0.565012	8.32025e+06	4.8946e+07	2.04542e+08	2.77624e+08	6.32727e+06	36618.9	3658.24	457.28	508652	63581.5
27	150	-5.5914e-27	-4.22657e-27	1000	-2.57242e-28	-8.00333e-27	5.1	-6.39548e-26	135.144	1.1089e-06	1.68184e+08	0.00533199	1.1619e+08	2.60013e+08	986.411	497118	3525	0.000290495	1.39681	6292.96	6292.96	6603.19	8309.42	9480.3	10488.3	14527	16819.9	0.549243	0.549243	8.44851e+06	4.94738e+07	2.07048e+08	2.81774e+08	6.37307e+06	38477	3525.01	440.626	498241	62280.1
28	150	4.58741e-28	3.46764e-28	1000	2.11052e-29	6.56626e-28	5.1	5.24711e-27	130.267	1.05396e-06	1.70566e+08	0.00515923	1.15747e+08	2.59924e+08	940.957	486222	3396.65	0.000276007	1.35109	6044.91	6044.91	6342.92	7981.9	9106.62	10074.9	13954.4	16156.9	0.534429	0.534429	8.57165e+06	4.99749e+07	2.09437e+08	2.85755e+08	6.41564e+06	40295.7	3396.65	424.582	487294	60911.8
29	150	2.13228e-27	1.6118e-27	1000	9.80991e-29	3.05207e-27	5.1	2.43891e-26	125.611	1.00283e-06	1.72855e+08	0.0049941	1.15301e+08	2.5975e+08	898.147	474910	3273.06	0.000262444	1.30697	5811.99	5811.99	6098.52	7674.35	8755.73	9686.66	13416.7	15534.4	0.520451	0.520452	8.69e+06	5.04517e+07	2.11718e+08	2.89578e+08	6.45537e+06	42073.3	3273.06	409.133	475935	59491.9
