Time	[II_f]	[II_l]	[mIIa_f]	[mIIa_l]	[V_f]	[V_l]	[Va_f]	[Va_l]	[VII_f]	[VII_l]	[VIIa_f]	[VIIa_l]	[VIII_f]	[VIII_l]	[VIIIa_f]	[VIIIa_l]	[IX_f]	[IX_l]	[IXa_f]	[IXa_l]	[X_f]	[X_l]	[Xa_f]	[Xa_l]	[APC_f]	[APC_l]	[PS_f]	[PS_l]	[VIIIai_f]	[VIIIai_l]	[Vai_f]	[Vai_l]	[PC_f]	[PC_l]	[TF_l]	[TF_VIIa_l]	[TF_VII_l]	[TF_VIIa_IX_l]	[TF_VIIa_IXa_l]	[TF_VIIa_X_l]	[TF_VIIa_Xa_l]	[TF_VII_Xa_l]	[IXa_VIIIa_l]	[Xa_Va_l]	[IXa_VIIIa_X_l]	[V_Xa_l]	[VIII_Xa_l]	[IIa_f]	[V_IIa_l]	[VIII_IIa_l]	[Xa_Va_II_l]	[Xa_Va_mIIa_l]	[XI_f]	[XI_IIa_l]	[XIa_l]	[APC_PS_l]	[APC_PS_VIIIa_l]	[TFPI_f]	[AT_f]	[IIa_AT_f]	[TFPI_Xa_l]	[TFPI_Xa_TF_VIIa_l]	[APC_PS_Va_l]	[IXa_AT_f]	[Xa_AT_f]	[VII_Xa_l]	[V_mIIa_l]	[VIII_mIIa_l]	[TM_l]	[IIa_TM_l]	[IIa_TM_PC_l]	[mIIa_AT_l]	[XIa_IX_l]	[LIPID]
10	48.3915	1351.61	1.58937e-09	1.08901e-06	0.00892456	19.9895	8.86208e-08	0.000193168	0.0202766	9.97779	6.90219e-05	0.0987517	0.000215459	0.699757	2.08494e-09	2.02315e-06	0.0318567	89.9675	1.55018e-07	0.000438027	4.83126	165.166	1.49141e-05	0.00085232	7.43208e-11	6.91251e-09	0.184629	299.815	3.18375e-18	3.09879e-15	1.33573e-16	2.91928e-13	2.05189	57.9481	0.00189575	0.000617029	0.00154334	0.00022309	0	0.000299258	0.000421533	1.092e-09	7.14401e-11	7.14529e-08	6.0306e-11	0.00137952	2.58719e-05	1.0945e-07	2.80472e-08	4.99735e-10	8.50533e-08	1.35586e-08	30	2.72328e-08	3.79962e-08	1.55937e-07	9.95772e-15	2.5	3400	3.45374e-08	2.11982e-06	2.92576e-11	9.47088e-13	9.17527e-10	4.14784e-07	7.0665e-06	2.51764e-07	4.95878e-09	1	6.90746e-08	3.73777e-08	4.76015e-11	1.44181e-08	649551
11	48.3915	1351.61	2.97553e-09	2.03835e-06	0.00892441	19.9892	1.18622e-07	0.00025854	0.0202762	9.97759	6.90432e-05	0.0987823	0.000215457	0.699751	2.76174e-09	2.67965e-06	0.0318566	89.9674	1.82621e-07	0.000515996	4.83125	165.165	1.75657e-05	0.00100376	1.52001e-10	1.41341e-08	0.184629	299.815	1.07332e-17	1.04425e-14	4.55669e-16	9.95518e-13	2.05189	57.9481	0.00172716	0.000649163	0.00162569	0.000235488	0	0.000314912	0.000447581	1.35564e-09	1.21751e-10	1.19861e-07	1.0308e-10	0.00165319	3.07306e-05	1.96837e-07	5.0881e-08	9.02658e-10	1.42747e-07	2.27722e-08	30	4.92497e-08	7.59806e-08	3.41408e-07	3.00486e-14	2.5	3400	6.93025e-08	2.76812e-06	4.4658e-11	2.88975e-12	1.19857e-09	5.41687e-07	8.3244e-06	4.75103e-07	9.32385e-09	1	1.33903e-07	7.29817e-08	9.92264e-11	2.98688e-08	649551
12	48.3915	1351.61	5.23323e-09	3.58433e-06	0.00892424	19.9888	1.54303e-07	0.000336285	0.0202758	9.97738	6.90839e-05	0.0988406	0.000215455	0.699745	3.56255e-09	3.45641e-06	0.0318566	89.9673	2.11647e-07	0.000597982	4.83123	165.165	2.03531e-05	0.00116295	2.89512e-10	2.69154e-08	0.184629	299.815	3.20322e-17	3.1154e-14	1.37319e-15	2.99915e-12	2.05189	57.9481	0.00157499	0.000678316	0.00169966	0.000246731	0	0.000329114	0.000471193	1.6422e-09	1.96988e-10	1.90679e-07	1.67187e-10	0.00194327	3.58572e-05	3.33474e-07	8.68212e-08	1.53474e-09	2.27187e-07	3.62642e-08	30	8.38211e-08	1.41803e-07	6.90268e-07	8.10599e-14	2.5	3400	1.29759e-07	3.52501e-06	6.54472e-11	7.86531e-12	1.52681e-09	6.89865e-07	9.64676e-06	8.41103e-07	1.6457e-08	1	2.42426e-07	1.32918e-07	1.92521e-10	5.74351e-08	649551
13	48.3915	1351.61	8.7392e-09	5.98476e-06	0.00892406	19.9884	1.9605e-07	0.000427243	0.0202753	9.97716	6.9144e-05	0.0989266	0.000215453	0.699739	4.49678e-09	4.36253e-06	0.0318566	89.9672	2.41966e-07	0.000683617	4.83122	165.164	2.32634e-05	0.00132915	5.19842e-10	4.83207e-08	0.184629	299.815	8.64426e-17	8.4049e-14	3.73533e-15	8.15619e-12	2.05189	57.9481	0.00143762	0.000704782	0.00176605	0.000256935	0	0.000342006	0.000492612	1.95081e-09	3.05283e-10	2.90336e-07	2.59628e-10	0.00224821	4.12263e-05	5.3776e-07	1.4085e-07	2.48234e-09	3.46046e-07	5.52641e-08	30	1.35689e-07	2.49948e-07	1.30655e-06	1.99363e-13	2.5	3400	2.29408e-07	4.39561e-06	9.2709e-11	1.9482e-11	1.9045e-09	8.60329e-07	1.10275e-05	1.41237e-06	2.75647e-08	0.999999	4.14764e-07	2.28544e-07	3.51916e-10	1.03859e-07	649551
14	48.3915	1351.61	1.39714e-08	9.56668e-06	0.00892388	19.988	2.44252e-07	0.000532261	0.0202748	9.97692	6.92236e-05	0.0990406	0.000215451	0.699732	5.57456e-09	5.40787e-06	0.0318565	89.9671	2.73459e-07	0.000772569	4.8312	165.164	2.62851e-05	0.00150171	8.88239e-10	8.25527e-08	0.184629	299.815	2.14379e-16	2.08393e-13	9.32339e-15	2.03535e-11	2.05189	57.9481	0.00131359	0.00072883	0.0018256	0.000266204	0	0.00035372	0.000512056	2.27899e-09	4.5629e-10	4.26138e-07	3.88722e-10	0.00256659	4.6815e-05	8.32045e-07	2.19039e-07	3.8505e-09	5.08057e-07	8.11712e-08	30	2.10627e-07	4.19911e-07	2.33971e-06	4.53824e-13	2.49999	3400	3.86473e-07	5.38458e-06	1.27598e-10	4.45915e-11	2.33369e-09	1.054e-06	1.24611e-05	2.26858e-06	4.41797e-08	0.999999	6.767e-07	3.74454e-07	6.11739e-10	1.78378e-07	649551
15	48.3915	1351.61	2.15221e-08	1.47353e-05	0.00892367	19.9875	2.99312e-07	0.000652219	0.0202743	9.97666	6.93227e-05	0.0991825	0.000215449	0.699725	6.80725e-09	6.60341e-06	0.0318565	89.967	3.06023e-07	0.000864542	4.83119	165.163	2.94078e-05	0.00168004	1.45491e-09	1.35203e-07	0.184629	299.815	4.94826e-16	4.80911e-13	2.16292e-14	4.72092e-11	2.05189	57.9481	0.00120159	0.000750698	0.00187899	0.000274629	0	0.000364371	0.000529721	2.62474e-09	6.61328e-10	6.06288e-07	5.64229e-10	0.00289715	5.26027e-05	1.24295e-06	3.28636e-07	5.76451e-09	7.23021e-07	1.15557e-07	30	3.1552e-07	6.77196e-07	3.9968e-06	9.67579e-13	2.49999	3400	6.24859e-07	6.49612e-06	1.71333e-10	9.54525e-11	2.81626e-09	1.27169e-06	1.39426e-05	3.5087e-06	6.82044e-08	0.999998	1.06038e-06	5.88891e-07	1.01872e-09	2.93264e-07	649551
16	48.3915	1351.61	3.21113e-08	2.19833e-05	0.00892346	19.987	3.61664e-07	0.00078806	0.0202737	9.97639	6.94415e-05	0.0993526	0.000215447	0.699718	8.20778e-09	7.96172e-06	0.0318564	89.9669	3.39563e-07	0.000959273	4.83117	165.163	3.26221e-05	0.00186359	2.29798e-09	2.13526e-07	0.184629	299.815	1.07398e-15	1.0436e-12	4.71232e-14	1.02838e-10	2.05189	57.9481	0.00110045	0.000770601	0.0019268	0.000282294	0	0.000374065	0.000545783	2.98616e-09	9.33544e-10	8.39918e-07	7.9749e-10	0.00323874	5.85708e-05	1.8017e-06	4.7816e-07	8.37144e-09	1.00185e-06	1.60169e-07	30	4.58455e-07	1.05439e-06	6.556e-06	1.95067e-12	2.49999	3400	9.7518e-07	7.73403e-06	2.25187e-10	1.92939e-10	3.3539e-09	1.51417e-06	1.54675e-05	5.25332e-06	1.01954e-07	0.999998	1.60498e-06	8.9414e-07	1.63479e-09	4.64395e-07	649551
17	48.3915	1351.61	4.66008e-08	3.19003e-05	0.00892323	19.9865	4.31782e-07	0.000940817	0.0202732	9.9761	6.958e-05	0.0995509	0.000215444	0.69971	9.79118e-09	9.49736e-06	0.0318564	89.9668	3.73998e-07	0.00105653	4.83115	165.162	3.59194e-05	0.00205187	3.51666e-09	3.26735e-07	0.184629	299.815	2.21023e-15	2.14737e-12	9.72326e-14	2.12164e-10	2.05189	57.9481	0.00100911	0.000788732	0.00196958	0.000289274	0	0.000382895	0.0005604	3.36144e-09	1.28813e-09	1.13714e-06	1.10161e-09	0.00359033	6.47025e-05	2.54448e-06	6.77495e-07	1.18418e-08	1.35663e-06	2.16947e-07	30	6.48811e-07	1.59234e-06	1.03816e-05	3.7475e-12	2.49999	3400	1.47587e-06	9.10175e-06	2.90483e-10	3.71141e-10	3.94818e-09	1.78212e-06	1.70317e-05	7.64699e-06	1.48201e-07	0.999996	2.35744e-06	1.31693e-06	2.54025e-09	7.11884e-07	649551
18	48.3915	1351.61	6.60091e-08	4.5183e-05	0.00892299	19.986	5.10194e-07	0.00111164	0.0202725	9.97579	6.97384e-05	0.0997775	0.000215442	0.699702	1.1575e-08	1.12274e-05	0.0318564	89.9667	4.09254e-07	0.0011561	4.83114	165.162	3.9292e-05	0.00224445	5.23473e-09	4.86322e-07	0.184629	299.815	4.34251e-15	4.21845e-12	1.9132e-13	4.17415e-10	2.05189	57.9481	0.000926607	0.000805265	0.00200783	0.000295636	0	0.000390947	0.000573714	3.74846e-09	1.74258e-09	1.50912e-06	1.49169e-09	0.00395098	7.09824e-05	3.51283e-06	9.38e-07	1.63715e-08	1.80072e-06	2.88028e-07	30	8.97363e-07	2.34136e-06	1.59404e-05	6.90458e-12	2.49999	3400	2.17438e-06	1.06024e-05	3.68586e-10	6.83803e-10	4.60052e-09	2.07615e-06	1.86316e-05	1.08608e-05	2.10226e-07	0.999995	3.37311e-06	1.88882e-06	3.83715e-09	1.06074e-06	649551
19	48.3915	1351.61	9.15281e-08	6.26468e-05	0.00892274	19.9854	5.975e-07	0.00130184	0.0202719	9.97546	6.99166e-05	0.100033	0.000215439	0.699694	1.35801e-08	1.3172e-05	0.0318563	89.9666	4.45268e-07	0.00125782	4.83112	165.161	4.27328e-05	0.00244094	7.60427e-09	7.0641e-07	0.184629	299.815	8.19204e-15	7.95708e-12	3.6106e-13	7.87663e-10	2.05189	57.9481	0.000852079	0.000820358	0.00204197	0.000301441	0	0.000398297	0.000585853	4.14694e-09	2.31703e-09	1.96822e-06	1.98509e-09	0.00431985	7.73968e-05	4.75411e-06	1.27264e-06	2.21841e-08	2.34885e-06	3.7578e-07	30	1.21641e-06	3.36264e-06	2.38194e-05	1.22657e-11	2.49999	3400	3.12848e-06	1.22388e-05	4.609e-10	1.21318e-09	5.31224e-09	2.39682e-06	2.02638e-05	1.50951e-05	2.91869e-07	0.999993	4.71653e-06	2.64668e-06	5.65322e-09	1.54162e-06	649551
20	48.3915	1351.61	1.24541e-07	8.5238e-05	0.00892248	19.9848	6.94387e-07	0.00151291	0.0202711	9.97511	7.01147e-05	0.100316	0.000215436	0.699685	1.58309e-08	1.53549e-05	0.0318563	89.9665	4.81987e-07	0.00136152	4.8311	165.16	4.62357e-05	0.00264096	1.08098e-08	1.00413e-06	0.184629	299.815	1.49107e-14	1.44815e-11	6.56718e-13	1.43252e-09	2.05189	57.9481	0.000784751	0.00083415	0.0020724	0.000306744	0	0.000405013	0.000596934	4.55409e-09	3.03467e-09	2.52809e-06	2.60183e-09	0.00469617	8.39332e-05	6.32208e-06	1.69613e-06	2.95331e-08	3.01738e-06	4.8282e-07	30	1.6199e-06	4.72968e-06	3.47457e-05	2.11042e-11	2.49999	3400	4.40765e-06	1.40135e-05	5.6886e-10	2.08203e-09	6.08454e-09	2.74465e-06	2.19253e-05	2.05826e-05	3.97589e-07	0.99999	6.46226e-06	3.63311e-06	8.14604e-09	2.19157e-06	649551
21	48.3915	1351.61	1.66644e-07	0.000114048	0.0089222	19.9842	8.01645e-07	0.00174657	0.0202704	9.97473	7.03329e-05	0.100628	0.000215434	0.699676	1.83564e-08	1.78041e-05	0.0318563	89.9664	5.19365e-07	0.00146709	4.83108	165.16	4.97948e-05	0.00284418	1.50727e-08	1.40003e-06	0.184629	299.815	2.62934e-14	2.55343e-11	1.15599e-12	2.52138e-09	2.05189	57.9481	0.00072392	0.00084677	0.0020995	0.000311593	0	0.000411157	0.000607058	4.96915e-09	3.92229e-09	3.20394e-06	3.36503e-09	0.00507924	9.05802e-05	8.27757e-06	2.22514e-06	3.87056e-08	3.82446e-06	6.12058e-07	30	2.12363e-06	6.52997e-06	4.96072e-05	3.53054e-11	2.49998	3400	6.09469e-06	1.59289e-05	6.93929e-10	3.46966e-09	6.91858e-09	3.1201e-06	2.36133e-05	2.75921e-05	5.32533e-07	0.999986	8.69583e-06	4.897e-06	1.15077e-08	3.05494e-06	649551
22	48.3915	1351.61	2.19669e-07	0.000150332	0.0089219	19.9836	9.20189e-07	0.00200482	0.0202696	9.97433	7.05711e-05	0.100969	0.000215431	0.699666	2.11904e-08	2.05527e-05	0.0318562	89.9662	5.57365e-07	0.00157442	4.83107	165.159	5.34049e-05	0.00305032	2.06562e-08	1.91857e-06	0.184629	299.815	4.50786e-14	4.37735e-11	1.97622e-12	4.31009e-09	2.05189	57.948	0.000668957	0.00085833	0.00212357	0.000316032	0	0.000416786	0.00061632	5.39089e-09	5.01093e-09	4.01272e-06	4.30143e-09	0.00546843	9.73275e-05	1.06893e-05	2.87847e-06	5.00259e-08	4.79035e-06	7.66741e-07	30	2.74545e-06	8.86677e-06	6.9476e-05	5.76161e-11	2.49998	3400	8.28739e-06	1.7987e-05	8.37596e-10	5.63329e-09	7.81541e-09	3.52357e-06	2.53254e-05	3.64322e-05	7.0261e-07	0.999982	1.15148e-05	6.49417e-06	1.59702e-08	4.18433e-06	649551
23	48.3915	1351.61	2.85715e-07	0.000195522	0.00892159	19.9829	1.05108e-06	0.00228996	0.0202687	9.97391	7.08293e-05	0.101339	0.000215427	0.699656	2.43731e-08	2.36393e-05	0.0318562	89.9661	5.9596e-07	0.00168342	4.83105	165.159	5.70612e-05	0.00325909	2.78711e-08	2.58857e-06	0.184629	299.815	7.53671e-14	7.31799e-11	3.29106e-12	7.17727e-09	2.05189	57.948	0.000619291	0.000868935	0.00214491	0.000320103	0	0.000421949	0.000624803	5.81824e-09	6.33663e-09	4.97344e-06	5.44212e-09	0.00586316	0.000104166	1.36348e-05	3.67738e-06	6.38601e-08	5.93777e-06	9.50512e-07	30	3.5055e-06	1.18611e-05	9.56341e-05	9.1984e-11	2.49998	3400	1.11005e-05	2.01897e-05	1.00137e-09	8.93615e-09	8.77605e-09	3.95547e-06	2.70592e-05	4.74562e-05	9.14586e-07	0.999976	1.503e-05	8.48806e-06	2.18108e-08	5.64161e-06	649551
24	48.3915	1351.61	3.67175e-07	0.000251259	0.00892127	19.9821	1.19554e-06	0.00260466	0.0202678	9.97347	7.11077e-05	0.101737	0.000215424	0.699645	2.79513e-08	2.71095e-05	0.0318561	89.966	6.35132e-07	0.00179405	4.83103	165.158	6.07594e-05	0.00347026	3.70816e-08	3.44387e-06	0.184629	299.815	1.23214e-13	1.19631e-10	5.35349e-12	1.16744e-08	2.05188	57.948	0.000574407	0.000878677	0.00216379	0.000323839	0	0.000426691	0.000632584	6.25018e-09	7.94146e-09	6.10757e-06	6.82339e-09	0.00626291	0.000111086	1.72018e-05	4.64586e-06	8.06217e-08	7.29236e-06	1.16748e-06	30	4.42655e-06	1.56543e-05	0.000129602	1.44029e-10	2.49998	3400	1.4668e-05	2.25387e-05	1.18678e-09	1.38854e-08	9.80147e-09	4.41612e-06	2.88127e-05	6.10677e-05	1.17619e-06	0.99997	1.93673e-05	1.09507e-05	2.93591e-08	7.49922e-06	649551
