Time	[MAPK]	[MAPK_MEK-PP]	[MAPK-P]	[MAPK phosphatase]	[MAPK-P_MAPKPase]	[MAPK-P_MEK-PP]	[MAPK-PP]	[MAPK-PP_MAPKPase]	[MEK]	[MEK-P]	[MEK phosphatase]	[MEK-P_MEKPase]	[MEK-PP]	[MEK-PP_MEKPase]	[MEK-P_RAF-P]	[MEK_RAF-P]	[RAF]	[RAFK]	[RAF-P]	[RAF phosphatase]	[RAF-P_RAFPase]	[RAF_RAFK]
29	0.395579	0.00301363	0.000424336	0.29902	0.000979892	2.74597e-06	2.66491e-07	4.97945e-07	0.110033	0.0131091	0.174807	0.0246556	0.000309483	0.000536913	0.00484169	0.0434974	0.131379	0.157461	0.0633387	0.285597	0.0144033	0.0425395
30	0.395016	0.00336291	0.000484888	0.298868	0.00113151	3.52716e-06	3.51279e-07	6.67571e-07	0.107811	0.0135081	0.174043	0.0253609	0.000343476	0.000596347	0.00516065	0.0438535	0.129189	0.158035	0.0650308	0.285199	0.014801	0.0419651
31	0.394413	0.00373258	0.000550694	0.298701	0.0012977	4.47791e-06	4.57351e-07	8.83122e-07	0.105669	0.0138874	0.173315	0.0260261	0.000379365	0.000659063	0.00547842	0.0441635	0.127078	0.158593	0.066684	0.284811	0.0151888	0.0414071
32	0.39377	0.0041222	0.00062186	0.29852	0.00147886	5.62329e-06	5.88622e-07	1.15383e-06	0.103606	0.0142472	0.172623	0.0266522	0.000417119	0.000725006	0.00579397	0.0444309	0.125044	0.159135	0.0682987	0.284433	0.0155668	0.0408653
33	0.393086	0.00453126	0.000698474	0.298323	0.00167532	6.99008e-06	7.49446e-07	1.49011e-06	0.101618	0.0145875	0.171966	0.0272402	0.000456702	0.000794114	0.00610636	0.0446589	0.123085	0.159661	0.069875	0.284065	0.0159351	0.0403395
34	0.392361	0.00495916	0.0007806	0.298111	0.00188733	8.60666e-06	9.44628e-07	1.90357e-06	0.0997026	0.0149089	0.171342	0.0277913	0.000498076	0.000866319	0.00641474	0.0448503	0.121198	0.160171	0.0714133	0.283706	0.0162938	0.0398294
35	0.391597	0.00540524	0.000868284	0.297883	0.00211509	1.05028e-05	1.17942e-06	2.40707e-06	0.0978569	0.0152115	0.170752	0.0283067	0.000541196	0.000941545	0.00671834	0.0450081	0.119382	0.160665	0.0729139	0.283357	0.016643	0.0393348
36	0.390794	0.0058688	0.00096155	0.297638	0.00235873	1.27097e-05	1.45953e-06	3.0147e-06	0.0960779	0.0154961	0.170193	0.0287877	0.000586013	0.00101971	0.00701647	0.0451346	0.117633	0.161145	0.0743773	0.283017	0.0169829	0.0388555
37	0.389951	0.00634907	0.0010604	0.297378	0.00261831	1.52594e-05	1.79111e-06	3.74182e-06	0.0943629	0.0157629	0.169664	0.0292356	0.000632477	0.00110074	0.00730854	0.0452325	0.11595	0.161609	0.075804	0.282686	0.0173136	0.0383911
38	0.389071	0.00684524	0.00116483	0.297102	0.00289382	1.81849e-05	2.18075e-06	4.60499e-06	0.0927091	0.0160126	0.169164	0.0296518	0.000680534	0.00118453	0.00759404	0.0453039	0.114331	0.162059	0.0771943	0.282365	0.0176353	0.0379415
39	0.388154	0.00735649	0.0012748	0.296809	0.00318519	2.152e-05	2.63545e-06	5.62199e-06	0.091114	0.0162458	0.168691	0.0300378	0.000730127	0.00127099	0.00787252	0.0453508	0.112773	0.162494	0.0785491	0.282052	0.0179482	0.0375062
40	0.3872	0.00788193	0.00139026	0.296501	0.00349229	2.52989e-05	3.16263e-06	6.81175e-06	0.0895749	0.016463	0.168245	0.0303947	0.000781199	0.00136003	0.00814361	0.0453753	0.111275	0.162915	0.0798686	0.281748	0.0182524	0.0370851
41	0.386212	0.0084207	0.00151115	0.296177	0.00381495	2.95558e-05	3.77007e-06	8.19431e-06	0.0880895	0.0166649	0.167824	0.0307241	0.000833689	0.00145156	0.00840701	0.045379	0.109834	0.163322	0.0811537	0.281452	0.0185482	0.0366778
42	0.385189	0.00897188	0.00163738	0.295837	0.00415292	3.43252e-05	4.46593e-06	9.79071e-06	0.0866553	0.0168521	0.167427	0.0310273	0.000887539	0.00154546	0.00866249	0.0453636	0.108449	0.163716	0.0824049	0.281164	0.0188356	0.036284
43	0.384134	0.00953458	0.00176886	0.295482	0.00450591	3.96413e-05	5.25867e-06	1.1623e-05	0.0852702	0.0170252	0.167053	0.0313055	0.000942685	0.00164165	0.00890985	0.0453307	0.107118	0.164097	0.0836228	0.280885	0.0191149	0.0359035
44	0.383048	0.0101079	0.00190549	0.295113	0.00487358	4.55378e-05	6.15707e-06	1.3714e-05	0.083932	0.0171849	0.1667	0.03156	0.000999067	0.00174002	0.00914898	0.0452817	0.105839	0.164464	0.0848082	0.280614	0.0193862	0.0355359
45	0.381931	0.0106909	0.00204715	0.294728	0.00525555	5.20479e-05	7.17015e-06	1.60873e-05	0.0826386	0.0173317	0.166367	0.0317921	0.00105662	0.00184047	0.0093798	0.0452178	0.10461	0.164819	0.0859615	0.28035	0.0196498	0.0351809
46	0.380786	0.0112826	0.00219369	0.29433	0.0056514	5.92038e-05	8.30715e-06	1.87673e-05	0.081388	0.0174663	0.166054	0.0320031	0.00111529	0.00194289	0.00960225	0.0451402	0.10343	0.165162	0.0870836	0.280094	0.0199058	0.0348383
47	0.379614	0.0118823	0.00234499	0.293918	0.00606068	6.70367e-05	9.5775e-06	2.17788e-05	0.0801785	0.0175894	0.165759	0.032194	0.001175	0.00204719	0.00981636	0.0450502	0.102296	0.165492	0.088175	0.279846	0.0201545	0.0345078
48	0.378416	0.012489	0.00250089	0.293492	0.00648289	7.55769e-05	1.09908e-05	2.51469e-05	0.0790081	0.0177014	0.165481	0.0323661	0.0012357	0.00215326	0.0100221	0.0449487	0.101208	0.165811	0.0892365	0.279604	0.0203959	0.0341889
49	0.377193	0.0131018	0.00266124	0.293054	0.00691753	8.48528e-05	1.25566e-05	2.88974e-05	0.0778753	0.0178031	0.165219	0.0325203	0.00129733	0.00226099	0.0102197	0.0448366	0.100163	0.166118	0.0902687	0.27937	0.0206303	0.0338815
50	0.375948	0.0137199	0.00282587	0.292603	0.00736404	9.48918e-05	1.42848e-05	3.30558e-05	0.0767784	0.0178949	0.164972	0.0326578	0.00135982	0.0023703	0.0104091	0.0447149	0.0991607	0.166415	0.0912722	0.279142	0.0208579	0.0335852
51	0.374681	0.0143425	0.0029946	0.29214	0.00782186	0.000105719	1.61851e-05	3.7648e-05	0.0757159	0.0179773	0.164739	0.0327795	0.00142312	0.00248107	0.0105904	0.0445844	0.0981989	0.1667	0.0922477	0.278921	0.0210788	0.0332998
52	0.373395	0.0149688	0.00316728	0.291667	0.00829043	0.000117359	1.82671e-05	4.26995e-05	0.0746863	0.018051	0.16452	0.0328864	0.00148716	0.00259321	0.0107639	0.0444458	0.0972763	0.166975	0.0931959	0.278707	0.0212932	0.0330249
53	0.372091	0.0155979	0.0033437	0.291183	0.00876913	0.000129833	2.05406e-05	4.8236e-05	0.0736882	0.0181165	0.164314	0.0329795	0.00155189	0.00270662	0.0109296	0.0442999	0.0963915	0.16724	0.0941173	0.278499	0.0215013	0.0327602
54	0.370769	0.0162292	0.0035237	0.290688	0.00925738	0.000143161	2.30151e-05	5.42825e-05	0.0727205	0.0181741	0.164119	0.0330594	0.00161725	0.0028212	0.0110878	0.0441474	0.0955433	0.167494	0.0950127	0.278297	0.0217033	0.0325056
55	0.369433	0.0168619	0.00370709	0.290185	0.00975455	0.000157361	2.56999e-05	6.08638e-05	0.0717817	0.0182245	0.163936	0.0331272	0.00168319	0.00293687	0.0112386	0.0439887	0.0947303	0.167739	0.0958827	0.278101	0.0218992	0.0322605
56	0.368082	0.0174953	0.00389367	0.289672	0.01026	0.000172449	2.86043e-05	6.80038e-05	0.0708707	0.018268	0.163763	0.0331836	0.00174964	0.00305351	0.0113822	0.0438246	0.0939512	0.167975	0.0967278	0.277911	0.0220893	0.0320249
57	0.366719	0.0181287	0.00408326	0.289151	0.0107732	0.000188438	3.17372e-05	7.57262e-05	0.0699865	0.0183051	0.1636	0.0332293	0.00181656	0.00317104	0.0115188	0.0436555	0.0932048	0.168202	0.0975488	0.277726	0.0222738	0.0317984
58	0.365345	0.0187616	0.00427568	0.288623	0.0112934	0.00020534	3.51073e-05	8.40535e-05	0.069128	0.0183361	0.163446	0.0332651	0.0018839	0.00328938	0.0116487	0.0434819	0.0924899	0.168419	0.0983461	0.277547	0.0224527	0.0315808
59	0.363961	0.0193932	0.00447072	0.288087	0.0118201	0.000223163	3.8723e-05	9.30074e-05	0.0682941	0.0183616	0.1633	0.0332916	0.00195159	0.00340842	0.0117719	0.0433043	0.0918054	0.168628	0.0991204	0.277374	0.0226263	0.0313717
60	0.362569	0.020023	0.0046682	0.287545	0.0123527	0.000241915	4.25924e-05	0.000102609	0.067484	0.0183818	0.163162	0.0333095	0.0020196	0.00352809	0.0118889	0.0431232	0.0911502	0.168829	0.0998722	0.277205	0.0227946	0.031171
61	0.36117	0.0206505	0.00486793	0.286997	0.0128904	0.0002616	4.67232e-05	0.000112877	0.0666967	0.0183972	0.163032	0.0333193	0.00208787	0.00364829	0.0119997	0.0429389	0.0905231	0.169022	0.100602	0.277042	0.0229579	0.0309783
62	0.359765	0.0212752	0.00506973	0.286443	0.0134328	0.000282221	5.11226e-05	0.000123831	0.0659313	0.018408	0.162909	0.0333217	0.00215636	0.00376895	0.0121045	0.0427518	0.0899233	0.169207	0.101311	0.276884	0.0231162	0.0307934
63	0.358356	0.0218965	0.00527341	0.285885	0.0139793	0.000303777	5.57975e-05	0.000135489	0.0651872	0.0184145	0.162793	0.0333171	0.00222502	0.00388998	0.0122037	0.0425622	0.0893495	0.169384	0.101999	0.27673	0.0232698	0.030616
64	0.356943	0.0225139	0.00547879	0.285323	0.0145292	0.000326269	6.07543e-05	0.000147865	0.0644634	0.0184172	0.162683	0.0333062	0.0022938	0.0040113	0.0122974	0.0423706	0.088801	0.169554	0.102666	0.276581	0.0234187	0.030446
65	0.355528	0.0231271	0.00568569	0.284757	0.0150821	0.00034969	6.5999e-05	0.000160974	0.0637592	0.0184162	0.162578	0.0332893	0.00236266	0.00413283	0.0123858	0.0421772	0.0882766	0.169717	0.103314	0.276437	0.023563	0.0302831
66	0.354113	0.0237356	0.00589393	0.284188	0.0156373	0.000374035	7.15369e-05	0.000174831	0.063074	0.0184119	0.162479	0.033267	0.00243156	0.0042545	0.0124692	0.0419822	0.0877756	0.169873	0.103943	0.276297	0.023703	0.030127
67	0.352697	0.024339	0.00610334	0.283616	0.0161944	0.000399297	7.73732e-05	0.000189446	0.0624072	0.0184044	0.162384	0.0332396	0.00250046	0.00437624	0.0125477	0.041786	0.0872971	0.170023	0.104553	0.276161	0.0238386	0.0299775
68	0.351283	0.0249371	0.00631375	0.283042	0.0167528	0.000425464	8.3512e-05	0.000204831	0.061758	0.0183942	0.162294	0.0332076	0.00256932	0.00449797	0.0126216	0.0415889	0.0868401	0.170166	0.105145	0.27603	0.0239702	0.0298344
69	0.34987	0.0255294	0.006525	0.282467	0.017312	0.000452526	8.99574e-05	0.000220993	0.0611258	0.0183812	0.162209	0.0331714	0.0026381	0.00461962	0.012691	0.041391	0.0864039	0.170303	0.105719	0.275902	0.0240976	0.0296974
70	0.348461	0.0261156	0.00673692	0.28189	0.0178716	0.000480468	9.67126e-05	0.00023794	0.0605102	0.0183659	0.162128	0.0331313	0.00270677	0.00474112	0.0127561	0.0411926	0.0859877	0.170434	0.106276	0.275779	0.0242212	0.0295665
71	0.347055	0.0266955	0.00694935	0.281313	0.018431	0.000509276	0.00010378	0.000255678	0.0599105	0.0183483	0.16205	0.0330876	0.00277528	0.00486241	0.0128172	0.0409939	0.0855907	0.170559	0.106816	0.275659	0.0243409	0.0294413
72	0.345655	0.0272688	0.00716215	0.280736	0.0189899	0.000538932	0.000111163	0.000274211	0.0593263	0.0183288	0.161976	0.0330407	0.0028436	0.00498343	0.0128743	0.0407951	0.0852122	0.170678	0.10734	0.275543	0.0244569	0.0293216
73	0.34426	0.0278353	0.00737516	0.280159	0.0195477	0.000569418	0.000118862	0.000293542	0.0587571	0.0183074	0.161905	0.0329908	0.00291171	0.00510412	0.0129278	0.0405964	0.0848514	0.170793	0.107848	0.275431	0.0245694	0.0292073
74	0.342872	0.0283947	0.00758823	0.279582	0.0201042	0.000600713	0.000126878	0.000313671	0.0582023	0.0182843	0.161837	0.0329384	0.00297956	0.00522441	0.0129777	0.0403979	0.0845077	0.170902	0.10834	0.275322	0.0246783	0.0290982
75	0.34149	0.0289469	0.00780124	0.279007	0.0206588	0.000632797	0.000135213	0.000334599	0.0576616	0.0182597	0.161772	0.0328835	0.00304714	0.00534425	0.0130242	0.0401999	0.0841804	0.171006	0.108818	0.275216	0.0247838	0.0289941
76	0.340117	0.0294917	0.00801404	0.278432	0.0212112	0.000665647	0.000143865	0.000356323	0.0571345	0.0182338	0.16171	0.0328265	0.0031144	0.00546358	0.0130676	0.0400024	0.0838688	0.171105	0.10928	0.275114	0.0248861	0.0288948
77	0.338753	0.0300289	0.00822651	0.27786	0.0217611	0.000699239	0.000152834	0.000378841	0.0566205	0.0182066	0.16165	0.0327676	0.00318132	0.00558236	0.0131078	0.0398057	0.0835724	0.1712	0.109729	0.275015	0.0249851	0.0288001
78	0.337397	0.0305584	0.00843852	0.27729	0.0223082	0.000733549	0.00016212	0.000402146	0.0561194	0.0181784	0.161593	0.0327069	0.00324787	0.00570053	0.0131452	0.0396098	0.0832905	0.17129	0.110164	0.274919	0.025081	0.0287098
