Time	[ErbB1]	[ErbB2]	[ErbB3]	[ErbB4]	[EGF-ErbB1]	[HRG-ErbB3]	[HRG-ErbB4]	[(EGF-ErbB1)2]	[EGF-ErbB1-ErbB2]	[HRG-ErbB3-ErbB2]	[(HRG-ErbB3/4)2]	[HRG-Erb4-ErbB2]	[(HRG-Erb4)2]	[E11_p]	[E12_p]	[E23_p]	[E34_p]	[E24_p]	[E44_p]	[Grb2]	[Shc]	[PI-3K]	[RasGAP]	[SOS]	[Gab1]	[E11-Grb2]	[E11-Shc]	[E11-RasGAP]	[E12-Grb2]	[E12-Shc]	[E12-RasGAP]	[E23-Grb2]	[E23-Shc]	[E23-PI-3K]	[E23-RasGAP]	[E34-Grb2]	[E34-Shc]	[E34-PI-3K]	[E34-RasGAP]	[E24-Grb2]	[E24-Shc]	[E24-PI-3K]	[E24-RasGAP]	[E44-Grb2]	[E44-Shc]	[E44-PI-3K]	[E44-RasGAP]	[Sum Grb2]	[Sum Shc]	[Sum PI-3K]	[Sum RasGAP]	[Sum Gab1]	[Sum Shc_p]	[Sum Gab1_p]	[Sum Grb2-SOS]	[Sum Grb2-Gab1]	[Sum Shc_p-Grb2]	[Sum Gab1_p-Shc]	[Sum Gab1_p-PI-3K]	[Sum Gab1_p-RasGAP]	[Empty]	[PIP3-Gab1]	[PIP2]	[PIP3]	[Akt]	[RasGDP]	[RasGTP]	[Sum RasGAP_p]	[Raf]	[Raf*]	[MEK]	[MEK*]	[ERK]	[ERK*]	[SOS_p]	[Gab1_p]	[Gab1_SumGrb2-SOS]	[Sum PIP3-Gab1-Grb2]	[Sum PIP3-Gab1-Grb2_SOS]	[Sum SOS]	[ErbB1-ErbB3]	[ErbB1-ErbB4]	[ErbB1-ErbB3_p]	[ErbB1-ErbB3_p]	[E13-Grb2]	[E13-Shc]	[E13-PI-3K]	[E13-RasGAP]	[E14-Grb2]	[E14-Shc]	[E14-PI-3K]	[E14-RasGAP]	[PTP-1B]	[E11-PTP-1B]	[E12-PTP-1B]	[E23-PTP-1B]	[E34-PTP-1B]	[E24-PTP-1B]	[E44-PTP-1B]	[E13-PTP-1B]	[E14-PTP-1B]	[Sig-PTP-1B]	[E1_p-PTP-1B]	[E2_p-PTP-1B]	[E4_p-PTP-1B]	[E_E1_p-PTP-1B]	[H_E4_p-PTP-1B]	[Aktstar]	[SumGab1_p-PTP-1B]	[EGF]	[HRG]	[fint]	[p_ERK]	[ERK-MEK*]	[p_ERK-MEK*]	[p_ERK-ERKpase]	[ERKpase]	[ERK*-ERKpase]	[normalized Akt*]	[normalized Erk*]
10	254.568	42.0303	242.25	144.919	0.238771	6.95214	12.4609	0.0638451	5.68845	24.8077	11.3281	59.0303	63.791	0.000119414	0.00234902	0.33922	0.0155764	0.549498	0.124493	80.8837	11.0333	46.1518	81.9251	81.7892	42.2532	0.000541265	1.35535e-05	0.000116621	0.0340879	0.0123848	0.00124097	0.0255226	0.0869342	0.0529858	3.38046	1.19932	0.00716276	0.00455842	0.058897	0.0882848	0.0868161	0.00591362	3.29958	0.00206328	0.235223	0.0391589	4.91069	0.849006	0.351162	0.248153	8.56296	0.117682	0.106268	0.0513602	0.382936	0.147121	0.00925269	0.0373704	0.145216	0.00767464	9.03676	0.208148	196.542	0.129832	443.066	95.5099	0.190074	3.11193	741.377	1.62251	770.224	0.781121	749.573	17.6162	0.0850881	0.354303	0.0172143	0.0944487	0.025556	0.425706	0.247513	0.943697	0.00254124	0.00254124	0.0349983	1.46111e-05	1.34929e-05	0.000839131	0.00220962	0.000763202	0.000306741	0.0153936	488.52	0.000821566	0.0344627	3.14604	0.0369865	4.49406	3.61174	0.0221035	0.000197193	11.4796	11.8215	10.8034	9.02486	0.195203	5.99656	0.933503	0.133185	9.77145	1.08692	0.104876	14.8484	0.972385	0.0226304	0.812836	33.0324	1.15476	0.0496544	0.0318421
11	254.618	41.7646	240.808	142.506	0.259807	7.14481	12.5565	0.0819686	6.1656	25.3793	11.7424	59.1079	64.8346	0.000151286	0.00251034	0.34212	0.0159195	0.542217	0.124819	80.6775	11.0274	46.1256	81.857	81.736	42.1948	0.000727913	1.72405e-05	0.000149646	0.0366452	0.0134768	0.00132191	0.0257454	0.0873172	0.0534321	3.39256	1.37198	0.00731027	0.00466107	0.0600433	0.086981	0.084885	0.00582868	3.22232	0.00206924	0.234901	0.0393115	5.03996	0.958383	0.357168	0.274412	8.65302	0.137093	0.106206	0.058798	0.433761	0.167003	0.00922984	0.0438516	0.17083	0.00876993	9.18682	0.241811	196.47	0.143868	442.961	95.4841	0.215874	3.08999	740.998	2.00151	769.669	1.02399	745.561	16.5817	0.0800238	0.332977	0.0194942	0.11319	0.0306956	0.483951	0.277855	1.03736	0.00282231	0.00282231	0.042861	1.63038e-05	1.51344e-05	0.00093383	0.0024046	0.000828086	0.000333992	0.0169477	488.352	0.00105124	0.0370994	3.1769	0.037879	4.42365	3.79362	0.0249003	0.00021449	11.6482	11.1034	10.0476	8.3385	0.184123	5.68605	1.03898	0.152852	9.75139	0.950537	0.11126	19.4114	1.26817	0.0388002	1.0573	32.8614	1.08133	0.0552647	0.0299627
12	254.648	41.5462	239.55	140.646	0.279783	7.30975	12.6325	0.102061	6.61804	25.865	12.095	59.1549	65.669	0.000186285	0.00266285	0.344518	0.0162052	0.536045	0.124987	80.4668	11.0212	46.0979	81.8143	81.6813	42.1304	0.000943185	2.12934e-05	0.000186201	0.0390316	0.0144946	0.00139856	0.0259119	0.0876049	0.0537917	3.40243	1.54668	0.00742917	0.00474566	0.060984	0.0858313	0.0832786	0.00575624	3.15931	0.00207097	0.23435	0.0393894	5.13206	1.06929	0.36317	0.30208	8.7182	0.157682	0.106404	0.0666409	0.485313	0.18709	0.00922552	0.050714	0.198021	0.00992583	9.31197	0.277971	196.394	0.15867	442.85	95.4577	0.242338	3.06752	740.574	2.42638	769.01	1.31193	740.431	15.6188	0.0753034	0.313042	0.0217974	0.133468	0.0362547	0.543365	0.307083	1.12617	0.00309145	0.00309145	0.0512075	1.79177e-05	1.67055e-05	0.00102439	0.00258649	0.000888824	0.000359576	0.0184019	488.209	0.00130496	0.0395808	3.20185	0.0386172	4.36444	3.94378	0.027583	0.000230761	11.791	10.432	9.368	7.73542	0.173663	5.38432	1.15023	0.173598	9.73215	0.838777	0.117124	24.9128	1.6139	0.0638243	1.34805	32.6403	1.01169	0.0611827	0.0282112
13	254.658	41.364	238.44	139.22	0.298776	7.45194	12.693	0.123929	7.04775	26.2808	12.3965	59.178	66.3372	0.000224091	0.00280763	0.346541	0.0164454	0.530763	0.125043	80.2523	11.0147	46.0688	81.7899	81.6253	42.0599	0.00118544	2.56737e-05	0.000225954	0.0412676	0.0154474	0.00147151	0.0260362	0.087828	0.0540866	3.41096	1.7228	0.00752617	0.00481595	0.0617687	0.0848076	0.0819284	0.0056938	3.10741	0.00206968	0.233669	0.0394162	5.19621	1.18132	0.369268	0.331205	8.76465	0.179443	0.106841	0.0748977	0.537386	0.207305	0.00923938	0.0579594	0.22679	0.0111442	9.41724	0.316712	196.311	0.174262	442.732	95.4306	0.269365	3.04541	740.102	2.89755	768.241	1.6479	734.111	14.7258	0.070917	0.294467	0.0241139	0.155309	0.0422396	0.603739	0.335164	1.21038	0.00334909	0.00334909	0.0599535	1.94564e-05	1.82072e-05	0.00111104	0.00275651	0.000945887	0.000383655	0.0197675	488.088	0.00158036	0.0419275	3.22251	0.0392344	4.31423	4.06712	0.0301525	0.00024611	11.9124	9.80717	8.75384	7.20177	0.163847	5.09525	1.26753	0.195445	9.71366	0.746602	0.12251	31.4195	2.01024	0.101143	1.6862	32.3679	0.945891	0.0674216	0.0265847
14	254.645	41.2097	237.454	138.135	0.316861	7.57541	12.7412	0.147377	7.45657	26.6395	12.6556	59.1814	66.8715	0.000264386	0.00294552	0.348279	0.0166492	0.526192	0.125018	80.0346	11.0077	46.0382	81.7788	81.5682	41.9832	0.00145264	3.03432e-05	0.000268568	0.0433698	0.0163435	0.00154119	0.0261282	0.0880055	0.0543318	3.41863	1.89985	0.00760608	0.00487477	0.0624318	0.0838856	0.0807806	0.00563932	3.06418	0.00206619	0.23291	0.0394066	5.23949	1.29413	0.375523	0.361824	8.79707	0.202376	0.107495	0.0835761	0.589812	0.227584	0.0092701	0.0655918	0.257146	0.0124266	9.50652	0.358111	196.224	0.190666	442.609	95.4031	0.296868	3.02414	739.585	3.41524	767.354	2.03454	726.543	13.9015	0.0668577	0.277224	0.0264353	0.178744	0.0486575	0.664904	0.36211	1.29027	0.00359588	0.00359588	0.0690234	2.09242e-05	1.96423e-05	0.00119402	0.00291575	0.000999663	0.000406371	0.0210544	487.984	0.00187506	0.0441558	3.23997	0.0397553	4.27123	4.16792	0.032613	0.000260628	12.0162	9.22813	8.19718	6.72709	0.154684	4.82148	1.39105	0.218416	9.69589	0.670161	0.127458	38.988	2.45668	0.155003	2.07176	32.0442	0.884016	0.0739922	0.0250814
15	254.609	41.077	236.57	137.322	0.334117	7.68349	12.7794	0.172213	7.84625	26.9511	12.8795	59.168	67.2967	0.000306865	0.00307723	0.349793	0.0168236	0.522187	0.12493	79.8141	11.0004	46.006	81.7771	81.5102	41.9005	0.00174251	3.5265e-05	0.000313712	0.0453518	0.0171897	0.00160796	0.0261948	0.0881492	0.0545379	3.4257	2.07743	0.00767241	0.00492431	0.0629984	0.0830451	0.0797922	0.00559116	3.02774	0.00206102	0.232103	0.0393702	5.26726	1.40747	0.381974	0.393973	8.81901	0.226488	0.10834	0.0926826	0.642456	0.247873	0.00931605	0.0736164	0.289101	0.0137741	9.58281	0.402243	196.131	0.2079	442.479	95.3752	0.324777	3.00393	739.02	3.97952	766.344	2.47416	717.679	13.1457	0.0631217	0.261294	0.0287544	0.203805	0.0555162	0.726727	0.387967	1.36616	0.00383259	0.00383259	0.0783493	2.23263e-05	2.10148e-05	0.0012736	0.0030652	0.00105048	0.000427852	0.0222713	487.895	0.00218677	0.0462789	3.255	0.0401989	4.23401	4.24983	0.0349706	0.000274396	12.1053	8.69414	7.69228	6.30362	0.146178	4.56493	1.52098	0.242529	9.67877	0.606461	0.132003	47.6638	2.95147	0.230506	2.50355	31.6703	0.826195	0.0809034	0.0237012
16	254.548	40.9607	235.77	136.724	0.350621	7.77888	12.8093	0.198261	8.21843	27.2238	13.074	59.1394	67.6321	0.000351245	0.00320337	0.351128	0.0169742	0.518629	0.124795	79.5911	10.9926	45.9723	81.782	81.4512	41.8116	0.00205263	4.04044e-05	0.000361073	0.0472248	0.0179917	0.00167207	0.026241	0.0882665	0.0547125	3.43232	2.25521	0.00772783	0.00496629	0.0634873	0.0822687	0.0789292	0.00554795	2.99659	0.00205454	0.231262	0.0393132	5.28357	1.52111	0.388645	0.42768	8.83312	0.251788	0.109357	0.102223	0.69521	0.268119	0.00937551	0.0820379	0.322669	0.0151876	9.64846	0.449176	196.031	0.225979	442.343	95.347	0.353033	2.98485	738.41	4.59031	765.206	2.96878	707.485	12.459	0.0597091	0.246673	0.0310652	0.230523	0.0628235	0.789098	0.412807	1.43836	0.00406008	0.00406008	0.0878715	2.36677e-05	2.23291e-05	0.00135008	0.00320574	0.00109864	0.000448215	0.0234255	487.818	0.0025133	0.0483077	3.26813	0.04058	4.20137	4.31595	0.0372328	0.000287487	12.1822	8.20475	7.23515	5.92577	0.138335	4.32719	1.65747	0.267801	9.66224	0.553157	0.136179	57.4793	3.49163	0.333631	2.97924	31.2482	0.772593	0.0881631	0.0224454
17	254.461	40.8564	235.041	136.299	0.36645	7.86387	12.8325	0.225359	8.57464	27.464	13.2441	59.0962	67.8929	0.000397271	0.00332445	0.352316	0.0171053	0.515418	0.12462	79.366	10.9845	45.937	81.7918	81.3914	41.7165	0.0023806	4.57296e-05	0.000410359	0.0489988	0.0187543	0.00173376	0.0262705	0.0883619	0.0548611	3.43853	2.43294	0.00777439	0.00500207	0.063913	0.0815419	0.0781642	0.00550859	2.96957	0.00204702	0.230397	0.0392399	5.2914	1.63488	0.395554	0.462968	8.84135	0.278291	0.110526	0.112201	0.747984	0.288276	0.00944692	0.0908608	0.357865	0.0166677	9.70538	0.498974	195.927	0.244916	442.199	95.3184	0.381589	2.96683	737.753	5.24743	763.936	3.52013	695.942	11.8431	0.0566247	0.233373	0.0333625	0.25893	0.0705867	0.851933	0.436715	1.50722	0.00427926	0.00427926	0.0975377	2.49542e-05	2.35902e-05	0.00142374	0.0033382	0.00114439	0.000467566	0.0245236	487.751	0.0028527	0.0502514	3.27973	0.0409103	4.17234	4.36887	0.0394079	0.00029997	12.2489	7.75996	6.82318	5.58972	0.131164	4.10973	1.80062	0.294243	9.64627	0.508388	0.140014	68.4524	4.07298	0.47122	3.49537	30.7812	0.723414	0.0957775	0.0213172
18	254.345	40.7603	234.371	136.009	0.38168	7.94036	12.85	0.253366	8.91635	27.6767	13.3939	59.0385	68.0911	0.000444717	0.00344097	0.353382	0.0172206	0.512471	0.124414	79.1389	10.9759	45.9001	81.8051	81.331	41.6151	0.00272407	5.12123e-05	0.000461311	0.0506822	0.0194814	0.00179323	0.026286	0.0884382	0.0549876	3.44438	2.61041	0.0078137	0.00503277	0.0642871	0.0808522	0.0774752	0.00547212	2.94574	0.00203863	0.229509	0.0391532	5.29295	1.74863	0.402711	0.499855	8.84512	0.306011	0.111831	0.12262	0.800709	0.3083	0.00952881	0.100088	0.394699	0.0182147	9.75506	0.551691	195.816	0.264722	442.049	95.2896	0.410408	2.94977	737.049	5.95063	762.529	4.12965	683.047	11.3009	0.0538782	0.221424	0.0356416	0.289053	0.0788126	0.915163	0.459791	1.57306	0.00449114	0.00449114	0.107303	2.61913e-05	2.48035e-05	0.0014949	0.00346338	0.00118798	0.00048601	0.0255713	487.693	0.0032032	0.0521182	3.29008	0.0411993	4.14612	4.41077	0.041505	0.000311911	12.3072	7.3604	6.45493	5.29308	0.124688	3.91408	1.95054	0.321866	9.6308	0.470668	0.143538	80.5843	4.69019	0.650926	4.04743	30.2737	0.678894	0.103752	0.0203219
19	254.198	40.6693	233.751	135.827	0.396391	8.00995	12.8626	0.282164	9.24496	27.8661	13.527	58.9659	68.2364	0.000493397	0.00355338	0.354343	0.0173232	0.509717	0.12418	78.9099	10.967	45.8616	81.821	81.2698	41.5073	0.00308084	5.68284e-05	0.000513702	0.0522828	0.0201765	0.00185068	0.0262892	0.0884969	0.055095	3.44986	2.78743	0.00784709	0.00505933	0.0646191	0.0801888	0.0768439	0.00543775	2.92434	0.00202952	0.2286	0.0390554	5.28985	1.86226	0.410123	0.538355	8.84548	0.334965	0.113258	0.133482	0.853329	0.32815	0.00961988	0.109722	0.433178	0.0198289	9.79873	0.607376	195.699	0.285403	441.893	95.2605	0.439462	2.93352	736.3	6.69957	760.983	4.79856	668.819	10.8366	0.0514851	0.210877	0.0378987	0.320918	0.0875068	0.978735	0.482146	1.63623	0.00469674	0.00469674	0.11713	2.7385e-05	2.59746e-05	0.00156388	0.00358202	0.00122963	0.000503645	0.0265743	487.642	0.00356333	0.0539155	3.29937	0.0414549	4.12203	4.44348	0.0435336	0.000323373	12.3583	7.00736	6.13006	5.03476	0.118937	3.74196	2.10731	0.350673	9.61577	0.438804	0.146774	93.8575	5.33688	0.881114	4.62999	29.7307	0.639303	0.112091	0.0194672
20	254.015	40.5801	233.173	135.727	0.410661	8.07403	12.8711	0.311657	9.56184	28.0354	13.6462	58.8771	68.3364	0.000543165	0.00366211	0.355212	0.0174155	0.507093	0.123923	78.6794	10.9577	45.8215	81.839	81.2079	41.393	0.00344893	6.25583e-05	0.000567349	0.053808	0.0208426	0.0019063	0.0262819	0.0885391	0.0551854	3.45495	2.96388	0.00787566	0.00508254	0.0649172	0.0795426	0.0762555	0.00540479	2.90476	0.00201978	0.227671	0.0389478	5.28327	1.97567	0.417796	0.578474	8.84315	0.365171	0.114792	0.144786	0.905802	0.347789	0.00971898	0.119763	0.473305	0.0215101	9.83737	0.666067	195.576	0.306964	441.729	95.2313	0.468733	2.9179	735.506	7.4939	759.296	5.52788	653.292	10.456	0.0494673	0.201806	0.0401303	0.354543	0.096674	1.04261	0.5039	1.69708	0.00489718	0.00489718	0.126987	2.85414e-05	2.71096e-05	0.00163103	0.00369488	0.0012696	0.000520573	0.0275376	487.596	0.00393188	0.0556504	3.30776	0.0416838	4.09948	4.46851	0.0455038	0.00033442	12.4035	6.70297	5.8492	4.81477	0.113953	3.59537	2.27099	0.380668	9.60113	0.411835	0.149747	108.234	6.00582	1.17071	5.23683	29.1582	0.604935	0.120798	0.0187632
21	253.792	40.4899	232.63	135.689	0.424573	8.13383	12.8761	0.341779	9.86831	28.1872	13.7542	58.7708	68.3972	0.000593917	0.0037676	0.355999	0.0175001	0.504546	0.123645	78.4473	10.948	45.7798	81.8586	81.1454	41.2721	0.00382659	6.83873e-05	0.000622109	0.0552649	0.0214824	0.00196029	0.026265	0.0885652	0.0552606	3.45966	3.13965	0.00790035	0.00510307	0.0651885	0.0789052	0.0756972	0.00537266	2.88648	0.00200948	0.22672	0.0388318	5.27406	2.08879	0.425732	0.620212	8.83864	0.396643	0.116425	0.156532	0.958095	0.367181	0.00982504	0.13021	0.515079	0.023258	9.8718	0.727792	195.447	0.329406	441.558	95.2018	0.498208	2.90275	734.667	8.33322	757.463	6.31843	636.527	10.166	0.0478533	0.194308	0.0423333	0.389945	0.106317	1.10675	0.525183	1.75596	0.00509366	0.00509366	0.13685	2.96672e-05	2.8215e-05	0.00169672	0.00380271	0.00130809	0.000536895	0.0284666	487.556	0.004308	0.0573297	3.31536	0.0418916	4.07798	4.48711	0.0474265	0.000345118	12.4436	6.45015	5.61391	4.63417	0.109796	3.47665	2.44161	0.411847	9.58684	0.388983	0.152478	123.652	6.68912	1.52901	5.86114	28.5628	0.576107	0.129873	0.0182225
22	253.522	40.3958	232.118	135.696	0.438215	8.1904	12.8779	0.372489	10.1657	28.3235	13.8532	58.6447	68.4235	0.000645599	0.00387032	0.356711	0.0175787	0.502024	0.123349	78.2138	10.938	45.7364	81.8798	81.0822	41.1446	0.00421239	7.43064e-05	0.000677894	0.0566604	0.0220987	0.00201284	0.0262395	0.0885753	0.0553217	3.46395	3.31466	0.00792201	0.00512155	0.0654394	0.0782692	0.075158	0.00534079	2.86907	0.0019987	0.225746	0.0387081	5.26286	2.2016	0.43393	0.663565	8.83231	0.429396	0.118144	0.168716	1.01019	0.386292	0.00993713	0.141061	0.558491	0.0250719	9.90269	0.79257	195.311	0.352726	441.381	95.1721	0.527881	2.8879	733.783	9.21712	755.485	7.17092	618.605	9.97553	0.0466784	0.188508	0.0445052	0.427132	0.116438	1.17113	0.546136	1.81324	0.00528749	0.00528749	0.146701	3.07695e-05	2.92978e-05	0.00176135	0.00390629	0.00134537	0.000552716	0.0293666	487.521	0.00469115	0.0589605	3.32223	0.0420835	4.05707	4.50033	0.0493135	0.000355535	12.4792	6.25275	5.42667	4.49497	0.106536	3.38858	2.61917	0.444202	9.57282	0.36962	0.154987	140.027	7.37845	1.96542	6.49573	27.9511	0.553157	0.139318	0.0178604
23	253.2	40.295	231.631	135.732	0.451678	8.24473	12.8769	0.403778	10.4554	28.4459	13.945	58.4963	68.419	0.000698211	0.00397073	0.357354	0.0176533	0.499483	0.123035	77.979	10.9276	45.6915	81.9024	81.0183	41.0102	0.0046052	8.03122e-05	0.000734666	0.0580018	0.022694	0.00206418	0.0262059	0.0885694	0.0553698	3.46782	3.48884	0.00794138	0.00513852	0.0656757	0.0776277	0.0746285	0.0053087	2.85214	0.00198747	0.224749	0.0385773	5.25009	2.31406	0.44239	0.708519	8.82437	0.463444	0.119941	0.181333	1.06206	0.405093	0.0100544	0.15231	0.603526	0.026951	9.93058	0.860406	195.17	0.376918	441.196	95.1422	0.55775	2.87318	732.855	10.1452	753.36	8.08595	599.63	9.89466	0.045985	0.184553	0.0466435	0.466108	0.127036	1.23574	0.566911	1.86931	0.00548009	0.00548009	0.156527	3.18561e-05	3.03655e-05	0.00182538	0.00400642	0.00138169	0.000568149	0.030243	487.489	0.00508121	0.0605497	3.32845	0.0422641	4.03636	4.50904	0.0511775	0.000365743	12.511	6.11548	5.2908	4.40008	0.104262	3.33436	2.80365	0.477722	9.55903	0.353239	0.157291	157.251	8.06534	2.48917	7.13326	27.3303	0.536429	0.149131	0.0176948
24	252.817	40.1845	231.166	135.784	0.465062	8.2977	12.8733	0.43567	10.7388	28.5554	14.0316	58.3226	68.3863	0.000751809	0.00406934	0.357932	0.0177257	0.496879	0.122705	77.7429	10.9169	45.6449	81.9266	80.9536	40.8688	0.0050043	8.64079e-05	0.000792448	0.0592965	0.023271	0.00211455	0.0261648	0.0885474	0.0554056	3.47125	3.66215	0.00795917	0.0051545	0.0659032	0.0769745	0.0741001	0.00527592	2.83536	0.00197583	0.223726	0.0384401	5.23608	2.42615	0.451108	0.755055	8.81496	0.498796	0.121807	0.194376	1.11372	0.423555	0.0101759	0.16395	0.650164	0.0288939	9.95593	0.931291	195.022	0.401972	441.005	95.1122	0.587822	2.85844	731.883	11.117	751.085	9.06406	579.729	9.9351	0.0458222	0.182615	0.0487465	0.506867	0.138108	1.30057	0.587677	1.92458	0.00567303	0.00567303	0.166323	3.29353e-05	3.14265e-05	0.00188929	0.00410396	0.00141731	0.00058331	0.0311018	487.461	0.00547844	0.0621051	3.33406	0.0424375	4.01546	4.51395	0.0530326	0.000375819	12.5393	6.04395	5.2104	4.35324	0.103079	3.31762	2.99501	0.512388	9.54538	0.339433	0.159408	175.193	8.7415	3.10904	7.76647	26.7072	0.526277	0.159309	0.0177462
25	252.365	40.0614	230.719	135.84	0.478472	8.35016	12.8672	0.468223	11.0172	28.6529	14.1143	58.1202	68.3273	0.00080651	0.0041667	0.358447	0.0177974	0.494169	0.12236	77.5054	10.9059	45.5969	81.9523	80.8881	40.7204	0.00540934	9.26036e-05	0.000851328	0.0605522	0.0238325	0.00216421	0.0261166	0.088509	0.0554296	3.47423	3.83458	0.00797604	0.00516997	0.0661272	0.0763032	0.0735651	0.00524202	2.81843	0.00196381	0.222678	0.0382968	5.22105	2.5379	0.460079	0.803144	8.80413	0.535458	0.123734	0.207834	1.16515	0.441654	0.010301	0.175974	0.698375	0.0308992	9.97913	1.0052	194.868	0.427874	440.807	95.0819	0.618104	2.84353	730.868	12.1323	748.662	10.1057	559.048	10.1098	0.0462454	0.182889	0.0508124	0.549398	0.14965	1.36561	0.608616	1.97946	0.00586807	0.00586807	0.17609	3.40166e-05	3.249e-05	0.00195363	0.00419978	0.00145254	0.000598328	0.0319493	487.436	0.00588358	0.0636344	3.33909	0.0426079	3.99403	4.51566	0.0548943	0.000385844	12.5644	6.04464	5.1903	4.35896	0.103106	3.34243	3.19317	0.548176	9.53181	0.327877	0.161353	193.698	9.39905	3.83298	8.38845	26.0885	0.523055	0.169849	0.0180371
26	251.833	39.9228	230.287	135.89	0.492025	8.40289	12.8588	0.501533	11.2923	28.7389	14.1947	57.8853	68.2431	0.000862502	0.00426338	0.358903	0.0178701	0.491313	0.122	77.2668	10.8946	45.5472	81.9798	80.8218	40.5648	0.00582043	9.89173e-05	0.000911463	0.0617772	0.0243814	0.00221343	0.0260616	0.0884541	0.0554422	3.47673	4.00612	0.00799266	0.00518541	0.0663529	0.0756083	0.0730164	0.00520657	2.80106	0.00195142	0.221603	0.0381476	5.20516	2.64932	0.469297	0.852751	8.79188	0.573434	0.125713	0.221697	1.21637	0.459367	0.0104288	0.18837	0.748122	0.0329649	10.0005	1.0821	194.708	0.454605	440.602	95.0514	0.64861	2.82832	729.809	13.1905	746.09	11.2115	537.75	10.433	0.0473155	0.185588	0.0528399	0.59368	0.161656	1.43087	0.62993	2.03442	0.00606716	0.00606716	0.185835	3.51105e-05	3.35662e-05	0.00201902	0.00429486	0.0014877	0.000613338	0.0327923	487.414	0.00629786	0.0651465	3.34357	0.042779	3.97173	4.51465	0.0567797	0.00039591	12.5864	6.12475	5.23593	4.42244	0.104481	3.41323	3.398	0.585056	9.51824	0.318316	0.16314	212.598	10.0309	4.66787	8.99278	25.4801	0.527113	0.180745	0.0185922
27	251.211	39.7655	229.868	135.924	0.505843	8.45669	12.8481	0.53574	11.5654	28.8136	14.274	57.6138	68.1343	0.000920047	0.00436002	0.359301	0.0179453	0.488272	0.121625	77.0269	10.883	45.4962	82.0091	80.7546	40.4018	0.00623814	0.000105375	0.000973092	0.0629803	0.0249209	0.00226252	0.026	0.0883824	0.0554439	3.47875	4.17678	0.00800965	0.00520126	0.0665858	0.074884	0.0724472	0.00516917	2.78298	0.00193867	0.220498	0.0379927	5.1885	2.76044	0.478753	0.90383	8.77818	0.612722	0.127736	0.235948	1.2674	0.476674	0.0105587	0.201124	0.79936	0.0350886	10.0203	1.16193	194.542	0.482142	440.391	95.0206	0.679357	2.81269	728.708	14.2915	743.368	12.382	516.008	10.9196	0.049098	0.190939	0.0548279	0.639682	0.174114	1.49635	0.651841	2.08994	0.00627243	0.00627243	0.195572	3.62284e-05	3.46663e-05	0.00208614	0.00439021	0.00152312	0.000628489	0.0336382	487.395	0.00672306	0.0666504	3.34751	0.0429547	3.94822	4.51132	0.058708	0.000406111	12.6055	6.29216	5.35315	4.54943	0.107352	3.53482	3.60936	0.622991	9.50459	0.31055	0.16478	231.71	10.6308	5.61924	9.57375	24.8875	0.538791	0.191987	0.0194374
28	250.486	39.5865	229.46	135.932	0.520064	8.51228	12.835	0.571028	11.8384	28.8771	14.3534	57.3015	68.0007	0.000979493	0.0044573	0.359642	0.0180246	0.485009	0.121235	76.7857	10.8711	45.4437	82.0405	80.6863	40.2315	0.00666357	0.000112012	0.00103654	0.0641708	0.0254543	0.00231183	0.025932	0.0882938	0.0554348	3.48028	4.3466	0.00802764	0.00521798	0.0668311	0.0741251	0.0718512	0.00512943	2.76396	0.00192558	0.219364	0.0378322	5.17114	2.87133	0.488436	0.956326	8.76296	0.653315	0.129795	0.250572	1.31826	0.493559	0.0106899	0.214221	0.852032	0.0372676	10.0388	1.24463	194.371	0.510456	440.173	94.9896	0.710365	2.79651	727.565	15.4349	740.497	13.6178	494.001	11.5853	0.0516621	0.199182	0.0567757	0.687364	0.187014	1.56205	0.674593	2.14654	0.0064863	0.0064863	0.205322	3.73831e-05	3.5803e-05	0.00215574	0.00448692	0.00155919	0.00064394	0.034495	487.378	0.00716155	0.0681563	3.35094	0.0431387	3.9232	4.50599	0.0607003	0.000416553	12.6216	6.55526	5.54812	4.74614	0.111884	3.71222	3.82707	0.661936	9.49074	0.30443	0.166288	250.844	11.1937	6.6911	10.1265	24.3151	0.558419	0.203567	0.0206001
