Time	[X]	[Xa]	[Xa_ATIII]	[PL]	[PT]	[Va]	[IIa]	[V]	[II]	[IIa_alpha2M]	[IIa_ATIII]	[RVV]
40	1.08613e-06	7.792e-08	0.199999	0.05	4.99521e-13	0.000835734	1.37096e-06	0.0291643	0.881129	0.0950262	0.423843	0.03
41	8.01979e-07	5.75345e-08	0.199999	0.05	3.68837e-13	0.000835736	1.01229e-06	0.0291643	0.881129	0.0950264	0.423844	0.03
42	5.92165e-07	4.24823e-08	0.199999	0.05	2.72342e-13	0.000835737	7.47452e-07	0.0291643	0.881128	0.0950266	0.423845	0.03
43	4.37243e-07	3.13681e-08	0.199999	0.05	2.01092e-13	0.000835738	5.51903e-07	0.0291643	0.881128	0.0950267	0.423845	0.03
44	3.22851e-07	2.31616e-08	0.2	0.05	1.48483e-13	0.000835739	4.07514e-07	0.0291643	0.881127	0.0950268	0.423845	0.03
45	2.38387e-07	1.7102e-08	0.2	0.05	1.09637e-13	0.000835739	3.009e-07	0.0291643	0.881127	0.0950269	0.423846	0.03
46	1.7602e-07	1.26278e-08	0.2	0.05	8.09535e-14	0.00083574	2.22179e-07	0.0291643	0.881127	0.0950269	0.423846	0.03
47	1.2997e-07	9.32411e-09	0.2	0.05	5.97744e-14	0.00083574	1.64052e-07	0.0291642	0.881127	0.0950269	0.423846	0.03
48	9.5967e-08	6.88474e-09	0.2	0.05	4.41363e-14	0.00083574	1.21133e-07	0.0291642	0.881127	0.095027	0.423846	0.03
49	7.08602e-08	5.08356e-09	0.2	0.05	3.25894e-14	0.00083574	8.94422e-08	0.0291642	0.881127	0.095027	0.423846	0.03
50	5.23218e-08	3.7536e-09	0.2	0.05	2.40634e-14	0.000835741	6.60424e-08	0.0291642	0.881127	0.095027	0.423846	0.03
51	3.86334e-08	2.77159e-09	0.2	0.05	1.77679e-14	0.000835741	4.87644e-08	0.0291642	0.881127	0.095027	0.423846	0.03
52	2.85262e-08	2.04649e-09	0.2	0.05	1.31195e-14	0.000835741	3.60068e-08	0.0291642	0.881127	0.095027	0.423846	0.03
53	2.10632e-08	1.51109e-09	0.2	0.05	9.68722e-15	0.000835741	2.65868e-08	0.0291642	0.881127	0.095027	0.423846	0.03
54	1.55527e-08	1.11576e-09	0.2	0.05	7.15287e-15	0.000835741	1.96312e-08	0.0291642	0.881127	0.095027	0.423846	0.03
55	1.14839e-08	8.23863e-10	0.2	0.05	5.28157e-15	0.000835741	1.44954e-08	0.0291642	0.881127	0.095027	0.423846	0.03
