Time	[Wnt{default}]	[Complex_br_(Wnt/Frizzled)]	[Frizzled]	[Complex_br_(Frizzled/Wnt/_br_LRP5/6)]	[LRP5/6]	[Casein Kinase 1]	[Casein Kinase 2]	[ATP]	[ADP]	[Glycogen Synthase Kinase-3_Beta_]	[Diversin]	[Complex_br_(Ebi/Siah-1)]	[Complex_br_(Siah-1/Ebi)]	[FRAT]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)]	[Complex_br_(Axin/PP2A/_br_Adenomatous Polyposis Coli)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/Casein Kinase 1/_br_Glycogen Synthase Kinase-3_Beta_/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A)]	[Pygo]	[CBP]	[SWI/SNF]	[Bcl9]	[Wnt Target Genes]	[Complex_br_(TCF/Smad4)]	[Wnt{"Cell Membrane"}]	[_Beta_-Catenin{"Plasma Membrane"}]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br__Beta_-Catenin/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/_Beta_-Catenin/_br_PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/_Beta_-Catenin/_br_Siah-1/Ebi)]	[_Beta_-Catenin{Nucleus}]	[Complex_br_(TCF/Smad4/_br__Beta_-Catenin)]	[Complex_br_(TCF/_Beta_-Catenin/_br_Smad4/Bcl9)]	[Complex_br_(Bcl9/_Beta_-Catenin/_br_TCF/Smad4/_br_Pygo)]	[Complex_br_(_Beta_-Catenin/TCF/_br_Smad4/Bcl9/_br_Pygo/SWI/_br_SNF)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A/_br_Diversin/Casein Kinase 1)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Glycogen Synthase Kinase-3_Beta_/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1)]	[Ubiquitin]	[_Beta_-Catenin{"Plasma Membrane"}]	[_Beta_-Catenin{"Plasma Membrane"}]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Siah-1/Ebi/_br_Axin/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A)]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo/Casein Kinase 2)]	[Complex_br_(Dishevelled/Casein Kinase 2/_br_Beta-Arrestin/Frodo/_br_FRAT)]	[_beta_TrCP]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)]	[Complex_br_(_beta_TrCP/_Beta_-Catenin)]	[6 bromoindirubin 3'oxime]	[Complex_br_(Bcl9/Pygo/../Smad4)]
20	1.24138	0.809357	0.681921	1.50872	1.49128	0.0436751	2.46537	0.690267	0.309733	0.0671404	0.727312	1.79561	0.904662	2.70541	2.42777	2.18366	0.0713705	0.879548	0.04671	0.169236	0.0875509	0.0140255	1.82618	0.668852	1.44054	0.0973943	0.339263	0.153288	0.285762	0.694672	1.34517	0.0326845	0.040841	0.0816846	0.246698	3.95959	0.00835751	0.0973943	0.0973943	0.0139661	0.0251139	2.42777	0.240039	0.227451	1.15623	0.8401	0.8401	0.00202834	0.5	0.00458763
21	1.24138	0.809357	0.681921	1.50872	1.49128	0.0440161	2.46205	0.690461	0.309539	0.0675464	0.726061	1.79411	0.907236	2.70365	2.41649	2.17994	0.0717671	0.885281	0.0442651	0.160994	0.0835914	0.0132661	1.83488	0.667208	1.44054	0.0977767	0.340235	0.153486	0.286409	0.696516	1.34606	0.030999	0.0393263	0.0774024	0.251927	3.95551	0.00731437	0.0977767	0.0977767	0.0122429	0.0219551	2.41649	0.241598	0.228808	1.15697	0.839814	0.839814	0.00177311	0.5	0.0041269
22	1.24138	0.809357	0.681921	1.50872	1.49128	0.0443527	2.45878	0.690626	0.309374	0.067946	0.724845	1.79273	0.909491	2.70191	2.40537	2.17641	0.0721138	0.890284	0.0420714	0.153541	0.0800202	0.0125884	1.84273	0.665903	1.44054	0.098125	0.341166	0.15368	0.287043	0.697951	1.34669	0.0294829	0.0379488	0.0735205	0.257052	3.95154	0.00640011	0.098125	0.098125	0.0107355	0.0192068	2.40537	0.243132	0.230144	1.15768	0.839514	0.839514	0.00155005	0.5	0.00373146
23	1.24138	0.809357	0.681921	1.50872	1.49128	0.0446847	2.45556	0.690773	0.309227	0.0683392	0.723675	1.79147	0.911465	2.7002	2.39441	2.17311	0.0724167	0.894653	0.0400924	0.14677	0.0767825	0.0119799	1.84984	0.664864	1.44054	0.0984396	0.342038	0.15386	0.287649	0.699065	1.34712	0.0281125	0.0366901	0.069987	0.262074	3.94767	0.00559969	0.0984396	0.0984396	0.0094159	0.0168121	2.39441	0.244642	0.231457	1.15834	0.839202	0.839202	0.00135506	0.5	0.00338966
24	1.24138	0.809357	0.681921	1.50872	1.49128	0.0450119	2.4524	0.690909	0.309091	0.0687256	0.722555	1.79033	0.913195	2.69853	2.38362	2.17004	0.0726814	0.898472	0.0382984	0.140592	0.0738334	0.0114304	1.85632	0.664034	1.44054	0.0987217	0.342842	0.154022	0.288213	0.699928	1.3474	0.0268679	0.035535	0.0667582	0.266994	3.9439	0.00489945	0.0987217	0.0987217	0.00825987	0.0147226	2.38362	0.246126	0.232747	1.15897	0.838881	0.838881	0.00118459	0.5	0.00309234
25	1.24138	0.809357	0.681921	1.50872	1.49128	0.0453345	2.44929	0.691039	0.308961	0.0691054	0.721488	1.78931	0.91471	2.69688	2.373	2.16723	0.0729128	0.901812	0.0366648	0.134933	0.0711356	0.0109318	1.86223	0.663368	1.44054	0.0989733	0.343573	0.154163	0.288732	0.700593	1.34756	0.025733	0.0344707	0.0637974	0.271813	3.94023	0.00428715	0.0989733	0.0989733	0.00724668	0.0128975	2.373	0.247586	0.234015	1.15957	0.838552	0.838552	0.00103558	0.5	0.00283217
26	1.24138	0.809357	0.681921	1.50872	1.49128	0.0456522	2.44624	0.691165	0.308835	0.0694783	0.720475	1.7884	0.916037	2.69526	2.36254	2.16465	0.073115	0.904734	0.0351714	0.129731	0.068658	0.0104772	1.86767	0.662833	1.44054	0.0991966	0.344231	0.154282	0.289202	0.701102	1.34764	0.0246941	0.0334866	0.0610732	0.276531	3.93664	0.00375188	0.0991966	0.0991966	0.00635837	0.0113021	2.36254	0.24902	0.235259	1.16014	0.838217	0.838217	0.000905347	0.5	0.00260326
27	1.24138	0.809357	0.681921	1.50872	1.49128	0.0459651	2.44325	0.69129	0.30871	0.0698445	0.719517	1.7876	0.917199	2.69367	2.35226	2.1623	0.0732918	0.907293	0.0338008	0.124934	0.0663743	0.0100611	1.87267	0.662402	1.44054	0.099394	0.344819	0.154379	0.289624	0.701487	1.34766	0.0237397	0.0325735	0.0585592	0.281148	3.93314	0.003284	0.099394	0.099394	0.0055793	0.00990649	2.35226	0.250429	0.236481	1.16068	0.837879	0.837879	0.000791545	0.5	0.00240085
28	1.24138	0.809357	0.681921	1.50872	1.49128	0.0462731	2.4403	0.691415	0.308585	0.0702038	0.718612	1.78689	0.918217	2.69212	2.34215	2.16016	0.0734465	0.909533	0.0325388	0.120495	0.0642625	0.00967881	1.87728	0.662054	1.44054	0.0995676	0.345339	0.154456	0.29	0.701774	1.34763	0.02286	0.0317237	0.0562325	0.285666	3.92972	0.002875	0.0995676	0.0995676	0.00489591	0.0086849	2.34215	0.251813	0.23768	1.16121	0.837537	0.837537	0.000692116	0.5	0.00222103
29	1.24138	0.809357	0.681921	1.50872	1.49128	0.0465762	2.43742	0.691542	0.308458	0.0705564	0.717758	1.78626	0.91911	2.69059	2.3322	2.15822	0.0735817	0.911495	0.031373	0.116377	0.0623035	0.00932632	1.88156	0.661773	1.44054	0.09972	0.345796	0.154515	0.290331	0.701983	1.34755	0.0220467	0.0309304	0.0540734	0.290083	3.92637	0.00251744	0.09972	0.09972	0.00429637	0.00761516	2.3322	0.253172	0.238855	1.16171	0.837194	0.837194	0.000605253	0.5	0.00206058
30	1.24138	0.809357	0.681921	1.50872	1.49128	0.0468745	2.43458	0.691671	0.308329	0.0709023	0.716954	1.78572	0.919892	2.68909	2.32243	2.15647	0.0737001	0.913214	0.030293	0.112546	0.060481	0.00900032	1.88554	0.661547	1.44054	0.0998531	0.346197	0.154556	0.290622	0.702129	1.34745	0.0212927	0.030188	0.0520647	0.294401	3.92311	0.00220479	0.0998531	0.0998531	0.00377031	0.00667805	2.32243	0.254507	0.240009	1.16219	0.83685	0.83685	0.00052937	0.5	0.00191684
31	1.24138	0.809357	0.681921	1.50872	1.49128	0.0471678	2.4318	0.691802	0.308198	0.0712415	0.716197	1.78524	0.920577	2.68762	2.31282	2.15489	0.0738036	0.91472	0.0292897	0.108973	0.0587811	0.00869792	1.88924	0.661365	1.44054	0.0999691	0.346545	0.154582	0.290875	0.702226	1.34733	0.0205918	0.0294914	0.0501917	0.298619	3.91991	0.00193134	0.0999691	0.0999691	0.00330871	0.00585688	2.31282	0.255816	0.24114	1.16265	0.836507	0.836507	0.000463078	0.5	0.00178758
32	1.24138	0.809357	0.681921	1.50872	1.49128	0.0474563	2.42908	0.691934	0.308066	0.071574	0.715487	1.78482	0.921178	2.68618	2.30339	2.15346	0.0738943	0.916041	0.0283553	0.105633	0.0571916	0.00841667	1.8927	0.661218	1.44054	0.10007	0.346846	0.154596	0.291095	0.702283	1.3472	0.0199386	0.0288363	0.0484414	0.302739	3.91679	0.00169213	0.10007	0.10007	0.00290364	0.00513714	2.30339	0.257101	0.242248	1.1631	0.836166	0.836166	0.00040516	0.5	0.00167093
33	1.24138	0.809357	0.681921	1.50872	1.49128	0.0477399	2.4264	0.692069	0.307931	0.0719	0.714819	1.78446	0.921705	2.68477	2.29412	2.15218	0.0739737	0.917198	0.0274829	0.102504	0.0557018	0.00815442	1.89593	0.661102	1.44054	0.100157	0.347106	0.154598	0.291284	0.702309	1.34705	0.0193285	0.0282188	0.0468022	0.30676	3.91373	0.0014828	0.100157	0.100157	0.00254816	0.00450617	2.29412	0.258361	0.243335	1.16353	0.835826	0.835826	0.000354553	0.5	0.00156531
34	1.24138	0.809357	0.681921	1.50872	1.49128	0.0480186	2.42378	0.692206	0.307794	0.0722195	0.714193	1.78415	0.922166	2.68338	2.28502	2.15102	0.0740432	0.918213	0.0266668	0.0995668	0.0543025	0.00790933	1.89896	0.661009	1.44054	0.100233	0.347329	0.154592	0.291447	0.702309	1.3469	0.0187575	0.0276357	0.0452643	0.310683	3.91075	0.00129958	0.100233	0.100233	0.00223621	0.00395293	2.28502	0.259597	0.2444	1.16395	0.835489	0.835489	0.000310326	0.5	0.00146939
