Time	[Wnt{default}]	[Complex_br_(Wnt/Frizzled)]	[Frizzled]	[Complex_br_(Frizzled/Wnt/_br_LRP5/6)]	[LRP5/6]	[Casein Kinase 1]	[Casein Kinase 2]	[ATP]	[ADP]	[Glycogen Synthase Kinase-3_Beta_]	[Diversin]	[Complex_br_(Ebi/Siah-1)]	[Complex_br_(Siah-1/Ebi)]	[FRAT]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)]	[Complex_br_(Axin/PP2A/_br_Adenomatous Polyposis Coli)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/Casein Kinase 1/_br_Glycogen Synthase Kinase-3_Beta_/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A)]	[Pygo]	[CBP]	[SWI/SNF]	[Bcl9]	[Wnt Target Genes]	[Complex_br_(TCF/Smad4)]	[Wnt{"Cell Membrane"}]	[_Beta_-Catenin{"Plasma Membrane"}]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br__Beta_-Catenin/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_Diversin/_Beta_-Catenin/_br_PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/_Beta_-Catenin/_br_Siah-1/Ebi)]	[_Beta_-Catenin{Nucleus}]	[Complex_br_(TCF/Smad4/_br__Beta_-Catenin)]	[Complex_br_(TCF/_Beta_-Catenin/_br_Smad4/Bcl9)]	[Complex_br_(Bcl9/_Beta_-Catenin/_br_TCF/Smad4/_br_Pygo)]	[Complex_br_(_Beta_-Catenin/TCF/_br_Smad4/Bcl9/_br_Pygo/SWI/_br_SNF)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A/_br_Diversin/Casein Kinase 1)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Glycogen Synthase Kinase-3_Beta_/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1)]	[Ubiquitin]	[_Beta_-Catenin{"Plasma Membrane"}]	[_Beta_-Catenin{"Plasma Membrane"}]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Siah-1/Ebi/_br_Axin/PP2A)]	[Complex_br_(Adenomatous Polyposis Coli/_Beta_-Catenin/_br_Axin/PP2A)]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo)]	[Complex_br_(Dishevelled/Beta-Arrestin/_br_Frodo/Casein Kinase 2)]	[Complex_br_(Dishevelled/Casein Kinase 2/_br_Beta-Arrestin/Frodo/_br_FRAT)]	[_beta_TrCP]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)]	[Complex_br_(Adenomatous Polyposis Coli/Axin/_br_PP2A/Diversin/_br_Casein Kinase 1/_Beta_-Catenin/_br__beta_TrCP/Glycogen Synthase Kinase-3_Beta_)]	[Complex_br_(_beta_TrCP/_Beta_-Catenin)]	[6 bromoindirubin 3'oxime]	[Complex_br_(Bcl9/Pygo/../Smad4)]
81	1.24138	0.809357	0.681921	1.50872	1.49128	0.0564101	2.3479	0.698627	0.301373	0.081427	0.709718	1.78165	0.925456	2.64354	2.0146	2.14202	0.0745363	0.925447	0.0120237	0.0446315	0.0276122	0.00354387	1.95512	0.660158	1.44054	0.100814	0.349353	0.155086	0.292887	0.701343	1.34339	0.00847979	0.0155885	0.0170193	0.40827	3.82724	2.77992e-06	0.100814	0.100814	4.83163e-06	8.51657e-06	2.0146	0.295634	0.275038	1.17485	0.825145	0.825145	6.50673e-07	0.5	0.000244202
82	1.24138	0.809357	0.681921	1.50872	1.49128	0.0565101	2.34703	0.698739	0.301261	0.081532	0.709887	1.78162	0.925456	2.64308	2.01142	2.14211	0.0745365	0.925449	0.0119041	0.0441551	0.0273711	0.00350838	1.95561	0.660118	1.44054	0.100822	0.349399	0.155146	0.292919	0.701387	1.34339	0.00839569	0.0154671	0.016784	0.409063	3.82634	2.43935e-06	0.100822	0.100822	4.24023e-06	7.47413e-06	2.01142	0.29605	0.275387	1.17497	0.825029	0.825029	5.70909e-07	0.5	0.000238225
83	1.24138	0.809357	0.681921	1.50872	1.49128	0.0566077	2.34618	0.698849	0.301151	0.0816345	0.71006	1.78159	0.925457	2.64264	2.00831	2.1422	0.0745366	0.925451	0.0117876	0.0436902	0.0271356	0.0034738	1.95608	0.660078	1.44054	0.10083	0.349445	0.155208	0.292953	0.701433	1.3434	0.00831375	0.015348	0.0165546	0.409823	3.82546	2.1405e-06	0.10083	0.10083	3.72122e-06	6.55929e-06	2.00831	0.296456	0.275727	1.17508	0.824916	0.824916	5.00923e-07	0.5	0.000232468
84	1.24138	0.809357	0.681921	1.50872	1.49128	0.0567031	2.34535	0.698957	0.301043	0.0817345	0.710236	1.78155	0.925458	2.64221	2.00528	2.1423	0.0745367	0.925452	0.011674	0.0432364	0.0269054	0.00344011	1.95654	0.660037	1.44054	0.100838	0.349492	0.15527	0.292987	0.701481	1.3434	0.0082339	0.0152314	0.016331	0.410553	3.8246	1.87825e-06	0.100838	0.100838	3.26572e-06	5.7564e-06	2.00528	0.296852	0.27606	1.17519	0.824805	0.824805	4.39515e-07	0.5	0.000226921
85	1.24138	0.809357	0.681921	1.50872	1.49128	0.0567962	2.34455	0.699064	0.300936	0.081832	0.710416	1.78152	0.925458	2.64178	2.00231	2.14239	0.0745368	0.925453	0.0115633	0.0427933	0.0266803	0.00340727	1.95699	0.659996	1.44054	0.100846	0.34954	0.155333	0.293021	0.70153	1.34341	0.00815606	0.015117	0.0161129	0.411252	3.82376	1.64813e-06	0.100846	0.100846	2.86599e-06	5.05181e-06	2.00231	0.297239	0.276384	1.1753	0.824698	0.824698	3.85636e-07	0.5	0.000221572
86	1.24138	0.809357	0.681921	1.50872	1.49128	0.0568872	2.34376	0.69917	0.30083	0.0819272	0.710599	1.78148	0.925459	2.64137	1.99942	2.14249	0.0745369	0.925454	0.0114554	0.0423605	0.0264602	0.00337524	1.95742	0.659954	1.44054	0.100855	0.349589	0.155396	0.293055	0.701581	1.34342	0.00808015	0.0150048	0.0159002	0.411923	3.82295	1.4462e-06	0.100855	0.100855	2.51518e-06	4.43345e-06	1.99942	0.297617	0.2767	1.17541	0.824594	0.824594	3.38361e-07	0.5	0.000216412
87	1.24138	0.809357	0.681921	1.50872	1.49128	0.056976	2.34299	0.699274	0.300726	0.08202	0.710784	1.78145	0.925459	2.64097	1.9966	2.14259	0.0745369	0.925455	0.0113501	0.0419376	0.0262449	0.003344	1.95785	0.659911	1.44054	0.100864	0.349638	0.155461	0.29309	0.701633	1.34343	0.00800611	0.0148948	0.0156927	0.412565	3.82216	1.269e-06	0.100864	0.100864	2.20731e-06	3.89077e-06	1.9966	0.297985	0.277009	1.17551	0.824492	0.824492	2.96881e-07	0.5	0.000211433
88	1.24138	0.809357	0.681921	1.50872	1.49128	0.0570627	2.34224	0.699377	0.300623	0.0821106	0.710973	1.78141	0.92546	2.64058	1.99384	2.1427	0.074537	0.925456	0.0112474	0.0415244	0.0260342	0.00331353	1.95827	0.659868	1.44054	0.100872	0.349687	0.155526	0.293126	0.701686	1.34345	0.00793386	0.0147868	0.0154902	0.413179	3.82139	1.11351e-06	0.100872	0.100872	1.93712e-06	3.41451e-06	1.99384	0.298344	0.277309	1.17561	0.824393	0.824393	2.60486e-07	0.5	0.000206627
89	1.24138	0.809357	0.681921	1.50872	1.49128	0.0571473	2.3415	0.699478	0.300522	0.0821989	0.711164	1.78138	0.92546	2.6402	1.99115	2.1428	0.074537	0.925457	0.0111471	0.0411205	0.025828	0.00328378	1.95868	0.659824	1.44054	0.100881	0.349737	0.155592	0.293161	0.70174	1.34346	0.00786335	0.0146809	0.0152925	0.413767	3.82064	9.77071e-07	0.100881	0.100881	1.7e-06	2.99655e-06	1.99115	0.298695	0.277603	1.1757	0.824297	0.824297	2.28552e-07	0.5	0.000201985
90	1.24138	0.809357	0.681921	1.50872	1.49128	0.05723	2.34079	0.699578	0.300422	0.082285	0.711358	1.78134	0.92546	2.63983	1.98853	2.14291	0.0745371	0.925458	0.0110493	0.0407255	0.0256261	0.00325474	1.95908	0.65978	1.44054	0.10089	0.349787	0.155658	0.293197	0.701795	1.34347	0.00779451	0.0145769	0.0150994	0.41433	3.81991	8.57345e-07	0.10089	0.10089	1.4919e-06	2.62974e-06	1.98853	0.299037	0.277889	1.1758	0.824203	0.824203	2.00533e-07	0.5	0.000197499
91	1.24138	0.809357	0.681921	1.50872	1.49128	0.0573107	2.34009	0.699677	0.300323	0.0823691	0.711553	1.7813	0.925461	2.63946	1.98596	2.14302	0.0745371	0.925458	0.0109537	0.0403392	0.0254284	0.00322639	1.95947	0.659735	1.44054	0.100899	0.349837	0.155724	0.293233	0.701852	1.34349	0.00772729	0.0144747	0.0149108	0.414868	3.81921	7.52288e-07	0.100899	0.100899	1.30927e-06	2.30783e-06	1.98596	0.299371	0.278169	1.17589	0.824112	0.824112	1.75949e-07	0.5	0.000193164
92	1.24138	0.809357	0.681921	1.50872	1.49128	0.0573895	2.33941	0.699774	0.300226	0.0824511	0.71175	1.78127	0.925461	2.63911	1.98346	2.14313	0.0745371	0.925459	0.0108603	0.0399613	0.0252347	0.00319869	1.95985	0.65969	1.44054	0.100908	0.349888	0.155791	0.29327	0.701909	1.34351	0.00766162	0.0143744	0.0147265	0.415382	3.81852	6.60102e-07	0.100908	0.100908	1.149e-06	2.02533e-06	1.98346	0.299697	0.278441	1.17598	0.824023	0.824023	1.54378e-07	0.5	0.000188972
93	1.24138	0.809357	0.681921	1.50872	1.49128	0.0574664	2.33875	0.69987	0.30013	0.0825311	0.711949	1.78123	0.925461	2.63876	1.98102	2.14324	0.0745372	0.925459	0.0107691	0.0395914	0.025045	0.00317164	1.96022	0.659645	1.44054	0.100917	0.349939	0.155858	0.293306	0.701967	1.34353	0.00759746	0.0142759	0.0145465	0.415873	3.81785	5.79211e-07	0.100917	0.100917	1.00834e-06	1.7774e-06	1.98102	0.300015	0.278707	1.17606	0.823937	0.823937	1.35452e-07	0.5	0.000184917
94	1.24138	0.809357	0.681921	1.50872	1.49128	0.0575415	2.3381	0.699964	0.300036	0.0826091	0.71215	1.78119	0.925461	2.63842	1.97864	2.14336	0.0745372	0.92546	0.01068	0.0392295	0.024859	0.00314519	1.96059	0.6596	1.44054	0.100926	0.34999	0.155926	0.293343	0.702025	1.34355	0.00753476	0.0141791	0.0143705	0.416341	3.81719	5.08231e-07	0.100926	0.100926	8.84906e-07	1.55982e-06	1.97864	0.300325	0.278966	1.17615	0.823852	0.823852	1.18845e-07	0.5	0.000180993
95	1.24138	0.809357	0.681921	1.50872	1.49128	0.0576148	2.33747	0.700058	0.299942	0.0826852	0.712351	1.78116	0.925461	2.6381	1.97631	2.14347	0.0745372	0.92546	0.0105928	0.0388751	0.0246767	0.00311935	1.96095	0.659554	1.44054	0.100935	0.350041	0.155994	0.29338	0.702085	1.34357	0.00747347	0.0140839	0.0141984	0.416789	3.81656	4.45948e-07	0.100935	0.100935	7.76578e-07	1.36887e-06	1.97631	0.300627	0.279219	1.17623	0.823771	0.823771	1.04275e-07	0.5	0.000177195
96	1.24138	0.809357	0.681921	1.50872	1.49128	0.0576863	2.33685	0.700149	0.299851	0.0827594	0.712554	1.78112	0.925462	2.63777	1.97404	2.14358	0.0745373	0.92546	0.0105076	0.0385281	0.024498	0.00309408	1.9613	0.659508	1.44054	0.100944	0.350092	0.156062	0.293417	0.702145	1.34359	0.00741353	0.0139904	0.0140301	0.417215	3.81594	3.91297e-07	0.100944	0.100944	6.81509e-07	1.2013e-06	1.97404	0.300923	0.279466	1.17631	0.823691	0.823691	9.14909e-08	0.5	0.000173516
97	1.24138	0.809357	0.681921	1.50872	1.49128	0.0577562	2.33625	0.70024	0.29976	0.0828319	0.712758	1.78108	0.925462	2.63746	1.97182	2.1437	0.0745373	0.925461	0.0104243	0.0381882	0.0243228	0.00306936	1.96164	0.659462	1.44054	0.100953	0.350143	0.15613	0.293454	0.702205	1.34361	0.00735492	0.0138985	0.0138654	0.417622	3.81534	3.43342e-07	0.100953	0.100953	5.98077e-07	1.05423e-06	1.97182	0.301211	0.279707	1.17639	0.823614	0.823614	8.02738e-08	0.5	0.000169953
98	1.24138	0.809357	0.681921	1.50872	1.49128	0.0578244	2.33566	0.700329	0.299671	0.0829025	0.712963	1.78105	0.925462	2.63716	1.96966	2.14381	0.0745373	0.925461	0.0103428	0.0378552	0.0241509	0.00304519	1.96198	0.659415	1.44054	0.100962	0.350195	0.156198	0.29349	0.702266	1.34363	0.00729758	0.0138081	0.0137044	0.418009	3.81475	3.01263e-07	0.100962	0.100962	5.24859e-07	9.25173e-07	1.96966	0.301492	0.279941	1.17646	0.823538	0.823538	7.04321e-08	0.5	0.0001665
99	1.24138	0.809357	0.681921	1.50872	1.49128	0.057891	2.33509	0.700417	0.299583	0.0829714	0.713168	1.78101	0.925462	2.63686	1.96755	2.14393	0.0745373	0.925461	0.010263	0.0375289	0.0239822	0.00302153	1.96231	0.659369	1.44054	0.100971	0.350246	0.156266	0.293527	0.702328	1.34365	0.00724148	0.0137192	0.0135467	0.418377	3.81419	2.64341e-07	0.100971	0.100971	4.60602e-07	8.11909e-07	1.96755	0.301766	0.28017	1.17653	0.823465	0.823465	6.17967e-08	0.5	0.000163153
100	1.24138	0.809357	0.681921	1.50872	1.49128	0.057956	2.33453	0.700503	0.299497	0.0830387	0.713374	1.78097	0.925462	2.63657	1.96549	2.14405	0.0745373	0.925461	0.010185	0.0372091	0.0238167	0.00299839	1.96263	0.659322	1.44054	0.10098	0.350298	0.156335	0.293565	0.702389	1.34368	0.00718657	0.0136318	0.0133924	0.418728	3.81363	2.31943e-07	0.10098	0.10098	4.04212e-07	7.12511e-07	1.96549	0.302034	0.280394	1.17661	0.823394	0.823394	5.42202e-08	0.5	0.000159908
