Time	[cytosolic free ca concentration]	[ER ca concentration]	Values[nIR]	Values[rIR]	Values[n]	Values[a]	Values[V]
72	0.105562	99.968	0.0710628	0.16547	0.000395351	0.459987	-55.5081
73	0.105663	99.9676	0.0716773	0.16487	0.000394082	0.459987	-55.3909
74	0.105765	99.9672	0.0722834	0.16426	0.000393434	0.459987	-55.2709
75	0.105868	99.9668	0.072881	0.163637	0.000393396	0.459987	-55.1479
76	0.105973	99.9664	0.0734701	0.163003	0.000393961	0.459987	-55.0219
77	0.106079	99.9661	0.0740505	0.162356	0.000395123	0.459987	-54.8925
78	0.106187	99.9657	0.0746223	0.161697	0.000396878	0.459987	-54.7598
79	0.106297	99.9653	0.0751852	0.161024	0.000399228	0.459986	-54.6235
80	0.106408	99.965	0.0757393	0.160336	0.000402174	0.459986	-54.4835
81	0.106522	99.9646	0.0762844	0.159635	0.000405723	0.459986	-54.3395
82	0.106637	99.9642	0.0768205	0.158918	0.000409885	0.459986	-54.1914
83	0.106754	99.9639	0.0773474	0.158185	0.000414671	0.459986	-54.0389
84	0.106873	99.9635	0.077865	0.157435	0.000420098	0.459986	-53.8818
85	0.106994	99.9631	0.0783733	0.156669	0.000426187	0.459986	-53.7198
86	0.107118	99.9628	0.0788721	0.155884	0.000432961	0.459985	-53.5527
87	0.107243	99.9624	0.0793614	0.15508	0.000440451	0.459985	-53.3802
88	0.107372	99.9621	0.0798409	0.154256	0.00044869	0.459985	-53.2019
89	0.107503	99.9617	0.0803107	0.153412	0.000457719	0.459985	-53.0175
90	0.107637	99.9614	0.0807705	0.152546	0.000467586	0.459985	-52.8266
91	0.107774	99.961	0.0812203	0.151657	0.000478343	0.459985	-52.6289
92	0.107913	99.9607	0.0816598	0.150743	0.000490054	0.459985	-52.4238
93	0.108057	99.9604	0.0820891	0.149805	0.000502792	0.459984	-52.2109
94	0.108203	99.96	0.0825079	0.14884	0.000516639	0.459984	-51.9897
95	0.108354	99.9597	0.0829161	0.147847	0.000531692	0.459984	-51.7596
96	0.108508	99.9594	0.0833136	0.146824	0.000548062	0.459984	-51.5198
97	0.108666	99.9591	0.0837002	0.14577	0.000565876	0.459984	-51.2699
98	0.108829	99.9587	0.0840757	0.144683	0.000585284	0.459984	-51.0088
99	0.108997	99.9584	0.08444	0.143562	0.000606459	0.459984	-50.7359
100	0.10917	99.9581	0.084793	0.142403	0.000629602	0.459984	-50.4501
