Time	[E4P]	[G6L]	[NADPH]	[P6G]	[R5P]	[Ru5P]	[S7P]	[X5P]	[NADP]	[G6P]	[F6P]	[GAP]	[GND1]	[GND2]	[NQM1]	[RKI1]	[RPE1]	[SOL3]	[TAL1]	[TKL1]	[ZWF1]
32	0.0140059	3.44237	0.204076	0.727089	0.082241	0.0333417	0.0692506	0.0475262	0.125924	3.50947	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
33	0.0139365	3.49072	0.202986	0.735318	0.0829752	0.0336367	0.0704734	0.0479329	0.127014	3.44846	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
34	0.0138702	3.53704	0.201935	0.742977	0.0836857	0.033922	0.0716675	0.0483265	0.128065	3.38987	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
35	0.0138067	3.58143	0.200922	0.750087	0.0843731	0.0341978	0.0728325	0.048707	0.129078	3.33358	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
36	0.0137461	3.62393	0.199946	0.756668	0.0850376	0.0344643	0.0739682	0.0490749	0.130054	3.2795	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
37	0.0136881	3.66463	0.199005	0.762742	0.0856799	0.0347217	0.0750746	0.0494303	0.130995	3.22751	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
38	0.0136327	3.70358	0.198097	0.768329	0.0863004	0.0349703	0.0761516	0.0497736	0.131903	3.17752	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
39	0.0135797	3.74086	0.197222	0.773448	0.0868998	0.0352103	0.0771996	0.0501052	0.132778	3.12944	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
40	0.013529	3.77651	0.196378	0.778118	0.0874786	0.0354419	0.0782186	0.0504253	0.133622	3.08317	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
41	0.0134806	3.8106	0.195564	0.782358	0.0880374	0.0356655	0.079209	0.0507344	0.134436	3.03862	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
42	0.0134343	3.84319	0.194779	0.786186	0.0885768	0.0358813	0.0801711	0.0510326	0.135221	2.99572	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
43	0.0133899	3.87432	0.194021	0.789619	0.0890974	0.0360894	0.0811054	0.0513205	0.135979	2.95438	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
44	0.0133476	3.90404	0.193289	0.792674	0.0895997	0.0362902	0.0820124	0.0515982	0.136711	2.91453	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
45	0.013307	3.93241	0.192583	0.795367	0.0900844	0.0364839	0.0828924	0.0518662	0.137417	2.8761	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
46	0.0132682	3.95947	0.191901	0.797714	0.090552	0.0366708	0.083746	0.0521247	0.138099	2.83902	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
47	0.0132311	3.98526	0.191242	0.799729	0.0910031	0.036851	0.0845738	0.0523741	0.138758	2.80322	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
48	0.0131955	4.00983	0.190606	0.801428	0.0914382	0.0370248	0.0853763	0.0526146	0.139394	2.76864	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
49	0.0131615	4.03322	0.189991	0.802825	0.0918579	0.0371923	0.0861541	0.0528465	0.140009	2.73524	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
50	0.0131289	4.05547	0.189396	0.803933	0.0922627	0.0373539	0.0869076	0.0530703	0.140604	2.70294	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
51	0.0130977	4.07662	0.188822	0.804765	0.092653	0.0375097	0.0876376	0.053286	0.141178	2.67171	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
52	0.0130678	4.0967	0.188266	0.805334	0.0930294	0.0376599	0.0883445	0.053494	0.141734	2.64149	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
53	0.0130391	4.11574	0.187729	0.805651	0.0933924	0.0378048	0.0890289	0.0536946	0.142271	2.61224	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
54	0.0130116	4.13379	0.187209	0.805729	0.0937424	0.0379444	0.0896915	0.053888	0.142791	2.58392	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
55	0.0129853	4.15087	0.186706	0.805579	0.0940798	0.038079	0.0903327	0.0540745	0.143294	2.55648	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
56	0.0129601	4.16702	0.186219	0.805211	0.0944051	0.0382087	0.0909531	0.0542542	0.143781	2.52988	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
57	0.0129359	4.18226	0.185747	0.804637	0.0947187	0.0383337	0.0915533	0.0544275	0.144253	2.5041	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
58	0.0129127	4.19663	0.18529	0.803865	0.095021	0.0384542	0.0921338	0.0545945	0.14471	2.47908	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
59	0.0128905	4.21015	0.184848	0.802905	0.0953123	0.0385704	0.0926952	0.0547555	0.145152	2.45481	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
60	0.0128692	4.22285	0.18442	0.801768	0.0955932	0.0386823	0.0932378	0.0549106	0.14558	2.43125	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
61	0.0128487	4.23476	0.184004	0.800461	0.0958638	0.0387901	0.0937624	0.0550601	0.145996	2.40837	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
62	0.0128291	4.24589	0.183602	0.798994	0.0961245	0.0388939	0.0942692	0.0552041	0.146398	2.38614	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
63	0.0128103	4.25628	0.183212	0.797374	0.0963757	0.038994	0.094759	0.0553429	0.146788	2.36454	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
64	0.0127923	4.26595	0.182833	0.79561	0.0966178	0.0390903	0.095232	0.0554765	0.147167	2.34354	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
65	0.012775	4.27492	0.182466	0.793709	0.0968509	0.0391831	0.0956888	0.0556052	0.147534	2.32311	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
66	0.0127584	4.28321	0.182111	0.791678	0.0970754	0.0392725	0.0961298	0.0557292	0.147889	2.30324	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
67	0.0127425	4.29084	0.181765	0.789525	0.0972916	0.0393585	0.0965555	0.0558485	0.148235	2.2839	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
68	0.0127272	4.29784	0.18143	0.787256	0.0974997	0.0394413	0.0969662	0.0559634	0.14857	2.26508	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
69	0.0127126	4.30422	0.181105	0.784879	0.0977	0.0395209	0.0973625	0.056074	0.148895	2.24674	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
70	0.0126985	4.31	0.180789	0.782398	0.0978928	0.0395976	0.0977447	0.0561803	0.149211	2.22889	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
71	0.012685	4.3152	0.180483	0.779821	0.0980783	0.0396713	0.0981132	0.0562827	0.149517	2.21148	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
72	0.0126721	4.31984	0.180185	0.777152	0.0982568	0.0397422	0.0984683	0.0563811	0.149815	2.19452	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
73	0.0126597	4.32394	0.179896	0.774399	0.0984285	0.0398104	0.0988105	0.0564758	0.150104	2.17798	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
74	0.0126479	4.32751	0.179616	0.771565	0.0985935	0.0398759	0.0991401	0.0565667	0.150384	2.16185	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
75	0.0126365	4.33057	0.179343	0.768656	0.0987521	0.0399388	0.0994575	0.0566542	0.150657	2.14611	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
76	0.0126256	4.33314	0.179078	0.765678	0.0989045	0.0399993	0.0997629	0.0567381	0.150922	2.13076	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
77	0.0126151	4.33522	0.178821	0.762635	0.0990509	0.0400573	0.100057	0.0568188	0.151179	2.11577	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
78	0.0126051	4.33684	0.178571	0.759531	0.0991915	0.040113	0.10034	0.0568962	0.151429	2.10113	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
79	0.0125955	4.33801	0.178327	0.756371	0.0993264	0.0401664	0.100611	0.0569704	0.151673	2.08684	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
80	0.0125864	4.33874	0.178091	0.75316	0.0994558	0.0402177	0.100872	0.0570416	0.151909	2.07287	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
81	0.0125776	4.33905	0.177861	0.7499	0.0995799	0.0402668	0.101123	0.0571099	0.152139	2.05923	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
82	0.0125692	4.33896	0.177638	0.746597	0.0996989	0.0403138	0.101364	0.0571754	0.152362	2.04589	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
83	0.0125612	4.33846	0.177421	0.743254	0.0998129	0.0403589	0.101595	0.057238	0.152579	2.03285	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
84	0.0125535	4.33758	0.17721	0.739874	0.0999221	0.040402	0.101816	0.057298	0.15279	2.0201	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
85	0.0125461	4.33633	0.177004	0.736462	0.100027	0.0404432	0.102028	0.0573554	0.152996	2.00763	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
86	0.0125391	4.33471	0.176804	0.73302	0.100127	0.0404826	0.102231	0.0574102	0.153196	1.99543	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
87	0.0125325	4.33275	0.17661	0.729551	0.100222	0.0405202	0.102426	0.0574626	0.15339	1.98349	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
88	0.0125261	4.33045	0.176421	0.726059	0.100313	0.0405561	0.102612	0.0575126	0.153579	1.97181	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
89	0.01252	4.32783	0.176237	0.722547	0.1004	0.0405904	0.102789	0.0575603	0.153763	1.96037	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
90	0.0125142	4.32489	0.176058	0.719017	0.100483	0.040623	0.102959	0.0576057	0.153942	1.94917	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
91	0.0125087	4.32164	0.175884	0.715472	0.100563	0.040654	0.103121	0.057649	0.154116	1.9382	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
92	0.0125035	4.31809	0.175715	0.711914	0.100638	0.0406836	0.103275	0.0576902	0.154285	1.92745	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
93	0.0124985	4.31427	0.17555	0.708347	0.10071	0.0407116	0.103422	0.0577293	0.15445	1.91692	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
94	0.0124938	4.31016	0.17539	0.704773	0.100778	0.0407382	0.103561	0.0577664	0.15461	1.9066	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
95	0.0124893	4.30579	0.175234	0.701193	0.100842	0.0407634	0.103694	0.0578016	0.154766	1.89649	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
96	0.0124851	4.30116	0.175082	0.69761	0.100903	0.0407873	0.103819	0.0578349	0.154918	1.88658	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
97	0.0124811	4.29628	0.174934	0.694026	0.100961	0.0408098	0.103939	0.0578664	0.155066	1.87686	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
98	0.0124773	4.29116	0.174791	0.690443	0.101016	0.0408311	0.104051	0.0578962	0.155209	1.86732	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
99	0.0124737	4.28581	0.174651	0.686862	0.101068	0.0408511	0.104158	0.0579242	0.155349	1.85797	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
100	0.0124704	4.28023	0.174515	0.683287	0.101116	0.0408699	0.104258	0.0579505	0.155485	1.8488	0.325	0.067	0.013	0.003	0.02	0.05	0.03	0.0296	0.144	0.455	0.02
