Time	[Phosphoenol pyruvate]	[Extracellular Glucose]	[Glucose-6-Phosphate]	[Pyruvate]	[Fructose-6-Phosphate]	[Glucose-1-Phosphate]	[6-Phosphogluconate]	[sedoheptulose-7-phosphate]	[Glyceraldehyde-3-Phosphate]	[Erythrose-4-phosphate]	[Xylulose-5-phosphate]	[Ribose-5-phosphate]	[Dihydroxyacetonephosphate]	[3-Phosphoglycerate]	[2-Phosphoglycerate]	[Ribulose-5-phosphate]	[accoa]	[malcoa]	[fer]	[fer_ext]	[fercoa]	[ferdicoa]	[cur]	[cur_ext]
30	0.515334	54.7399	3.61215	11.5007	0.616302	0.528667	0.833178	0.21614	0.467555	0.164086	0.177712	0.504524	0.489157	0.454053	0.0812851	0.139016	31.3319	0.00030001	6.50762e-21	1.01575e-20	17642.8	0.000393829	0.0359069	0.0358612
31	0.517779	54.7177	3.61187	11.5938	0.616279	0.528726	0.833099	0.216125	0.467569	0.164086	0.177709	0.504512	0.488636	0.45599	0.0816506	0.139012	32.3262	0.00030001	2.9754e-20	4.64419e-20	17642.7	0.00039383	0.0366086	0.0365629
32	0.520151	54.6955	3.61161	11.6845	0.616256	0.528806	0.833024	0.216112	0.467583	0.164087	0.177707	0.504501	0.488133	0.457869	0.0820051	0.139009	33.3182	0.00030001	4.47547e-20	6.98559e-20	17642.6	0.00039383	0.0373102	0.0372646
33	0.522452	54.6734	3.61135	11.7729	0.616235	0.528904	0.832954	0.216099	0.467595	0.164087	0.177705	0.504491	0.487647	0.459692	0.0823491	0.139006	34.3079	0.00030001	9.63379e-20	1.5037e-19	17642.5	0.00039383	0.0380119	0.0379663
34	0.524688	54.6513	3.61111	11.8591	0.616215	0.529016	0.832887	0.216086	0.467607	0.164087	0.177702	0.50448	0.487177	0.461463	0.0826834	0.139003	35.2954	0.00030001	1.81874e-19	2.83881e-19	17642.4	0.00039383	0.0387136	0.038668
35	0.526863	54.6293	3.61087	11.9432	0.616196	0.52914	0.832823	0.216075	0.467618	0.164088	0.1777	0.50447	0.486723	0.463185	0.0830084	0.139	36.2808	0.000300011	-1.37685e-19	-2.14907e-19	17642.3	0.00039383	0.0394153	0.0393697
36	0.528979	54.6074	3.61065	12.0254	0.616177	0.529273	0.832763	0.216063	0.467628	0.164088	0.177698	0.504461	0.486282	0.464861	0.0833247	0.138997	37.264	0.000300011	1.49972e-19	2.34085e-19	17642.2	0.00039383	0.040117	0.0400714
37	0.531041	54.5855	3.61043	12.1057	0.616159	0.529412	0.832705	0.216053	0.467637	0.164088	0.177696	0.504451	0.485855	0.466494	0.0836328	0.138995	38.2451	0.000300011	4.96769e-19	7.75387e-19	17642.1	0.00039383	0.0408187	0.0407731
38	0.53305	54.5637	3.61022	12.1843	0.616142	0.529557	0.83265	0.216043	0.467645	0.164088	0.177694	0.504442	0.48544	0.468085	0.083933	0.138992	39.2241	0.000300011	5.18648e-19	8.09538e-19	17642	0.00039383	0.0415204	0.0414748
39	0.535011	54.5419	3.61001	12.2612	0.616125	0.529705	0.832597	0.216033	0.467653	0.164087	0.177692	0.504433	0.485037	0.469637	0.0842259	0.138989	40.2011	0.000300011	7.89449e-20	1.23222e-19	17641.9	0.00039383	0.0422221	0.0421765
40	0.536924	54.5202	3.60981	12.3364	0.616109	0.529856	0.832547	0.216023	0.46766	0.164087	0.17769	0.504424	0.484645	0.471152	0.0845118	0.138987	41.176	0.000300011	1.03484e-25	1.61525e-25	17641.8	0.00039383	0.0429238	0.0428782
41	0.538793	54.4985	3.60962	12.4101	0.616094	0.530008	0.832499	0.216015	0.467666	0.164087	0.177688	0.504416	0.484264	0.472631	0.084791	0.138985	42.1489	0.000300011	1.78297e-21	2.78297e-21	17641.7	0.00039383	0.0436255	0.0435799
42	0.540619	54.4769	3.60944	12.4824	0.616079	0.530161	0.832453	0.216006	0.467672	0.164086	0.177686	0.504407	0.483893	0.474077	0.0850638	0.138982	43.1199	0.000300011	1.35287e-22	2.11164e-22	17641.7	0.000393831	0.0443272	0.0442816
43	0.542405	54.4553	3.60925	12.5532	0.616065	0.530315	0.832408	0.215998	0.467677	0.164086	0.177684	0.504399	0.483531	0.475491	0.0853306	0.13898	44.0889	0.000300011	-6.00849e-24	-9.37842e-24	17641.6	0.000393831	0.0450289	0.0449833
44	0.544152	54.4338	3.60908	12.6227	0.616051	0.530468	0.832366	0.21599	0.467682	0.164085	0.177682	0.504392	0.483179	0.476874	0.0855917	0.138978	45.0561	0.000300011	9.38315e-25	1.46458e-24	17641.5	0.000393831	0.0457306	0.045685
45	0.545863	54.4123	3.60891	12.6909	0.616038	0.53062	0.832325	0.215982	0.467686	0.164085	0.17768	0.504384	0.482834	0.478228	0.0858472	0.138976	46.0213	0.000300011	1.0902e-23	1.70165e-23	17641.4	0.000393831	0.0464323	0.0463867
46	0.547538	54.3909	3.60875	12.7579	0.616025	0.53077	0.832285	0.215975	0.46769	0.164084	0.177678	0.504376	0.482499	0.479554	0.0860974	0.138973	46.9847	0.000300011	7.51173e-24	1.17248e-23	17641.3	0.000393831	0.047134	0.0470884
47	0.54918	54.3695	3.60859	12.8237	0.616012	0.53092	0.832247	0.215968	0.467693	0.164083	0.177677	0.504369	0.48217	0.480853	0.0863426	0.138971	47.9463	0.000300011	1.81345e-23	2.83055e-23	17641.2	0.000393831	0.0478357	0.0477901
48	0.550789	54.3482	3.60843	12.8883	0.616	0.531067	0.83221	0.215962	0.467696	0.164083	0.177675	0.504362	0.48185	0.482126	0.0865829	0.138969	48.9061	0.000300011	3.01583e-24	4.7073e-24	17641.1	0.000393831	0.0485374	0.0484918
49	0.552367	54.3269	3.60828	12.9518	0.615989	0.531212	0.832174	0.215955	0.467699	0.164082	0.177673	0.504355	0.481536	0.483375	0.0868186	0.138967	49.8641	0.000300011	2.21202e-24	3.45267e-24	17641	0.000393831	0.0492391	0.0491935
50	0.553916	54.3057	3.60813	13.0143	0.615978	0.531356	0.83214	0.215949	0.467701	0.164081	0.177671	0.504348	0.48123	0.4846	0.0870499	0.138965	50.8203	0.000300011	1.43312e-26	2.23691e-26	17640.9	0.000393831	0.0499408	0.0498952
51	0.555436	54.2844	3.60799	13.0758	0.615967	0.531497	0.832106	0.215943	0.467703	0.16408	0.17767	0.504341	0.480929	0.485803	0.0872768	0.138963	51.7748	0.000300011	-4.64537e-26	-7.25078e-26	17640.8	0.000393831	0.0506425	0.0505969
52	0.556928	54.2633	3.60785	13.1362	0.615956	0.531637	0.832074	0.215938	0.467704	0.164079	0.177668	0.504334	0.480635	0.486984	0.0874997	0.138962	52.7277	0.000300011	3.98496e-27	6.21997e-27	17640.7	0.000393831	0.0513442	0.0512986
53	0.558394	54.2421	3.60771	13.1957	0.615946	0.531774	0.832043	0.215932	0.467706	0.164078	0.177666	0.504328	0.480348	0.488144	0.0877185	0.13896	53.6788	0.000300011	2.44539e-26	3.81691e-26	17640.6	0.000393831	0.0520459	0.0520003
54	0.559834	54.2211	3.60758	13.2543	0.615936	0.531908	0.832012	0.215927	0.467707	0.164077	0.177665	0.504321	0.480065	0.489283	0.0879336	0.138958	54.6283	0.000300011	7.66036e-27	1.19568e-26	17640.5	0.000393831	0.0527476	0.052702
55	0.56125	54.2	3.60745	13.312	0.615927	0.532041	0.831983	0.215922	0.467707	0.164076	0.177663	0.504315	0.479789	0.490403	0.088145	0.138956	55.5762	0.000300011	2.9519e-26	4.60751e-26	17640.5	0.000393831	0.0534493	0.0534037
56	0.562642	54.179	3.60732	13.3688	0.615917	0.532171	0.831954	0.215917	0.467708	0.164075	0.177662	0.504309	0.479518	0.491504	0.0883528	0.138954	56.5225	0.000300011	1.65093e-26	2.57687e-26	17640.4	0.000393831	0.054151	0.0541054
57	0.564011	54.158	3.6072	13.4249	0.615908	0.532299	0.831926	0.215913	0.467708	0.164074	0.17766	0.504303	0.479251	0.492587	0.0885572	0.138953	57.4671	0.000300011	-4.664e-27	-7.27987e-27	17640.3	0.000393831	0.0548527	0.0548071
58	0.565358	54.137	3.60708	13.4801	0.6159	0.532425	0.831899	0.215908	0.467708	0.164073	0.177659	0.504297	0.47899	0.493653	0.0887583	0.138951	58.4102	0.000300011	-8.02657e-27	-1.25284e-26	17640.2	0.000393831	0.0555544	0.0555088
59	0.566684	54.1161	3.60696	13.5345	0.615891	0.532549	0.831873	0.215904	0.467708	0.164072	0.177657	0.504291	0.478734	0.494702	0.0889563	0.138949	59.3518	0.000300012	-8.11662e-30	-1.26689e-29	17640.1	0.000393831	0.0562561	0.0562105
60	0.567989	54.0953	3.60685	13.5881	0.615883	0.53267	0.831847	0.2159	0.467707	0.164071	0.177656	0.504285	0.478482	0.495734	0.0891511	0.138948	60.2918	0.000300012	3.1228e-28	4.87427e-28	17640	0.000393831	0.0569578	0.0569121
61	0.569274	54.0744	3.60674	13.6411	0.615875	0.532789	0.831822	0.215896	0.467707	0.16407	0.177654	0.50428	0.478235	0.496751	0.0893429	0.138946	61.2304	0.000300012	2.82186e-28	4.40453e-28	17639.9	0.000393831	0.0576595	0.0576138
62	0.57054	54.0536	3.60663	13.6933	0.615867	0.532907	0.831798	0.215892	0.467706	0.164069	0.177653	0.504274	0.477992	0.497752	0.0895319	0.138945	62.1674	0.000300012	3.73582e-29	5.8311e-29	17639.8	0.000393831	0.0583612	0.0583155
63	0.571787	54.0328	3.60652	13.7448	0.61586	0.533022	0.831774	0.215889	0.467705	0.164067	0.177651	0.504269	0.477753	0.498738	0.089718	0.138943	63.103	0.000300012	6.67113e-29	1.04127e-28	17639.7	0.000393831	0.0590629	0.0590172
64	0.573016	54.0121	3.60641	13.7957	0.615853	0.533136	0.831751	0.215885	0.467703	0.164066	0.17765	0.504263	0.477518	0.49971	0.0899015	0.138942	64.0371	0.000300012	-2.68933e-32	-4.19768e-32	17639.6	0.000393831	0.0597646	0.0597189
65	0.574227	53.9913	3.60631	13.8459	0.615846	0.533247	0.831728	0.215882	0.467702	0.164065	0.177648	0.504258	0.477286	0.500668	0.0900823	0.13894	64.9698	0.000300012	-1.71831e-29	-2.68205e-29	17639.5	0.000393831	0.0604663	0.0604206
66	0.575422	53.9707	3.60621	13.8955	0.615839	0.533357	0.831706	0.215878	0.4677	0.164064	0.177647	0.504253	0.477059	0.501612	0.0902605	0.138939	65.9011	0.000300012	-1.73122e-29	-2.70219e-29	17639.4	0.000393832	0.0611679	0.0611223
67	0.5766	53.95	3.60611	13.9444	0.615832	0.533465	0.831685	0.215875	0.467699	0.164063	0.177645	0.504248	0.476835	0.502544	0.0904363	0.138937	66.831	0.000300012	-1.69799e-29	-2.65033e-29	17639.3	0.000393832	0.0618696	0.061824
